lga_code16,m_australia_e,m_australia_om_ie,m_australia_om_uie,m_australia_cfw,m_australia_es_ns,m_australia_tot,m_canada_e,m_canada_om_ie,m_canada_om_uie,m_canada_cfw,m_canada_es_ns,m_canada_tot,m_china_e,m_china_om_ie,m_china_om_uie,m_china_cfw,m_china_es_ns,m_china_tot,m_croatia_e,m_croatia_om_ie,m_croatia_om_uie,m_croatia_cfw,m_croatia_es_ns,m_croatia_tot,m_egypt_e,m_egypt_om_ie,m_egypt_om_uie,m_egypt_cfw,m_egypt_es_ns,m_egypt_tot,m_fiji_e,m_fiji_om_ie,m_fiji_om_uie,m_fiji_cfw,m_fiji_es_ns,m_fiji_tot,m_fyrom_e,m_fyrom_om_ie,m_fyrom_om_uie,m_fyrom_cfw,m_fyrom_es_ns,m_fyrom_tot,m_germany_e,m_germany_om_ie,m_germany_om_uie,m_germany_cfw,m_germany_es_ns,m_germany_tot,m_greece_e,m_greece_om_ie,m_greece_om_uie,m_greece_cfw,m_greece_es_ns,m_greece_tot,m_hongkong_e,m_hongkong_om_ie,m_hongkong_om_uie,m_hongkong_cfw,m_hongkong_es_ns,m_hongkong_tot,m_india_e,m_india_om_ie,m_india_om_uie,m_india_cfw,m_india_es_ns,m_india_tot,m_indonesia_e,m_indonesia_om_ie,m_indonesia_om_uie,m_indonesia_cfw,m_indonesia_es_ns,m_indonesia_tot,m_iran_e,m_iran_om_ie,m_iran_om_uie,m_iran_cfw,m_iran_es_ns,m_iran_tot,m_iraq_e,m_iraq_om_ie,m_iraq_om_uie,m_iraq_cfw,m_iraq_es_ns,m_iraq_tot,m_ireland_e,m_ireland_om_ie,m_ireland_om_uie,m_ireland_cfw,m_ireland_es_ns,m_ireland_tot,m_italy_e,m_italy_om_ie,m_italy_om_uie,m_italy_cfw,m_italy_es_ns,m_italy_tot,m_japan_e,m_japan_om_ie,m_japan_om_uie,m_japan_cfw,m_japan_es_ns,m_japan_tot,m_koreasouth_e,m_koreasouth_om_ie,m_koreasouth_om_uie,m_koreasouth_cfw,m_koreasouth_es_ns,m_koreasouth_tot,m_lebanon_e,m_lebanon_om_ie,m_lebanon_om_uie,m_lebanon_cfw,m_lebanon_es_ns,m_lebanon_tot,m_malaysia_e,m_malaysia_om_ie,m_malaysia_om_uie,m_malaysia_cfw,m_malaysia_es_ns,m_malaysia_tot,m_malta_e,m_malta_om_ie,m_malta_om_uie,m_malta_cfw,m_malta_es_ns,m_malta_tot,m_netherlands_e,m_netherlands_om_ie,m_netherlands_om_uie,m_netherlands_cfw,m_netherlands_es_ns,m_netherlands_tot,m_nz_e,m_nz_om_ie,m_nz_om_uie,m_nz_cfw,m_nz_es_ns,m_nz_tot,m_pakistan_e,m_pakistan_om_ie,m_pakistan_om_uie,m_pakistan_cfw,m_pakistan_es_ns,m_pakistan_tot,m_philippines_e,m_philippines_om_ie,m_philippines_om_uie,m_philippines_cfw,m_philippines_es_ns,m_philippines_tot,m_poland_e,m_poland_om_ie,m_poland_om_uie,m_poland_cfw,m_poland_es_ns,m_poland_tot,m_singapore_e,m_singapore_om_ie,m_singapore_om_uie,m_singapore_cfw,m_singapore_es_ns,m_singapore_tot,m_sthafrica_e,m_sthafrica_om_ie,m_sthafrica_om_uie,m_sthafrica_cfw,m_sthafrica_es_ns,m_sthafrica_tot,m_srilanka_e,m_srilanka_om_ie,m_srilanka_om_uie,m_srilanka_cfw,m_srilanka_es_ns,m_srilanka_tot,m_thailand_e,m_thailand_om_ie,m_thailand_om_uie,m_thailand_cfw,m_thailand_es_ns,m_thailand_tot,m_turkey_e,m_turkey_om_ie,m_turkey_om_uie,m_turkey_cfw,m_turkey_es_ns,m_turkey_tot,m_uk_e,m_uk_om_ie,m_uk_om_uie,m_uk_cfw,m_uk_es_ns,m_uk_tot,m_usa_e,m_usa_om_ie,m_usa_om_uie,m_usa_cfw,m_usa_es_ns,m_usa_tot,m_vietnam_e,m_vietnam_om_ie,lga_name16
21670,1288,135,222,69,32,1744,0,0,0,0,0,0,3,3,0,3,0,5,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,0,0,3,0,0,3,0,0,0,0,0,0,16,0,0,0,0,18,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,5,0,0,25,3,5,0,0,0,8,8,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,3,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,34,4,9,3,0,42,3,0,0,0,0,6,0,0,Central Goldfields (S)
21750,3115,335,617,141,69,4269,3,0,0,0,0,6,12,7,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,0,0,0,4,5,3,0,3,0,5,10,0,0,0,0,5,21,4,0,0,0,22,0,0,3,0,0,9,4,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,8,3,3,0,0,3,4,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,10,3,4,0,0,16,52,6,9,0,0,72,8,0,0,0,0,8,14,0,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,7,0,0,0,0,7,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,79,7,17,7,0,110,3,0,0,0,0,3,0,0,Colac-Otway (S)
21830,2145,322,704,202,78,3442,3,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,4,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,9,4,7,5,0,22,63,12,24,3,3,106,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,42,7,12,0,0,67,8,0,0,0,0,8,0,0,Corangamite (S)
21890,11241,1582,1285,114,169,14389,55,11,0,0,0,66,527,158,106,50,3,846,42,6,3,0,0,49,73,10,5,0,0,98,46,0,3,0,0,51,157,15,17,4,6,203,54,12,11,0,0,68,196,61,52,6,9,321,78,11,8,0,0,95,1070,97,93,12,5,1280,63,3,0,0,4,69,88,12,19,0,3,119,79,12,21,0,3,111,78,6,7,0,0,93,304,84,70,13,12,484,23,4,4,0,0,26,34,0,9,0,0,43,117,44,43,8,0,214,163,17,16,4,0,203,45,8,6,0,0,60,29,0,3,0,0,33,345,37,49,4,3,440,152,9,14,0,0,177,256,8,8,0,5,271,45,5,3,3,0,55,55,3,0,0,0,67,63,15,6,0,3,89,240,16,12,3,3,278,39,3,0,0,0,48,56,12,12,3,0,80,590,69,70,4,3,748,57,6,6,0,0,70,449,51,Darebin (C)
22110,4707,636,940,249,136,6664,4,0,0,0,0,3,12,3,3,6,0,18,0,0,0,0,0,4,4,0,0,0,0,9,5,0,0,0,0,3,0,0,0,0,0,0,15,3,10,0,0,27,0,0,0,0,0,8,0,0,0,0,0,3,41,6,3,0,0,54,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,9,3,5,0,0,0,15,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,18,0,0,0,0,19,0,0,0,0,0,3,22,4,4,6,3,40,63,8,13,7,3,89,3,0,0,0,0,3,25,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,18,20,3,0,0,0,19,3,0,0,0,0,4,0,0,0,0,0,0,166,23,45,13,6,252,12,0,3,0,0,14,16,0,East Gippsland (S)
22170,10612,1725,1379,172,154,14050,20,0,0,0,0,25,146,57,41,20,3,270,21,9,6,0,0,33,23,10,7,3,0,43,44,4,4,0,0,57,6,0,0,0,0,12,46,16,19,3,0,83,32,13,6,0,3,59,47,5,0,3,0,64,561,59,35,16,7,672,23,0,0,0,0,23,20,9,4,0,0,36,13,3,0,0,0,12,54,16,5,0,0,82,36,19,8,0,0,63,3,4,0,0,0,8,10,0,0,0,0,12,22,14,10,0,0,45,73,11,10,0,3,101,5,0,3,0,0,10,33,28,17,0,0,74,347,43,36,5,7,435,48,3,3,0,0,54,142,5,9,3,3,164,27,11,7,4,0,53,23,3,0,0,0,30,108,29,11,3,0,159,221,21,8,3,3,256,22,0,0,0,0,18,16,3,3,0,0,19,881,226,168,23,15,1321,42,5,4,0,0,56,125,14,Frankston (C)
22250,1142,256,315,141,40,1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,20,0,3,0,0,22,0,0,0,0,0,0,17,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,3,3,8,0,23,0,0,0,0,0,0,0,0,Gannawarra (S)
22830,9208,1161,956,259,148,11736,15,0,0,0,0,15,33,12,6,3,0,57,3,0,0,0,0,3,3,0,0,0,0,4,8,0,0,0,0,7,3,4,3,0,0,13,25,4,3,0,0,34,15,4,11,0,0,28,10,0,0,0,0,15,339,27,20,8,8,394,3,0,0,0,0,3,13,0,0,0,0,15,29,10,6,0,0,48,19,4,0,0,0,22,61,22,15,10,3,111,4,0,0,0,0,7,8,0,0,0,0,15,0,0,0,0,0,4,36,3,0,3,0,42,5,4,0,0,0,10,13,4,8,3,0,30,175,12,17,8,3,209,33,3,0,0,0,36,73,0,0,0,0,76,5,0,0,0,0,4,13,0,0,0,0,13,39,5,0,0,0,45,41,7,0,0,0,48,9,0,0,0,0,7,32,3,3,3,0,40,222,17,15,0,3,266,16,0,3,0,0,22,3,3,Greater Shepparton (C)
22910,931,211,389,101,29,1673,4,0,0,0,0,6,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,30,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,3,5,3,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,7,3,3,0,0,11,19,7,5,3,0,36,0,0,0,0,0,0,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,7,3,0,0,0,0,3,3,0,0,0,0,7,0,0,0,0,0,0,56,15,25,10,5,110,3,0,7,0,0,12,3,0,Hepburn (S)
22980,561,103,213,119,12,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,0,0,Hindmarsh (S)
23110,10944,1109,745,90,132,13019,19,6,0,0,0,31,174,43,27,11,4,260,86,21,7,0,0,121,34,3,0,0,0,40,75,0,0,0,0,74,124,17,18,4,3,161,73,3,10,0,0,87,93,17,8,3,3,129,27,3,3,0,0,40,1047,98,40,11,8,1211,59,4,13,0,0,74,59,3,5,0,0,66,34,3,3,0,0,39,74,5,8,0,3,93,139,19,23,4,9,190,24,0,0,0,0,21,21,0,3,0,0,27,79,32,57,7,0,169,84,10,8,0,0,99,121,13,11,0,0,149,36,4,3,0,0,43,576,49,29,3,14,666,110,3,15,0,0,127,517,4,0,0,5,521,58,10,5,0,0,77,42,3,4,0,0,49,79,9,3,0,0,99,254,3,9,0,3,269,42,0,3,0,0,45,57,4,3,0,3,67,681,74,57,3,9,827,46,8,8,0,0,57,794,33,Hobsons Bay (C)
23190,2994,387,414,179,55,4029,3,0,0,0,0,4,0,0,8,0,0,12,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,40,3,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,4,0,5,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,3,3,0,8,20,0,5,0,0,22,7,0,0,0,0,8,13,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,11,4,0,0,0,9,7,0,0,0,0,7,3,0,0,0,0,3,6,0,0,0,0,6,45,7,6,3,0,61,8,0,0,0,0,9,0,0,Horsham (RC)
23270,28167,2449,1310,195,328,32449,71,10,3,0,0,81,520,83,33,18,3,652,153,26,12,5,7,197,166,37,21,0,3,229,236,13,3,3,3,262,443,49,11,0,10,506,144,16,9,0,3,174,269,48,29,5,6,353,111,7,4,3,0,124,2863,320,182,25,57,3440,90,0,4,3,0,99,230,14,12,0,4,257,740,150,195,27,24,1135,179,19,9,0,0,199,621,132,51,23,14,844,30,0,0,0,0,31,88,4,3,3,0,98,344,98,121,12,20,604,215,24,9,3,3,255,212,19,20,5,3,253,40,4,0,0,0,46,1090,46,24,0,13,1170,518,46,63,0,12,641,729,9,14,7,9,768,100,11,3,0,3,113,100,6,4,0,0,113,163,8,4,0,0,181,906,54,33,16,15,1024,92,3,0,0,0,93,548,196,178,30,28,975,1351,103,61,11,4,1532,98,10,0,0,0,107,1019,50,Hume (C)
23350,1469,210,358,122,35,2193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,3,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,3,0,0,0,4,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,9,22,0,6,0,0,24,4,0,0,0,0,6,5,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,54,13,16,3,0,82,3,0,3,0,0,4,0,0,Indigo (S)
23430,20005,2918,1630,229,235,25019,55,13,3,0,0,70,857,236,103,60,8,1254,93,10,8,0,0,113,66,16,7,0,3,91,133,13,10,4,0,158,58,4,3,0,0,63,125,35,16,8,4,185,239,52,51,12,4,351,148,18,7,5,0,185,2205,171,106,17,16,2517,119,6,4,0,0,132,90,11,3,0,3,113,32,3,3,0,0,38,142,20,13,0,3,176,188,51,27,8,3,280,39,7,3,0,0,46,109,24,14,3,3,156,55,20,20,0,0,96,265,36,13,3,0,322,20,6,4,0,0,31,68,16,12,4,3,103,878,76,63,3,12,1029,205,3,12,0,0,222,415,4,13,3,0,436,108,33,28,3,3,178,69,9,0,0,0,72,303,82,31,3,8,422,805,49,50,8,4,916,108,0,5,0,0,115,67,22,14,0,0,102,1514,225,137,23,17,1918,96,22,8,3,0,137,934,56,Kingston (C) (Vic.)
23670,17921,2358,1548,159,181,22168,54,8,3,0,0,61,627,177,107,62,7,974,51,8,3,0,0,57,51,18,12,0,0,82,95,8,0,0,0,108,26,4,0,0,0,32,126,25,21,0,0,176,108,26,18,3,0,152,157,26,19,5,3,209,1253,96,58,18,15,1438,109,7,3,0,0,117,101,16,12,3,3,128,21,3,3,0,0,25,97,4,4,0,0,113,122,38,30,5,0,204,18,3,0,0,0,24,79,15,10,3,0,109,41,8,14,0,0,60,337,64,44,8,3,460,23,5,0,0,0,28,62,17,8,5,0,96,601,48,37,3,0,689,148,9,8,0,0,169,288,3,6,0,3,307,68,9,5,0,0,87,88,18,13,0,0,121,241,31,22,3,3,299,633,73,35,8,5,755,75,7,3,0,0,84,23,3,3,0,0,36,1409,184,136,16,14,1764,73,11,7,3,0,91,393,30,Knox (C)
23810,11403,790,760,120,145,13214,17,5,0,0,0,19,44,17,12,8,0,80,0,0,0,0,0,3,3,5,0,0,0,7,14,3,3,0,0,20,0,0,0,0,0,0,28,4,3,3,0,43,7,3,0,3,0,10,10,3,0,0,0,14,122,22,7,0,3,152,0,0,0,0,0,5,9,0,0,0,0,10,3,0,0,0,0,3,27,0,3,0,0,29,52,13,13,5,3,88,13,0,0,0,0,13,5,0,0,0,0,10,0,0,0,0,0,0,25,0,7,0,0,33,41,0,4,0,0,46,67,5,9,0,5,88,176,21,11,3,3,211,19,0,0,0,0,17,43,3,5,3,0,50,9,0,0,0,0,17,4,0,0,0,0,4,54,4,0,0,3,62,40,10,3,0,0,57,3,0,0,0,0,5,0,0,0,0,0,3,395,39,31,11,3,475,25,4,0,0,0,34,6,5,Latrobe (C) (Vic.)
23940,725,150,327,160,36,1393,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,9,0,0,0,0,16,0,0,0,0,0,0,18,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,6,4,0,0,17,0,0,0,0,0,0,0,0,Loddon (S)
24130,3241,716,673,156,66,4855,7,0,4,0,0,12,18,8,3,8,0,30,0,0,0,0,0,3,0,3,0,0,0,7,3,0,0,6,0,8,0,0,0,0,0,3,12,4,6,0,0,19,0,3,0,0,0,7,3,0,0,0,0,7,64,9,12,3,0,83,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,3,16,3,0,0,0,18,11,3,18,0,0,34,3,0,0,0,0,3,0,0,0,0,0,0,9,0,3,0,0,13,11,0,0,0,0,13,10,3,0,0,0,20,13,0,7,0,0,19,60,18,17,4,3,92,9,0,0,0,0,9,27,0,0,0,0,30,0,0,0,0,0,0,0,3,0,0,0,8,7,4,3,0,0,13,18,8,0,0,0,24,7,0,0,0,0,10,0,0,0,0,0,3,137,52,69,8,0,271,13,4,3,0,0,19,5,0,Macedon Ranges (S)
24210,5906,1237,790,100,71,8110,15,0,7,0,0,18,448,206,116,68,11,847,14,5,13,0,0,27,47,21,15,0,0,81,20,9,3,0,0,26,24,3,9,5,0,43,21,9,11,0,3,41,59,28,29,4,0,128,141,40,35,9,0,218,408,48,19,7,6,481,32,8,8,3,0,51,66,52,31,9,9,166,10,5,3,0,0,17,30,3,4,0,0,42,90,51,31,15,4,184,8,3,7,0,0,24,39,9,15,4,0,67,30,19,19,3,3,73,203,66,40,12,0,320,5,0,3,0,0,13,15,3,8,3,0,28,130,24,23,4,0,182,71,10,8,0,4,91,78,0,6,0,0,85,11,3,4,0,0,16,45,10,9,3,0,66,92,20,21,3,0,137,146,15,10,0,0,178,18,0,0,0,0,19,15,7,5,0,0,23,275,76,68,13,9,436,38,3,3,0,0,46,96,9,Manningham (C)
24250,813,178,236,91,17,1336,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,33,9,12,0,0,62,0,0,0,0,0,0,0,0,Mansfield (S)
24330,8261,833,635,68,95,9897,29,0,3,0,0,30,287,72,39,16,0,416,49,11,8,0,0,71,28,9,3,0,0,43,52,3,0,0,0,62,102,12,6,0,3,121,54,6,6,0,0,69,80,16,6,4,3,112,65,11,7,0,0,82,974,74,56,9,23,1143,41,0,0,0,0,51,46,8,8,0,0,52,38,6,3,0,0,48,47,12,3,0,0,69,150,30,17,4,7,200,35,0,3,0,0,46,48,4,4,0,0,53,48,16,13,0,3,78,162,22,18,0,0,197,66,11,7,0,0,89,17,4,4,0,0,24,370,21,23,3,3,420,180,14,22,0,5,218,316,3,13,4,0,339,46,9,7,3,0,58,39,7,4,0,0,45,62,6,3,0,0,71,191,14,3,0,4,214,36,0,3,0,0,41,50,16,9,0,3,68,489,50,42,5,0,581,58,0,10,0,0,69,873,204,Maribyrnong (C)
24410,11709,1795,1220,145,137,14997,22,0,6,0,0,29,344,102,65,41,0,554,16,0,3,0,0,22,25,4,4,0,0,40,27,6,0,0,3,35,13,0,0,0,0,12,61,11,6,0,3,89,22,8,9,3,0,44,81,11,12,3,0,103,688,50,32,8,3,785,35,4,3,3,0,46,59,8,9,0,0,85,18,0,0,0,0,18,51,11,13,0,0,70,93,24,22,3,6,142,9,0,0,0,0,16,43,7,3,3,0,55,23,5,7,0,0,34,157,23,7,3,0,187,16,3,0,0,0,22,51,16,6,3,0,77,325,40,26,3,4,395,80,0,0,0,0,85,155,3,0,0,0,162,37,7,7,0,0,55,28,9,3,3,0,40,123,24,4,0,0,152,206,13,7,0,0,233,37,0,0,3,0,45,13,3,3,0,0,14,755,141,96,11,3,1006,64,4,10,0,0,77,132,8,Maroondah (C)
24600,121477,6467,4384,340,819,133487,718,25,14,0,0,758,5906,632,295,144,48,7020,332,16,15,0,6,372,399,49,21,7,3,468,540,25,8,0,3,579,461,22,8,4,11,501,875,67,36,9,7,984,666,73,34,7,12,789,1712,80,44,16,5,1856,16949,512,166,37,111,17776,1464,61,25,5,8,1560,763,48,30,8,3,853,233,14,5,0,8,261,1255,39,24,6,9,1327,1397,135,94,16,29,1667,404,19,8,0,5,437,1106,95,42,17,11,1264,334,55,40,8,10,443,4004,178,84,18,12,4294,290,13,14,3,3,327,486,39,14,0,0,550,5667,221,174,10,36,6113,1682,51,29,3,18,1783,2749,31,32,8,18,2826,447,30,36,4,6,519,1087,47,31,3,6,1178,2145,115,62,3,3,2329,3824,100,55,9,30,4015,536,14,11,0,4,570,457,45,35,9,8,545,11378,537,382,20,39,12356,1443,60,57,3,14,1580,2916,149,Melbourne (C)
24650,6027,903,697,100,112,7835,13,0,0,0,0,14,82,34,14,3,0,132,21,8,11,0,0,43,32,14,6,0,0,53,34,5,3,0,0,49,45,20,11,3,0,79,24,5,0,0,0,26,29,6,5,0,0,42,15,0,0,0,0,18,553,132,85,15,5,790,19,0,3,0,0,20,16,3,10,0,0,28,22,7,4,0,0,30,32,0,4,0,0,37,62,12,13,0,3,88,9,0,0,0,0,9,7,0,0,0,0,10,23,15,17,0,0,58,47,9,6,3,0,61,55,29,23,5,3,118,19,3,0,0,0,29,236,23,19,5,4,292,83,15,18,0,7,120,177,13,10,5,0,208,17,13,7,0,0,39,29,7,0,0,0,31,29,7,8,0,0,48,112,21,10,0,4,145,14,7,3,0,0,20,13,8,7,4,0,33,271,35,34,5,3,355,19,0,0,0,0,22,154,33,Melton (C)
24780,6945,851,866,338,152,9154,8,0,0,0,0,7,38,6,0,0,0,43,3,0,0,0,0,8,3,0,0,0,0,3,6,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,8,4,4,7,3,0,19,11,0,0,0,0,18,110,11,12,3,3,139,3,0,0,0,0,3,3,0,0,0,0,5,4,0,4,0,3,8,8,0,0,0,0,13,26,13,17,26,0,86,9,0,0,0,0,9,16,0,0,0,0,16,0,0,0,0,0,0,31,0,3,0,0,37,0,0,0,0,0,0,14,0,0,0,0,15,87,0,6,0,0,91,3,0,0,0,3,7,28,0,0,0,0,34,5,0,0,0,0,5,0,0,0,0,0,0,14,0,0,0,0,24,23,0,0,0,0,23,3,0,0,0,0,8,21,5,3,12,0,34,166,20,16,5,4,207,10,3,0,0,0,12,12,0,Mildura (RC)
24850,3482,417,407,94,100,4505,11,0,0,0,0,8,14,5,0,0,0,22,3,0,0,0,0,3,0,0,3,0,0,3,4,0,0,0,0,3,7,0,0,0,0,4,15,0,4,0,0,20,4,3,0,0,0,5,3,0,0,0,0,3,67,21,3,3,0,92,4,0,0,0,0,4,3,0,0,0,0,3,10,7,0,0,0,15,12,3,4,0,0,12,19,0,5,7,0,33,0,0,0,0,0,0,3,0,0,0,0,3,3,0,4,0,0,3,9,0,4,0,0,16,3,0,0,0,0,3,12,0,0,0,0,15,39,10,8,0,0,59,11,3,4,0,0,13,30,0,0,0,0,30,6,0,0,0,0,4,5,0,0,0,0,5,10,3,0,0,0,14,16,0,3,0,0,19,3,0,0,0,0,3,0,0,0,0,0,0,133,14,19,6,0,173,11,0,0,0,0,11,3,0,Mitchell (S)
24900,3211,531,683,245,82,4738,3,0,0,0,0,10,9,0,3,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,3,0,3,3,0,0,0,0,5,0,0,0,0,0,3,3,0,3,0,0,3,83,3,4,0,3,93,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,6,6,0,0,0,0,6,12,6,4,10,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,22,0,0,0,0,0,0,11,14,3,0,0,29,84,15,11,5,3,126,10,0,0,0,0,10,25,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,3,0,0,0,0,6,3,0,0,0,0,3,0,0,0,0,0,0,67,7,10,5,0,94,0,0,0,0,0,0,0,0,Moira (S)
