lga_code16,m_australia_e,m_australia_om_ie,m_australia_om_uie,m_australia_cfw,m_australia_es_ns,m_australia_tot,m_canada_e,m_canada_om_ie,m_canada_om_uie,m_canada_cfw,m_canada_es_ns,m_canada_tot,m_china_e,m_china_om_ie,m_china_om_uie,m_china_cfw,m_china_es_ns,m_china_tot,m_croatia_e,m_croatia_om_ie,m_croatia_om_uie,m_croatia_cfw,m_croatia_es_ns,m_croatia_tot,m_egypt_e,m_egypt_om_ie,m_egypt_om_uie,m_egypt_cfw,m_egypt_es_ns,m_egypt_tot,m_fiji_e,m_fiji_om_ie,m_fiji_om_uie,m_fiji_cfw,m_fiji_es_ns,m_fiji_tot,m_fyrom_e,m_fyrom_om_ie,m_fyrom_om_uie,m_fyrom_cfw,m_fyrom_es_ns,m_fyrom_tot,m_germany_e,m_germany_om_ie,m_germany_om_uie,m_germany_cfw,m_germany_es_ns,m_germany_tot,m_greece_e,m_greece_om_ie,m_greece_om_uie,m_greece_cfw,m_greece_es_ns,m_greece_tot,m_hongkong_e,m_hongkong_om_ie,m_hongkong_om_uie,m_hongkong_cfw,m_hongkong_es_ns,m_hongkong_tot,m_india_e,m_india_om_ie,m_india_om_uie,m_india_cfw,m_india_es_ns,m_india_tot,m_indonesia_e,m_indonesia_om_ie,m_indonesia_om_uie,m_indonesia_cfw,m_indonesia_es_ns,m_indonesia_tot,m_iran_e,m_iran_om_ie,m_iran_om_uie,m_iran_cfw,m_iran_es_ns,m_iran_tot,m_iraq_e,m_iraq_om_ie,m_iraq_om_uie,m_iraq_cfw,m_iraq_es_ns,m_iraq_tot,m_ireland_e,m_ireland_om_ie,m_ireland_om_uie,m_ireland_cfw,m_ireland_es_ns,m_ireland_tot,m_italy_e,m_italy_om_ie,m_italy_om_uie,m_italy_cfw,m_italy_es_ns,m_italy_tot,m_japan_e,m_japan_om_ie,m_japan_om_uie,m_japan_cfw,m_japan_es_ns,m_japan_tot,m_koreasouth_e,m_koreasouth_om_ie,m_koreasouth_om_uie,m_koreasouth_cfw,m_koreasouth_es_ns,m_koreasouth_tot,m_lebanon_e,m_lebanon_om_ie,m_lebanon_om_uie,m_lebanon_cfw,m_lebanon_es_ns,m_lebanon_tot,m_malaysia_e,m_malaysia_om_ie,m_malaysia_om_uie,m_malaysia_cfw,m_malaysia_es_ns,m_malaysia_tot,m_malta_e,m_malta_om_ie,m_malta_om_uie,m_malta_cfw,m_malta_es_ns,m_malta_tot,m_netherlands_e,m_netherlands_om_ie,m_netherlands_om_uie,m_netherlands_cfw,m_netherlands_es_ns,m_netherlands_tot,m_nz_e,m_nz_om_ie,m_nz_om_uie,m_nz_cfw,m_nz_es_ns,m_nz_tot,m_pakistan_e,m_pakistan_om_ie,m_pakistan_om_uie,m_pakistan_cfw,m_pakistan_es_ns,m_pakistan_tot,m_philippines_e,m_philippines_om_ie,m_philippines_om_uie,m_philippines_cfw,m_philippines_es_ns,m_philippines_tot,m_poland_e,m_poland_om_ie,m_poland_om_uie,m_poland_cfw,m_poland_es_ns,m_poland_tot,m_singapore_e,m_singapore_om_ie,m_singapore_om_uie,m_singapore_cfw,m_singapore_es_ns,m_singapore_tot,m_sthafrica_e,m_sthafrica_om_ie,m_sthafrica_om_uie,m_sthafrica_cfw,m_sthafrica_es_ns,m_sthafrica_tot,m_srilanka_e,m_srilanka_om_ie,m_srilanka_om_uie,m_srilanka_cfw,m_srilanka_es_ns,m_srilanka_tot,m_thailand_e,m_thailand_om_ie,m_thailand_om_uie,m_thailand_cfw,m_thailand_es_ns,m_thailand_tot,m_turkey_e,m_turkey_om_ie,m_turkey_om_uie,m_turkey_cfw,m_turkey_es_ns,m_turkey_tot,m_uk_e,m_uk_om_ie,m_uk_om_uie,m_uk_cfw,m_uk_es_ns,m_uk_tot,m_usa_e,m_usa_om_ie,m_usa_om_uie,m_usa_cfw,m_usa_es_ns,m_usa_tot,m_vietnam_e,m_vietnam_om_ie,lga_name16
10850,1287,97,181,72,27,1661,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,27,0,4,4,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,6,3,0,37,3,0,0,0,0,3,0,0,Blayney (A)
10900,4290,682,1058,126,62,6219,11,8,3,3,0,23,32,11,10,3,0,54,4,0,0,0,0,4,8,5,3,0,0,15,11,0,3,0,0,17,0,0,3,0,0,3,24,11,21,0,0,55,12,0,0,0,0,13,9,0,4,0,0,22,70,7,7,3,0,90,8,0,0,0,0,14,5,3,0,0,0,10,3,0,0,0,0,6,25,6,10,3,0,40,14,3,11,3,0,28,4,3,0,0,0,8,8,3,0,0,0,12,3,3,11,0,0,18,14,3,5,0,3,29,0,4,0,0,0,9,15,4,10,3,0,36,99,16,35,3,0,161,13,3,0,0,0,20,40,4,0,0,0,43,7,0,3,0,0,18,10,0,0,0,0,10,20,3,7,3,0,34,3,8,0,0,0,13,22,4,0,0,0,19,3,0,0,0,0,9,287,95,134,20,0,539,30,3,11,0,0,52,31,3,Blue Mountains (C)
10950,468,40,112,45,7,673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,10,0,0,0,0,0,0,0,0,Bogan (A)
11100,14411,932,404,53,142,15945,64,0,0,0,0,75,705,91,71,17,0,880,51,11,5,0,0,66,145,23,7,3,3,178,266,11,5,0,3,282,153,12,0,0,0,164,114,5,6,3,0,132,121,25,21,3,3,169,256,13,16,0,0,285,1054,39,20,3,11,1130,393,24,25,3,3,447,70,8,6,0,0,85,94,11,7,3,0,110,240,21,9,0,3,273,151,16,11,3,3,183,77,3,4,0,0,90,159,19,10,3,5,199,187,34,22,0,3,246,180,11,4,4,0,202,36,3,3,0,0,44,37,3,0,0,0,41,884,42,27,3,8,966,189,3,8,0,3,198,549,3,13,0,5,567,57,6,5,0,0,64,74,6,3,0,0,93,233,29,8,0,4,277,172,5,0,0,5,183,150,4,3,0,0,159,87,13,9,0,4,113,1216,84,53,0,10,1365,111,3,3,0,0,123,351,23,Botany Bay (C)
11150,339,27,75,25,17,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,Bourke (A)
11200,148,14,41,27,5,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,Brewarrina (A)
14300,613,59,146,53,10,881,0,0,0,0,0,0,5,0,0,0,0,6,0,0,0,0,0,0,3,3,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,11,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,0,0,17,0,0,0,0,0,0,0,0,Junee (A)
14350,3088,247,535,140,76,4090,0,0,4,3,0,11,14,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,8,0,3,0,0,12,4,0,0,0,0,4,3,3,0,0,0,3,25,4,0,0,3,33,0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,3,3,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,9,54,4,8,0,0,65,3,0,0,0,0,4,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,82,11,17,6,0,119,3,3,3,0,0,13,0,0,Kempsey (A)
11250,2713,156,206,33,61,3172,4,0,0,0,0,4,8,0,3,0,0,10,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,3,0,0,0,0,3,13,0,3,0,0,12,0,0,0,0,0,0,21,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,42,0,6,3,0,55,0,0,0,0,0,5,0,0,Broken Hill (C)
13910,2171,296,543,215,57,3282,3,0,0,0,0,3,3,7,4,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,18,4,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,30,3,6,3,0,45,0,0,0,0,0,0,11,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,7,15,3,4,63,9,0,0,0,0,8,0,0,Hilltops (A)
