lga_code,lga_name,new_houses_num,new_oth_resial_building_num,tot_dwl_num,value_new_houses_aud000,value_new_oth_resial_building_aud000,value_alterations_additions_conversions_resial_building_aud000,value_tot_resial_building_aud000,value_non_resial_building_aud000,value_tot_building_aud000
10050,Albury (C),182,18,201,51026.3,2602.4,14949.8,68578.4,46926.9,115505.3
10110,Armidale Dumaresq (A),24,8,32,7053.9,1592.0,7755.1,16401.0,19712.3,36113.3
10150,Ashfield (A),7,27,34,1551.0,11700.0,17252.3,30503.3,24551.9,55055.2
10200,Auburn (C),132,1061,1225,25583.0,311646.3,12980.7,350210.0,157808.1,508018.1
10250,Ballina (A),85,22,108,25196.2,4228.0,10278.0,39702.2,29893.3,69595.5
10300,Balranald (A),6,0,6,1547.5,0.0,197.3,1744.8,0.0,1744.8
10350,Bankstown (C),321,594,939,65682.9,123864.8,23616.5,213164.1,329891.4,543055.5
10470,Bathurst Regional (A),214,64,283,53685.2,11518.6,7495.9,72699.7,69761.4,142461.0
10550,Bega Valley (A),141,2,147,41134.2,566.0,10045.3,51745.5,16700.6,68446.0
10600,Bellingen (A),18,0,19,5054.8,0.0,2132.8,7187.6,7270.0,14457.6
10650,Berrigan (A),30,2,32,7606.2,60.0,826.7,8492.9,3585.4,12078.3
10750,Blacktown (C),1473,684,2184,349219.2,112615.4,20604.7,482439.3,464884.3,947323.6
10800,Bland (A),7,5,12,2417.4,955.0,886.9,4259.4,1520.0,5779.4
10850,Blayney (A),11,0,11,3307.4,0.0,1606.5,4913.9,200.0,5113.9
10900,Blue Mountains (C),122,44,171,39481.7,6469.0,25026.5,70977.2,32432.8,103410.0
10950,Bogan (A),1,0,1,250.0,0.0,232.0,482.0,1040.0,1522.0
11000,Bombala (A),3,0,3,498.2,0.0,326.5,824.7,585.0,1409.7
11050,Boorowa (A),4,0,4,886.0,0.0,153.2,1039.2,782.0,1821.2
11100,Botany Bay (C),64,521,591,15813.7,84739.8,2916.8,103470.3,182190.4,285660.6
11150,Bourke (A),12,0,12,4476.3,0.0,125.6,4601.9,622.2,5224.1
11200,Brewarrina (A),2,4,6,864.5,1265.3,0.0,2129.8,0.0,2129.8
12000,Coolamon (A),12,0,13,2438.3,0.0,628.8,3067.0,460.0,3527.1
11250,Broken Hill (C),13,8,21,3318.0,1600.0,1914.4,6832.4,1937.4,8769.8
11300,Burwood (A),13,108,121,4350.3,36060.9,6406.0,46817.2,50984.3,97801.5
11350,Byron (A),103,8,118,30417.1,1651.2,11348.2,43416.5,5853.5,49270.0
11400,Cabonne (A),33,6,39,8979.1,1200.0,3494.8,13673.9,8079.1,21753.0
11450,Camden (A),1201,242,1443,319147.2,60639.8,7052.0,386839.0,113708.0,500547.0
11500,Campbelltown (C),437,466,913,106104.1,75146.8,13428.8,194679.7,135828.0,330507.7
11520,Canada Bay (A),40,1289,1329,20277.8,358141.1,33422.1,411840.9,61320.6,473161.6
11550,Canterbury (C),116,542,672,28480.6,112868.7,27760.7,169110.0,38152.5,207262.5
11600,Carrathool (A),3,0,3,475.7,0.0,140.4,616.1,710.0,1326.1
11700,Central Darling (A),3,6,9,1032.2,1664.1,20.0,2716.4,350.0,3066.4
11720,Cessnock (C),314,53,369,69564.5,7173.5,7076.0,83814.1,17007.2,100821.4
11730,Clarence Valley (A),122,22,148,26782.5,5268.4,8634.4,40685.3,24218.7,64904.0
11750,Cobar (A),8,2,10,2822.5,341.0,232.6,3396.1,240.0,3636.1
11800,Coffs Harbour (C),208,44,257,57612.7,11262.0,12444.9,81319.6,92442.3,173761.9
11860,Conargo (A),1,0,1,282.3,0.0,40.0,322.3,59.7,382.0
12050,Cooma-Monaro (A),17,6,23,3729.4,1040.0,1451.0,6220.5,6648.6,12869.1
12150,Coonamble (A),6,17,23,2243.7,3423.4,0.0,5667.1,2500.0,8167.1
12200,Cootamundra (A),29,0,30,5470.4,0.0,1989.2,7459.6,1642.6,9102.1
12300,Corowa Shire (A),55,4,59,12388.7,563.4,704.8,13656.9,4360.0,18016.9
12350,Cowra (A),20,0,20,4693.0,0.0,1398.9,6091.9,906.2,6998.1
12500,Deniliquin (A),15,0,15,4508.7,0.0,779.9,5288.5,1680.0,6968.5
12600,Dubbo (C),189,57,247,49193.6,9529.8,4308.4,63031.7,24677.7,87709.4
12700,Dungog (A),33,0,33,10112.2,0.0,1788.7,11900.8,609.8,12510.7
12750,Eurobodalla (A),115,16,132,32508.0,4263.7,8444.0,45215.7,4593.1,49808.8
12850,Fairfield (C),426,61,512,83764.1,12205.8,9365.6,105335.4,60779.3,166114.7
12900,Forbes (A),12,2,14,2730.8,270.0,1847.2,4848.1,17498.0,22346.1
12950,Gilgandra (A),3,0,3,633.5,0.0,361.8,995.3,785.5,1780.8
13010,Glen Innes Severn (A),26,4,31,4797.7,592.2,956.8,6346.7,920.0,7266.7
13050,Gloucester (A),37,0,38,10616.0,0.0,1908.4,12524.4,5508.4,18032.8
13100,Gosford (C),237,96,347,70408.1,16560.6,41827.3,128795.9,86875.1,215671.0
13310,Goulburn Mulwaree (A),130,15,145,28061.0,1810.0,3369.0,33240.0,27195.1,60435.1
13320,Great Lakes (A),106,12,118,27527.8,2388.5,7209.1,37125.4,7487.0,44612.5
13340,Greater Hume Shire (A),41,2,43,9839.2,260.0,2717.3,12816.5,4233.4,17049.9
13380,Greater Taree (C),134,8,148,36880.8,1303.5,4828.6,43012.9,21659.3,64672.2
13450,Griffith (C),19,3,25,6064.9,450.0,9230.0,15744.9,13378.3,29123.2
13500,Gundagai (A),5,0,5,1128.7,0.0,511.2,1639.9,1465.8,3105.6
13550,Gunnedah (A),91,12,105,26114.5,2006.0,1918.9,30039.4,10438.5,40478.0
13650,Guyra (A),8,0,8,2082.4,0.0,300.1,2382.6,620.0,3002.6
13660,Gwydir (A),10,0,10,2707.4,0.0,500.0,3207.4,6578.5,9785.9
13700,Harden (A),6,0,6,1002.0,0.0,421.9,1423.9,1313.3,2737.2
13800,Hawkesbury (C),138,211,351,37163.1,26372.5,9797.9,73333.6,65249.1,138582.7
13850,Hay (A),2,0,2,387.8,0.0,282.7,670.5,0.0,670.5
13950,Holroyd (C),214,188,415,57388.1,44412.1,7369.8,109169.9,23262.8,132432.7
14000,Hornsby (A),208,321,542,74233.3,77499.5,46188.7,197921.5,128187.7,326109.2
14100,Hunters Hill (A),10,66,76,7750.4,20400.0,11762.9,39913.3,2908.0,42821.3
14150,Hurstville (C),110,152,267,33677.9,34783.5,9280.9,77742.3,17646.3,95388.6
14200,Inverell (A),33,8,41,8213.8,1289.6,2204.1,11707.5,4119.5,15827.0
14250,Jerilderie (A),1,0,1,350.0,0.0,104.0,454.0,1209.6,1663.6
14300,Junee (A),19,2,21,3638.9,300.0,1133.9,5072.8,256.0,5328.8
14350,Kempsey (A),54,2,57,13917.4,400.0,2606.7,16924.1,18316.4,35240.4
14400,Kiama (A),15,0,15,4404.4,0.0,5537.3,9941.7,15316.0,25257.7
14450,Kogarah (C),73,108,183,44516.4,29627.8,19467.1,93611.4,37517.2,131128.6
14500,Ku-ring-gai (A),122,488,611,68423.3,132192.7,78602.1,279218.0,81369.4,360587.4
14550,Kyogle (A),17,2,19,3055.6,300.0,566.5,3922.1,237.0,4159.1
14600,Lachlan (A),9,3,12,2536.5,600.0,765.7,3902.2,10034.2,13936.5
14650,Lake Macquarie (C),611,187,808,178794.8,31853.4,45782.7,256430.9,85031.5,341462.5
14700,Lane Cove (A),30,339,370,18352.0,71953.1,32217.1,122522.2,7194.1,129716.3
14750,Leeton (A),18,2,20,5145.2,350.0,1167.2,6662.4,2858.7,9521.1
14800,Leichhardt (A),8,217,225,2410.0,84229.0,10663.0,97302.0,6780.0,104082.0
14850,Lismore (C),78,4,82,17482.5,700.0,2315.5,20498.0,18164.9,38662.9
14870,Lithgow (C),96,2,100,26484.4,180.0,5951.9,32616.2,19639.0,52255.2
14900,Liverpool (C),1047,161,1222,254968.2,34960.5,8814.6,298743.3,318197.2,616940.5
14920,Liverpool Plains (A),5,0,5,1055.1,0.0,888.7,1943.8,150.0,2093.8
