lga_code16,ss_ns_1000_1249_mng,ss_ns_1000_1249_pro,ss_ns_1000_1249_tectw,ss_ns_1000_1249_copsw,ss_ns_1000_1249_claw,ss_ns_1000_1249_swks,ss_ns_1000_1249_maopdv,ss_ns_1000_1249_lab,ss_ns_1000_1249_idns,ss_ns_1000_1249_tot,ss_ns_1250_1499_mng,ss_ns_1250_1499_pro,ss_ns_1250_1499_tectw,ss_ns_1250_1499_copsw,ss_ns_1250_1499_claw,ss_ns_1250_1499_swks,ss_ns_1250_1499_maopdv,ss_ns_1250_1499_lab,ss_ns_1250_1499_idns,ss_ns_1250_1499_tot,ss_ns_1500_1749_mng,ss_ns_1500_1749_pro,ss_ns_1500_1749_tectw,ss_ns_1500_1749_copsw,ss_ns_1500_1749_claw,ss_ns_1500_1749_swks,ss_ns_1500_1749_maopdv,ss_ns_1500_1749_lab,ss_ns_1500_1749_idns,ss_ns_1500_1749_tot,ss_ns_1750_1999_mng,ss_ns_1750_1999_pro,ss_ns_1750_1999_tectw,ss_ns_1750_1999_copsw,ss_ns_1750_1999_claw,ss_ns_1750_1999_swks,ss_ns_1750_1999_maopdv,ss_ns_1750_1999_lab,ss_ns_1750_1999_idns,ss_ns_1750_1999_tot,ss_ns_2000_2999_mng,ss_ns_2000_2999_pro,ss_ns_2000_2999_tectw,ss_ns_2000_2999_copsw,ss_ns_2000_2999_claw,ss_ns_2000_2999_swks,ss_ns_2000_2999_maopdv,ss_ns_2000_2999_lab,ss_ns_2000_2999_idns,ss_ns_2000_2999_tot,ss_ns_3000mo_mng,ss_ns_3000mo_pro,ss_ns_3000mo_tectw,ss_ns_3000mo_copsw,ss_ns_3000mo_claw,ss_ns_3000mo_swks,ss_ns_3000mo_maopdv,ss_ns_3000mo_lab,ss_ns_3000mo_idns,ss_ns_3000mo_tot,ss_ns_pins_mng,ss_ns_pins_pro,ss_ns_pins_tectw,ss_ns_pins_copsw,ss_ns_pins_claw,ss_ns_pins_swks,ss_ns_pins_maopdv,ss_ns_pins_lab,ss_ns_pins_idns,ss_ns_pins_tot,ss_ns_tot_mng,ss_ns_tot_pro,ss_ns_tot_tectw,ss_ns_tot_copsw,ss_ns_tot_claw,ss_ns_tot_swks,ss_ns_tot_maopdv,ss_ns_tot_lab,ss_ns_tot_idns,ss_ns_tot_tot,tot_nni_mng,tot_nni_pro,tot_nni_tectw,tot_nni_copsw,tot_nni_claw,tot_nni_swks,tot_nni_maopdv,tot_nni_lab,tot_nni_idns,tot_nni_tot,tot_1_149_mng,tot_1_149_pro,tot_1_149_tectw,tot_1_149_copsw,tot_1_149_claw,tot_1_149_swks,tot_1_149_maopdv,tot_1_149_lab,tot_1_149_idns,tot_1_149_tot,tot_150_299_mng,tot_150_299_pro,tot_150_299_tectw,tot_150_299_copsw,tot_150_299_claw,tot_150_299_swks,tot_150_299_maopdv,tot_150_299_lab,tot_150_299_idns,tot_150_299_tot,tot_300_399_mng,tot_300_399_pro,tot_300_399_tectw,tot_300_399_copsw,tot_300_399_claw,tot_300_399_swks,tot_300_399_maopdv,tot_300_399_lab,tot_300_399_idns,tot_300_399_tot,tot_400_499_mng,tot_400_499_pro,tot_400_499_tectw,tot_400_499_copsw,tot_400_499_claw,tot_400_499_swks,tot_400_499_maopdv,tot_400_499_lab,tot_400_499_idns,tot_400_499_tot,tot_500_649_mng,tot_500_649_pro,tot_500_649_tectw,tot_500_649_copsw,tot_500_649_claw,tot_500_649_swks,tot_500_649_maopdv,tot_500_649_lab,tot_500_649_idns,tot_500_649_tot,tot_650_799_mng,tot_650_799_pro,tot_650_799_tectw,tot_650_799_copsw,tot_650_799_claw,tot_650_799_swks,tot_650_799_maopdv,tot_650_799_lab,tot_650_799_idns,tot_650_799_tot,tot_800_999_mng,tot_800_999_pro,tot_800_999_tectw,tot_800_999_copsw,tot_800_999_claw,tot_800_999_swks,tot_800_999_maopdv,tot_800_999_lab,tot_800_999_idns,tot_800_999_tot,tot_1000_1249_mng,tot_1000_1249_pro,tot_1000_1249_tectw,tot_1000_1249_copsw,tot_1000_1249_claw,tot_1000_1249_swks,tot_1000_1249_maopdv,tot_1000_1249_lab,tot_1000_1249_idns,tot_1000_1249_tot,tot_1250_1499_mng,tot_1250_1499_pro,tot_1250_1499_tectw,tot_1250_1499_copsw,tot_1250_1499_claw,tot_1250_1499_swks,tot_1250_1499_maopdv,tot_1250_1499_lab,tot_1250_1499_idns,tot_1250_1499_tot,tot_1500_1749_mng,tot_1500_1749_pro,tot_1500_1749_tectw,tot_1500_1749_copsw,tot_1500_1749_claw,tot_1500_1749_swks,tot_1500_1749_maopdv,tot_1500_1749_lab,tot_1500_1749_idns,tot_1500_1749_tot,tot_1750_1999_mng,tot_1750_1999_pro,tot_1750_1999_tectw,tot_1750_1999_copsw,tot_1750_1999_claw,tot_1750_1999_swks,tot_1750_1999_maopdv,tot_1750_1999_lab,tot_1750_1999_idns,tot_1750_1999_tot,lga_name16
10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,10,0,0,3,6,0,19,0,36,0,68,0,0,0,10,0,6,0,0,0,16,0,0,3,4,0,3,0,0,0,14,0,0,9,6,0,0,0,0,0,19,0,0,3,4,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,4,0,0,4,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Blayney (A)
10900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,8,0,5,0,0,0,12,0,0,3,6,0,3,4,9,3,25,11,21,20,195,29,215,16,174,3,689,0,16,7,111,14,120,9,56,0,337,3,5,25,75,4,30,0,27,0,172,4,4,38,59,8,40,3,12,0,177,6,5,37,51,5,24,0,12,0,148,0,3,17,21,9,7,0,3,0,64,5,9,11,18,3,6,0,3,0,46,0,0,0,3,0,0,0,0,0,13,0,0,3,3,0,3,0,0,0,10,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,3,Blue Mountains (C)
10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,14,0,3,0,13,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bogan (A)
11100,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,5,3,3,3,32,0,3,0,13,3,14,0,0,9,38,3,25,25,76,26,306,19,80,14,562,5,26,22,60,44,215,22,74,9,478,6,17,34,44,24,138,21,62,7,352,4,11,62,55,33,95,21,76,3,357,5,13,82,26,36,85,31,43,3,328,14,19,49,22,20,29,20,19,7,197,10,8,23,14,33,16,10,11,3,134,4,15,20,3,6,4,3,8,0,71,3,3,5,0,4,0,0,3,0,18,0,0,0,0,0,3,0,0,0,9,0,3,0,0,0,0,0,0,0,5,Botany Bay (C)
11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,0,0,5,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bourke (A)
11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Brewarrina (A)
14300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,11,0,9,0,27,0,0,0,6,0,6,0,7,0,16,0,0,3,4,0,3,0,0,0,10,0,0,3,3,0,0,0,0,0,11,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junee (A)
14350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,6,0,0,0,18,0,0,0,6,0,5,0,4,4,22,0,0,0,32,11,128,0,80,4,261,0,0,4,12,0,22,0,17,0,48,0,0,3,15,3,4,0,9,0,35,0,0,23,9,0,11,0,5,0,48,0,0,16,10,0,4,0,4,0,39,4,0,7,9,5,0,0,3,0,26,0,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,6,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Kempsey (A)
11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,3,0,0,4,0,0,0,12,0,0,0,3,0,0,0,3,0,6,0,5,3,23,0,71,5,29,3,132,0,0,0,8,0,19,0,7,0,38,0,0,6,0,0,3,0,5,0,11,0,0,14,3,0,3,0,0,0,15,3,3,9,8,3,4,0,0,4,29,0,4,7,3,4,0,0,0,0,24,0,0,4,5,3,0,0,0,0,9,0,8,0,0,0,0,4,0,0,10,0,4,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Broken Hill (C)
13910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,13,0,0,0,3,0,4,0,3,0,13,0,0,4,20,4,77,0,47,3,156,0,0,0,5,3,12,0,11,0,43,3,0,6,11,3,3,0,4,0,32,4,0,23,3,0,4,0,4,0,35,0,0,17,10,3,0,0,0,0,31,0,3,5,6,3,3,0,3,0,22,0,0,5,0,3,0,0,0,0,14,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hilltops (A)
