lga_code16,fts_none_mng,fts_none_pro,fts_none_tectw,fts_none_copsw,fts_none_claw,fts_none_swks,fts_none_maopdv,fts_none_lab,fts_none_idns,fts_none_tot,fts_1_15_mng,fts_1_15_pro,fts_1_15_tectw,fts_1_15_copsw,fts_1_15_claw,fts_1_15_swks,fts_1_15_maopdv,fts_1_15_lab,fts_1_15_idns,fts_1_15_tot,fts_16_24_mng,fts_16_24_pro,fts_16_24_tectw,fts_16_24_copsw,fts_16_24_claw,fts_16_24_swks,fts_16_24_maopdv,fts_16_24_lab,fts_16_24_idns,fts_16_24_tot,fts_25_34_mng,fts_25_34_pro,fts_25_34_tectw,fts_25_34_copsw,fts_25_34_claw,fts_25_34_swks,fts_25_34_maopdv,fts_25_34_lab,fts_25_34_idns,fts_25_34_tot,fts_35_39_mng,fts_35_39_pro,fts_35_39_tectw,fts_35_39_copsw,fts_35_39_claw,fts_35_39_swks,fts_35_39_maopdv,fts_35_39_lab,fts_35_39_idns,fts_35_39_tot,fts_40_mng,fts_40_pro,fts_40_tectw,fts_40_copsw,fts_40_claw,fts_40_swks,fts_40_maopdv,fts_40_lab,fts_40_idns,fts_40_tot,fts_41_48_mng,fts_41_48_pro,fts_41_48_tectw,fts_41_48_copsw,fts_41_48_claw,fts_41_48_swks,fts_41_48_maopdv,fts_41_48_lab,fts_41_48_idns,fts_41_48_tot,fts_49mo_mng,fts_49mo_pro,fts_49mo_tectw,fts_49mo_copsw,fts_49mo_claw,fts_49mo_swks,fts_49mo_maopdv,fts_49mo_lab,fts_49mo_idns,fts_49mo_tot,fts_ns_mng,fts_ns_pro,fts_ns_tectw,fts_ns_copsw,fts_ns_claw,fts_ns_swks,fts_ns_maopdv,fts_ns_lab,fts_ns_idns,fts_ns_tot,fts_tot_mng,fts_tot_pro,fts_tot_tectw,fts_tot_copsw,fts_tot_claw,fts_tot_swks,fts_tot_maopdv,fts_tot_lab,fts_tot_inad_des_tot,fts_tot_tot,pts_none_mng,pts_none_pro,pts_none_tectw,pts_none_copsw,pts_none_claw,pts_none_swks,pts_none_maopdv,pts_none_lab,pts_none_idns,pts_none_tot,pts_1_15_mng,pts_1_15_pro,pts_1_15_tectw,pts_1_15_copsw,pts_1_15_claw,pts_1_15_swks,pts_1_15_maopdv,pts_1_15_lab,pts_1_15_idns,pts_1_15_tot,pts_16_24_mng,pts_16_24_pro,pts_16_24_tectw,pts_16_24_copsw,pts_16_24_claw,pts_16_24_swks,pts_16_24_maopdv,pts_16_24_lab,pts_16_24_idns,pts_16_24_tot,pts_25_34_mng,pts_25_34_pro,pts_25_34_tectw,pts_25_34_copsw,pts_25_34_claw,pts_25_34_swks,pts_25_34_maopdv,pts_25_34_lab,pts_25_34_idns,pts_25_34_tot,pts_35_39_mng,pts_35_39_pro,pts_35_39_tectw,pts_35_39_copsw,pts_35_39_claw,pts_35_39_swks,pts_35_39_maopdv,pts_35_39_lab,pts_35_39_idns,pts_35_39_tot,pts_40_mng,pts_40_pro,pts_40_tectw,pts_40_copsw,pts_40_claw,pts_40_swks,pts_40_maopdv,pts_40_lab,pts_40_idns,pts_40_tot,pts_41_48_mng,pts_41_48_pro,pts_41_48_tectw,pts_41_48_copsw,pts_41_48_claw,pts_41_48_swks,pts_41_48_maopdv,pts_41_48_lab,pts_41_48_idns,pts_41_48_tot,pts_49mo_mng,pts_49mo_pro,pts_49mo_tectw,pts_49mo_copsw,pts_49mo_claw,pts_49mo_swks,pts_49mo_maopdv,pts_49mo_lab,pts_49mo_idns,pts_49mo_tot,pts_ns_mng,pts_ns_pro,pts_ns_tectw,pts_ns_copsw,pts_ns_claw,pts_ns_swks,pts_ns_maopdv,pts_ns_lab,pts_ns_idns,pts_ns_tot,pts_tot_mng,pts_tot_pro,pts_tot_tectw,pts_tot_copsw,pts_tot_claw,pts_tot_swks,pts_tot_maopdv,pts_tot_lab,pts_tot_inad_des_tot,pts_tot_tot,lga_name16
10050,0,0,0,12,3,39,0,13,0,72,8,34,9,213,29,538,14,187,3,1034,3,4,3,46,9,75,0,23,0,159,3,3,4,18,6,22,0,11,0,65,0,9,10,0,3,5,0,3,0,34,0,4,3,0,0,0,0,0,0,11,0,0,3,3,0,0,0,0,0,10,0,0,0,3,0,0,0,0,0,9,4,0,0,8,4,20,0,10,13,54,20,53,48,312,55,698,15,252,19,1457,0,0,0,0,0,0,0,3,0,9,0,4,5,12,5,27,3,6,0,61,0,0,3,17,0,8,3,3,0,40,0,6,10,20,4,18,0,3,0,56,3,26,77,12,21,9,3,0,0,151,4,9,60,7,8,9,0,0,0,90,4,0,27,4,3,0,0,3,0,41,0,3,10,0,0,0,0,0,0,18,0,0,3,0,0,0,0,0,0,8,12,50,189,71,37,71,8,26,5,465,Albury (C)
10130,0,7,3,18,4,26,0,22,0,84,9,26,19,134,26,246,17,113,3,602,4,4,5,37,11,61,6,23,0,150,3,0,6,20,4,14,3,4,0,54,0,0,3,3,6,4,0,0,0,19,0,0,5,3,0,0,0,0,0,11,0,0,4,0,0,0,0,0,0,7,0,0,0,3,0,0,0,0,0,3,0,6,0,18,9,14,3,8,6,55,18,52,48,223,52,366,27,173,18,979,0,0,0,3,0,0,0,5,0,9,0,0,3,7,5,18,5,6,0,47,0,3,0,9,3,5,0,7,0,27,0,9,3,17,4,11,0,0,0,46,3,10,20,11,12,12,0,5,0,69,4,3,13,3,0,4,0,0,0,31,0,3,10,3,3,3,0,0,0,18,3,0,6,0,3,3,0,0,0,21,0,0,0,3,0,0,0,3,0,5,10,34,59,61,34,52,9,22,0,278,Armidale Regional (A)
10250,0,0,0,4,0,23,0,10,0,42,0,10,4,101,19,276,11,139,0,562,0,0,4,29,3,37,0,17,0,87,0,3,0,8,4,5,3,7,0,32,0,0,0,3,5,0,0,0,0,12,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8,0,3,3,11,4,10,17,149,31,348,16,168,3,750,0,0,0,3,0,4,0,0,0,6,0,0,5,8,0,11,0,11,3,35,0,0,0,4,0,13,0,3,0,30,0,0,5,12,0,10,0,4,0,32,3,0,41,6,7,7,0,0,0,67,4,0,23,0,0,0,0,4,0,32,0,4,4,0,0,0,0,0,0,15,0,0,7,0,0,5,3,0,0,14,0,0,0,0,0,0,0,0,0,3,5,3,97,33,16,44,0,17,3,232,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,11,Balranald (A)
10470,0,4,5,22,0,31,0,10,4,79,16,28,8,223,26,308,4,147,8,772,3,5,6,54,4,58,4,23,0,154,3,5,0,23,0,16,0,5,0,70,0,3,10,3,0,5,0,3,0,30,0,3,3,3,0,0,0,3,0,14,0,0,4,3,0,0,0,0,0,5,0,0,3,4,0,0,0,0,0,5,0,3,0,18,0,7,0,5,16,57,26,54,37,360,39,435,10,198,22,1185,0,0,0,5,0,0,0,0,0,12,0,7,0,11,3,10,0,6,0,41,0,3,0,22,0,12,0,6,0,39,0,6,5,13,3,8,0,4,0,45,0,8,36,14,3,9,0,3,0,76,0,14,44,7,7,3,0,0,0,78,0,0,19,3,4,0,0,0,0,34,5,3,14,0,0,0,0,0,0,23,0,0,4,0,0,0,0,0,0,5,8,34,132,78,26,43,3,24,0,350,Bathurst Regional (A)
10550,0,0,0,3,0,11,0,9,0,30,0,0,9,57,5,180,0,88,3,352,0,0,3,8,0,8,0,6,0,25,0,0,0,3,0,3,0,0,0,7,0,0,9,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,3,6,16,3,0,26,82,5,213,0,109,13,446,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,0,0,17,0,0,0,0,0,6,0,0,0,13,0,3,3,3,0,3,0,3,0,19,0,4,28,7,4,3,0,3,0,50,0,0,21,0,3,3,0,3,0,26,3,0,3,0,3,0,0,0,0,14,0,0,11,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,3,3,12,65,22,13,24,0,15,0,153,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,5,0,0,3,20,3,40,4,36,4,108,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,3,4,3,29,3,45,4,42,4,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,9,0,0,9,0,3,0,0,0,0,12,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,18,3,3,0,0,4,0,31,Bellingen (A)
10650,0,0,0,0,0,3,0,0,0,4,0,0,0,11,0,23,5,20,0,61,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,16,0,27,0,19,3,80,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,4,0,0,4,3,0,0,0,0,0,13,0,0,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,6,3,4,0,4,0,41,Berrigan (A)
10750,6,12,9,31,8,141,8,65,3,282,29,161,62,502,168,1851,87,743,30,3635,29,57,45,218,81,528,97,230,21,1297,19,18,13,70,18,117,11,55,0,328,15,13,30,21,14,23,5,8,5,119,8,15,30,18,10,14,6,5,0,97,4,6,12,3,3,4,6,4,0,40,3,0,3,7,3,3,0,3,3,28,3,3,4,26,12,43,4,16,37,150,110,280,209,890,325,2709,223,1133,99,5980,0,0,6,5,3,4,0,3,3,30,3,19,14,46,18,84,13,48,3,246,9,11,16,55,28,67,33,43,0,258,9,20,38,40,17,35,9,10,0,181,5,20,171,48,30,24,18,13,3,335,13,17,205,44,23,13,10,10,7,337,3,7,79,13,11,10,0,3,0,128,7,12,67,11,3,3,3,7,0,107,0,0,12,0,6,8,0,0,12,52,55,111,600,257,142,252,92,138,31,1674,Blacktown (C)
10800,0,0,0,0,0,0,0,5,0,7,4,0,0,3,0,16,0,19,0,44,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,4,3,3,6,0,19,5,27,3,66,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,0,3,0,0,0,0,11,3,0,3,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,3,4,3,0,3,0,30,Bland (A)
