LGA_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,LGA_NAME11
15900,60042,63184,123226,27429,15532,42961,7229,15722,22951,2086,2261,4347,2373,1910,4283,39117,35425,74542,17597,24830,42427,6.1,5.4,5.7,65.2,56.1,60.5,61.2,53.0,57.0,2411,2083,4494,709,1224,1933,7841,9987,17828,3995,5465,9460,15718,8407,24125,56856,59310,116166,11659,12084,23743,37027,39021,76048,27424,28522,55946,Newcastle (C)
15950,26183,29172,55355,15440,12747,28187,2821,5082,7903,714,988,1702,743,702,1445,19718,19519,39237,4035,7349,11384,3.8,3.6,3.7,75.3,66.9,70.9,72.5,64.5,68.3,3576,3428,7004,686,1125,1811,8688,9542,18230,2342,3444,5786,2266,1868,4134,20116,22551,42667,6424,7050,13474,9821,11565,21386,15454,16718,32172,North Sydney (A)
16100,2102,1922,4024,1060,443,1503,169,493,662,88,64,152,60,57,117,1377,1057,2434,637,776,1413,4.4,5.4,4.8,65.5,55.0,60.5,62.7,52.0,57.6,33,41,74,18,20,38,87,169,256,87,144,231,643,296,939,2107,1975,4082,304,301,605,1529,1454,2983,727,679,1406,Oberon (A)
16150,14236,15396,29632,7272,4052,11324,1371,3519,4890,463,570,1033,419,380,799,9525,8521,18046,3822,6107,9929,4.4,4.5,4.4,66.9,55.4,60.9,64.0,52.9,58.2,356,275,631,150,244,394,1245,1878,3123,797,1383,2180,3913,2467,6380,14128,15029,29157,3052,3237,6289,9066,9646,18712,6771,7351,14122,Orange (C)
16180,5641,5618,11259,3062,1921,4983,695,1448,2143,222,275,497,120,88,208,4099,3732,7831,1194,1601,2795,2.9,2.4,2.7,72.7,66.4,69.6,70.5,64.9,67.7,398,304,702,158,252,410,708,987,1695,444,618,1062,1436,730,2166,5848,5817,11665,850,884,1734,3869,3800,7669,2426,2500,4926,Palerang (A)
16200,5540,5777,11317,2578,1269,3847,482,1272,1754,212,217,429,169,142,311,3441,2900,6341,1697,2508,4205,4.9,4.9,4.9,62.1,50.2,56.0,59.1,47.7,53.3,51,54,105,38,40,78,251,492,743,191,388,579,1531,916,2447,5746,5907,11653,895,954,1849,3968,4045,8013,2192,2351,4543,Parkes (A)
16250,67322,67981,135303,31103,18758,49861,8042,11925,19967,2213,2108,4321,2838,2702,5540,44196,35493,79689,18454,28300,46754,6.4,7.6,7.0,65.6,52.2,58.9,61.4,48.2,54.8,5600,4487,10087,790,1049,1839,11158,12428,23586,5604,6450,12054,11185,6339,17524,64679,65817,130496,12014,11745,23759,40096,41440,81536,31136,30926,62062,Parramatta (C)
16350,68295,71463,139758,37580,21376,58956,6439,16341,22780,2779,2710,5489,2596,2461,5057,49394,42888,92282,15550,25331,40881,5.3,5.7,5.5,72.3,60.0,66.0,68.5,56.6,62.4,1220,1192,2412,449,749,1198,4539,6653,11192,4108,5781,9889,19739,11076,30815,72809,75064,147873,9702,10339,20041,50900,52320,103220,25613,27189,52802,Penrith (C)
16370,22061,23665,45726,11158,5809,16967,3127,6977,10104,776,839,1615,518,516,1034,15579,14141,29720,5475,8496,13971,3.3,3.6,3.5,70.6,59.8,65.0,68.3,57.6,62.7,1245,977,2222,311,655,966,3932,4395,8327,2345,3487,5832,5523,2775,8298,22791,24070,46861,3627,3840,7467,15388,16136,31524,9394,10032,19426,Pittwater (A)
16380,28348,31404,59752,9725,5780,15505,3483,6946,10429,796,896,1692,1160,887,2047,15164,14509,29673,11699,15446,27145,7.6,6.1,6.9,53.5,46.2,49.7,49.4,43.4,46.2,484,383,867,295,448,743,2110,2951,5061,1874,2932,4806,8898,5295,14193,27674,30018,57692,5356,5886,11242,17737,19155,36892,13411,14872,28283,Port Macquarie-Hastings (A)
16400,25454,26721,52175,10798,5128,15926,2667,6261,8928,885,871,1756,910,857,1767,15260,13117,28377,8662,12175,20837,6.0,6.5,6.2,60.0,49.1,54.4,56.4,45.9,51.0,394,342,736,170,319,489,1548,2222,3770,1762,2287,4049,8528,4492,13020,25350,26199,51549,4454,4753,9207,16445,17174,33619,11474,11922,23396,Port Stephens (A)
16470,15112,15185,30297,8903,5965,14868,1541,3321,4862,618,736,1354,344,279,623,11406,10301,21707,2781,4158,6939,3.0,2.7,2.9,75.5,67.8,71.6,73.2,66.0,69.6,868,578,1446,276,396,672,1594,2177,3771,1172,1484,2656,3644,2116,5760,14875,14944,29819,2884,3000,5884,9410,9447,18857,7162,7342,14504,Queanbeyan (C)
16550,53353,56134,109487,24104,17759,41863,6214,11392,17606,1631,1924,3555,1955,1679,3634,33904,32754,66658,15153,19382,34535,5.8,5.1,5.5,63.5,58.3,60.9,59.9,55.4,57.6,4843,4657,9500,744,1400,2144,11048,13325,24373,3745,5524,9269,7957,4309,12266,45660,48763,94423,10843,11678,22521,27257,29866,57123,25862,27339,53201,Randwick (C)
16610,8551,8897,17448,3201,1588,4789,884,1840,2724,304,277,581,400,305,705,4789,4010,8799,3264,4434,7698,8.4,7.6,8.0,56.0,45.1,50.4,51.3,41.6,46.4,59,61,120,43,84,127,331,595,926,304,534,838,2370,1399,3769,8795,9002,17797,1423,1511,2934,6025,6041,12066,3470,3778,7248,Richmond Valley (A)
16650,39445,40967,80412,17831,11603,29434,5166,7514,12680,1455,1385,2840,1497,1326,2823,25949,21828,47777,10666,16629,27295,5.8,6.1,5.9,65.8,53.3,59.4,62.0,50.0,55.9,2219,1956,4175,362,519,881,5723,6482,12205,3471,4119,7590,7099,4080,11179,38445,39821,78266,5928,6019,11947,25196,26585,51781,16341,16573,32914,Rockdale (C)
16700,41141,44782,85923,20228,13366,33594,4932,9199,14131,1192,1388,2580,1536,1523,3059,27888,25476,53364,11250,17219,28469,5.5,6.0,5.7,67.8,56.9,62.1,64.1,53.5,58.5,4060,3614,7674,665,1059,1724,8983,10236,19219,3702,4725,8427,6593,3813,10406,39986,42508,82494,7280,7784,15064,25950,27871,53821,18403,19604,38007,Ryde (C)
16900,24215,25829,50044,11470,5303,16773,2398,6337,8735,962,941,1903,1024,960,1984,15854,13541,29395,7369,11314,18683,6.5,7.1,6.7,65.5,52.4,58.7,61.2,48.7,54.8,293,259,552,136,262,398,1203,1927,3130,1488,2017,3505,8033,4621,12654,26131,27156,53287,3587,3918,7505,18466,19117,37583,9280,10075,19355,Shellharbour (C)
16950,37358,39052,76410,12460,6371,18831,4075,8564,12639,1179,1201,2380,1602,1196,2798,19316,17332,36648,15653,19438,35091,8.3,6.9,7.6,51.7,44.4,48.0,47.4,41.3,44.3,596,565,1161,308,673,981,2332,3342,5674,2376,3264,5640,12124,6251,18375,36212,37824,74036,6034,6490,12524,24937,25757,50694,14984,16194,31178,Shoalhaven (C)
17000,9069,8599,17668,5516,2150,7666,754,2237,2991,410,330,740,171,223,394,6851,4940,11791,1757,3308,5065,2.5,4.5,3.3,75.6,57.5,66.7,73.7,54.9,64.5,105,91,196,52,95,147,553,793,1346,487,655,1142,3125,1595,4720,9250,8927,18177,1741,1583,3324,6109,5891,12000,4108,3939,8047,Singleton (A)
17050,3210,2811,6021,1590,979,2569,392,680,1072,127,101,228,51,33,84,2160,1793,3953,608,711,1319,2.4,1.8,2.1,67.3,63.8,65.7,65.7,62.6,64.3,66,69,135,40,61,101,244,358,602,204,298,502,1043,445,1488,2817,2495,5312,602,585,1187,1869,1656,3525,1336,1223,2559,Snowy River (A)
17350,2252,2346,4598,1024,446,1470,191,567,758,73,72,145,71,44,115,1359,1129,2488,809,1119,1928,5.2,3.9,4.6,60.3,48.1,54.1,57.2,46.2,51.6,13,16,29,13,35,48,111,209,320,71,132,203,612,332,944,2436,2457,4893,321,319,640,1841,1844,3685,738,774,1512,Temora (A)
17400,2728,2785,5513,1013,494,1507,301,608,909,83,86,169,113,76,189,1510,1264,2774,1016,1359,2375,7.5,6.0,6.8,55.4,45.4,50.3,51.2,42.7,46.9,23,21,44,24,47,71,122,229,351,115,197,312,719,392,1111,2803,2846,5649,343,362,705,1937,1935,3872,1026,1093,2119,Tenterfield (A)
17420,65185,68394,133579,36300,20484,56784,7776,18216,25992,2113,2463,4576,2021,1762,3783,48210,42925,91135,15066,23573,38639,4.2,4.1,4.2,74.0,62.8,68.2,70.9,60.2,65.4,4877,3535,8412,1044,1523,2567,12975,14319,27294,6310,8506,14816,13907,7456,21363,71603,73378,144981,9173,9522,18695,49593,50947,100540,26158,27212,53370,The Hills Shire (A)
17450,1476,1260,2736,657,261,918,130,304,434,52,39,91,46,50,96,885,654,1539,522,555,1077,5.2,7.6,6.2,60.0,51.9,56.3,56.9,47.9,52.8,9,12,21,16,22,38,64,107,171,72,87,159,359,204,563,1375,1294,2669,199,204,403,997,944,1941,486,483,969,Tumbarumba (A)
17500,4363,4363,8726,2195,937,3132,386,1051,1437,163,128,291,143,132,275,2887,2248,5135,1277,1914,3191,5.0,5.9,5.4,66.1,51.5,58.8,62.9,48.5,55.7,37,29,66,25,36,61,210,353,563,214,305,519,1264,695,1959,4539,4440,8979,676,682,1358,3303,3168,6471,1583,1658,3241,Tumut Shire (A)
17550,33343,36602,69945,11272,6226,17498,4376,8616,12992,1097,1077,2174,1649,1289,2938,18394,17208,35602,12957,17277,30234,9.0,7.5,8.3,55.2,47.0,50.9,50.2,43.5,46.7,477,502,979,291,545,836,2305,3589,5894,2004,3170,5174,9900,5287,15187,32716,35125,67841,5766,6495,12261,21332,22565,43897,14817,16738,31555,Tweed (A)
17620,5382,5466,10848,2941,1366,4307,442,1353,1795,240,186,426,126,117,243,3749,3022,6771,1360,2174,3534,3.4,3.9,3.6,69.7,55.3,62.4,67.3,53.1,60.2,49,60,109,28,55,83,260,530,790,241,386,627,1627,923,2550,5436,5483,10919,1035,1025,2060,3704,3663,7367,2302,2401,4703,Upper Hunter Shire (A)
17640,2953,2929,5882,1509,722,2231,317,722,1039,90,115,205,53,54,107,1969,1613,3582,851,1204,2055,2.7,3.3,3.0,66.7,55.0,60.9,64.9,53.2,59.1,61,48,109,25,59,84,194,296,490,173,267,440,818,443,1261,3102,3062,6164,336,373,709,2326,2255,4581,950,1003,1953,Upper Lachlan Shire (A)
17650,2343,2420,4763,1074,556,1630,272,664,936,87,82,169,72,73,145,1505,1375,2880,735,956,1691,4.8,5.3,5.0,64.2,56.8,60.5,61.2,53.8,57.4,82,77,159,26,56,82,178,284,462,153,239,392,639,394,1033,2497,2558,5055,334,359,693,1804,1785,3589,862,964,1826,Uralla (A)
17700,488,427,915,237,99,336,37,92,129,18,11,29,5,9,14,297,211,508,154,193,347,1.7,4.3,2.8,61.0,49.2,55.5,60.0,47.1,53.9,3,5,8,3,0,3,11,33,44,10,24,34,101,56,157,520,470,990,44,33,77,407,357,764,122,105,227,Urana (A)
17750,22661,24224,46885,12229,6645,18874,2334,6091,8425,858,913,1771,754,761,1515,16175,14410,30585,5572,8930,14502,4.7,5.3,5.0,71.4,59.5,65.2,68.1,56.3,62.0,586,502,1088,238,406,644,1936,3120,5056,1286,1846,3132,6541,4067,10608,22393,23739,46132,5138,5326,10464,14101,14875,28976,11502,12249,23751,Wagga Wagga (C)
17800,1670,1592,3262,798,323,1121,131,376,507,66,65,131,34,33,67,1029,797,1826,518,696,1214,3.3,4.1,3.7,61.6,50.1,56.0,59.5,48.0,53.9,13,5,18,10,25,35,52,157,209,69,126,195,366,202,568,1654,1581,3235,228,239,467,1267,1176,2443,509,550,1059,Wakool (A)
17850,1230,1231,2461,643,295,938,125,302,427,41,43,84,36,25,61,845,665,1510,342,519,861,4.3,3.8,4.0,68.8,54.0,61.4,65.8,52.0,58.9,12,10,22,4,20,24,66,118,184,76,90,166,312,178,490,1268,1294,2562,183,169,352,958,948,1906,407,424,831,Walcha (A)
17900,2799,2283,5082,968,578,1546,201,385,586,96,89,185,140,60,200,1405,1112,2517,1095,982,2077,10.0,5.4,7.9,50.2,48.7,49.5,45.2,46.1,45.6,18,20,38,5,24,29,99,226,325,100,142,242,558,295,853,2747,2354,5101,382,346,728,1991,1612,3603,895,845,1740,Walgett (A)
17950,1131,1051,2182,635,269,904,59,242,301,47,52,99,38,40,78,779,603,1382,291,400,691,4.9,6.6,5.6,68.8,57.4,63.3,65.4,53.6,59.7,0,8,8,6,14,20,57,110,167,45,80,125,230,121,351,1098,1120,2218,203,182,385,815,800,1615,404,406,810,Warren (A)
18000,54444,57986,112430,29364,16907,46271,6831,15376,22207,1743,2061,3804,1406,1202,2608,39344,35546,74890,12777,20160,32937,3.6,3.4,3.5,72.3,61.3,66.6,69.7,59.2,64.3,2960,2582,5542,845,1407,2252,10034,11434,21468,5499,7810,13309,12785,6594,19379,55799,58164,113963,9677,10008,19685,36673,38699,75372,24279,25243,49522,Warringah (A)
18020,3775,3878,7653,1493,746,2239,311,820,1131,129,119,248,167,109,276,2100,1794,3894,1408,1826,3234,8.0,6.1,7.1,55.6,46.3,50.9,51.2,43.5,47.3,32,42,74,14,47,61,150,323,473,154,280,434,895,562,1457,3918,3898,7816,539,575,1114,2894,2842,5736,1276,1338,2614,Warrumbungle Shire (A)
18050,26195,27495,53690,13790,9745,23535,3068,5695,8763,797,939,1736,732,712,1444,18387,17091,35478,4524,7434,11958,4.0,4.2,4.1,70.2,62.2,66.1,67.4,59.6,63.4,2418,2222,4640,473,760,1233,7281,8081,15362,2151,3035,5186,3249,1888,5137,21561,22554,44115,5638,6000,11638,12443,13284,25727,12933,13575,26508,Waverley (A)
18100,1507,1469,2976,610,286,896,152,315,467,40,46,86,42,31,73,844,678,1522,582,741,1323,5.0,4.6,4.8,56.0,46.1,51.1,53.2,44.0,48.7,8,10,18,9,24,33,62,129,191,58,111,169,372,201,573,1573,1516,3089,185,206,391,1188,1140,2328,455,492,947,Weddin (A)
18150,3508,3241,6749,1210,686,1896,286,613,899,122,117,239,169,105,274,1787,1521,3308,1531,1530,3061,9.5,6.9,8.3,50.9,46.9,49.0,46.1,43.7,45.0,26,29,55,14,41,55,134,281,415,145,244,389,781,457,1238,3248,3255,6503,492,505,997,2284,2275,4559,1156,1232,2388,Wellington (A)
18200,2731,2542,5273,1288,625,1913,256,556,812,94,78,172,102,84,186,1740,1343,3083,811,1047,1858,5.9,6.3,6.0,63.7,52.8,58.5,60.0,49.5,54.9,9,17,26,23,37,60,117,243,360,121,176,297,693,339,1032,2814,2590,5404,404,417,821,2012,1801,3813,994,1004,1998,Wentworth (A)
18250,25776,28719,54495,13747,8837,22584,3124,6214,9338,746,987,1733,819,817,1636,18436,16855,35291,5989,10558,16547,4.4,4.8,4.6,71.5,58.7,64.8,68.3,55.8,61.8,3359,2894,6253,603,925,1528,7786,8331,16117,2166,3222,5388,2585,1755,4340,25258,27361,52619,5189,5639,10828,15323,16889,32212,13032,14113,27145,Willoughby (C)
18350,16944,18842,35786,7483,3885,11368,2116,4614,6730,576,585,1161,427,418,845,10602,9502,20104,5485,8538,14023,4.0,4.4,4.2,62.6,50.4,56.2,60.1,48.2,53.8,660,551,1211,224,427,651,1952,2445,4397,1318,2123,3441,4887,2643,7530,17445,18944,36389,2701,3070,5771,11678,12635,24313,7294,8213,15507,Wingecarribee (A)
18400,16461,16814,33275,9311,4575,13886,1521,4576,6097,652,653,1305,461,477,938,11945,10281,22226,3784,5848,9632,3.9,4.6,4.2,72.6,61.1,66.8,69.8,58.3,64.0,289,339,628,132,254,386,951,1724,2675,917,1562,2479,5968,2725,8693,18203,18118,36321,2331,2508,4839,12901,12830,25731,6170,6445,12615,Wollondilly (A)
18450,76938,79806,156744,33160,16719,49879,8333,19094,27427,2759,2787,5546,3472,2724,6196,47724,41324,89048,25300,34988,60288,7.3,6.6,7.0,62.0,51.8,56.8,57.5,48.4,52.9,3238,2854,6092,879,1504,2383,7998,9876,17874,5442,6982,12424,21349,11332,32681,77917,79967,157884,12072,12398,24470,54615,56171,110786,29851,30894,60745,Wollongong (C)
18500,20516,23589,44105,10527,7662,18189,2468,4518,6986,578,793,1371,533,482,1015,14106,13455,27561,4105,7724,11829,3.8,3.6,3.7,68.8,57.0,62.5,66.2,55.0,60.2,2567,2245,4812,418,696,1114,6509,7204,13713,1454,2452,3906,1611,1216,2827,17276,19732,37008,4248,4871,9119,10144,11877,22021,10217,11538,21755,Woollahra (A)
18550,56830,62591,119421,23781,12249,36030,5865,14000,19865,1959,2104,4063,2700,2387,5087,34305,30740,65045,19445,28603,48048,7.9,7.8,7.8,60.4,49.1,54.5,55.6,45.3,50.2,622,604,1226,362,612,974,2795,4632,7427,3106,4813,7919,18190,10631,28821,58587,62719,121306,9684,10568,20252,38520,41087,79607,25038,27775,52813,Wyong (A)
18710,5784,5920,11704,3158,1863,5021,701,1528,2229,240,273,513,97,95,192,4196,3759,7955,1274,1857,3131,2.3,2.5,2.4,72.6,63.5,68.0,70.9,61.9,66.3,287,249,536,125,204,329,667,955,1622,419,562,981,1498,770,2268,6034,6154,12188,948,984,1932,3970,3954,7924,2542,2715,5257,Yass Valley (A)
18750,4598,4933,9531,2069,984,3053,494,1155,1649,152,154,306,187,145,332,2902,2438,5340,1425,2219,3644,6.4,5.9,6.2,63.1,49.4,56.0,59.0,46.5,52.5,43,36,79,30,55,85,228,439,667,186,351,537,1288,712,2000,4757,4974,9731,792,885,1677,3327,3449,6776,1807,2001,3808,Young (A)
19399,525,454,979,319,166,485,46,95,141,28,32,60,7,5,12,400,298,698,104,142,246,1.8,1.7,1.7,76.3,65.6,71.4,75.0,64.5,70.1,7,3,10,0,9,9,23,49,72,27,41,68,162,77,239,524,469,993,66,63,129,390,338,728,170,149,319,Unincorporated NSW
19499,6956,4781,11737,1524,761,2285,472,530,1002,214,154,368,642,422,1064,2852,1867,4719,2238,2149,4387,22.5,22.6,22.5,41.0,39.1,40.2,31.8,30.2,31.1,162,181,343,46,67,113,599,684,1283,298,348,646,1223,578,1801,1331,813,2144,4161,3580,7741,876,478,1354,4325,3695,8020,
17100,14654,14789,29443,6663,4000,10663,2103,2808,4911,437,480,917,560,570,1130,9763,7858,17621,3717,5819,9536,5.7,7.3,6.4,66.6,53.1,59.8,62.8,49.3,56.0,1555,1087,2642,195,245,440,3260,3322,6582,1142,1384,2526,1635,1034,2669,13445,13603,27048,2726,2554,5280,8151,8532,16683,7124,6788,13912,Strathfield (A)
17150,82384,88105,170489,45305,25064,70369,9426,24410,33836,2857,3401,6258,2136,1925,4061,59724,54800,114524,19308,30134,49442,3.6,3.5,3.5,72.5,62.2,67.2,69.9,60.0,64.8,3258,2682,5940,1061,1854,2915,10985,13777,24762,7958,10812,18770,25228,11987,37215,86651,90917,177568,11521,12115,23636,61232,64342,125574,30786,32889,63675,Sutherland Shire (A)
17200,83357,74100,157457,40975,28990,69965,10019,12409,22428,2113,2287,4400,3197,2750,5947,56304,46436,102740,15286,18511,33797,5.7,5.9,5.8,67.5,62.7,65.2,63.7,59.0,61.5,8755,7912,16667,1627,1976,3603,21850,21189,43039,7061,6850,13911,7918,4559,12477,55036,49010,104046,21105,20362,41467,26053,23271,49324,47434,43646,91080,Sydney (C)
17310,21395,23101,44496,10075,5714,15789,2175,5389,7564,744,797,1541,834,695,1529,13828,12595,26423,6347,9315,15662,6.0,5.5,5.8,64.6,54.5,59.4,60.7,51.5,55.9,273,271,544,159,353,512,1332,2249,3581,1085,1866,2951,6313,3889,10202,21547,22611,44158,4152,4462,8614,14141,14892,29033,9705,10436,20141,Tamworth Regional (A)
20110,4859,4996,9855,2001,1008,3009,629,1348,1977,182,176,358,164,98,262,2976,2630,5606,1649,2151,3800,5.5,3.7,4.7,61.2,52.7,56.9,57.9,50.7,54.2,65,78,143,65,152,217,336,572,908,351,450,801,1478,728,2206,4912,5054,9966,676,699,1375,3627,3686,7313,1666,1784,3450,Alpine (S)
20260,4720,4488,9208,1923,944,2867,486,1091,1577,186,151,337,103,82,185,2698,2268,4966,1817,2001,3818,3.8,3.6,3.7,57.2,50.5,53.9,55.0,48.7,51.9,33,53,86,35,90,125,238,424,662,256,368,624,1094,657,1751,4432,4538,8970,638,666,1304,3237,3245,6482,1531,1668,3199,Ararat (RC)
20570,35638,39700,75338,16518,8590,25108,4119,10392,14511,1189,1482,2671,1392,1223,2615,23218,21687,44905,10560,16043,26603,6.0,5.6,5.8,65.2,54.6,59.6,61.2,51.5,56.1,929,916,1845,695,1137,1832,3543,5029,8572,2276,3266,5542,9025,5356,14381,34965,37797,72762,7313,8211,15524,21984,23972,45956,17398,19159,36557,Ballarat (C)
20660,46576,50658,97234,23031,12986,36017,5872,13258,19130,1613,1911,3524,1479,1238,2717,31995,29393,61388,12640,19319,31959,4.6,4.2,4.4,68.7,58.0,63.1,65.5,55.6,60.3,2892,2368,5260,1127,2114,3241,8043,9948,17991,4014,4787,8801,9984,4891,14875,48045,51277,99322,6521,6908,13429,34551,37065,71616,16705,17835,34540,Banyule (C)
20740,11969,12598,24567,4746,2153,6899,1434,2945,4379,438,426,864,330,271,601,6948,5795,12743,4265,5952,10217,4.7,4.7,4.7,58.1,46.0,51.9,55.3,43.8,49.4,166,169,335,137,289,426,820,1264,2084,764,1102,1866,3758,1677,5435,11219,11799,23018,2355,2347,4702,7170,7475,14645,5599,5914,11513,Bass Coast (S)
20830,16590,17697,34287,8120,3670,11790,1862,4808,6670,685,661,1346,526,503,1029,11193,9642,20835,4618,7305,11923,4.7,5.2,4.9,67.5,54.5,60.8,64.3,51.6,57.8,280,262,542,199,433,632,1167,1914,3081,994,1699,2693,5112,2709,7821,17048,17698,34746,2855,3161,6016,11047,11409,22456,7508,8228,15736,Baw Baw (S)
20910,34627,39190,73817,17250,8977,26227,4574,10552,15126,1046,1333,2379,929,807,1736,23799,21669,45468,9183,15697,24880,3.9,3.7,3.8,68.7,55.3,61.6,66.0,53.2,59.2,2872,2272,5144,967,1709,2676,8745,9222,17967,3479,4577,8056,4641,2787,7428,35968,39443,75411,5502,5996,11498,24472,27316,51788,14520,15658,30178,Bayside (C)
21010,5410,5859,11269,2365,1126,3491,629,1444,2073,238,222,460,162,146,308,3394,2938,6332,1808,2688,4496,4.8,5.0,4.9,62.7,50.1,56.2,59.7,47.7,53.5,77,80,157,65,130,195,320,526,846,375,487,862,1525,902,2427,5504,5747,11251,867,967,1834,3955,4129,8084,2043,2258,4301,Benalla (RC)
21110,62336,69080,131416,30746,18663,49409,8981,17836,26817,1814,2254,4068,2013,1751,3764,43554,40504,84058,15972,25786,41758,4.6,4.3,4.5,69.9,58.6,64.0,66.6,56.1,61.1,7573,5690,13263,2032,3437,5469,18049,19923,37972,5274,7345,12619,5706,4018,9724,61870,67193,129063,10900,11968,22868,41733,45905,87638,27339,29621,56960,Boroondara (C)
21180,73576,74354,147930,31366,16784,48150,8732,14018,22750,2960,2520,5480,3629,3271,6900,46687,36593,83280,21548,32730,54278,7.8,8.9,8.3,63.5,49.2,56.3,58.5,44.8,51.6,1575,1357,2932,543,821,1364,6831,8351,15182,4883,5384,10267,13392,7223,20615,74622,75571,150193,9987,9626,19613,53056,54311,107367,25910,25557,51467,Brimbank (C)
21270,2625,2597,5222,1248,473,1721,208,605,813,98,91,189,66,40,106,1620,1209,2829,888,1285,2173,4.1,3.3,3.7,61.7,46.6,54.2,59.2,45.0,52.2,13,16,29,18,59,77,112,238,350,113,158,271,649,327,976,2766,2708,5474,321,327,648,2139,2104,4243,793,779,1572,Buloke (S)
21370,14204,14918,29122,6436,3114,9550,1461,3741,5202,614,576,1190,422,325,747,8933,7756,16689,4547,6387,10934,4.7,4.2,4.5,62.9,52.0,57.3,59.9,49.8,54.7,94,119,213,118,234,352,655,1319,1974,625,1095,1720,4052,2111,6163,14844,15083,29927,2179,2297,4476,10548,10539,21087,5435,5864,11299,Campaspe (S)
21450,27791,29053,56844,15796,7500,23296,2882,8026,10908,1045,1007,2052,821,920,1741,20544,17453,37997,6000,10388,16388,4.0,5.3,4.6,73.9,60.1,66.8,71.0,56.9,63.8,407,396,803,244,549,793,1827,3009,4836,1834,2766,4600,8786,4784,13570,28817,29295,58112,5849,6290,12139,17315,17292,34607,14725,15844,30569,Cardinia (S)
21610,95252,98534,193786,52173,26196,78369,10134,23833,33967,3741,3461,7202,3598,3887,7485,69646,57377,127023,21563,37094,58657,5.2,6.8,5.9,73.1,58.2,65.5,69.3,54.3,61.7,2183,1903,4086,847,1363,2210,8058,10716,18774,7045,9412,16457,24728,13654,38382,103537,105010,208547,15577,16093,31670,65182,66024,131206,44799,46376,91175,Casey (C)
21670,5110,5312,10422,1703,752,2455,496,1116,1612,169,191,360,194,125,319,2562,2184,4746,2277,2897,5174,7.6,5.7,6.7,50.1,41.1,45.5,46.3,38.8,42.5,32,32,64,31,79,110,190,341,531,190,320,510,1469,736,2205,5216,5303,10519,644,704,1348,3791,3836,7627,1741,1884,3625,Central Goldfields (S)
21750,8135,8357,16492,3722,1721,5443,1039,2271,3310,372,351,723,204,152,356,5337,4495,9832,2398,3486,5884,3.8,3.4,3.6,65.6,53.8,59.6,63.1,52.0,57.5,86,91,177,75,149,224,461,762,1223,431,682,1113,2246,1211,3457,8458,8546,17004,1124,1189,2313,6054,6054,12108,2949,3125,6074,Colac-Otway (S)
21830,6443,6537,12980,3173,1382,4555,706,1775,2481,275,259,534,125,109,234,4279,3525,7804,1876,2748,4624,2.9,3.1,3.0,66.4,53.9,60.1,64.5,52.3,58.3,58,53,111,46,108,154,293,608,901,282,511,793,1711,883,2594,6997,6939,13936,849,856,1705,5150,5118,10268,2162,2227,4389,Corangamite (S)
