LGA_MAIN11,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P,LGA_NAME11
11350,11513,12306,23819,3697,2133,5830,2216,3689,5905,457,429,886,637,531,1168,7007,6782,13789,3721,4833,8554,9.1,7.8,8.5,60.9,55.1,57.9,55.3,50.8,53.0,357,415,772,183,344,527,1558,2219,3777,817,1565,2382,2969,1564,4533,10954,11413,22367,2309,2637,4946,7223,7288,14511,5240,5969,11209,Byron (A)
11400,4972,5042,10014,2593,1299,3892,491,1238,1729,215,190,405,116,120,236,3415,2847,6262,1399,2035,3434,3.4,4.2,3.8,68.7,56.5,62.5,66.4,54.1,60.2,98,84,182,39,93,132,323,616,939,309,446,755,1454,848,2302,5439,5455,10894,708,704,1412,3993,3960,7953,1749,1835,3584,Cabonne (A)
11700,857,722,1579,346,211,557,76,104,180,30,24,54,53,33,86,505,372,877,306,309,615,10.5,8.9,9.8,58.9,51.5,55.5,52.7,47.0,50.1,11,7,18,6,12,18,35,61,96,25,32,57,128,87,215,829,767,1596,113,122,235,627,562,1189,267,268,535,Central Darling (A)
11720,19708,20274,39982,8895,3836,12731,1747,4884,6631,803,720,1523,749,702,1451,12194,10142,22336,6460,9133,15593,6.1,6.9,6.5,61.9,50.0,55.9,58.1,46.6,52.2,157,128,285,92,164,256,782,1331,2113,792,1277,2069,6433,3508,9941,20055,20675,40730,3211,3467,6678,13917,14130,28047,7607,8323,15930,Cessnock (C)
11730,19785,20661,40446,6408,3350,9758,2242,4533,6775,664,568,1232,968,768,1736,10282,9219,19501,8563,10569,19132,9.4,8.3,8.9,52.0,44.6,48.2,47.1,40.9,43.9,223,184,407,160,255,415,1030,1598,2628,937,1403,2340,5871,3461,9332,19760,20340,40100,3240,3602,6842,13423,13784,27207,8190,8852,17042,Clarence Valley (A)
11750,1914,1743,3657,1102,463,1565,113,382,495,91,72,163,57,45,102,1363,962,2325,382,658,1040,4.2,4.7,4.4,71.2,55.3,63.6,68.2,52.7,60.8,17,12,29,6,15,21,89,137,226,46,87,133,567,260,827,1781,1670,3451,452,402,854,1132,1022,2154,929,872,1801,Cobar (A)
11800,26510,28795,55305,9765,5679,15444,3594,7095,10689,885,975,1860,1449,1082,2531,15693,14831,30524,9413,12559,21972,9.2,7.3,8.3,59.2,51.5,55.2,53.7,47.7,50.6,486,419,905,230,431,661,2233,3200,5433,1577,2637,4214,7988,4729,12717,25935,27506,53441,5402,5940,11342,16621,17414,34035,12748,13984,26732,Coffs Harbour (C)
11860,633,536,1169,410,164,574,45,149,194,35,29,64,3,8,11,493,350,843,107,171,278,0.6,2.3,1.3,77.8,65.3,72.1,77.3,63.8,71.1,4,4,8,0,18,18,37,80,117,54,54,108,151,101,252,703,608,1311,70,92,162,535,450,985,180,189,369,Conargo (A)
12000,1554,1626,3180,746,357,1103,129,351,480,59,55,114,31,32,63,965,795,1760,496,743,1239,3.2,4.0,3.6,62.1,48.9,55.3,60.1,46.9,53.3,23,20,43,10,21,31,74,165,239,64,110,174,380,205,585,1661,1749,3410,212,232,444,1264,1285,2549,505,578,1083,Coolamon (A)
14700,12153,13384,25537,6812,4587,11399,1498,3149,4647,338,451,789,337,302,639,8985,8489,17474,2693,4360,7053,3.8,3.6,3.7,73.9,63.4,68.4,71.2,61.2,65.9,1651,1389,3040,313,494,807,3684,4076,7760,1031,1565,2596,1364,1000,2364,12112,13024,25136,2378,2516,4894,7550,8265,15815,6000,6311,12311,Lane Cove (A)
