lga_code16,p_othsvs_h_0,p_othsvs_h_1_15,p_othsvs_h_16_24,p_othsvs_h_25_34,p_othsvs_h_35_39,p_othsvs_h_40,p_othsvs_h_41_48,p_othsvs_h_49_more,p_othsvs_h_ns,p_othsvs_h_tot,p_idns_h_0,p_idns_h_1_15,p_idns_h_16_24,p_idns_h_25_34,p_idns_h_35_39,p_idns_h_40,p_idns_h_41_48,p_idns_h_49_more,p_idns_h_ns,p_idns_h_tot,p_tot_h_0,p_tot_h_1_15,p_tot_h_16_24,p_tot_h_25_34,p_tot_h_35_39,p_tot_h_40,p_tot_h_41_48,p_tot_h_49_more,p_tot_h_ns,p_tot_h_tot,lga_name16
10050,29,131,119,119,210,195,114,145,17,1074,32,90,57,74,161,150,44,102,192,912,966,3114,2601,3408,4961,3915,2383,3043,426,24820,Albury (C)
10130,18,55,38,38,99,66,49,59,6,432,12,46,23,32,51,45,27,47,94,367,487,1823,1366,1590,2770,1817,1038,1956,254,13097,Armidale Regional (A)
10250,18,74,69,69,105,90,39,67,5,527,17,75,57,75,87,64,25,58,136,586,487,2094,1887,2352,2840,2077,1043,1851,277,14913,Ballina (A)
10300,0,0,3,6,7,7,4,3,0,22,0,3,0,3,9,7,0,3,11,44,28,73,81,101,128,120,52,178,28,795,Balranald (A)
10470,10,99,61,63,154,117,63,112,4,691,33,61,47,60,102,85,26,77,138,629,679,2239,1732,1969,3666,2935,1441,2448,343,17455,Bathurst Regional (A)
10550,9,54,47,42,81,77,40,63,5,419,13,47,37,44,48,44,22,60,108,428,531,1735,1391,1792,2084,1658,935,1563,244,11940,Bega Valley (A)
10600,4,22,11,21,22,16,15,20,0,127,7,23,23,20,20,12,9,14,34,160,139,599,463,594,537,430,241,523,82,3609,Bellingen (A)
10650,3,15,13,12,11,12,16,28,0,108,5,10,0,11,21,16,10,11,31,118,126,358,281,322,359,381,196,608,79,2709,Berrigan (A)
10750,87,402,379,372,845,871,378,674,59,4067,128,465,469,505,1359,1322,431,793,1225,6697,2775,10182,9683,10298,23537,21461,9536,15402,2479,105352,Blacktown (C)
10800,0,15,7,9,28,18,7,21,0,103,8,5,3,13,11,14,3,21,40,107,91,270,223,261,305,383,206,777,80,2599,Bland (A)
10850,5,7,6,8,18,9,17,18,0,97,6,12,7,6,18,18,8,16,27,123,129,284,218,250,351,344,358,923,69,2922,Blayney (A)
10900,20,126,95,95,125,110,60,92,10,738,29,120,62,52,66,101,27,67,115,651,610,3401,2707,2729,2651,2567,1257,2247,289,18452,Blue Mountains (C)
10950,0,0,7,3,4,7,4,6,0,32,0,3,4,3,5,7,0,0,19,39,40,102,91,120,158,176,152,417,33,1298,Bogan (A)
11100,24,90,90,109,237,279,112,174,12,1127,56,133,192,154,393,474,160,257,460,2283,1734,2986,4267,4786,9612,10957,5155,7025,980,47503,Botany Bay (C)
11150,0,4,0,8,6,3,0,4,0,35,3,5,4,7,7,10,0,11,20,57,31,68,61,104,234,187,83,247,28,1047,Bourke (A)
11200,0,0,3,0,3,0,0,3,0,7,3,0,0,3,0,0,0,0,9,16,18,23,28,57,92,94,36,141,22,499,Brewarrina (A)
11250,7,40,26,35,64,49,28,38,3,293,11,24,12,19,35,21,16,26,80,241,315,750,559,800,1432,1091,561,1179,163,6845,Broken Hill (C)
13910,15,49,23,25,59,42,26,33,3,273,5,45,29,26,39,35,19,42,73,311,242,820,698,873,1162,1074,594,1320,176,6958,Hilltops (A)
