lga_code16,lga_name16,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012pr,erp_2013pr,erp_2014pr,erp_2015pr,erp_2016pr,areasqkm16
15990,Northern Beaches (A),229816,230170,230208,230438,231741,233600,237084,239842,244500,248250,251696,254385,257456,260421,263503,266344,254.2074
16100,Oberon (A),5257,5269,5243,5209,5193,5179,5166,5161,5192,5207,5209,5248,5323,5351,5373,5399,3625.047
16150,Orange (C),36701,36728,36721,36501,36410,36374,36801,37401,37904,38660,39419,39818,40251,40751,41010,41384,284.2157
16200,Parkes (A),14927,14901,14807,14690,14627,14600,14643,14755,14835,14984,15083,15057,15036,15013,14984,14946,5957.6138
16260,Parramatta (C),170101,171245,172927,175370,178021,180919,185175,189684,195136,199575,203205,208363,214818,221568,228248,234968,83.8294
16350,Penrith (C),176277,176829,176610,175589,175799,176067,177280,179851,181901,182948,184589,187314,190511,193778,197678,201400,404.7016
11300,Burwood (A),30393,30682,30980,31370,31696,32199,32893,33343,33708,33835,34176,35098,36140,37201,37819,38495,7.1281
11350,Byron (A),29453,29697,29952,30141,30130,30125,30174,30347,30537,30664,30712,31099,31523,31920,32344,32790,565.8029
11400,Cabonne (A),12447,12478,12482,12506,12543,12634,12706,12799,12929,13071,13211,13339,13497,13543,13560,13625,6022.3498
11450,Camden (A),45163,47172,48441,48925,49990,50628,52178,53736,55377,56846,58439,61190,64197,68813,74329,80476,201.0281
11500,Campbelltown (C) (NSW),149192,149100,148743,147587,147220,146538,147159,148407,149986,150318,151173,152477,154338,156304,158591,161409,311.9111
11520,Canada Bay (A),61940,63077,64060,65350,66951,68309,70196,72320,75332,77709,80065,82636,85535,88535,90419,92382,19.9233
11570,Canterbury-Bankstown (A),307592,307011,306316,305670,307118,310578,316155,322404,327793,332118,335940,340522,345748,351013,356386,361551,110.2638
11600,Carrathool (A),3290,3246,3143,3054,2947,2863,2827,2784,2778,2732,2681,2671,2804,2808,2777,2803,18932.4603
11650,Central Coast (C) (NSW),294596,297530,299319,299999,301403,303051,306499,312338,316796,320361,322657,325022,327336,329815,332491,335309,1681.0695
11700,Central Darling (A),2432,2326,2218,2163,2096,2000,2003,2003,2029,2045,2059,2014,1977,1932,1920,1875,53492.1931
11720,Cessnock (C),46823,47024,47181,47266,47305,47426,48302,49303,50218,51304,52485,53348,54339,55165,55965,56762,1965.1589
11730,Clarence Valley (A),48247,48415,48509,48631,48853,49149,49524,49818,50433,50993,51287,51319,51358,51380,51383,51367,10428.6803
11750,Cobar (A),5141,5127,5082,5037,5028,5044,5042,4988,4954,4946,4883,4857,4833,4817,4789,4764,45579.3299
11800,Coffs Harbour (C),62582,63553,64574,65448,65957,66657,67567,68574,69358,70373,70972,71584,72317,73047,73773,74641,1173.7437
12000,Coolamon (A),4090,4078,4072,4066,4072,4097,4116,4145,4187,4216,4236,4282,4334,4368,4380,4403,2430.9037
12150,Coonamble (A),4797,4690,4578,4476,4394,4305,4253,4233,4223,4224,4226,4203,4181,4156,4119,4082,9916.0536
12350,Cowra (A),12989,12922,12849,12804,12774,12754,12688,12591,12548,12533,12523,12536,12520,12574,12624,12673,2808.7822
12380,Cumberland (A),171200,171580,172359,174036,177098,180403,185224,191102,195643,199981,203181,207678,212670,217226,221618,226051,71.5511
12700,Dungog (A),8338,8321,8312,8233,8263,8245,8245,8286,8415,8457,8556,8663,8799,8932,9025,9114,2249.9983
12730,Edward River (A),10074,9958,9798,9603,9440,9287,9228,9110,9072,8973,8888,8908,8916,8943,8987,8951,8883.4464
12750,Eurobodalla (A),33639,34239,34855,35326,35662,35855,36103,36301,36462,36807,37082,37163,37303,37537,37805,37968,3428.1695
12850,Fairfield (C),187825,187089,186489,185562,185740,186117,187872,190654,193557,195174,196479,198350,200499,202408,204277,206436,101.507
12870,Federation (A),12121,12141,12184,12237,12330,12497,12479,12468,12515,12520,12509,12508,12498,12488,12452,12411,5685.0486
12900,Forbes (A),10062,9995,9907,9744,9610,9540,9573,9526,9562,9495,9469,9530,9608,9698,9750,9808,4710.128
12930,Georges River (A),125777,126520,127183,128176,129490,130586,132751,135287,137979,140040,141726,144203,146718,149117,151403,153452,38.3189
12950,Gilgandra (A),4761,4730,4706,4660,4652,4618,4532,4471,4498,4529,4515,4468,4434,4392,4354,4309,4831.5057
13010,Glen Innes Severn (A),8818,8848,8870,8876,8907,8987,8919,8907,8926,8939,8911,8910,8915,8930,8939,8942,5479.977
13310,Goulburn Mulwaree (A),26401,26526,26576,26559,26615,26695,26803,27166,27654,28083,28363,28718,29153,29438,29749,30150,3220.0796
13340,Greater Hume Shire (A),10455,10331,10189,10126,10036,9999,9985,9988,10009,10060,10072,10162,10219,10319,10440,10509,5749.5185
13450,Griffith (C),24412,24377,24277,24235,24329,24450,24583,24817,25100,25264,25395,25638,25739,25998,26245,26422,1639.1728
13510,Gundagai (A),11397,11357,11292,11248,11256,11254,11201,11168,11230,11274,11308,11315,11315,11309,11307,11286,3981.4173
13550,Gunnedah (A),12306,12193,12036,11892,11792,11782,11879,11987,12151,12344,12519,12531,12510,12511,12504,12551,4987.0295
13660,Gwydir (A),5716,5652,5573,5492,5442,5428,5307,5210,5167,5131,5102,5174,5220,5253,5306,5326,9259.6542
13800,Hawkesbury (C),62412,62515,62530,62032,61698,61725,62262,63066,63618,63982,64353,64651,65082,65420,65773,66136,2775.1377
13850,Hay (A),3620,3616,3582,3538,3512,3483,3394,3292,3209,3153,3085,3028,3013,3002,2989,2975,11325.9324
16380,Port Macquarie-Hastings (A),64960,66573,67960,68987,69659,69947,71097,72528,73317,74460,75232,76266,77003,78000,78925,79905,3683.0099
16400,Port Stephens (A),58509,59506,60410,61256,61918,62132,63425,64316,65521,66447,67214,68038,68776,69587,70316,71118,858.4357
16490,Queanbeyan-Palerang Regional (A),44289,45669,47142,47783,48886,50070,51002,52141,53190,54250,54844,55498,56075,56776,57446,58128,5318.8822
16550,Randwick (C),124456,124390,124252,124088,124596,125346,128229,131136,133975,136006,137792,139949,142618,145112,147303,149276,36.3311
16610,Richmond Valley (A),21014,21213,21213,21167,21256,21728,22067,22291,22417,22597,22717,22839,22951,23047,23094,23164,3047.3748
16650,Rockdale (C),92109,92219,93370,94063,94897,95752,97790,100538,102501,103386,103481,105876,108235,110616,113173,115822,28.2078
16700,Ryde (C),98516,98711,98929,99089,99527,100344,102453,104602,105983,107319,108712,111304,113803,116244,119024,121807,40.4748
16900,Shellharbour (C),59383,60054,60815,61382,61863,62243,62916,63956,64778,65597,66218,66890,67771,68777,69625,70511,147.4211
16950,Shoalhaven (C),86856,88055,88861,89374,90173,90505,91497,92351,93754,95154,96203,97170,98063,99259,100497,101777,4566.6795
17000,Singleton (A),21066,21356,21671,21886,22254,22535,22663,22860,23063,23335,23523,23560,23573,23623,23620,23595,4892.717000000001
17040,Snowy Monaro Regional (A),19440,19571,19710,19762,19866,20008,20073,20147,20241,20335,20386,20422,20463,20504,20537,20617,15163.5461
17080,Snowy Valleys (A),15084,15018,15052,14793,14700,14684,14641,14575,14647,14728,14756,14753,14738,14719,14678,14644,8959.0028
17420,The Hills Shire (A),117301,122269,126698,130134,133214,136015,138034,141230,144388,146247,147779,149906,152307,155205,158719,162539,386.1588
