lga_code16,lga_name16,erp_2001,erp_2002,erp_2003,erp_2004,erp_2005,erp_2006,erp_2007,erp_2008,erp_2009,erp_2010,erp_2011,erp_2012pr,erp_2013pr,erp_2014pr,erp_2015pr,erp_2016pr,areasqkm16
27350,Yarra (C),68522,69415,70115,70811,71719,72808,74289,75868,77311,78430,78903,81383,84171,87571,90401,93380,19.5425
27450,Yarra Ranges (S),141674,142449,142928,142827,142928,143393,144485,145884,147663,148473,148901,149914,150960,152112,153611,155312,2468.205
27630,Yarriambiack (S),8184,8095,7982,7847,7715,7609,7505,7438,7412,7312,7183,7096,7031,6925,6829,6738,7325.797
29399,Unincorporated Vic,451,516,578,638,697,757,741,745,749,759,769,797,807,833,859,887,283.0142
30250,Aurukun (S),1074,1109,1100,1110,1098,1089,1164,1252,1315,1365,1398,1372,1350,1333,1322,1323,7423.9890000000005
30300,Balonne (S),5473,5336,5174,5000,4878,4754,4760,4786,4813,4833,4862,4791,4784,4740,4629,4480,31103.7071
30370,Banana (S),15534,15328,15136,14959,14913,15026,14883,14880,14941,14855,14812,14861,14963,14890,14749,14607,28550.1626
30410,Barcaldine (R),3483,3482,3388,3350,3359,3341,3338,3322,3303,3295,3292,3249,3232,3166,3083,2909,53382.6558
30450,Barcoo (S),454,437,408,404,381,370,364,371,360,360,363,348,333,317,297,272,61830.0907
30760,Blackall-Tambo (R),2385,2327,2218,2164,2126,2063,2076,2124,2171,2216,2257,2236,2214,2154,2037,1924,30537.2479
34710,Longreach (R),4537,4545,4447,4379,4284,4174,4174,4193,4219,4250,4296,4217,4104,4029,3815,3727,40572.2443
34770,Mackay (R),89337,91554,93642,96285,99901,103567,106026,108644,111455,113669,115960,117603,119076,119272,118771,117703,7613.2964
34800,McKinlay (S),1045,1033,993,973,951,922,963,994,1011,1044,1085,1039,989,939,872,810,40736.7989
34830,Mapoon (S),205,213,224,232,239,247,254,262,271,276,281,291,295,305,307,322,537.1003
34860,Maranoa (R),12368,12383,12436,12461,12501,12612,12770,12952,13113,13286,13437,13426,13515,13443,13305,12928,58704.3908
34880,Mareeba (S),18125,18236,18307,18353,18553,18753,19195,19737,20177,20495,20745,20979,21428,21624,21925,22157,53502.0248
35010,Moreton Bay (R),283062,291543,302027,312887,323085,331713,344545,357499,370447,381357,390051,401031,410317,419398,428542,438313,2041.4746
35250,Mornington (S),991,999,1046,1054,1067,1082,1119,1120,1158,1184,1220,1218,1206,1203,1203,1196,1247.6932
35300,Mount Isa (C),20743,20276,19997,19908,20153,20374,20711,21381,21607,21830,22079,21906,21713,21109,20384,19332,43713.0221
35600,Murweh (S),4936,4892,4848,4803,4774,4692,4665,4668,4699,4714,4731,4738,4687,4645,4534,4391,40699.7585
