LGA_MAIN11,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_u_ap_I_1or2_sty_blk_Ds,OPDs_F_u_ap_I_1or2_sty_blk_Ps,OPDs_F_u_ap_I_3_sty_blk_Dwgs,OPDs_F_u_ap_I_3_sty_blk_Psns,OPDs_F_u_ap_I_4_m_sty_blk_Ds,OPDs_F_u_ap_I_4_m_sty_blk_Ps,OPDs_Flt_un_apt_Att_house_Ds,OPDs_Flt_un_apt_Att_house_Ps,OPDs_Flt_unit_apart_Tot_Dwgs,OPDs_Flt_unit_apart_Tot_Psns,OPDs_Oth_dw_Cvn_cab_hboat_Ds,OPDs_Oth_dw_Cvn_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons,LGA_NAME11
13850,1076,2542,5,12,0,0,5,12,75,113,0,0,0,0,0,0,75,113,4,7,3,4,3,6,10,17,0,0,1166,2684,296,0,1462,2684,Hay (A)
13950,20343,61932,2891,7041,1822,5624,4713,12665,2753,6397,4297,10454,723,1767,98,212,7871,18830,11,14,0,0,60,148,71,162,15,38,33013,93627,1851,0,34864,93627,Holroyd (C)
14000,39759,120812,1622,3068,2407,6344,4029,9412,1422,2343,3231,6790,3890,8681,138,260,8681,18074,92,151,3,3,69,153,164,307,39,91,52672,148696,3148,0,55820,148696,Hornsby (A)
14100,2924,8651,75,167,369,814,444,981,429,750,402,705,250,357,4,4,1085,1816,3,5,0,0,33,70,36,75,0,0,4489,11523,439,0,4928,11523,Hunters Hill (A)
14150,16251,48770,1779,3685,1602,4548,3381,8233,1475,3273,3686,8560,2568,6090,33,82,7762,18005,0,0,0,0,143,327,143,327,9,24,27546,75359,1543,0,29089,75359,Hurstville (C)
14200,5474,14041,63,117,9,11,72,128,457,661,0,0,0,0,4,10,461,671,47,67,9,13,14,42,70,122,3,3,6080,14965,841,0,6921,14965,Inverell (A)
14250,521,1273,7,5,0,0,7,5,11,22,0,0,0,0,0,0,11,22,0,0,0,0,3,3,3,3,3,3,545,1306,223,0,768,1306,Jerilderie (A)
14300,1809,4650,53,64,0,9,53,73,9,17,0,0,0,0,0,0,9,17,0,0,0,0,3,11,3,11,13,20,1887,4771,280,0,2167,4771,Junee (A)
14350,9466,23488,467,1025,55,133,522,1158,415,651,29,43,0,0,7,6,451,700,132,223,22,55,13,16,167,294,9,21,10615,25661,2031,0,12646,25661,Kempsey (A)
14400,6029,16189,253,468,411,811,664,1279,313,486,150,245,166,225,25,35,654,991,21,47,0,3,43,76,64,126,3,9,7414,18594,1723,0,9137,18594,Kiama (A)
