lga_code_2016,num_mvs_per_dweling_0_mvs,num_mvs_per_dweling_1_mvs,num_mvs_per_dweling_2_mvs,num_mvs_per_dweling_3_mvs,num_mvs_per_dweling_4mo_mvs,num_mvs_per_dweling_tot,num_mvs_ns,total_dwelings,lga_name16
10050,1562,7433,7047,2048,886,18977,1897,20877,Albury (C)
10130,784,3903,3554,1182,614,10031,1048,11079,Armidale Regional (A)
10250,917,6261,6248,1709,787,15921,1635,17555,Ballina (A)
10300,69,241,302,124,73,810,140,951,Balranald (A)
10470,926,4795,5245,1934,1076,13982,1356,15333,Bathurst Regional (A)
10550,599,5101,5097,1549,623,12974,1432,14407,Bega Valley (A)
10600,236,1990,1856,550,247,4882,508,5387,Bellingen (A)
10650,164,1254,1145,402,204,3163,484,3649,Berrigan (A)
10750,7174,32959,38481,12869,6320,97805,7904,105709,Blacktown (C)
10800,111,714,769,341,181,2115,344,2461,Bland (A)
10850,98,762,985,428,257,2525,313,2836,Blayney (A)
10900,1900,10818,10490,3245,1735,28192,1804,29996,Blue Mountains (C)
10950,80,314,338,133,76,939,167,1112,Bogan (A)
11100,2554,7070,4712,1126,455,15911,1552,17464,Botany Bay (C)
11150,112,358,264,74,51,856,280,1135,Bourke (A)
11200,132,208,114,51,33,543,75,617,Brewarrina (A)
11250,706,3043,2289,642,254,6938,799,7738,Broken Hill (C)
13910,394,2358,2515,999,536,6808,749,7562,Hilltops (A)
14000,3005,16669,17973,5555,3056,46258,2182,48443,Hornsby (A)
14100,376,1421,1859,507,309,4473,340,4809,Hunters Hill (A)
14170,12138,33915,16752,3132,1177,67109,7182,74288,Inner West (A)
14200,422,2130,2139,764,438,5896,718,6618,Inverell (A)
14300,104,584,680,289,168,1819,275,2096,Junee (A)
14350,681,4099,3730,1286,631,10427,1405,11837,Kempsey (A)
14400,331,2489,3244,1041,568,7681,616,8293,Kiama (A)
14500,1574,12388,16919,5000,2158,38048,1623,39667,Ku-ring-gai (A)
14550,172,1393,1268,397,205,3430,472,3899,Kyogle (A)
14600,131,737,772,297,171,2105,386,2487,Lachlan (A)
14650,4246,24300,28103,9448,4960,71052,4389,75444,Lake Macquarie (C)
