lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
Migratory - Offshore - Shipping (OT),99799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4
Vincent (C),58570,147,303,98,92,124,53,22,29,4,862,194,196,164,189,161,97,28,39,6,1066,236,171,851,239,212,132,87,152,25,2096,9,10,11,25,31,15,7,25,0,141,41,23,24,60,65,24,12,22,0,266,20,43,19,19,20,12,0,15,4,147,26,56,33,26,28,14,8,17,29,239,2284,6722,1548,1188,1462,684,230,518,174,14816
Wagin (S),58610,12,6,0,0,4,3,3,0,0,25,7,4,0,10,3,3,0,0,0,23,34,14,54,22,10,5,12,22,0,168,0,0,4,0,3,0,0,0,0,12,6,0,0,3,0,0,0,5,0,19,0,0,0,0,0,0,0,0,0,0,9,0,3,5,0,3,3,0,3,27,87,69,59,40,27,16,21,29,4,366
Wandering (S),58680,7,0,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,7,8,0,14,3,5,0,11,3,3,53,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,8,26,10,17,7,10,0,16,12,5,107
Wanneroo (C),58760,610,972,480,676,661,273,143,221,52,4084,769,964,778,1498,1152,493,193,312,73,6238,1767,938,9708,2691,2191,1257,1494,1840,311,22208,93,65,105,228,279,224,109,204,16,1324,167,137,229,435,446,196,161,215,29,2020,92,146,126,115,120,61,40,106,20,824,136,168,257,244,224,208,164,276,184,1859,5885,12301,12539,7372,6966,3495,2661,3756,871,55859
Waroona (S),58820,7,14,10,10,3,7,3,3,3,51,16,19,11,17,13,0,0,10,0,81,35,12,236,55,34,7,65,36,8,491,0,0,6,0,3,7,3,9,0,28,4,0,3,9,10,4,6,3,0,42,0,0,0,0,0,0,0,0,0,6,3,4,10,10,9,3,14,15,3,60,85,123,283,126,79,31,89,75,15,899
Westonia (S),59030,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,11,4,0,22,0,0,0,3,3,0,42,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,15,24,9,6,3,8,7,0,89
Palmerston (C),72800,99,100,74,131,79,18,25,17,8,542,202,181,162,355,281,66,42,39,21,1350,476,245,2040,643,693,233,378,353,109,5174,25,27,33,62,91,39,29,35,3,345,30,24,19,90,83,36,26,40,8,364,8,13,21,22,19,9,10,25,9,138,29,32,59,45,44,34,36,50,47,377,1282,2141,2581,1631,1660,550,580,636,233,11298
Wickepin (S),59100,11,0,3,4,0,0,0,0,0,19,5,0,0,4,0,0,0,0,0,15,17,3,14,4,3,3,7,8,3,59,3,0,3,0,0,0,3,3,0,9,6,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,0,0,0,16,58,18,15,14,14,8,9,18,6,169
Wyndham-East Kimberley (S),59340,27,51,6,28,17,3,5,0,0,133,31,29,11,42,28,10,4,13,0,177,96,56,282,84,74,33,63,69,22,781,4,10,4,10,20,6,3,6,4,68,8,10,8,22,11,5,6,11,0,81,3,7,0,3,0,0,0,0,0,16,13,12,8,15,15,11,8,17,13,101,289,545,353,279,239,86,96,140,41,2065
Yalgoo (S),59350,3,0,0,0,0,0,3,0,0,10,3,0,3,0,0,0,0,0,0,13,3,3,21,4,3,0,9,6,0,47,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17,27,27,4,13,0,17,8,0,113
Williams (S),59170,14,0,0,3,0,0,3,0,0,20,11,5,0,4,8,3,0,0,0,28,26,3,21,8,14,3,13,22,0,100,7,0,3,0,0,0,0,3,0,12,4,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,0,0,0,11,0,5,3,0,0,0,0,0,12,88,54,29,26,28,6,16,31,5,281
Wiluna (S),59250,0,0,0,0,3,0,3,0,0,10,0,0,0,4,0,3,3,0,0,17,5,0,65,3,3,0,37,21,0,130,0,0,0,3,0,0,3,3,0,13,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,13,41,74,10,10,4,52,30,7,241
Migratory - Offshore - Shipping (NT),79799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,4,4,0,0,0,0,7,0,18
Unincorporated ACT,89399,1632,2235,684,1075,1788,423,107,233,194,8370,2484,2590,1344,2243,3054,627,177,400,339,13257,3153,2267,9060,3743,4287,1394,1039,1525,563,27020,198,174,158,375,486,262,67,183,30,1940,386,394,191,501,916,266,103,204,74,3029,207,443,130,150,238,77,33,83,48,1423,252,388,289,264,391,180,74,224,311,2371,26614,57086,14328,13494,23010,5442,2091,4248,3583,149895
No usual address (ACT),89499,0,0,3,0,0,0,0,0,0,8,0,3,0,3,3,0,0,0,3,14,0,0,5,8,9,0,3,3,0,26,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,11,47,11,21,29,7,3,8,9,139
Migratory - Offshore - Shipping (ACT),89799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unincorp. Other Territories,99399,24,15,12,12,8,6,3,8,0,88,19,15,16,36,28,4,0,11,5,131,69,20,211,64,45,11,35,43,12,503,3,3,5,12,7,3,3,11,0,48,8,7,9,19,14,5,10,7,3,78,0,0,3,3,3,0,0,3,3,18,16,10,10,17,15,9,10,23,6,110,241,214,278,195,150,48,64,111,29,1335
No usual address (OT),99499,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,8
Wongan-Ballidu (S),59310,10,7,0,8,3,0,0,0,0,30,6,3,3,0,3,3,0,0,0,21,36,0,62,15,10,3,14,11,4,160,0,0,0,0,3,3,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,3,0,6,3,0,7,0,0,0,3,0,4,16,80,64,77,30,30,22,28,28,11,348
Woodanilling (S),59320,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,7,5,0,11,3,5,0,11,0,0,38,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,15,10,5,13,7,14,11,0,101
Wyalkatchem (S),59330,3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,4,0,0,0,5,10,0,7,7,5,0,3,8,0,47,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,15,6,8,12,0,3,13,3,89
Yilgarn (S),59360,0,3,5,3,0,0,0,0,0,10,4,0,6,0,4,0,3,0,0,19,19,0,72,6,10,3,28,7,3,153,0,0,0,0,0,0,3,0,0,5,4,0,0,3,0,0,4,3,0,16,3,0,0,0,0,0,0,0,0,4,3,0,3,0,0,0,0,3,3,21,55,33,91,16,18,6,46,18,7,286
York (S),59370,18,22,5,15,8,4,0,6,0,80,15,16,6,18,11,4,0,4,0,70,44,14,109,42,26,15,31,34,0,315,5,0,0,7,10,3,0,3,0,27,0,3,4,11,3,3,11,7,0,37,0,0,0,0,0,0,3,0,0,7,17,4,0,3,3,6,3,3,0,36,143,175,133,108,87,42,45,68,7,804
No usual address (WA),59499,3,18,9,0,3,3,4,9,3,49,3,15,11,16,8,0,9,22,0,84,22,13,233,38,32,17,75,69,11,508,0,3,0,3,3,3,8,7,0,34,0,0,3,9,6,3,12,12,0,49,0,5,0,0,0,3,6,4,0,22,3,7,4,0,0,0,7,10,4,41,73,214,279,110,77,41,139,193,42,1169
Migratory - Offshore - Shipping (WA),59799,3,20,9,0,3,0,0,5,0,37,0,11,0,0,0,0,3,0,0,18,3,13,63,0,0,0,9,35,3,124,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,3,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,12,13,78,73,0,4,0,21,55,9,250
Break O'Day (M),60210,14,14,3,10,11,4,0,3,0,56,24,10,6,22,12,3,4,6,0,89,82,19,163,85,49,36,47,57,10,550,4,3,3,3,10,7,3,7,0,41,10,3,5,11,11,4,3,8,0,55,3,0,0,3,3,0,0,7,0,15,5,5,3,6,5,3,8,14,3,61,207,219,203,173,120,74,65,104,12,1181
Brighton (M),60410,20,43,10,30,25,7,0,3,3,143,76,46,27,90,84,29,3,9,5,375,176,56,708,325,210,107,136,151,27,1899,4,4,12,24,32,35,8,33,0,155,16,13,6,64,36,23,12,20,3,192,4,8,7,5,9,0,3,5,4,47,15,10,34,37,21,25,19,38,17,217,386,485,828,638,478,234,189,276,60,3567
Burnie (C),60610,35,70,19,49,33,3,7,4,6,221,51,65,32,124,78,27,9,21,7,416,235,73,707,315,231,146,201,206,45,2147,12,7,19,16,32,36,9,34,7,174,17,13,9,54,55,19,16,18,5,203,7,6,4,4,5,0,5,3,0,33,17,9,9,29,19,29,19,43,11,188,483,1029,832,669,519,281,275,346,79,4498
Barkly (R),70420,18,22,3,15,10,4,0,4,0,72,22,10,4,34,9,0,0,5,5,94,53,33,92,78,38,12,17,71,9,403,9,3,7,19,12,0,0,10,3,61,4,3,3,4,5,0,0,11,0,30,0,0,3,4,0,0,0,0,0,15,6,6,6,19,4,0,0,15,8,72,176,293,127,209,104,25,28,128,29,1124
Belyuen (S),70540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,10
Central Desert (R),70620,4,3,0,4,4,0,0,0,0,18,12,3,3,9,3,0,0,0,0,31,20,7,19,22,14,9,11,20,3,127,0,3,0,7,8,0,0,6,3,31,4,8,0,12,4,0,5,3,0,45,0,0,0,0,0,0,0,0,0,5,0,10,0,11,0,3,0,9,7,33,70,96,28,75,41,14,20,41,14,406
Coomalie (S),70700,3,6,0,0,0,0,0,0,0,15,4,0,0,9,4,3,0,0,0,22,17,12,28,11,11,4,8,11,0,105,3,0,0,3,7,0,0,0,0,14,0,0,0,0,4,3,5,3,3,15,0,0,0,0,0,0,0,0,0,0,6,0,3,3,0,4,0,3,3,32,43,60,39,32,29,14,18,25,12,275
MacDonnell (R),72330,5,13,0,6,6,0,0,3,0,39,9,9,3,12,4,0,0,4,0,37,23,26,28,46,11,12,6,34,11,195,3,8,0,24,8,3,0,5,0,53,5,3,3,10,0,0,0,4,0,26,0,0,0,3,0,0,0,0,0,10,0,13,3,18,6,3,3,11,4,64,83,175,39,154,48,17,15,66,18,620
