lga_name_2016,lga_code_2016,p_advdi_di_advdi_asde_mng,p_advdi_di_advdi_asde_pro,p_advdi_di_advdi_asde_ttw,p_advdi_di_advdi_asde_cps,p_advdi_di_advdi_asde_ca,p_advdi_di_advdi_asde_sal,p_advdi_di_advdi_asde_mod,p_advdi_di_advdi_asde_lab,p_advdi_di_advdi_asde_idns,p_advdi_di_advdi_asde_tot,p_advdi_di_dip_mng,p_advdi_di_dip_pro,p_advdi_di_dip_ttw,p_advdi_di_dip_cps,p_advdi_di_dip_ca,p_advdi_di_dip_sal,p_advdi_di_dip_mod,p_advdi_di_dip_lab,p_advdi_di_dip_idns,p_advdi_di_dip_tot,p_cert_certiii_iv_mng,p_cert_certiii_iv_pro,p_cert_certiii_iv_ttw,p_cert_certiii_iv_cps,p_cert_certiii_iv_ca,p_cert_certiii_iv_sal,p_cert_certiii_iv_mod,p_cert_certiii_iv_lab,p_cert_certiii_iv_idns,p_cert_certiii_iv_tot,p_cert_certi_ii_mng,p_cert_certi_ii_pro,p_cert_certi_ii_ttw,p_cert_certi_ii_cps,p_cert_certi_ii_ca,p_cert_certi_ii_sal,p_cert_certi_ii_mod,p_cert_certi_ii_lab,p_cert_certi_ii_idns,p_cert_certi_ii_tot,p_cert_cert_nfd_mng,p_cert_cert_nfd_pro,p_cert_cert_nfd_ttw,p_cert_cert_nfd_cps,p_cert_cert_nfd_ca,p_cert_cert_nfd_sal,p_cert_cert_nfd_mod,p_cert_cert_nfd_lab,p_cert_cert_nfd_idns,p_cert_cert_nfd_tot,p_le_id_mng,p_le_id_pro,p_le_id_ttw,p_le_id_cps,p_le_id_ca,p_le_id_sal,p_le_id_mod,p_le_id_lab,p_le_id_idns,p_le_id_tot,p_le_ns_mng,p_le_ns_pro,p_le_ns_ttw,p_le_ns_cps,p_le_ns_ca,p_le_ns_sal,p_le_ns_mod,p_le_ns_lab,p_le_ns_idns,p_le_ns_tot,p_tot_mng,p_tot_pro,p_tot_ttw,p_tot_cps,p_tot_ca,p_tot_sal,p_tot_mod,p_tot_lab,p_tot_idns,p_tot_tot
Narrogin (S),56460,16,30,5,16,7,7,3,4,3,83,24,14,10,40,17,12,4,11,0,122,51,18,193,78,42,29,31,54,3,503,8,4,7,9,7,7,9,10,0,60,13,0,8,16,10,3,0,10,0,64,0,3,0,3,3,0,3,0,0,15,8,9,10,11,4,13,3,9,4,77,172,321,245,192,106,78,56,114,12,1296
Nedlands (C),56580,65,174,16,34,85,32,4,8,12,432,67,67,20,46,71,27,11,5,7,325,85,41,156,75,45,34,6,24,14,480,4,3,5,8,15,4,0,5,0,38,25,13,5,20,30,9,0,5,0,109,14,38,3,3,15,3,0,0,8,81,21,40,12,7,16,5,3,5,18,122,1451,4270,325,394,806,315,63,119,113,7850
West Arthur (S),58890,6,0,0,0,0,0,0,0,0,9,7,3,0,5,0,0,0,3,0,18,26,4,14,7,3,3,5,8,0,70,4,0,0,0,0,0,3,3,0,12,8,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,3,5,20,85,24,19,13,18,3,9,18,4,200
Northam (S),56730,21,51,10,34,20,10,14,10,0,171,28,27,18,58,48,14,8,12,0,216,114,54,418,146,106,53,95,122,21,1124,13,4,18,19,30,18,6,18,0,120,14,8,11,26,25,12,11,11,0,115,5,3,0,9,3,0,0,3,0,29,13,5,12,14,16,13,18,28,7,135,293,487,517,337,291,125,160,215,30,2461
Sandstone (S),57630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,6,0,20
Serpentine-Jarrahdale (S),57700,66,112,57,88,83,23,30,31,4,496,113,123,95,203,162,66,41,34,10,853,332,130,1736,400,352,170,399,264,62,3846,17,3,17,28,65,34,15,29,0,209,37,14,34,51,72,37,34,27,3,304,8,11,14,17,12,7,9,15,0,84,30,28,37,31,37,24,29,34,21,272,840,1372,2075,989,944,441,620,481,111,7867
Shark Bay (S),57770,6,3,3,0,0,0,0,0,0,8,4,3,3,4,3,3,0,0,3,22,13,3,43,12,5,4,8,9,0,104,0,3,0,8,0,0,0,3,0,14,3,0,0,5,0,0,0,8,0,15,4,0,0,0,0,0,0,0,0,3,3,3,0,0,3,0,0,3,0,9,48,39,54,32,23,15,8,24,4,254
South Perth (C),57840,190,287,101,101,157,70,14,34,9,958,190,199,159,182,217,101,40,46,10,1139,298,151,826,283,279,158,91,151,48,2288,12,12,13,24,46,29,12,15,0,161,44,47,37,55,88,37,13,19,5,340,27,70,21,13,25,18,0,9,6,193,45,72,30,37,40,24,9,23,33,307,2560,6832,1580,1198,1820,826,281,518,196,15821
Stirling (C),57910,810,1354,658,679,724,354,184,251,55,5062,1008,1121,1079,1321,1064,516,291,471,85,6963,1529,835,6824,1963,1602,975,922,1219,244,16114,92,67,86,155,231,178,61,124,11,1016,222,193,190,393,483,223,107,181,23,2010,132,229,105,117,160,90,45,117,17,1018,141,262,176,216,249,167,91,186,169,1652,9943,25695,10811,7538,8477,4342,2375,3920,979,74080
Subiaco (C),57980,61,145,40,35,40,26,4,9,3,364,57,83,34,62,55,31,9,21,6,362,74,50,212,89,68,38,20,30,11,587,7,5,0,4,10,6,0,8,0,48,17,21,13,12,24,16,3,8,0,118,14,28,8,4,14,4,4,3,0,82,15,30,12,21,7,8,8,6,11,114,1176,4035,477,481,679,348,69,199,91,7562
