lga_name_2016,lga_code_2016,m_lplfs_eft_dc_0_4,m_lplfs_eft_dc_5_9,m_lplfs_eft_dc_10_12,m_lplfs_eft_dc_13_14,m_lplfs_eft_dc_15_17,m_lplfs_eft_dc_18_20,m_lplfs_eft_dc_21_24,m_lplfs_eft_t,m_lplfs_ept_dc_0_4,m_lplfs_ept_dc_5_9,m_lplfs_ept_dc_10_12,m_lplfs_ept_dc_13_14,m_lplfs_ept_dc_15_17,m_lplfs_ept_dc_18_20,m_lplfs_ept_dc_21_24,m_lplfs_ept_t,m_lplfs_eaw_dc_0_4,m_lplfs_eaw_dc_5_9,m_lplfs_eaw_dc_10_12,m_lplfs_eaw_dc_13_14,m_lplfs_eaw_dc_15_17,m_lplfs_eaw_dc_18_20,m_lplfs_eaw_dc_21_24,m_lplfs_eaw_t,m_lplfs_hns_dc_0_4,m_lplfs_hns_dc_5_9,m_lplfs_hns_dc_10_12,m_lplfs_hns_dc_13_14,m_lplfs_hns_dc_15_17,m_lplfs_hns_dc_18_20,m_lplfs_hns_dc_21_24,m_lplfs_hns_t,m_lplfs_ew_t_dc_0_4,m_lplfs_ew_t_dc_5_9,m_lplfs_ew_t_dc_10_12,m_lplfs_ew_t_dc_13_14,m_lplfs_ew_t_dc_15_17,m_lplfs_ew_t_dc_18_20,m_lplfs_ew_t_dc_21_24,m_lplfs_ew_t_t,m_lplfs_ulftw_dc_0_4,m_lplfs_ulftw_dc_5_9,m_lplfs_ulftw_dc_10_12,m_lplfs_ulftw_dc_13_14,m_lplfs_ulftw_dc_15_17,m_lplfs_ulftw_dc_18_20,m_lplfs_ulftw_dc_21_24,m_lplfs_ulftw_t,m_lplfs_ulptw_dc_0_4,m_lplfs_ulptw_dc_5_9,m_lplfs_ulptw_dc_10_12,m_lplfs_ulptw_dc_13_14,m_lplfs_ulptw_dc_15_17,m_lplfs_ulptw_dc_18_20,m_lplfs_ulptw_dc_21_24,m_lplfs_ulptw_t,m_lplfs_u_t_dc_0_4,m_lplfs_u_t_dc_5_9,m_lplfs_u_t_dc_10_12,m_lplfs_u_t_dc_13_14,m_lplfs_u_t_dc_15_17,m_lplfs_u_t_dc_18_20,m_lplfs_u_t_dc_21_24,m_lplfs_u_t_t,m_lplfs_t_lf_dc_0_4,m_lplfs_t_lf_dc_5_9,m_lplfs_t_lf_dc_10_12,m_lplfs_t_lf_dc_13_14,m_lplfs_t_lf_dc_15_17,m_lplfs_t_lf_dc_18_20,m_lplfs_t_lf_dc_21_24,m_lplfs_t_lf_t,m_lplfs_nlf_dc_0_4,m_lplfs_nlf_dc_5_9,m_lplfs_nlf_dc_10_12,m_lplfs_nlf_dc_13_14,m_lplfs_nlf_dc_15_17,m_lplfs_nlf_dc_18_20,m_lplfs_nlf_dc_21_24,m_lplfs_nlf_t,m_lplfs_lfsns_dc_0_4,m_lplfs_lfsns_dc_5_9,m_lplfs_lfsns_dc_10_12,m_lplfs_lfsns_dc_13_14,m_lplfs_lfsns_dc_15_17,m_lplfs_lfsns_dc_18_20,m_lplfs_lfsns_dc_21_24,m_lplfs_lfsns_t,m_lplfs_t_dc_0_4,m_lplfs_t_dc_5_9,m_lplfs_t_dc_10_12,m_lplfs_t_dc_13_14,m_lplfs_t_dc_15_17,m_lplfs_t_dc_18_20,m_lplfs_t_dc_21_24,m_lplfs_t_t,f_lplfs_eft_dc_0_4,f_lplfs_eft_dc_5_9,f_lplfs_eft_dc_10_12,f_lplfs_eft_dc_13_14,f_lplfs_eft_dc_15_17,f_lplfs_eft_dc_18_20,f_lplfs_eft_dc_21_24,f_lplfs_eft_t,f_lplfs_ept_dc_0_4,f_lplfs_ept_dc_5_9,f_lplfs_ept_dc_10_12,f_lplfs_ept_dc_13_14,f_lplfs_ept_dc_15_17,f_lplfs_ept_dc_18_20,f_lplfs_ept_dc_21_24,f_lplfs_ept_t,f_lplfs_eaw_dc_0_4,f_lplfs_eaw_dc_5_9,f_lplfs_eaw_dc_10_12,f_lplfs_eaw_dc_13_14,f_lplfs_eaw_dc_15_17,f_lplfs_eaw_dc_18_20,f_lplfs_eaw_dc_21_24,f_lplfs_eaw_t,f_lplfs_hns_dc_0_4,f_lplfs_hns_dc_5_9,f_lplfs_hns_dc_10_12,f_lplfs_hns_dc_13_14,f_lplfs_hns_dc_15_17,f_lplfs_hns_dc_18_20,f_lplfs_hns_dc_21_24,f_lplfs_hns_t,f_lplfs_ew_t_dc_0_4,f_lplfs_ew_t_dc_5_9,f_lplfs_ew_t_dc_10_12,f_lplfs_ew_t_dc_13_14,f_lplfs_ew_t_dc_15_17,f_lplfs_ew_t_dc_18_20,f_lplfs_ew_t_dc_21_24,f_lplfs_ew_t_t,f_lplfs_ulftw_dc_0_4,f_lplfs_ulftw_dc_5_9,f_lplfs_ulftw_dc_10_12,f_lplfs_ulftw_dc_13_14,f_lplfs_ulftw_dc_15_17,f_lplfs_ulftw_dc_18_20,f_lplfs_ulftw_dc_21_24,f_lplfs_ulftw_t,f_lplfs_ulptw_dc_0_4,f_lplfs_ulptw_dc_5_9,f_lplfs_ulptw_dc_10_12,f_lplfs_ulptw_dc_13_14,f_lplfs_ulptw_dc_15_17,f_lplfs_ulptw_dc_18_20,f_lplfs_ulptw_dc_21_24,f_lplfs_ulptw_t,f_lplfs_u_t_dc_0_4,f_lplfs_u_t_dc_5_9,f_lplfs_u_t_dc_10_12,f_lplfs_u_t_dc_13_14,f_lplfs_u_t_dc_15_17,f_lplfs_u_t_dc_18_20,f_lplfs_u_t_dc_21_24,f_lplfs_u_t_t,f_lplfs_t_lf_dc_0_4,f_lplfs_t_lf_dc_5_9,f_lplfs_t_lf_dc_10_12,f_lplfs_t_lf_dc_13_14,f_lplfs_t_lf_dc_15_17,f_lplfs_t_lf_dc_18_20,f_lplfs_t_lf_dc_21_24,f_lplfs_t_lf_t,f_lplfs_nlf_dc_0_4,f_lplfs_nlf_dc_5_9,f_lplfs_nlf_dc_10_12,f_lplfs_nlf_dc_13_14,f_lplfs_nlf_dc_15_17,f_lplfs_nlf_dc_18_20,f_lplfs_nlf_dc_21_24,f_lplfs_nlf_t,f_lplfs_lfsns_dc_0_4,f_lplfs_lfsns_dc_5_9,f_lplfs_lfsns_dc_10_12,f_lplfs_lfsns_dc_13_14,f_lplfs_lfsns_dc_15_17,f_lplfs_lfsns_dc_18_20,f_lplfs_lfsns_dc_21_24,f_lplfs_lfsns_t,f_lplfs_t_dc_0_4,f_lplfs_t_dc_5_9,f_lplfs_t_dc_10_12,f_lplfs_t_dc_13_14,f_lplfs_t_dc_15_17,f_lplfs_t_dc_18_20,f_lplfs_t_dc_21_24,f_lplfs_t_t,t_lplfs_eft_dc_0_4,t_lplfs_eft_dc_5_9,t_lplfs_eft_dc_10_12,t_lplfs_eft_dc_13_14,t_lplfs_eft_dc_15_17,t_lplfs_eft_dc_18_20,t_lplfs_eft_dc_21_24,t_lplfs_eft_t
Port Stephens (A),16400,24,57,39,33,43,10,4,213,3,7,5,15,9,0,0,40,3,0,0,3,4,0,0,14,0,0,0,4,3,0,0,10,26,63,51,54,58,14,5,275,6,6,5,3,4,0,0,28,0,0,0,3,5,0,0,5,6,6,5,4,5,0,0,36,32,72,53,60,64,18,5,311,16,23,21,23,14,0,3,113,0,3,0,0,0,0,0,7,49,105,77,85,85,20,8,434,51,118,81,86,117,31,10,496,138,276,189,114,125,24,3,872,12,11,12,10,9,6,0,62,3,14,4,0,7,0,0,30,203,413,292,215,264,61,21,1465,5,27,20,15,20,3,0,92,26,41,17,20,6,0,0,109,31,69,34,32,27,3,3,206,233,484,326,246,288,64,19,1662,427,352,183,82,100,18,5,1163,0,7,3,3,0,0,0,14,662,840,516,327,388,85,24,2843,75,173,126,119,157,50,17,716
Queanbeyan-Palerang Regional (A),16490,18,54,34,28,42,20,4,192,8,13,9,5,7,0,0,39,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,27,68,46,36,46,20,9,243,3,3,3,0,0,0,0,14,0,0,0,0,0,0,0,3,3,5,5,0,0,0,0,19,26,69,52,37,53,20,8,260,8,23,10,13,9,0,0,63,4,0,0,0,5,0,0,8,40,89,65,45,60,20,8,333,84,155,103,78,139,52,20,628,78,137,78,55,46,17,5,417,21,9,5,0,6,0,0,46,3,0,0,0,7,0,0,15,183,298,180,143,196,73,27,1101,5,13,4,3,5,0,0,27,16,22,9,3,0,0,0,50,20,35,9,3,3,3,0,78,203,331,192,146,204,70,32,1178,195,130,52,39,36,7,8,452,3,4,0,0,0,0,0,7,399,467,249,181,237,79,36,1636,100,200,136,104,182,74,27,822
Randwick (C),16550,29,70,45,34,49,32,23,282,3,16,5,11,16,5,8,72,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,10,36,86,57,45,66,40,33,362,0,6,0,0,4,0,0,10,0,0,0,0,0,0,0,6,4,6,0,0,5,0,0,19,39,91,59,47,76,37,31,379,5,11,15,11,6,8,7,64,0,0,0,0,0,0,0,0,48,106,72,57,82,43,43,443,110,275,220,144,200,144,80,1175,112,217,143,91,159,70,34,826,28,15,3,8,3,3,5,60,4,5,3,0,0,3,0,18,248,513,366,249,361,218,127,2077,9,9,9,10,15,3,5,57,17,24,13,10,7,8,3,85,23,34,25,18,19,8,11,135,272,553,385,264,380,230,130,2217,227,218,120,99,123,80,57,928,4,0,4,0,0,3,0,21,504,769,514,365,504,310,185,3162,141,341,264,179,243,178,102,1455
Richmond Valley (A),16610,3,13,14,3,16,3,0,56,0,6,9,8,8,0,0,28,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,19,22,12,22,3,0,80,3,11,6,3,5,0,0,25,0,0,0,0,0,0,0,0,3,13,6,3,5,0,0,24,7,31,29,19,21,3,0,111,12,28,14,9,13,3,0,78,4,4,0,0,5,0,0,10,23,62,42,28,42,6,0,201,21,37,33,31,42,8,4,161,31,84,64,42,38,10,3,274,5,5,8,0,4,0,0,32,0,3,0,0,0,0,0,3,61,132,97,79,87,17,8,471,7,7,4,8,10,0,0,45,6,16,3,0,10,3,0,34,11,24,14,14,19,4,0,82,67,159,107,92,106,20,8,553,231,194,96,55,58,3,0,645,4,3,0,0,0,0,0,7,302,354,208,146,157,26,8,1207,19,49,45,39,50,5,4,220
Rockdale (C),16650,15,39,38,27,51,25,20,223,7,7,6,11,14,8,3,62,0,0,0,0,4,0,0,7,0,4,0,0,3,3,0,9,31,50,43,38,72,36,23,301,0,4,7,0,0,0,0,12,0,0,0,0,0,0,0,3,0,4,5,0,0,0,0,17,32,58,48,41,72,36,29,314,6,15,17,12,10,11,6,71,0,0,0,0,0,0,0,0,37,72,68,53,87,43,34,385,78,196,128,111,184,99,41,849,128,192,143,97,134,86,33,820,25,8,0,6,4,3,3,46,3,0,6,0,6,6,5,33,238,393,283,220,331,203,81,1746,8,5,9,10,10,4,5,48,5,20,11,12,8,12,0,78,17,23,24,19,16,17,5,121,252,421,304,235,349,213,85,1869,269,281,160,99,124,60,44,1041,6,0,3,0,0,0,0,17,531,705,472,338,473,281,127,2926,101,238,165,139,240,125,61,1066
Ryde (C),16700,28,55,41,36,48,41,23,260,4,13,11,5,18,8,10,68,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,3,34,70,44,43,60,48,30,333,3,7,0,4,3,3,3,16,0,0,0,3,0,0,0,3,3,7,0,3,3,3,3,18,36,74,47,46,66,55,32,347,9,7,5,9,14,7,9,65,0,0,0,0,0,0,0,0,48,81,54,54,76,59,44,410,92,194,122,95,185,145,82,920,90,182,115,92,118,61,51,714,13,9,3,0,0,0,0,27,3,0,4,3,5,3,0,20,205,382,242,196,311,212,140,1678,6,4,3,4,7,5,3,29,10,16,16,3,7,6,0,54,14,22,16,10,16,12,0,88,216,405,256,202,327,227,139,1772,169,179,89,67,95,78,40,708,0,0,0,0,0,0,0,8,385,578,345,271,419,300,184,2481,124,249,160,127,228,186,105,1179
Shellharbour (C),16900,27,49,39,48,62,24,7,258,8,7,7,9,9,3,4,45,0,0,0,3,0,0,0,5,0,0,3,0,0,3,0,5,31,56,48,59,73,31,9,312,0,17,8,3,0,0,0,35,0,4,3,0,0,0,0,12,0,23,11,3,0,0,3,40,32,80,58,66,75,31,12,357,12,22,28,21,16,4,7,107,0,0,0,0,0,0,0,0,44,105,87,83,91,32,17,467,75,171,126,105,153,73,24,729,173,313,192,138,179,32,17,1052,23,11,7,9,11,0,0,58,5,12,4,5,0,0,0,31,276,507,332,257,350,102,45,1869,4,40,14,17,21,10,0,106,38,68,40,14,22,0,4,177,39,101,55,31,43,11,4,280,316,609,386,285,388,109,51,2153,428,336,163,108,117,26,15,1194,0,3,10,4,3,0,0,24,751,951,555,402,508,138,57,3366,99,224,166,151,211,95,36,985
Shoalhaven (C),16950,24,51,50,53,52,10,4,247,20,39,31,16,33,8,0,140,0,0,3,0,7,3,0,13,0,0,0,0,0,0,0,0,42,91,82,65,91,16,4,402,0,5,11,7,11,0,0,35,0,3,0,8,0,0,0,11,0,9,11,16,11,0,0,45,43,100,96,80,102,18,4,442,31,47,34,26,36,10,4,192,3,9,11,0,0,0,0,21,75,154,140,111,139,32,10,661,52,136,119,102,179,42,9,642,192,356,277,182,191,35,9,1245,31,14,10,9,7,0,0,68,0,15,5,3,7,0,0,33,280,525,410,289,389,78,17,1984,15,22,25,21,16,11,3,114,46,69,21,20,15,4,0,175,61,97,45,37,34,12,3,293,339,620,458,326,421,88,27,2276,579,528,299,173,162,14,7,1776,7,8,6,10,3,0,0,37,928,1161,765,512,592,100,31,4085,73,192,169,151,233,51,16,889
Singleton (A),17000,7,18,14,12,21,9,3,76,0,0,0,3,3,3,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,19,15,11,26,11,3,99,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,8,8,26,11,17,26,11,3,103,0,3,4,3,0,0,0,13,0,0,0,0,0,0,0,0,14,28,21,18,27,11,3,115,14,28,22,25,34,7,8,146,49,90,47,32,42,13,0,277,7,13,5,3,0,0,0,29,0,3,0,0,3,0,0,3,74,139,78,64,77,26,7,460,5,15,3,8,3,6,0,40,16,25,8,4,7,0,0,49,17,40,10,10,11,6,0,86,89,171,84,71,88,28,7,548,122,133,49,28,29,4,3,370,0,0,0,0,0,0,0,3,216,308,140,100,117,31,10,926,23,52,33,28,57,15,4,224
Snowy Monaro Regional (A),17040,0,10,15,10,11,0,0,45,0,3,5,0,0,0,0,11,0,0,0,0,4,0,0,4,0,4,0,0,0,0,0,4,3,14,15,15,18,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,3,0,0,5,3,12,15,15,19,0,0,64,4,3,8,6,9,0,0,37,3,0,0,0,0,0,0,4,9,23,27,17,23,3,0,103,11,22,31,17,45,14,3,141,22,64,40,30,32,0,0,195,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,41,83,70,51,75,12,3,340,0,12,5,0,3,0,0,26,9,10,3,0,0,0,0,18,5,16,7,0,3,0,0,42,49,103,84,55,81,12,3,383,59,54,31,24,14,0,0,188,0,0,0,0,3,0,0,3,110,154,114,76,92,18,3,569,18,29,43,27,51,9,3,186
Snowy Valleys (A),17080,4,5,7,5,9,0,0,35,0,4,3,3,5,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,12,5,17,0,0,56,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,4,13,16,11,19,0,0,59,4,10,3,0,3,0,0,25,3,0,0,0,0,0,0,8,8,27,15,15,22,0,0,93,9,24,30,12,24,8,0,104,26,49,36,23,17,0,0,152,6,9,0,0,0,0,0,19,0,3,3,0,0,0,0,12,36,81,67,38,45,7,0,280,0,3,3,4,0,0,0,11,0,3,3,5,0,0,0,15,3,11,3,6,4,0,0,28,39,93,74,48,50,9,0,311,74,56,40,13,20,3,3,199,0,0,0,0,0,0,0,4,112,144,109,57,66,9,0,508,7,24,35,18,41,5,0,132
The Hills Shire (A),17420,27,79,61,55,98,45,27,392,4,16,14,8,14,4,3,56,0,3,3,0,0,4,0,8,0,0,3,0,3,0,0,9,27,97,76,65,114,54,28,467,0,3,3,4,9,3,0,22,0,0,0,0,0,0,0,0,0,4,3,4,9,3,0,19,27,101,85,69,121,56,28,488,7,14,7,11,13,11,6,74,0,0,0,0,0,0,0,4,39,116,88,80,138,66,35,563,102,276,266,193,304,173,94,1400,116,257,194,152,193,98,60,1058,10,4,3,3,4,0,3,35,3,4,4,6,8,0,0,30,227,546,462,351,504,274,150,2521,6,17,13,12,16,4,0,58,19,33,14,11,10,6,4,101,20,41,30,25,29,10,7,163,252,591,488,372,534,291,156,2680,167,178,128,84,119,79,37,788,8,6,3,3,6,0,0,22,427,774,621,462,649,367,195,3498,123,353,328,245,400,220,114,1788
Tweed (A),17550,22,49,46,48,64,16,6,262,6,28,24,13,24,12,6,112,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,11,30,83,77,67,90,24,18,387,0,7,7,3,5,0,0,19,0,0,3,0,0,0,0,9,0,5,10,3,4,0,0,33,35,90,83,71,95,29,15,421,20,20,21,14,26,10,3,118,0,0,3,3,0,0,0,10,58,110,105,90,124,37,21,543,45,144,143,115,197,52,18,717,159,381,274,174,237,71,21,1319,21,18,8,11,12,4,4,67,4,6,12,4,6,3,0,42,227,549,440,301,457,128,45,2141,16,32,30,11,20,10,0,114,38,59,33,21,21,4,3,185,46,93,65,31,48,14,3,300,272,643,501,333,499,138,46,2440,400,414,209,121,152,36,10,1351,7,16,4,4,4,3,0,33,684,1069,715,465,654,178,59,3817,66,199,194,169,262,66,30,976
Upper Hunter Shire (A),17620,0,8,6,10,6,0,0,40,0,3,4,0,3,0,0,8,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,12,16,6,9,0,0,51,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,15,16,6,12,0,0,52,3,3,3,0,3,0,0,19,0,0,0,0,0,0,0,0,6,15,17,8,11,7,0,73,13,26,14,17,23,0,0,90,19,51,38,20,31,3,0,159,0,0,0,3,4,0,0,13,0,0,0,0,0,0,0,0,27,79,52,36,57,3,0,255,0,7,9,8,3,0,0,30,11,8,3,0,3,0,0,24,11,16,13,8,9,0,0,53,41,98,66,41,62,3,0,311,57,63,28,13,14,0,0,171,0,3,0,3,0,0,0,8,97,163,97,53,75,8,0,493,14,36,26,19,29,6,0,130
Upper Lachlan Shire (A),17640,0,3,9,3,0,0,0,10,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,4,4,0,0,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,7,4,3,0,0,17,0,0,3,5,4,0,0,10,0,0,0,0,0,0,0,0,0,8,11,7,7,0,0,29,3,12,0,7,7,3,0,29,10,20,15,13,10,0,0,69,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,15,28,22,19,22,3,0,105,0,3,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,8,14,28,20,17,23,3,0,115,30,19,15,9,3,0,0,84,0,0,0,0,0,0,0,3,47,51,38,31,28,6,0,202,3,15,6,8,9,3,0,42
Uralla (A),17650,4,8,7,7,4,0,0,28,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,13,11,7,4,0,0,39,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,3,14,11,7,4,0,0,38,0,0,3,3,0,0,0,11,0,0,0,0,0,0,0,0,4,14,14,11,10,0,0,51,9,13,11,9,3,3,0,36,3,19,14,7,16,0,0,59,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,3,13,27,26,17,17,3,3,103,0,3,3,3,3,0,0,10,0,3,4,0,0,0,0,9,0,7,8,3,4,0,0,23,16,38,32,15,23,3,0,127,15,25,26,3,10,3,0,81,0,0,0,0,0,0,0,0,28,65,58,23,31,8,0,209,12,15,15,13,7,3,0,66
Wagga Wagga (C),17750,22,43,38,47,46,9,3,210,6,10,9,7,11,4,0,49,0,0,4,0,0,0,0,6,0,0,0,4,0,0,0,3,32,52,46,63,60,20,3,272,0,3,8,3,0,0,0,17,0,0,0,0,3,0,0,5,0,3,8,3,3,0,0,16,30,55,52,62,58,20,4,286,11,19,15,10,10,0,0,72,3,5,3,0,0,0,0,10,51,77,73,74,73,20,3,371,56,172,121,97,182,22,13,670,122,250,124,90,120,17,0,718,18,17,6,3,4,0,0,47,5,6,0,6,4,0,0,30,199,448,260,194,310,45,20,1465,13,28,19,11,10,0,0,93,32,45,16,13,13,0,0,114,46,80,32,24,24,4,0,208,246,519,289,217,332,45,19,1676,454,320,155,110,98,14,6,1159,15,5,10,3,0,0,0,33,714,850,452,329,435,62,26,2864,84,217,155,143,228,40,17,879
Walcha (A),17850,0,4,8,3,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,4,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,3,4,0,0,17,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,10,7,4,0,0,24,0,3,3,3,0,0,0,6,3,12,4,3,4,0,0,22,0,0,3,0,0,0,0,4,3,0,0,0,0,0,0,3,7,10,10,3,8,0,0,36,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,7,6,16,14,3,8,0,0,49,13,12,4,0,3,0,0,28,0,0,0,0,0,0,0,5,13,27,22,7,9,3,0,81,0,5,8,5,4,0,0,26
Walgett (A),17900,3,0,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,8,0,3,4,0,0,3,0,6,0,0,0,0,0,0,0,0,0,3,4,0,0,3,0,6,4,4,8,0,0,3,0,18,5,4,7,0,5,0,0,22,0,3,0,0,0,0,0,5,9,13,14,0,7,3,0,49,6,22,14,9,3,0,0,53,10,23,21,4,8,0,0,62,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,8,23,46,29,9,8,3,0,124,3,14,12,0,3,0,0,24,8,7,0,3,0,0,0,19,6,16,13,5,3,0,0,48,31,66,44,19,14,3,0,174,88,76,27,21,16,3,0,235,0,3,4,3,4,0,0,16,121,144,75,41,32,3,0,420,7,29,14,9,6,0,0,62
Warren (A),17950,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,7,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,6,0,7,7,3,4,0,0,22,3,16,10,3,6,0,0,35,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,21,12,4,11,0,0,59,0,0,3,0,3,0,0,9,4,0,0,4,0,0,0,10,4,0,5,6,5,0,0,16,8,18,18,13,14,0,0,70,23,17,12,3,3,0,0,55,0,0,0,0,0,0,0,0,36,33,22,12,14,4,0,134,0,6,7,3,7,3,0,28
Warrumbungle Shire (A),18020,3,8,3,5,5,0,0,22,0,0,3,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,3,4,8,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,6,18,3,4,8,0,0,41,0,4,3,4,0,0,0,11,0,0,0,0,0,0,0,0,6,18,6,11,12,0,0,48,4,9,16,13,16,7,0,65,11,38,20,16,16,3,0,106,0,0,0,0,0,0,0,3,0,0,0,3,3,0,0,12,20,51,34,36,29,4,0,180,0,5,6,5,0,0,0,19,7,3,0,4,0,0,0,9,3,12,9,8,3,0,0,36,26,61,40,49,32,9,0,212,64,65,30,22,21,7,0,207,3,4,3,0,0,0,0,10,92,126,75,66,51,13,0,424,7,22,15,21,20,7,0,82
Waverley (A),18050,13,25,26,26,34,7,10,142,0,14,9,6,3,3,5,43,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,12,37,33,31,42,12,11,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12,41,33,31,42,16,14,191,6,11,12,3,6,3,0,42,0,0,0,0,0,0,0,0,23,50,43,39,47,24,13,227,50,144,74,46,83,56,36,478,54,122,69,57,67,34,20,421,3,3,0,0,0,0,0,13,4,0,4,0,4,0,0,9,113,265,148,98,150,88,59,925,0,3,5,6,5,3,0,20,12,20,9,4,0,0,3,41,9,20,7,10,3,3,3,62,125,285,158,110,155,93,62,982,36,63,43,19,45,24,12,228,0,3,0,0,3,0,0,16,157,353,195,123,201,119,75,1224,59,167,101,68,113,64,48,612
Weddin (A),18100,0,3,0,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,7,3,0,10,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,8,3,0,19,0,4,3,0,4,3,0,18,4,4,9,3,8,0,0,19,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,12,8,0,12,3,0,43,0,3,0,0,0,0,0,4,0,3,0,0,0,0,0,10,0,6,3,0,0,0,0,8,3,14,11,4,10,3,0,53,10,20,7,0,5,0,0,44,0,0,0,0,0,0,0,0,19,31,22,7,13,3,0,96,3,6,3,0,9,4,0,29
Wentworth (A),18200,0,5,0,3,3,0,0,13,0,0,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,3,8,0,5,3,3,0,25,6,7,0,0,3,0,0,11,0,0,0,0,0,0,0,0,7,7,4,8,6,3,0,36,4,7,4,0,7,5,0,30,6,28,21,7,19,3,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,34,27,9,25,3,0,119,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,11,0,8,0,0,0,0,0,8,15,42,28,14,25,3,0,126,40,41,20,7,3,0,0,117,3,7,3,3,0,0,0,13,60,86,49,22,31,6,0,260,3,12,11,7,7,6,0,44
Western Plains Regional (A),18230,19,41,22,16,40,6,3,155,3,15,3,5,6,0,3,39,0,0,0,0,0,0,0,3,3,6,3,0,3,0,0,12,28,68,30,21,50,6,3,208,8,7,4,3,3,0,0,21,0,8,0,3,0,0,0,11,8,17,4,3,3,0,0,34,34,81,40,27,54,8,3,235,17,24,14,9,17,0,0,89,0,3,0,3,0,0,0,10,51,113,49,41,73,8,3,331,73,166,103,79,120,23,6,573,167,227,116,79,84,15,4,693,17,4,5,3,3,3,0,38,0,7,9,11,8,0,0,38,266,409,234,167,219,40,8,1345,17,28,14,17,8,0,0,95,34,51,19,16,11,3,0,132,55,79,36,29,22,3,3,225,318,495,266,201,237,45,14,1569,436,335,165,86,85,11,3,1126,8,6,6,0,0,0,0,24,770,838,438,280,332,52,15,2723,96,216,128,90,158,25,6,725
