lga_code16,mng_nni_a_15_19,mng_nni_a_20_24,mng_nni_a_25_34,mng_nni_a_35_44,mng_nni_a_45_54,mng_nni_a_55_64,mng_nni_a_65_74,mng_nni_a_75ov,mng_nni_tot,mng_1_149_a_15_19,mng_1_149_a_20_24,mng_1_149_a_25_34,mng_1_149_a_35_44,mng_1_149_a_45_54,mng_1_149_a_55_64,mng_1_149_a_65_74,mng_1_149_a_75ov,mng_1_149_tot,mng_150_299_a_15_19,mng_150_299_a_20_24,mng_150_299_a_25_34,mng_150_299_a_35_44,mng_150_299_a_45_54,mng_150_299_a_55_64,mng_150_299_a_65_74,mng_150_299_a_75ov,mng_150_299_tot,mng_300_399_a_15_19,mng_300_399_a_20_24,mng_300_399_a_25_34,mng_300_399_a_35_44,mng_300_399_a_45_54,mng_300_399_a_55_64,mng_300_399_a_65_74,mng_300_399_a_75ov,mng_300_399_tot,mng_400_499_a_15_19,mng_400_499_a_20_24,mng_400_499_a_25_34,mng_400_499_a_35_44,mng_400_499_a_45_54,mng_400_499_a_55_64,mng_400_499_a_65_74,mng_400_499_a_75ov,mng_400_499_tot,mng_500_649_a_15_19,mng_500_649_a_20_24,mng_500_649_a_25_34,mng_500_649_a_35_44,mng_500_649_a_45_54,mng_500_649_a_55_64,mng_500_649_a_65_74,mng_500_649_a_75ov,mng_500_649_tot,mng_650_799_a_15_19,mng_650_799_a_20_24,mng_650_799_a_25_34,mng_650_799_a_35_44,mng_650_799_a_45_54,mng_650_799_a_55_64,mng_650_799_a_65_74,mng_650_799_a_75ov,mng_650_799_tot,mng_800_999_a_15_19,mng_800_999_a_20_24,mng_800_999_a_25_34,mng_800_999_a_35_44,mng_800_999_a_45_54,mng_800_999_a_55_64,mng_800_999_a_65_74,mng_800_999_a_75ov,mng_800_999_tot,mng_1000_1249_a_15_19,mng_1000_1249_a_20_24,mng_1000_1249_a_25_34,mng_1000_1249_a_35_44,mng_1000_1249_a_45_54,mng_1000_1249_a_55_64,mng_1000_1249_a_65_74,mng_1000_1249_a_75ov,mng_1000_1249_tot,mng_1250_1499_a_15_19,mng_1250_1499_a_20_24,mng_1250_1499_a_25_34,mng_1250_1499_a_35_44,mng_1250_1499_a_45_54,mng_1250_1499_a_55_64,mng_1250_1499_a_65_74,mng_1250_1499_a_75ov,mng_1250_1499_tot,mng_1500_1749_a_15_19,mng_1500_1749_a_20_24,mng_1500_1749_a_25_34,mng_1500_1749_a_35_44,mng_1500_1749_a_45_54,mng_1500_1749_a_55_64,mng_1500_1749_a_65_74,mng_1500_1749_a_75ov,mng_1500_1749_tot,mng_1750_1999_a_15_19,mng_1750_1999_a_20_24,mng_1750_1999_a_25_34,mng_1750_1999_a_35_44,mng_1750_1999_a_45_54,mng_1750_1999_a_55_64,mng_1750_1999_a_65_74,mng_1750_1999_a_75ov,mng_1750_1999_tot,mng_2000_2999_a_15_19,mng_2000_2999_a_20_24,mng_2000_2999_a_25_34,mng_2000_2999_a_35_44,mng_2000_2999_a_45_54,mng_2000_2999_a_55_64,mng_2000_2999_a_65_74,mng_2000_2999_a_75ov,mng_2000_2999_tot,mng_3000mo_a_15_19,mng_3000mo_a_20_24,mng_3000mo_a_25_34,mng_3000mo_a_35_44,mng_3000mo_a_45_54,mng_3000mo_a_55_64,mng_3000mo_a_65_74,mng_3000mo_a_75ov,mng_3000mo_tot,mng_pins_a_15_19,mng_pins_a_20_24,mng_pins_a_25_34,mng_pins_a_35_44,mng_pins_a_45_54,mng_pins_a_55_64,mng_pins_a_65_74,mng_pins_a_75ov,mng_pins_tot,mng_tot_a_15_19,mng_tot_a_20_24,mng_tot_a_25_34,mng_tot_a_35_44,mng_tot_a_45_54,mng_tot_a_55_64,mng_tot_a_65_74,mng_tot_a_75ov,mng_tot_tot,pro_nni_a_15_19,pro_nni_a_20_24,pro_nni_a_25_34,pro_nni_a_35_44,pro_nni_a_45_54,pro_nni_a_55_64,pro_nni_a_65_74,pro_nni_a_75ov,pro_nni_tot,pro_1_149_a_15_19,pro_1_149_a_20_24,pro_1_149_a_25_34,pro_1_149_a_35_44,pro_1_149_a_45_54,pro_1_149_a_55_64,pro_1_149_a_65_74,pro_1_149_a_75ov,pro_1_149_tot,pro_150_299_a_15_19,pro_150_299_a_20_24,pro_150_299_a_25_34,pro_150_299_a_35_44,pro_150_299_a_45_54,pro_150_299_a_55_64,pro_150_299_a_65_74,pro_150_299_a_75ov,pro_150_299_tot,pro_300_399_a_15_19,pro_300_399_a_20_24,pro_300_399_a_25_34,pro_300_399_a_35_44,pro_300_399_a_45_54,pro_300_399_a_55_64,pro_300_399_a_65_74,pro_300_399_a_75ov,pro_300_399_tot,pro_400_499_a_15_19,pro_400_499_a_20_24,pro_400_499_a_25_34,pro_400_499_a_35_44,pro_400_499_a_45_54,pro_400_499_a_55_64,pro_400_499_a_65_74,pro_400_499_a_75ov,pro_400_499_tot,pro_500_649_a_15_19,pro_500_649_a_20_24,pro_500_649_a_25_34,pro_500_649_a_35_44,pro_500_649_a_45_54,pro_500_649_a_55_64,pro_500_649_a_65_74,pro_500_649_a_75ov,pro_500_649_tot,pro_650_799_a_15_19,pro_650_799_a_20_24,lga_name16
10050,0,0,0,3,0,6,3,0,16,5,0,3,0,6,6,6,0,25,3,3,3,3,8,10,5,0,32,3,5,3,12,7,18,8,0,56,3,9,6,11,13,13,6,0,53,9,12,22,25,20,23,9,8,119,3,24,46,36,47,38,22,3,210,6,26,87,65,64,41,9,0,302,0,20,83,95,105,60,6,0,372,0,3,43,93,66,58,8,8,289,0,6,38,101,106,52,13,0,311,0,0,23,57,68,52,4,0,202,0,0,32,128,151,88,11,3,408,0,0,12,31,70,46,11,3,177,0,0,3,12,6,9,0,0,32,26,103,410,676,733,505,122,26,2613,0,0,0,3,0,3,0,0,15,22,0,0,3,8,4,6,0,43,12,6,15,6,8,11,0,0,60,4,7,11,11,9,11,3,0,66,4,5,22,17,13,31,4,0,101,9,18,45,62,42,39,23,4,240,0,38,Albury (C)
10130,0,0,0,5,13,13,18,0,56,3,3,0,0,6,9,7,4,30,0,0,4,9,7,9,7,8,39,3,3,0,10,18,11,23,11,76,4,5,12,21,12,13,27,9,100,3,14,11,23,26,34,20,15,140,0,26,28,25,36,53,32,11,207,0,8,47,44,36,43,28,0,209,0,12,48,75,62,35,26,9,265,0,3,30,26,48,28,14,5,154,0,4,20,28,50,36,15,3,161,0,0,14,26,26,20,3,4,93,0,0,14,57,86,62,12,3,233,0,0,0,22,41,39,11,0,115,0,0,0,9,10,8,13,9,46,21,76,231,373,478,413,243,79,1920,0,3,0,0,0,3,0,0,6,4,8,5,4,8,10,0,0,42,5,8,6,10,15,12,4,0,65,0,8,14,14,15,11,7,0,69,0,12,13,22,17,19,10,0,94,0,19,32,29,23,23,17,0,139,3,20,Armidale Regional (A)
10250,0,0,3,6,15,4,3,3,31,3,0,0,4,8,5,0,9,25,0,0,4,3,6,12,7,3,36,3,0,3,5,17,5,17,4,53,0,4,8,12,25,28,15,5,98,0,7,4,27,40,39,22,0,134,0,11,30,40,58,47,18,4,217,0,31,37,59,64,49,27,6,272,0,4,32,63,68,69,38,5,280,0,4,26,50,39,41,12,3,182,0,0,20,39,59,33,11,3,161,0,0,5,26,31,27,8,3,101,0,0,12,55,64,42,16,4,198,0,0,4,31,41,37,17,4,139,0,0,5,7,4,10,4,0,27,13,56,211,430,521,452,210,63,1962,0,0,3,0,0,4,0,0,16,6,4,3,3,10,3,3,0,29,3,4,7,9,15,14,0,0,52,0,3,15,20,16,26,5,3,86,0,3,19,25,19,24,11,3,113,0,4,32,52,37,51,17,3,204,0,9,Ballina (A)
10300,0,0,5,3,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,6,0,0,0,3,0,0,0,0,3,0,0,0,3,4,5,7,0,25,0,0,6,3,3,3,3,0,18,0,0,4,11,7,3,3,0,28,0,4,3,7,3,4,4,0,28,0,0,0,5,3,3,0,0,17,0,0,0,0,3,0,3,0,12,0,0,0,0,3,3,0,0,11,0,0,0,5,6,3,0,0,18,0,0,0,0,3,9,0,0,12,0,0,0,9,0,0,0,0,12,0,3,24,48,40,48,14,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,Balranald (A)
10470,0,0,0,7,3,9,7,0,29,7,3,0,0,0,4,4,3,24,0,3,0,5,5,3,15,0,37,5,0,7,7,14,17,13,6,66,5,3,5,9,20,19,12,5,75,3,13,16,10,23,20,21,7,122,0,19,52,30,29,28,14,3,170,0,11,49,49,54,42,26,11,254,0,13,70,53,66,38,21,3,271,0,0,35,58,63,36,19,0,209,0,0,40,61,54,52,19,0,227,0,0,22,49,38,30,8,0,156,0,0,30,87,107,75,13,4,310,0,0,10,22,48,55,9,3,144,0,0,5,6,8,9,9,5,34,29,82,344,457,530,431,223,54,2136,0,0,0,0,3,3,0,0,11,5,8,9,0,0,5,0,0,29,5,12,7,7,8,13,0,0,57,3,15,15,6,4,10,4,3,62,0,8,18,12,8,21,4,0,72,6,14,34,31,26,31,16,7,168,0,17,Bathurst Regional (A)
10550,0,0,0,5,11,16,16,0,41,0,3,3,6,10,11,8,3,33,0,0,4,10,23,27,23,5,88,3,0,0,11,16,28,16,8,87,4,3,3,14,16,19,25,3,89,0,3,12,28,34,28,28,4,147,4,10,15,39,41,46,23,7,177,3,17,22,51,55,53,18,6,228,0,0,29,39,76,58,21,4,226,0,0,14,37,34,42,21,3,156,0,0,11,28,46,35,8,6,123,0,0,3,18,28,22,10,0,76,0,0,9,19,45,40,8,3,128,0,0,0,8,21,21,4,0,58,0,0,0,0,7,6,3,3,23,13,40,130,306,456,442,234,59,1686,0,0,0,0,0,3,0,0,5,0,0,3,0,0,3,0,0,11,0,0,7,9,13,12,5,0,48,0,0,7,13,14,19,3,0,55,0,0,5,12,25,20,10,3,67,0,4,15,29,26,43,19,3,141,3,6,Bega Valley (A)
10600,0,0,4,6,8,5,6,0,28,0,0,0,0,0,3,0,0,7,0,0,3,8,3,11,19,0,43,0,0,0,6,12,17,8,3,38,0,0,3,3,13,11,7,3,40,0,0,6,4,18,21,11,7,67,0,0,10,4,17,27,4,0,65,0,0,7,12,15,21,6,7,71,0,0,14,11,16,18,5,0,64,0,0,8,15,15,12,10,0,56,0,0,6,3,5,4,3,0,32,0,0,0,3,6,6,3,0,25,0,0,4,6,9,9,0,3,38,0,0,0,3,12,5,4,0,24,0,0,0,0,7,5,5,0,13,0,9,67,91,150,173,84,30,594,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,11,0,0,5,4,5,3,0,0,18,0,0,0,0,0,13,6,0,23,0,0,3,11,3,16,0,0,37,0,0,3,18,11,9,4,0,40,0,3,Bellingen (A)
10650,0,0,0,4,3,3,10,0,24,0,0,0,0,0,0,0,0,10,0,0,3,3,9,13,6,3,35,0,0,0,9,9,10,3,3,38,0,0,0,3,13,13,7,0,38,0,5,3,9,6,17,14,3,66,0,0,8,17,9,21,7,0,68,0,4,12,16,13,16,8,3,70,0,5,15,16,9,22,15,4,89,0,3,11,8,22,13,3,0,58,0,0,10,5,13,17,3,0,39,0,0,3,0,9,10,3,0,24,0,0,4,8,12,16,3,0,46,0,0,0,9,0,6,3,4,29,0,0,0,4,7,7,0,0,22,0,29,70,109,141,184,86,25,648,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,3,4,0,0,5,0,0,0,0,5,7,0,0,11,0,0,0,7,3,3,3,0,21,0,0,Berrigan (A)
10750,0,0,16,20,19,10,4,0,79,12,11,8,10,6,5,0,0,52,14,15,25,32,20,20,8,3,124,14,14,31,33,33,29,9,6,166,12,24,40,55,57,45,9,3,239,17,43,86,89,104,51,29,6,423,16,83,137,138,132,96,28,0,634,14,119,282,237,213,122,29,3,1011,3,75,448,375,318,184,35,0,1441,0,30,286,368,327,180,43,0,1240,0,20,286,398,372,223,38,4,1343,0,6,161,326,337,193,35,0,1062,0,6,321,780,771,456,68,3,2407,0,5,93,443,573,365,69,4,1555,7,7,25,44,40,30,4,0,157,107,462,2239,3351,3324,2018,405,33,11934,3,10,14,23,12,15,0,0,78,53,52,31,36,21,15,0,0,206,31,54,62,82,45,29,11,0,314,10,45,54,68,46,44,22,7,295,8,54,103,75,56,47,22,3,358,4,74,174,155,104,89,48,0,649,10,103,Blacktown (C)
10800,0,0,6,9,12,14,0,0,42,0,0,0,0,0,3,4,0,9,0,0,0,0,7,8,3,0,15,0,0,3,3,4,7,14,7,36,0,0,0,9,11,10,6,7,45,3,0,4,16,6,23,11,3,75,0,3,7,19,14,5,13,0,57,0,3,3,10,31,23,18,8,99,0,3,7,20,25,22,8,7,87,0,0,0,8,8,12,10,3,47,0,0,6,7,15,5,4,7,45,0,0,0,3,6,14,6,0,24,0,0,3,12,16,19,0,4,48,0,0,4,16,9,11,10,3,48,0,0,3,4,6,4,3,5,26,5,16,55,135,173,180,103,43,716,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,4,0,0,0,4,4,0,15,0,0,4,3,0,3,0,0,20,0,4,Bland (A)
