lga_code16,mng_nni_a_15_19,mng_nni_a_20_24,mng_nni_a_25_34,mng_nni_a_35_44,mng_nni_a_45_54,mng_nni_a_55_64,mng_nni_a_65_74,mng_nni_a_75ov,mng_nni_tot,mng_1_149_a_15_19,mng_1_149_a_20_24,mng_1_149_a_25_34,mng_1_149_a_35_44,mng_1_149_a_45_54,mng_1_149_a_55_64,mng_1_149_a_65_74,mng_1_149_a_75ov,mng_1_149_tot,mng_150_299_a_15_19,mng_150_299_a_20_24,mng_150_299_a_25_34,mng_150_299_a_35_44,mng_150_299_a_45_54,mng_150_299_a_55_64,mng_150_299_a_65_74,mng_150_299_a_75ov,mng_150_299_tot,mng_300_399_a_15_19,mng_300_399_a_20_24,mng_300_399_a_25_34,mng_300_399_a_35_44,mng_300_399_a_45_54,mng_300_399_a_55_64,mng_300_399_a_65_74,mng_300_399_a_75ov,mng_300_399_tot,mng_400_499_a_15_19,mng_400_499_a_20_24,mng_400_499_a_25_34,mng_400_499_a_35_44,mng_400_499_a_45_54,mng_400_499_a_55_64,mng_400_499_a_65_74,mng_400_499_a_75ov,mng_400_499_tot,mng_500_649_a_15_19,mng_500_649_a_20_24,mng_500_649_a_25_34,mng_500_649_a_35_44,mng_500_649_a_45_54,mng_500_649_a_55_64,mng_500_649_a_65_74,mng_500_649_a_75ov,mng_500_649_tot,mng_650_799_a_15_19,mng_650_799_a_20_24,mng_650_799_a_25_34,mng_650_799_a_35_44,mng_650_799_a_45_54,mng_650_799_a_55_64,mng_650_799_a_65_74,mng_650_799_a_75ov,mng_650_799_tot,mng_800_999_a_15_19,mng_800_999_a_20_24,mng_800_999_a_25_34,mng_800_999_a_35_44,mng_800_999_a_45_54,mng_800_999_a_55_64,mng_800_999_a_65_74,mng_800_999_a_75ov,mng_800_999_tot,mng_1000_1249_a_15_19,mng_1000_1249_a_20_24,mng_1000_1249_a_25_34,mng_1000_1249_a_35_44,mng_1000_1249_a_45_54,mng_1000_1249_a_55_64,mng_1000_1249_a_65_74,mng_1000_1249_a_75ov,mng_1000_1249_tot,mng_1250_1499_a_15_19,mng_1250_1499_a_20_24,mng_1250_1499_a_25_34,mng_1250_1499_a_35_44,mng_1250_1499_a_45_54,mng_1250_1499_a_55_64,mng_1250_1499_a_65_74,mng_1250_1499_a_75ov,mng_1250_1499_tot,mng_1500_1749_a_15_19,mng_1500_1749_a_20_24,mng_1500_1749_a_25_34,mng_1500_1749_a_35_44,mng_1500_1749_a_45_54,mng_1500_1749_a_55_64,mng_1500_1749_a_65_74,mng_1500_1749_a_75ov,mng_1500_1749_tot,mng_1750_1999_a_15_19,mng_1750_1999_a_20_24,mng_1750_1999_a_25_34,mng_1750_1999_a_35_44,mng_1750_1999_a_45_54,mng_1750_1999_a_55_64,mng_1750_1999_a_65_74,mng_1750_1999_a_75ov,mng_1750_1999_tot,mng_2000_2999_a_15_19,mng_2000_2999_a_20_24,mng_2000_2999_a_25_34,mng_2000_2999_a_35_44,mng_2000_2999_a_45_54,mng_2000_2999_a_55_64,mng_2000_2999_a_65_74,mng_2000_2999_a_75ov,mng_2000_2999_tot,mng_3000mo_a_15_19,mng_3000mo_a_20_24,mng_3000mo_a_25_34,mng_3000mo_a_35_44,mng_3000mo_a_45_54,mng_3000mo_a_55_64,mng_3000mo_a_65_74,mng_3000mo_a_75ov,mng_3000mo_tot,mng_pins_a_15_19,mng_pins_a_20_24,mng_pins_a_25_34,mng_pins_a_35_44,mng_pins_a_45_54,mng_pins_a_55_64,mng_pins_a_65_74,mng_pins_a_75ov,mng_pins_tot,mng_tot_a_15_19,mng_tot_a_20_24,mng_tot_a_25_34,mng_tot_a_35_44,mng_tot_a_45_54,mng_tot_a_55_64,mng_tot_a_65_74,mng_tot_a_75ov,mng_tot_tot,pro_nni_a_15_19,pro_nni_a_20_24,pro_nni_a_25_34,pro_nni_a_35_44,pro_nni_a_45_54,pro_nni_a_55_64,pro_nni_a_65_74,pro_nni_a_75ov,pro_nni_tot,pro_1_149_a_15_19,pro_1_149_a_20_24,pro_1_149_a_25_34,pro_1_149_a_35_44,pro_1_149_a_45_54,pro_1_149_a_55_64,pro_1_149_a_65_74,pro_1_149_a_75ov,pro_1_149_tot,pro_150_299_a_15_19,pro_150_299_a_20_24,pro_150_299_a_25_34,pro_150_299_a_35_44,pro_150_299_a_45_54,pro_150_299_a_55_64,pro_150_299_a_65_74,pro_150_299_a_75ov,pro_150_299_tot,pro_300_399_a_15_19,pro_300_399_a_20_24,pro_300_399_a_25_34,pro_300_399_a_35_44,pro_300_399_a_45_54,pro_300_399_a_55_64,pro_300_399_a_65_74,pro_300_399_a_75ov,pro_300_399_tot,pro_400_499_a_15_19,pro_400_499_a_20_24,pro_400_499_a_25_34,pro_400_499_a_35_44,pro_400_499_a_45_54,pro_400_499_a_55_64,pro_400_499_a_65_74,pro_400_499_a_75ov,pro_400_499_tot,pro_500_649_a_15_19,pro_500_649_a_20_24,pro_500_649_a_25_34,pro_500_649_a_35_44,pro_500_649_a_45_54,pro_500_649_a_55_64,pro_500_649_a_65_74,pro_500_649_a_75ov,pro_500_649_tot,pro_650_799_a_15_19,pro_650_799_a_20_24,lga_name16
10850,0,0,0,3,8,10,3,0,16,0,0,0,0,0,7,6,0,12,0,0,0,0,3,4,3,5,17,0,0,0,3,3,9,7,0,26,0,0,0,4,4,7,5,6,29,0,0,3,4,5,4,16,7,42,0,4,5,3,8,11,9,0,58,0,0,7,7,12,18,9,3,56,0,3,8,13,10,22,13,3,67,0,0,4,5,12,15,3,0,43,0,0,6,11,3,14,9,3,40,0,0,3,8,9,6,4,0,28,0,0,6,11,11,12,3,0,44,0,0,5,10,19,9,0,3,48,0,0,0,0,0,7,4,0,11,0,10,49,85,115,155,91,33,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,9,0,0,0,0,0,3,0,0,5,0,0,0,8,0,0,0,0,12,0,0,0,5,0,0,0,0,11,0,0,Blayney (A)
10900,0,0,5,9,12,5,0,0,34,9,0,0,4,4,3,3,0,25,0,0,3,7,3,9,3,0,29,0,3,8,12,21,17,13,3,74,3,3,10,9,25,17,6,0,81,5,6,19,30,27,45,17,4,154,3,9,36,37,39,38,15,4,173,0,19,55,54,55,28,26,0,235,0,16,64,71,59,55,26,3,289,0,5,28,50,61,34,16,3,207,0,5,23,47,68,43,13,0,195,0,0,12,36,34,28,9,0,112,0,0,16,69,79,86,17,3,271,0,0,3,29,45,16,7,3,103,0,0,6,7,3,9,0,0,24,23,74,282,462,537,446,169,32,2020,0,0,0,3,10,9,0,0,20,16,5,12,15,16,15,6,0,91,4,11,14,36,36,32,25,3,160,0,12,25,33,31,32,28,4,165,5,6,31,43,39,59,29,4,213,0,11,48,67,63,93,35,9,323,4,10,Blue Mountains (C)
10950,0,0,0,0,3,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,5,3,17,0,0,0,7,3,5,0,0,16,0,0,0,0,0,0,3,0,15,0,0,4,0,15,9,3,0,30,0,0,3,3,6,3,3,0,20,0,0,3,3,7,3,3,6,25,0,0,3,3,14,6,8,4,42,0,3,0,0,3,0,3,3,13,0,0,0,3,11,8,0,0,27,0,0,0,3,3,8,0,0,15,0,0,4,4,7,3,0,3,21,0,0,0,9,9,11,0,0,29,0,0,3,0,10,3,4,3,19,0,5,25,47,87,57,33,26,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,4,0,0,Bogan (A)
11100,0,0,9,11,6,3,5,0,29,4,0,6,3,0,0,3,0,16,5,3,9,4,6,5,5,0,27,0,10,6,13,4,5,0,0,39,0,9,18,10,11,3,6,0,63,6,12,33,18,24,15,9,0,115,0,29,73,41,41,34,14,0,233,0,52,156,85,68,40,12,3,415,0,28,219,167,110,64,16,4,610,0,18,184,176,131,65,15,4,590,0,8,175,208,164,83,10,0,652,0,3,131,200,179,76,13,0,600,0,0,278,586,478,217,34,3,1597,0,0,134,557,563,285,38,7,1578,0,4,20,15,29,7,0,0,76,20,179,1442,2097,1798,910,177,26,6651,0,3,10,3,4,0,0,0,23,14,12,6,4,9,3,3,0,53,5,30,6,19,3,3,0,0,63,3,18,14,17,9,7,8,3,82,3,17,24,22,6,4,3,0,85,3,16,33,34,25,16,0,3,139,3,45,Botany Bay (C)
11150,0,0,0,0,3,3,3,0,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,3,0,0,3,0,0,0,0,3,3,0,0,6,0,0,3,0,3,4,0,0,11,0,0,0,3,4,3,0,3,17,0,3,3,3,13,7,0,0,26,0,0,8,5,3,3,0,0,18,0,0,3,6,6,3,0,3,22,0,0,3,0,0,7,0,0,12,0,0,9,9,0,0,0,0,15,0,0,8,9,6,3,0,0,30,0,0,0,3,4,0,3,0,10,0,0,0,0,3,6,0,8,12,0,6,35,37,55,46,25,9,210,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,6,0,0,Bourke (A)
11200,0,0,0,0,0,8,4,0,19,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,3,0,8,0,0,0,0,3,0,0,0,11,0,3,0,0,6,3,3,0,20,0,0,0,0,5,3,0,0,11,0,0,3,4,3,4,4,0,21,0,0,0,3,0,0,0,0,3,0,0,0,3,0,3,0,0,5,0,0,0,0,0,3,3,0,11,0,0,3,4,0,3,0,0,16,0,0,0,0,3,3,0,0,6,0,0,0,0,5,0,0,0,13,0,5,13,19,33,43,24,3,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,3,0,3,0,3,0,0,Brewarrina (A)
14300,0,0,0,0,5,0,0,5,10,0,0,0,0,0,0,0,0,9,0,0,0,0,3,0,0,0,5,0,0,5,7,4,3,6,0,24,0,0,0,3,6,3,8,0,26,0,0,3,9,13,11,8,3,43,0,0,7,6,11,5,10,0,39,0,0,11,9,16,3,0,0,43,0,0,10,5,6,12,10,0,38,0,0,4,7,7,11,6,3,38,0,0,6,8,9,9,3,0,39,0,0,4,0,4,0,0,3,15,0,0,6,5,7,5,3,0,31,0,0,0,6,3,9,4,0,15,0,0,0,0,0,4,0,0,12,4,3,59,67,95,89,67,15,396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,8,0,0,3,4,0,0,0,0,6,0,0,Junee (A)
14350,0,0,0,9,5,8,3,3,35,0,0,0,0,0,10,7,3,18,0,0,3,3,5,10,11,8,43,0,3,4,12,17,22,16,6,72,0,0,3,12,12,19,15,6,69,4,7,9,19,18,22,18,4,101,0,12,8,14,37,28,12,7,124,0,5,20,31,40,24,10,4,131,0,5,31,31,34,31,18,0,147,0,0,7,18,18,30,5,0,80,0,0,11,22,24,13,0,0,67,0,0,6,23,27,14,4,0,73,0,0,13,29,38,26,7,0,108,0,0,7,11,18,16,9,0,55,0,0,0,0,3,0,6,0,16,6,28,117,225,299,267,149,39,1142,0,0,0,0,0,3,0,0,5,0,0,3,3,4,3,0,0,14,0,0,0,3,3,10,3,0,26,0,0,3,12,10,13,3,0,39,3,3,6,8,11,15,5,0,56,0,9,16,18,20,24,11,3,92,0,4,Kempsey (A)
11250,0,0,0,4,0,0,0,0,8,0,0,0,3,3,0,0,0,4,0,0,0,7,0,5,0,0,17,0,0,0,0,0,6,3,3,19,0,0,3,0,0,4,3,0,23,0,3,4,3,8,13,10,6,50,0,0,8,12,17,12,7,0,59,0,3,18,10,8,18,5,0,67,0,3,17,22,13,18,3,0,77,0,0,15,9,21,12,0,0,56,0,0,11,10,17,11,3,0,49,0,0,8,17,13,20,0,0,57,0,0,8,26,42,37,9,0,126,0,0,3,13,22,21,3,0,59,0,3,3,0,7,3,0,0,21,3,16,87,137,171,190,51,11,676,0,0,0,0,0,0,0,0,3,5,0,3,0,0,0,0,0,8,0,3,6,4,3,4,3,0,18,0,0,0,0,3,3,9,0,25,0,0,6,5,4,3,6,0,25,0,6,11,6,8,13,8,0,48,0,4,Broken Hill (C)
13910,0,0,0,8,12,14,6,4,51,3,0,0,0,3,17,7,4,35,0,4,4,8,8,8,17,7,50,0,5,3,11,8,17,14,3,55,0,3,3,9,13,27,19,3,83,3,0,13,30,32,29,15,4,122,3,7,11,29,37,36,29,3,163,0,3,28,36,38,43,30,7,178,0,10,26,42,39,49,24,13,198,0,3,18,28,43,30,14,5,139,3,0,10,32,32,38,8,4,124,0,0,4,21,14,19,19,0,74,0,0,7,28,45,23,15,9,131,0,0,0,14,36,27,15,9,105,0,0,0,11,3,3,9,4,41,14,42,135,305,365,361,242,78,1541,0,0,0,0,0,0,0,0,3,0,0,3,0,3,0,0,0,4,0,0,0,3,0,3,0,0,11,0,0,6,3,3,0,4,0,22,0,0,3,3,6,0,7,0,23,0,0,22,23,12,12,3,0,68,0,5,Hilltops (A)
14000,0,3,6,12,24,14,4,0,67,5,3,5,7,9,6,7,4,42,11,8,7,21,23,16,3,3,94,7,14,14,26,22,24,14,0,128,3,17,15,23,38,30,16,3,139,6,24,35,41,68,44,36,0,252,4,27,52,61,85,69,22,3,318,3,58,95,102,106,101,22,7,480,0,36,172,152,134,87,38,5,621,0,17,111,140,131,79,30,3,512,0,3,91,152,129,119,21,4,524,0,0,64,107,119,81,20,0,406,0,0,97,262,299,168,30,3,860,0,0,30,164,227,140,40,7,612,0,3,5,12,13,18,4,3,61,36,221,808,1285,1418,989,311,49,5117,0,8,10,10,17,5,3,0,56,76,37,16,39,35,16,13,3,240,21,54,32,65,57,38,10,0,279,8,40,47,41,60,49,27,12,274,3,32,43,54,64,44,23,9,277,5,35,111,122,119,74,33,6,508,3,56,Hornsby (A)
