lga_name_2016,lga_code_2016,hh_in_p_1_f_hh_c_f_n_c_n_u_2,hh_in_p_1_f_hh_c_f_n_c_n_u_3,hh_in_p_1_f_hh_c_f_n_c_n_u_4,hh_in_p_1_f_hh_c_f_n_c_n_u_5,hh_in_p_1_f_h_c_f_n_c_n_u_6ov,hh_in_p_1_f_hh_c_f_no_ch_tot,hh_in_p_1_f_hh_c_f_ch_nu_ur_3,hh_in_p_1_f_hh_c_f_ch_nu_ur_4,hh_in_p_1_f_hh_c_f_ch_nu_ur_5,hh_i_p_1_f_h_c_f_ch_nu_ur_6ov,hh_in_pe_1_fa_hh_co_fa_ch_tot,hh_in_p_1_f_h_1_pa_f_nu_ur_2,hh_in_p_1_f_h_1_pa_f_nu_ur_3,hh_in_p_1_f_h_1_pa_f_nu_ur_4,hh_in_p_1_f_h_1_pa_f_nu_ur_5,hh_in_p_1_f_h_1_pa_f_n_ur_6ov,hh_in_p_1_f_h_1_pa_f_tot,hh_in_p_1_fa_hh_ot_fa_nu_ur_2,hh_in_p_1_fa_hh_ot_fa_nu_ur_3,hh_in_p_1_fa_hh_ot_fa_nu_ur_4,hh_in_p_1_fa_hh_ot_fa_nu_ur_5,hh_in_p_1_fa_hh_ot_f_n_ur_6ov,hh_in_pe_1_fa_hh_other_fa_tot,hh_in_pe_1_fa_hh_tot_nu_ur_2,hh_in_pe_1_fa_hh_tot_nu_ur_3,hh_in_pe_1_fa_hh_tot_nu_ur_4,hh_in_pe_1_fa_hh_tot_nu_ur_5,hh_in_pe_1_fa_hh_tot_n_ur_6ov,hh_in_pe_1_fa_hh_tot_tot,hhd_in_pe_mu_fa_hhd_nu_ur_4,hhd_in_pe_mu_fa_hhd_nu_ur_5,hhd_in_pe_mu_fa_hhd_n_ur_6ov,hhd_in_pe_mu_fa_hhd_tot,hhd_in_pe_totfa_hhd_nu_ur_2,hhd_in_pe_totfa_hhd_nu_ur_3,hhd_in_pe_totfa_hhd_nu_ur_4,hhd_in_pe_totfa_hhd_nu_ur_5,hhd_in_pe_totfa_hhd_n_ur_6ov,hhd_in_pe_totfa_hhd_tot,hhd_in_pe_lo_per_hhd_nu_ur_1,hhd_in_pe_lo_per_hhd_tot,hhd_in_pe_gr_hh_nu_ur_2,hhd_in_pe_gr_hh_nu_ur_3,hhd_in_pe_gr_hh_nu_ur_4,hhd_in_pe_gr_hh_nu_ur_5,hhd_in_pe_gr_hh_n_ur_6ov,hhd_in_pe_gr_hh_tot,hhd_in_pe_tot_nu_ur_1,hhd_in_pe_tot_nu_ur_2,hhd_in_pe_tot_nu_ur_3,hhd_in_pe_tot_nu_ur_4,hhd_in_pe_tot_nu_ur_5,hhd_in_pe_tot_nu_ur_6_more,hhd_in_pe_tot_tot,ot_hh_1_f_hh_c_f_no_c_nu_ur_2,ot_hh_1_f_hh_c_f_no_c_nu_ur_3,ot_hh_1_f_hh_c_f_no_c_nu_ur_4,ot_hh_1_f_hh_c_f_no_c_nu_ur_5,ot_hh_1_f_hh_c_f_n_c_n_ur_6ov,ot_hh_1_f_hh_c_f_no_c_tot,ot_hh_1_f_hh_c_f_ch_nu_ur_3,ot_hh_1_f_hh_c_f_ch_nu_ur_4,ot_hh_1_f_hh_c_f_ch_nu_ur_5,ot_hh_1_f_hh_c_f_ch_n_ur_6ov,ot_hh_1_f_hh_c_f_with_ch_tot,ot_hh_1_f_hh_1_pa_f_nu_ur_2,ot_hh_1_f_hh_1_pa_f_nu_ur_3,ot_hh_1_f_hh_1_pa_f_nu_ur_4,ot_hh_1_f_hh_1_pa_f_nu_ur_5,ot_hh_1_f_hh_1_pa_f_n_ur_6ov,ot_hh_1_f_hh_1_parent_f_tot,ot_hh_one_fa_hh_ot_fa_nu_ur_2,ot_hh_one_fa_hh_ot_fa_nu_ur_3,ot_hh_one_fa_hh_ot_fa_nu_ur_4,ot_hh_one_fa_hh_ot_fa_nu_ur_5,ot_hh_1_fa_hh_ot_fa_n_ur_6ov,ot_hh_one_fa_hhd_other_fa_tot,ot_hh_one_fa_hhd_tot_nu_ur_2,ot_hh_one_fa_hhd_tot_nu_ur_3,ot_hh_one_fa_hhd_tot_nu_ur_4,ot_hh_one_fa_hhd_tot_nu_ur_5,ot_hh_one_fa_hhd_tot_n_ur_6ov,ot_hh_one_fa_hhd_tot_tot,ot_hh_multiple_fa_hhd_nu_ur_4,ot_hh_multiple_fa_hhd_nu_ur_5,ot_hh_multiple_fa_hh_nu_u_6ov,ot_hh_multiple_fa_hhd_tot,ot_hh_totfa_hhd_nu_ur_2,ot_hh_totfa_hhd_nu_ur_3,ot_hh_totfa_hhd_nu_ur_4,ot_hh_totfa_hhd_nu_ur_5,ot_hh_totfa_hhd_nu_ur_6_more,ot_hh_totfa_hhd_tot,ot_hh_lo_per_hhd_nu_ur_1,ot_hh_lo_per_hhd_tot,ot_hh_gr_hh_nu_ur_2,ot_hh_gr_hh_nu_ur_3,ot_hh_gr_hh_nu_ur_4,ot_hh_gr_hh_nu_ur_5,ot_hh_gr_hh_nu_u_6ov,ot_hh_gr_hh_tot,ot_hh_tot_nu_ur_1,ot_hh_tot_nu_ur_2,ot_hh_tot_nu_ur_3,ot_hh_tot_nu_ur_4,ot_hh_tot_nu_ur_5,ot_hh_tot_nu_ur_6_more,ot_hh_tot_tot
Albury (C),10050,72,7,3,0,0,82,50,59,43,24,168,71,67,47,13,21,219,9,0,0,0,0,11,151,119,106,58,43,484,3,3,10,13,151,119,110,62,47,496,122,122,32,6,3,0,0,43,122,181,127,116,64,47,662,4871,127,31,0,0,5023,1719,2039,859,295,4910,990,616,259,69,19,1955,108,32,6,0,0,149,5974,2492,2334,933,313,12037,44,36,55,136,5974,2492,2378,972,368,12178,5897,5897,584,122,43,8,4,760,5897,6554,2617,2425,983,365,18836
Armidale Regional (A),10130,91,20,3,0,0,118,59,58,50,41,210,82,68,32,25,21,236,15,5,3,0,0,23,183,154,100,74,60,585,4,21,16,38,183,154,105,92,78,623,154,154,38,12,4,3,0,62,154,225,170,109,96,78,831,2563,75,23,6,3,2671,812,999,448,169,2421,520,286,89,27,8,933,80,13,3,3,0,97,3161,1186,1117,477,180,6121,24,13,32,64,3161,1186,1140,493,209,6188,2833,2833,281,76,46,16,3,423,2833,3442,1266,1184,507,210,9443
Ballina (A),10250,97,11,3,0,0,118,59,58,31,19,167,56,52,42,18,11,169,5,6,0,0,0,10,161,126,101,54,26,464,9,4,20,29,161,126,109,56,42,501,102,102,22,6,0,0,0,35,102,187,138,109,56,44,639,4679,183,20,3,0,4880,1319,1618,652,203,3792,849,522,148,53,8,1571,99,20,6,0,0,121,5629,2039,1790,707,210,10371,61,52,76,194,5629,2039,1852,764,288,10567,4492,4492,419,68,24,9,0,522,4492,6047,2105,1879,769,288,15586
Balranald (A),10300,9,3,0,0,0,11,9,3,13,6,26,4,4,6,3,0,15,0,0,0,0,0,3,15,18,9,13,6,60,0,0,4,4,15,18,9,13,8,59,13,13,3,0,0,0,0,3,13,17,18,9,13,8,74,216,6,0,0,0,223,60,60,58,23,204,28,15,6,3,0,60,4,4,0,0,0,8,258,88,69,62,26,498,0,0,0,4,258,88,70,61,31,508,209,209,15,0,0,0,0,12,209,269,90,70,61,31,728
Bathurst Regional (A),10470,112,14,4,0,0,125,78,87,65,40,271,76,90,55,22,18,261,11,3,3,0,0,16,194,179,149,87,57,671,8,7,15,30,194,179,158,92,72,704,145,145,50,8,11,0,3,65,145,239,192,166,92,75,909,3479,109,10,0,0,3603,1292,1610,723,290,3918,684,441,215,67,17,1422,100,16,4,0,0,114,4261,1856,1842,790,307,9063,45,51,75,167,4261,1856,1889,844,378,9228,3743,3743,397,84,34,10,4,525,3743,4660,1943,1921,853,377,13495
Bega Valley (A),10550,87,12,3,0,0,100,41,43,33,22,146,26,47,18,6,17,115,0,0,0,0,0,5,119,98,61,41,36,357,3,4,10,17,119,98,68,44,48,373,79,79,20,0,3,0,0,24,79,134,98,68,44,48,475,4417,107,7,0,0,4533,992,1068,434,186,2685,574,358,118,48,20,1110,67,13,3,0,0,81,5049,1472,1197,479,203,8405,34,30,33,98,5049,1472,1229,511,238,8501,3942,3942,280,21,3,0,0,301,3942,5330,1496,1234,510,238,12749
Bellingen (A),10600,34,3,0,0,0,33,25,23,17,8,73,10,18,14,8,3,50,0,0,0,0,0,3,44,48,42,23,9,156,0,0,11,15,44,48,42,25,16,170,24,24,6,0,0,0,0,6,24,54,48,42,25,16,201,1433,62,3,0,0,1498,373,448,171,57,1051,282,174,83,22,7,564,20,11,0,0,0,24,1735,609,526,198,70,3138,15,17,30,64,1735,609,543,210,99,3195,1413,1413,141,10,0,0,0,150,1413,1879,622,546,212,99,4767
Berrigan (A),10650,19,0,0,0,0,25,6,12,6,3,34,8,6,10,0,0,28,0,0,0,0,0,0,32,18,17,12,3,85,0,0,0,0,32,18,17,12,3,81,18,18,4,0,0,0,0,3,18,36,15,17,12,3,106,1036,22,3,0,0,1058,212,260,137,73,682,135,72,24,12,3,248,15,3,0,0,0,16,1186,302,293,148,77,2001,9,5,3,20,1186,302,297,151,80,2021,1054,1054,76,3,0,0,0,78,1054,1260,308,299,151,80,3154
Blacktown (C),10750,421,55,10,0,0,497,321,378,251,198,1151,355,423,300,158,142,1381,60,23,3,3,0,84,836,822,695,414,341,3111,51,78,124,255,836,822,752,490,469,3364,448,448,117,25,8,5,3,161,448,956,851,760,490,472,3978,16047,1293,267,59,38,17693,13197,18561,8120,4044,43921,5142,4093,2014,777,440,12472,927,278,56,27,8,1306,22119,18871,20900,8984,4532,75395,746,1179,2682,4614,22119,18871,21647,10166,7216,80012,14913,14913,1588,321,157,74,68,2212,14913,23711,19194,21806,10234,7284,97129
Bland (A),10800,16,0,0,0,0,16,10,18,13,12,47,11,8,5,4,0,25,0,0,0,0,0,0,28,20,21,14,12,94,0,0,0,0,28,20,21,14,12,94,27,27,0,0,0,0,0,0,27,31,20,21,14,12,117,640,17,0,0,0,662,153,163,135,61,516,102,61,21,6,3,195,17,3,0,0,0,18,762,228,182,145,68,1390,6,5,0,10,762,228,184,148,70,1396,644,644,23,0,0,0,0,25,644,784,232,187,148,70,2067
Blayney (A),10850,15,0,0,0,0,17,13,11,19,11,47,16,13,10,0,0,35,0,0,0,0,0,0,33,26,15,19,14,105,0,0,0,3,33,26,15,15,12,105,14,14,3,0,0,0,0,3,14,33,26,15,15,12,120,741,17,0,0,0,756,240,281,159,63,745,126,78,31,10,0,247,24,3,0,0,0,23,888,338,315,174,66,1770,7,8,11,21,888,338,318,174,74,1798,700,700,34,4,0,0,0,39,700,926,341,318,174,74,2537
