lga_code16,m1_train_mng,m1_train_pro,m1_train_tectw,m1_train_copsw,m1_train_claw,m1_train_swks,m1_train_maopdv,m1_train_lab,m1_train_idns,m1_train_tot,m1_bus_mng,m1_bus_pro,m1_bus_tectw,m1_bus_copsw,m1_bus_claw,m1_bus_swks,m1_bus_maopdv,m1_bus_lab,m1_bus_idns,m1_bus_tot,m1_ferry_mng,m1_ferry_pro,m1_ferry_tectw,m1_ferry_copsw,m1_ferry_claw,m1_ferry_swks,m1_ferry_maopdv,m1_ferry_lab,m1_ferry_idns,m1_ferry_tot,m1_tram_inc_lr_mng,m1_tram_inc_lr_pro,m1_tram_inc_lr_tectw,m1_tram_inc_lr_copsw,m1_tram_inc_lr_claw,m1_tram_inc_lr_swks,m1_tram_inc_lr_maopdv,m1_tram_inc_lr_lab,m1_tram_inc_lr_idns,m1_tram_inc_lr_tot,m1_taxi_mng,m1_taxi_pro,m1_taxi_tectw,m1_taxi_copsw,m1_taxi_claw,m1_taxi_swks,m1_taxi_maopdv,m1_taxi_lab,m1_taxi_idns,m1_taxi_tot,m1_carasdriv_mng,m1_carasdriv_pro,m1_carasdriv_tectw,m1_carasdriv_copsw,m1_carasdriv_claw,m1_carasdriv_swks,m1_carasdriv_maopdv,m1_carasdriv_lab,m1_carasdriv_idns,m1_carasdriv_tot,m1_caraspas_mng,m1_caraspas_pro,m1_caraspas_tectw,m1_caraspas_copsw,m1_caraspas_claw,m1_caraspas_swks,m1_caraspas_maopdv,m1_caraspas_lab,m1_caraspas_idns,m1_caraspas_tot,m1_truck_mng,m1_truck_pro,m1_truck_tectw,m1_truck_copsw,m1_truck_claw,m1_truck_swks,m1_truck_maopdv,m1_truck_lab,m1_truck_idns,m1_truck_tot,m1_mbikescoot_mng,m1_mbikescoot_pro,m1_mbikescoot_tectw,m1_mbikescoot_copsw,m1_mbikescoot_claw,m1_mbikescoot_swks,m1_mbikescoot_maopdv,m1_mbikescoot_lab,m1_mbikescoot_idns,m1_mbikescoot_tot,m1_bicycle_mng,m1_bicycle_pro,m1_bicycle_tectw,m1_bicycle_copsw,m1_bicycle_claw,m1_bicycle_swks,m1_bicycle_maopdv,m1_bicycle_lab,m1_bicycle_idns,m1_bicycle_tot,m1_oth_mng,m1_oth_pro,m1_oth_tectw,m1_oth_copsw,m1_oth_claw,m1_oth_swks,m1_oth_maopdv,m1_oth_lab,m1_oth_idns,m1_oth_tot,m1_wlkonly_mng,m1_wlkonly_pro,m1_wlkonly_tectw,m1_wlkonly_copsw,m1_wlkonly_claw,m1_wlkonly_swks,m1_wlkonly_maopdv,m1_wlkonly_lab,m1_wlkonly_idns,m1_wlkonly_tot,m1_tot_m1_mng,m1_tot_m1_pro,m1_tot_m1_tectw,m1_tot_m1_copsw,m1_tot_m1_claw,m1_tot_m1_swks,m1_tot_m1_maopdv,m1_tot_m1_lab,m1_tot_m1_idns,m1_tot_m1_tot,m2_trnbus_mng,m2_trnbus_pro,m2_trnbus_tectw,m2_trnbus_copsw,m2_trnbus_claw,m2_trnbus_swks,m2_trnbus_maopdv,m2_trnbus_lab,m2_trnbus_idns,m2_trnbus_tot,m2_trnfer_mng,m2_trnfer_pro,m2_trnfer_tectw,m2_trnfer_copsw,m2_trnfer_claw,m2_trnfer_swks,m2_trnfer_maopdv,m2_trnfer_lab,m2_trnfer_idns,m2_trnfer_tot,m2_trntrm_inc_lr_mng,m2_trntrm_inc_lr_pro,m2_trntrm_inc_lr_tectw,m2_trntrm_inc_lr_copsw,m2_trntrm_inc_lr_claw,m2_trntrm_inc_lr_swks,m2_trntrm_inc_lr_maopdv,m2_trntrm_inc_lr_lab,m2_trntrm_inc_lr_idns,m2_trntrm_inc_lr_tot,m2_trncarasdriv_mng,m2_trncarasdriv_pro,m2_trncarasdriv_tectw,m2_trncarasdriv_copsw,m2_trncarasdriv_claw,m2_trncarasdriv_swks,m2_trncarasdriv_maopdv,m2_trncarasdriv_lab,m2_trncarasdriv_idns,m2_trncarasdriv_tot,m2_trncaraspa_mng,m2_trncaraspa_pro,m2_trncaraspa_tectw,m2_trncaraspa_copsw,m2_trncaraspa_claw,m2_trncaraspa_swks,m2_trncaraspa_maopdv,m2_trncaraspa_lab,m2_trncaraspa_idns,m2_trncaraspa_tot,m2_trnoth_mng,m2_trnoth_pro,m2_trnoth_tectw,m2_trnoth_copsw,m2_trnoth_claw,m2_trnoth_swks,m2_trnoth_maopdv,m2_trnoth_lab,m2_trnoth_idns,m2_trnoth_tot,m2_trn_and_tot_mng,m2_trn_and_tot_pro,m2_trn_and_tot_tectw,m2_trn_and_tot_copsw,m2_trn_and_tot_claw,m2_trn_and_tot_swks,m2_trn_and_tot_maopdv,m2_trn_and_tot_lab,m2_trn_and_tot_idns,m2_trn_and_tot_tot,lga_name16
10050,0,10,0,3,4,0,0,0,0,18,6,10,12,19,25,28,0,28,0,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,8,0,5,3,7,3,4,0,36,2049,3796,2643,2260,2930,1974,1103,1456,242,18449,68,113,136,145,122,322,48,233,21,1203,13,0,28,0,3,0,65,17,0,123,11,9,29,14,9,10,9,5,0,88,22,59,30,19,19,24,16,21,0,220,8,15,10,16,10,6,7,4,3,77,78,163,91,97,104,94,15,74,10,728,2257,4177,2976,2587,3228,2453,1267,1847,280,21069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,9,Albury (C)
10130,0,9,0,0,0,0,0,0,0,8,3,21,3,4,6,6,0,9,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,7,3,5,3,0,7,3,0,34,1058,2207,1056,991,1253,819,345,808,79,8629,52,141,90,76,84,144,15,210,11,827,50,6,32,0,3,4,20,13,0,133,27,22,14,4,3,10,4,18,0,102,13,47,10,7,14,5,8,10,0,116,43,13,3,12,6,0,3,6,5,88,102,143,64,108,48,63,17,93,8,651,1351,2626,1275,1215,1426,1060,422,1171,107,10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Armidale Regional (A)
10250,3,0,0,0,3,0,0,0,0,9,0,8,5,11,3,12,3,22,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,11,1181,2085,1510,1385,1205,1041,525,1043,84,10047,57,60,103,92,56,144,20,159,4,691,26,0,39,0,4,5,40,27,0,148,6,16,22,13,4,10,3,19,0,88,21,41,33,24,12,21,14,42,4,211,23,15,7,10,8,3,3,6,5,80,113,73,40,75,52,66,14,82,6,526,1435,2288,1765,1596,1339,1308,637,1401,100,11879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,45,62,50,49,15,51,93,9,465,3,3,3,3,3,0,7,20,3,47,3,0,0,0,0,0,3,0,0,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,6,9,0,3,3,0,0,0,3,3,16,23,9,11,14,8,7,7,11,0,90,127,61,83,76,66,20,73,131,12,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,0,8,0,0,3,0,0,0,3,13,3,4,4,8,7,8,0,22,0,59,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,4,6,4,0,36,1483,2532,1754,1693,1606,1162,721,1256,137,12339,55,103,116,106,90,201,30,217,11,924,43,4,30,0,4,3,56,28,0,173,11,8,12,10,6,4,8,3,0,61,10,22,12,4,3,3,4,12,0,85,26,10,14,0,7,3,3,11,0,77,90,127,81,131,71,73,22,100,4,694,1725,2824,2031,1964,1794,1466,851,1647,163,14464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,Bathurst Regional (A)
10550,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,8,5,9,5,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,899,1327,1183,1006,936,837,474,1020,86,7758,34,57,65,64,32,104,13,116,4,500,17,0,22,0,3,3,60,23,3,136,15,0,9,3,5,3,8,12,0,60,3,16,6,5,4,0,0,17,0,51,47,8,4,0,3,6,0,8,0,81,151,71,68,85,42,79,13,89,9,605,1168,1485,1370,1173,1028,1039,576,1285,108,9231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,251,402,338,288,209,170,166,285,18,2135,13,13,6,17,16,15,3,37,3,126,14,0,4,0,0,4,10,3,3,40,4,0,7,0,0,0,3,8,0,29,0,3,4,3,0,3,3,0,0,16,7,3,7,3,0,5,7,0,0,31,57,18,25,29,11,37,16,42,4,238,347,444,385,348,246,228,210,380,27,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,212,246,226,172,122,149,223,23,1655,9,3,13,15,8,7,5,26,0,83,9,0,3,0,0,0,23,7,0,49,12,0,0,0,0,0,0,0,0,15,0,5,0,0,0,4,0,5,0,24,14,4,5,0,3,0,4,5,0,32,68,18,23,23,19,19,10,32,0,212,400,241,297,261,195,153,203,303,26,2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berrigan (A)
10750,130,385,240,223,239,312,166,336,52,2081,80,147,134,236,177,354,190,359,33,1705,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,4,7,5,8,9,9,130,23,9,217,9814,12994,10078,6148,10687,6408,12414,6927,1244,76715,343,444,559,537,538,1142,852,1404,88,5905,102,9,302,3,67,22,602,213,25,1335,40,41,77,40,70,18,109,38,9,437,14,37,37,22,24,14,46,34,3,243,48,45,80,56,80,29,80,44,25,484,133,196,127,271,148,277,113,258,22,1537,10709,14303,11642,7542,12023,8582,14708,9642,1511,90662,53,170,105,131,131,123,145,212,19,1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,68,21,19,42,19,17,29,3,240,10,27,18,19,19,22,16,17,0,141,4,23,5,3,4,0,9,8,0,53,80,288,146,176,201,164,186,263,24,1520,Blacktown (C)
10800,0,0,0,0,0,0,0,0,0,0,0,10,16,3,4,0,62,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,174,225,110,152,112,144,180,21,1359,6,21,28,9,5,15,32,35,3,154,25,0,10,0,0,0,13,0,0,46,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,4,0,0,12,26,0,3,4,3,3,7,3,0,48,56,12,13,18,12,9,4,23,0,146,359,220,293,141,177,137,273,246,22,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Bland (A)
