LGA_MAIN11,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
46300,6,11,16,20,45,157,242,251,151,899,0,3,7,7,3,6,3,7,3,39,46,52,83,116,115,109,100,112,66,799,455,876,1706,1849,1938,1647,1121,756,346,10694,Port Lincoln (C)
46450,8,16,36,43,81,300,486,391,207,1568,0,0,4,10,11,9,5,14,6,59,55,51,109,123,153,166,197,202,75,1131,503,870,1700,2195,2377,2219,1736,1115,427,13142,Port Pirie City and Dists (M)
51080,0,0,4,3,4,0,14,15,8,48,0,0,0,0,0,0,0,3,0,3,6,3,8,12,16,10,8,6,3,72,36,36,134,153,193,133,73,39,17,814,Broomehill-Tambellup (S)
51120,0,0,0,3,4,9,12,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,7,10,7,10,11,14,8,67,24,32,90,123,125,163,85,55,27,724,Bruce Rock (S)
51190,18,11,37,50,68,201,403,415,169,1372,0,3,7,7,18,17,16,30,8,106,165,214,449,440,399,341,303,323,186,2820,1285,2178,4316,4141,4422,3916,2457,1662,677,25054,Bunbury (C)
55880,0,0,0,0,0,4,0,9,0,13,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,3,4,0,3,20,5,21,60,79,84,69,28,21,3,370,Mount Marshall (S)
46510,8,5,20,26,50,121,244,307,192,973,6,3,14,11,11,10,35,43,7,140,50,88,172,106,141,102,88,131,73,951,568,1709,3143,2959,2902,2156,1128,896,486,15947,Prospect (C)
46670,5,12,27,42,65,158,205,177,65,756,0,6,10,16,12,15,18,16,3,96,38,40,102,93,118,97,108,96,65,757,286,486,1021,1237,1328,1229,828,510,189,7114,Renmark Paringa (DC)
46860,0,0,0,0,0,7,19,16,11,53,0,0,0,0,0,0,3,0,0,3,4,6,12,16,11,16,13,12,0,90,28,63,147,196,190,233,171,74,21,1123,Robe (DC)
46970,0,5,0,6,14,9,0,3,0,37,0,0,3,0,0,0,0,0,0,3,11,65,140,120,112,34,6,0,3,491,127,455,1116,918,667,226,19,6,3,3537,Roxby Downs (M)
47140,65,101,346,445,752,1585,1849,1239,503,6885,25,42,185,315,352,308,222,192,72,1713,532,580,1136,1136,1137,1075,1065,1029,524,8214,4542,9308,19474,17961,17238,14381,9016,5012,1750,98682,Salisbury (C)
47290,0,3,8,0,4,37,42,37,41,172,0,0,10,0,0,4,0,0,0,14,7,3,9,15,11,13,12,22,21,113,35,98,240,254,307,298,193,121,77,1623,Southern Mallee (DC)
47490,0,0,0,3,9,20,50,35,24,141,0,0,0,0,0,0,0,0,0,0,12,0,16,14,24,33,16,23,9,147,50,78,206,270,315,335,182,105,54,1595,Streaky Bay (DC)
47630,4,3,4,12,26,82,126,110,90,457,0,0,6,4,3,7,7,0,0,27,13,6,16,36,29,27,22,52,21,222,172,296,728,919,908,828,512,338,168,4869,Tatiara (DC)
47700,36,23,102,102,198,640,1048,887,544,3580,3,6,20,38,34,33,33,43,19,229,212,194,398,539,588,515,599,621,388,4054,3086,5921,11517,13493,13887,12719,8083,4340,1659,74705,Tea Tree Gully (C)
47800,6,3,8,14,25,112,167,96,47,478,0,0,6,3,0,3,3,0,3,18,21,30,30,51,83,71,84,47,20,437,167,238,531,640,876,807,655,286,105,4305,The Coorong (DC)
47910,0,0,0,3,8,30,79,81,36,237,0,0,0,0,0,0,0,0,4,4,3,0,3,6,14,11,25,28,23,113,51,78,230,282,370,414,326,204,92,2047,Tumby Bay (DC)
51260,6,4,27,31,53,127,287,345,158,1038,5,3,3,7,11,6,6,7,8,56,81,90,192,267,238,234,222,258,118,1700,939,1314,3277,4420,4160,3793,2661,1658,581,22803,Busselton (S)
51310,3,3,12,3,20,32,84,117,86,360,0,0,8,0,0,0,10,24,0,42,41,76,155,155,158,158,126,152,144,1165,816,1542,2579,3633,3848,2722,1709,1313,740,18902,Cambridge (T)
51330,18,46,112,168,250,427,611,592,259,2483,12,36,72,78,83,91,78,87,40,577,277,689,978,654,583,604,483,484,292,5044,3618,9082,13066,11168,11398,9574,5468,3211,1287,67872,Canning (C)
51400,6,8,7,10,26,42,100,63,16,278,0,0,3,3,0,0,3,3,3,15,63,50,104,166,141,114,68,53,11,770,544,677,1614,2440,2146,1492,785,276,56,10030,Capel (S)
51470,0,0,0,0,7,7,12,9,0,35,0,0,0,0,0,0,0,0,0,0,3,3,8,3,8,12,10,0,3,50,20,26,66,54,96,93,54,19,3,431,Carnamah (S)
51540,10,4,19,29,36,89,97,46,5,335,0,9,4,14,6,8,8,9,3,61,36,38,102,123,123,142,92,55,19,730,200,267,725,876,839,769,481,186,48,4391,Carnarvon (S)
51610,0,0,0,0,0,13,15,11,0,39,0,0,0,0,0,0,0,0,3,3,5,3,8,4,11,29,15,7,0,82,32,37,112,169,173,210,113,34,3,883,Chapman Valley (S)
61510,3,4,12,16,40,98,129,138,66,506,0,3,0,6,8,11,7,6,3,44,35,37,64,83,106,92,116,77,22,632,388,492,997,1327,1535,1332,840,422,138,7471,Derwent Valley (M)
47980,6,7,19,18,40,130,299,415,267,1201,0,0,13,13,13,23,40,68,21,191,64,147,257,260,260,256,222,317,489,2272,892,2805,5119,5145,5080,4670,2599,1898,1514,29722,Unley (C)
48050,3,3,12,22,29,116,259,287,185,916,3,0,3,3,7,6,3,6,3,34,50,35,67,89,114,167,216,273,145,1156,286,452,933,1233,1583,2375,2443,1676,685,11666,Victor Harbor (C)
48130,6,6,12,16,27,108,123,123,93,514,0,0,3,4,0,6,4,0,4,21,29,12,39,61,62,57,45,69,38,412,170,290,668,825,932,977,609,376,191,5038,Wakefield (DC)
51960,3,6,9,10,11,41,30,14,0,124,0,0,0,0,3,0,0,3,0,6,44,40,93,87,69,68,29,4,3,437,200,294,652,642,508,411,155,41,10,2913,Coolgardie (S)
52030,0,0,0,3,8,9,19,8,0,47,0,0,0,0,0,0,0,0,0,0,0,4,4,4,23,13,13,7,0,68,16,48,95,148,175,189,138,60,0,869,Coorow (S)
64210,0,4,0,16,67,157,210,276,139,869,3,0,0,6,8,5,6,6,4,38,50,29,60,101,121,180,162,195,90,988,688,824,1749,2545,2848,2775,1782,1043,374,14628,Meander Valley (M)
48260,3,0,0,5,18,33,44,83,45,231,0,3,0,5,3,3,3,0,3,20,13,30,31,51,61,55,44,84,58,427,169,491,657,883,957,1012,705,527,272,5673,Walkerville (M)
48340,7,10,7,25,46,163,266,234,98,856,3,3,0,0,7,7,6,0,3,29,25,18,41,72,85,112,115,117,57,642,306,483,1132,1583,1758,1679,1071,648,248,8908,Wattle Range (DC)
48410,14,28,60,87,171,415,937,1086,523,3321,10,20,29,41,46,58,98,181,89,572,120,262,502,379,374,360,389,572,491,3449,1405,4788,9100,7723,6956,5348,4277,3755,1885,45237,West Torrens (C)
48540,12,14,32,54,110,230,371,249,98,1170,4,0,0,5,9,8,11,16,9,62,96,102,181,210,278,254,322,239,82,1764,790,1386,2607,3138,3209,2451,1923,1048,309,16861,Whyalla (C)
52590,0,3,6,0,15,28,53,34,12,151,0,4,0,0,4,0,0,3,0,11,18,17,39,52,48,65,45,47,4,335,81,114,364,427,478,525,347,175,35,2546,Dandaragan (S)
52660,3,0,7,13,25,62,114,117,31,372,0,0,3,4,0,0,0,0,0,7,51,52,79,87,104,79,99,107,93,751,490,758,1633,1781,1711,1311,813,491,198,9186,Dardanup (S)
48640,0,0,3,0,4,22,24,18,24,95,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,7,18,10,45,24,53,169,159,160,174,90,61,42,932,Wudinna (DC)
48750,0,0,5,0,11,45,79,67,53,260,0,0,0,0,0,0,0,3,4,7,6,12,14,25,25,50,39,43,31,245,93,135,277,478,683,861,654,319,120,3620,Yankalilla (DC)
48830,3,0,0,10,48,166,362,316,169,1074,0,0,0,3,0,6,4,6,3,22,23,17,28,23,69,111,147,147,71,636,194,362,761,1022,1559,2015,1713,1032,336,8994,Yorke Peninsula (DC)
49399,3,0,23,22,41,77,65,18,5,254,0,0,4,0,9,4,4,0,0,21,48,49,93,109,119,85,56,27,0,586,139,283,689,665,809,636,269,76,14,3580,Unincorporated SA
49499,9,6,9,16,19,33,25,5,13,135,0,0,6,4,3,7,0,0,0,20,18,35,86,81,106,80,56,61,58,581,116,281,587,478,454,428,228,83,75,2730,
50080,3,12,36,43,100,201,416,423,174,1408,0,4,7,8,6,12,19,17,12,85,118,156,265,334,268,264,259,330,162,2156,1267,1748,3402,4420,4753,4394,3062,2043,754,25843,Albany (C)
52800,32,21,34,50,92,88,45,31,14,407,0,8,7,6,18,39,45,40,11,174,83,295,833,494,249,128,38,17,8,2145,386,830,1809,1327,997,655,229,118,33,6384,Derby-West Kimberley (S)
52870,0,0,0,9,17,45,78,53,24,226,0,0,5,4,7,0,6,7,0,29,14,3,34,43,50,67,48,38,16,313,158,182,432,725,877,920,563,221,75,4153,Donnybrook-Balingup (S)
60610,12,26,27,41,80,182,220,291,106,985,8,3,9,9,10,8,10,6,4,67,70,65,93,153,153,174,222,246,148,1324,883,1231,2217,2511,2654,2340,1678,998,394,14906,Burnie (C)
50210,23,28,82,112,177,368,452,323,154,1719,4,12,18,31,40,26,32,28,8,199,312,322,623,668,659,594,471,459,166,4274,2769,4610,9313,8317,8284,7108,4036,2110,661,47208,Armadale (C)
51680,0,3,0,9,9,25,44,17,8,115,0,0,0,0,0,0,0,0,3,3,18,13,12,47,63,38,37,17,6,251,174,142,306,661,797,624,418,126,28,3276,Chittering (S)
54060,3,3,7,3,12,21,65,40,19,173,0,5,0,0,0,0,0,0,0,5,6,3,21,31,32,37,38,42,10,220,94,125,289,464,531,545,419,205,49,2721,Irwin (S)
54130,0,0,0,0,4,11,18,10,3,46,0,0,3,0,0,0,0,0,0,3,3,0,6,9,12,7,3,6,0,46,23,42,139,149,192,153,70,30,6,804,Jerramungup (S)
54170,19,32,58,99,171,405,667,682,384,2517,4,17,25,28,61,39,36,43,18,271,380,506,829,908,1072,981,692,808,387,6563,6790,10833,16397,21981,24558,20407,9481,5021,1972,117440,Joondalup (C)
51750,0,0,0,0,10,10,11,20,35,86,0,0,0,0,0,0,0,0,0,0,84,66,84,69,78,67,65,68,86,667,369,753,1019,1004,1241,1136,928,598,389,7437,Claremont (T)
51820,13,18,65,155,279,648,1023,805,235,3241,3,7,42,46,55,67,107,155,55,537,283,344,836,864,739,647,591,514,254,5072,3383,6252,14088,14561,12039,8985,5236,2975,942,68461,Cockburn (C)
51890,0,0,13,16,31,94,109,122,36,421,0,0,0,3,6,11,7,6,3,36,25,43,112,111,120,129,79,93,56,768,395,495,1081,1288,1378,1255,666,405,144,7107,Collie (S)
54200,10,17,39,66,111,260,416,348,129,1396,10,6,21,39,19,21,19,33,15,183,185,192,383,513,443,463,365,350,219,3113,2243,3368,6246,7458,7491,6930,4371,2315,770,41192,Kalamunda (S)
89399,140,152,328,424,845,1552,1866,1542,769,7618,25,41,157,160,131,164,191,211,87,1167,1089,2047,3157,2478,2177,1913,1582,1496,1074,17013,11476,30596,58058,52788,47911,38703,21637,11654,4829,277652,Unincorporated ACT
52100,0,3,0,0,6,11,16,17,8,61,0,0,0,0,0,0,0,0,0,0,0,0,6,4,6,10,16,12,0,54,22,40,118,125,162,171,122,74,35,869,Corrigin (S)
52170,0,0,0,0,6,0,14,17,21,58,0,0,0,0,0,0,0,0,0,0,23,51,137,81,81,108,61,59,72,673,223,533,1043,928,1066,1092,648,338,198,6069,Cottesloe (T)
52240,4,0,0,0,7,11,21,15,0,58,0,0,0,3,0,0,0,0,0,3,0,7,8,12,19,12,7,5,6,76,16,49,118,157,160,156,107,49,10,822,Cranbrook (S)
