LGA_MAIN11,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
55390,3,9,10,9,6,10,0,3,0,50,3,4,0,0,0,6,7,3,0,23,3,0,6,6,11,3,3,0,0,32,18,28,55,45,66,52,25,9,0,298,Menzies (S)
55460,6,9,3,12,12,23,56,38,10,169,0,0,3,0,3,0,0,3,3,12,8,15,19,35,43,24,17,21,11,193,110,261,395,457,459,378,233,147,42,2482,Merredin (S)
55530,0,6,0,0,3,6,8,6,0,29,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,10,5,7,0,30,10,29,54,68,67,75,37,21,0,361,Mingenew (S)
55600,0,0,0,6,6,28,33,26,13,112,0,0,0,0,3,0,6,0,0,9,10,8,13,23,29,16,14,11,3,127,90,118,292,346,362,321,179,93,47,1848,Moora (S)
56620,23,21,37,38,49,39,26,8,3,244,0,0,0,3,3,8,6,6,0,26,13,8,21,27,13,11,3,0,0,96,96,119,261,189,159,127,47,17,3,1018,Ngaanyatjarraku (S)
55670,0,0,3,0,6,6,9,13,4,41,0,0,0,0,0,0,0,0,0,0,8,0,3,10,14,10,4,6,0,55,41,29,79,122,135,82,61,42,14,605,Morawa (S)
56860,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,3,0,3,0,13,6,11,16,24,43,40,14,17,3,174,Nungarin (S)
56930,0,0,0,0,0,4,0,5,0,9,0,0,0,0,0,0,0,0,0,0,17,12,14,9,17,20,15,8,6,118,75,115,107,127,235,216,128,84,39,1126,Peppermint Grove (S)
55740,0,0,4,8,6,9,24,21,28,100,0,0,0,0,0,0,0,9,0,9,25,42,108,88,72,92,72,66,54,619,296,605,1137,1115,1194,1045,726,391,223,6732,Mosman Park (T)
55810,0,0,0,6,6,3,10,3,0,28,0,0,0,0,0,0,3,0,0,3,8,8,10,23,20,16,14,0,0,99,24,48,95,108,109,60,50,12,0,506,Mount Magnet (S)
55950,0,0,0,3,0,6,13,7,0,29,0,0,0,0,0,0,0,0,0,0,3,0,3,8,0,0,6,3,0,23,15,24,52,64,80,70,53,31,0,389,Mukinbudin (S)
56020,3,0,0,4,5,7,14,14,0,47,0,0,0,0,0,0,0,4,0,4,7,5,8,6,18,14,11,4,0,73,16,41,106,96,120,82,52,31,0,544,Mullewa (S)
56090,6,3,22,36,69,129,289,228,110,892,0,0,5,12,22,14,15,18,7,93,192,344,699,690,507,401,273,218,100,3424,1577,2175,3392,5319,5962,5086,2957,1402,472,28342,Mundaring (S)
57080,3,10,16,14,16,47,68,37,15,226,0,9,25,6,11,8,8,11,4,82,106,365,1075,387,318,298,136,64,31,2780,544,2211,5738,2236,1824,1776,931,367,122,15749,Perth (C)
57140,0,0,0,0,7,24,18,18,8,75,0,0,0,0,0,0,4,0,0,4,4,0,5,8,18,7,13,8,5,68,28,52,104,134,171,175,140,68,26,898,Pingelly (S)
57210,3,4,0,7,14,38,49,58,28,201,9,6,3,10,0,0,0,3,0,31,17,23,58,65,60,68,42,26,11,370,170,210,447,625,779,755,491,221,88,3786,Plantagenet (S)
57280,5,0,18,31,53,86,45,16,9,263,7,4,8,7,11,23,22,23,11,116,181,295,689,587,530,271,69,16,7,2645,596,1289,3238,2656,2236,1212,282,73,30,11612,Port Hedland (T)
57350,3,0,0,3,6,16,15,16,5,64,0,0,0,0,0,0,0,0,0,0,3,3,6,6,11,13,9,6,6,63,18,24,87,125,173,173,125,73,29,827,Quairading (S)
57420,0,0,6,4,10,17,29,15,6,87,0,0,0,3,0,0,0,0,0,3,3,6,22,18,16,25,22,17,6,135,37,90,320,322,329,258,186,78,15,1635,Ravensthorpe (S)
57490,21,22,92,140,245,451,688,673,252,2584,14,10,19,37,34,36,25,28,13,216,466,521,885,1126,1058,819,823,832,380,6910,4638,7104,13617,15739,14131,9926,6809,3979,1225,77168,Rockingham (C)
57560,9,12,23,37,67,88,52,9,3,300,0,0,12,12,10,10,10,6,0,60,232,406,1090,1114,847,443,99,20,6,4257,796,1667,4889,4600,3608,1807,349,67,14,17797,Roebourne (S)
56160,0,0,0,0,5,3,3,0,0,11,0,0,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,4,4,5,12,19,19,15,10,0,0,84,Murchison (S)
56230,3,4,12,24,47,131,246,164,52,683,0,0,0,7,0,0,8,10,8,33,78,63,101,123,168,206,183,143,45,1110,526,642,1324,1744,2011,2048,1658,848,184,10985,Murray (S)
56300,0,0,0,0,3,9,20,10,4,46,0,0,0,0,3,0,0,0,0,3,0,3,11,7,18,10,15,7,3,74,35,30,101,152,200,283,168,50,14,1033,Nannup (S)
60810,11,6,20,33,77,192,309,459,181,1288,0,0,3,0,7,12,4,12,0,38,78,45,102,154,189,194,235,251,110,1358,794,928,1918,2669,3382,3027,2223,1292,443,16676,Central Coast (M)
61010,0,3,3,9,17,39,41,29,12,153,0,0,0,0,0,6,3,0,3,12,9,8,17,24,31,42,31,25,5,192,56,95,235,261,344,414,271,100,24,1800,Central Highlands (M)
61210,4,4,4,13,42,69,95,114,80,425,0,0,0,0,3,4,7,0,0,14,37,19,46,51,82,62,69,55,18,439,306,390,883,1046,1172,1020,618,324,130,5889,Circular Head (M)
61410,17,20,42,58,129,234,387,580,356,1823,3,4,12,15,21,22,23,17,3,120,141,233,415,425,393,448,471,472,240,3238,1653,2807,5811,6909,7490,7009,4722,2882,1214,40497,Clarence (C)
56370,0,0,0,0,0,7,13,20,5,45,0,0,3,3,0,0,0,0,0,6,0,3,0,3,4,10,6,13,13,52,16,43,76,101,140,102,77,64,31,650,Narembeen (S)
56450,0,0,0,0,3,3,11,3,0,20,0,0,0,0,0,3,0,0,0,3,0,0,3,9,8,5,7,3,0,35,36,32,71,120,140,115,75,23,0,612,Narrogin (S)
61610,17,12,23,38,100,212,292,415,259,1368,3,5,8,6,14,3,3,10,3,55,81,70,144,170,198,195,285,282,165,1590,967,1343,2682,3138,3280,3156,2431,1476,665,19138,Devonport (C)
61810,0,3,8,9,40,74,102,151,59,446,0,0,0,0,6,0,0,4,0,10,15,13,21,48,54,80,81,68,19,399,226,286,610,778,1054,1034,737,447,126,5298,Dorset (M)
62010,0,0,0,0,5,10,15,17,7,54,0,0,0,0,0,0,0,0,3,3,0,0,0,11,6,15,5,0,4,41,12,19,63,76,141,185,111,37,17,661,Flinders (M)
62210,6,7,3,8,40,81,62,75,22,304,0,0,0,0,0,0,3,3,6,12,22,12,31,38,61,76,94,79,32,445,285,287,665,788,993,987,654,323,105,5087,George Town (M)
62410,0,4,3,6,13,57,59,58,24,224,0,0,0,3,0,3,0,7,0,13,7,9,21,15,27,67,88,43,35,312,83,122,310,441,606,878,707,272,108,3527,Glamorgan/Spring Bay (M)
62610,38,38,74,121,209,376,549,749,400,2554,7,9,21,47,52,30,28,30,17,241,151,150,289,344,371,402,538,538,261,3044,1723,2915,5718,5747,6196,5125,3843,2621,1024,34912,Glenorchy (C)
56730,8,9,18,13,34,99,126,138,49,494,0,0,0,3,7,8,0,3,3,24,72,60,102,131,148,173,131,117,54,988,438,524,1085,1328,1501,1518,913,521,178,8006,Northam (S)
56790,0,0,0,6,4,38,76,48,7,179,0,0,0,0,0,0,0,4,0,4,13,7,9,21,44,47,40,27,16,224,84,80,252,429,519,546,387,183,48,2528,Northampton (S)
57000,0,0,0,0,3,8,7,6,3,27,0,0,0,0,0,0,0,0,0,0,3,4,23,17,13,13,5,6,3,87,20,52,200,160,157,116,38,21,6,770,Perenjori (S)
57630,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,3,0,0,18,3,6,6,12,24,25,18,0,0,94,Sandstone (S)
57700,3,8,10,24,45,99,126,95,28,438,0,0,0,6,0,5,6,3,0,20,56,76,147,229,192,165,82,80,54,1081,776,1128,2060,2833,2619,2038,1063,411,128,13056,Serpentine-Jarrahdale (S)
57770,0,0,0,3,4,7,8,15,3,40,0,0,0,3,3,0,0,0,0,6,3,3,9,5,9,11,11,7,0,58,12,30,114,123,123,160,89,48,12,711,Shark Bay (S)
57840,8,8,36,41,57,102,134,214,169,769,0,7,21,11,12,18,17,17,12,115,141,329,567,368,354,382,278,324,301,3044,1560,4251,6842,5291,5274,5016,2666,1723,1106,33729,South Perth (C)
57910,59,76,283,431,538,1153,2108,2230,984,7862,11,65,190,185,241,217,243,308,126,1586,667,1333,3038,2032,1699,1644,1533,1623,1032,14601,6015,14872,34104,28439,24567,20959,14400,9947,4216,157519,Stirling (C)
57980,0,0,7,10,11,33,44,74,48,227,0,0,4,3,9,8,8,0,0,32,51,102,275,169,147,170,133,118,86,1251,659,1811,3331,2346,2143,2124,1366,719,320,14819,Subiaco (C)
58050,33,55,146,255,382,684,817,691,251,3314,6,16,81,121,128,102,108,65,34,661,498,575,1049,1255,1177,929,821,604,301,7209,4676,7374,14995,16946,15361,10921,6132,3049,1005,80459,Swan (C)
58190,3,0,0,0,3,3,9,5,4,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,6,3,8,0,28,9,15,37,47,81,48,32,20,4,293,Tammin (S)
58260,0,0,3,0,6,6,14,7,6,42,0,0,0,0,0,0,0,0,0,0,0,4,5,0,11,7,0,6,8,41,7,26,76,78,92,98,42,29,14,462,Three Springs (S)
62810,12,24,35,46,85,132,226,394,281,1235,0,7,17,17,35,21,30,26,6,159,136,314,427,332,367,374,289,331,287,2857,1449,5109,6825,6381,6748,6228,3507,2386,1286,39919,Hobart (C)
63010,13,6,15,27,79,155,146,196,87,724,0,0,4,3,4,9,13,0,0,33,38,20,54,106,102,132,147,120,36,755,489,606,1421,2155,2299,2332,1472,689,200,11663,Huon Valley (M)
63210,3,0,6,10,30,66,88,77,42,322,0,0,0,3,3,6,3,0,0,15,13,16,12,53,49,49,64,52,19,327,234,257,499,854,1025,925,593,242,85,4714,Kentish (M)
63410,4,0,3,3,8,0,27,21,17,83,0,3,0,0,0,0,0,0,0,3,6,0,16,12,12,15,23,11,6,101,46,63,193,193,234,266,170,79,37,1281,King Island (M)
63610,13,9,16,36,68,118,200,222,143,825,4,0,5,8,5,11,5,3,3,44,75,75,114,147,228,237,236,253,153,1518,1034,1754,3527,4564,4938,4684,2901,1624,607,25633,Kingborough (M)
63810,0,3,9,11,26,83,138,169,77,516,0,0,4,3,5,7,0,3,0,22,17,15,35,56,86,87,92,112,32,532,297,415,962,1243,1448,1565,1042,568,192,7732,Latrobe (M)
64010,51,47,90,166,221,466,589,938,527,3095,0,12,37,57,51,42,34,18,12,263,233,247,399,434,480,523,589,614,323,3842,2612,4903,8133,8385,8428,7592,5210,3323,1600,50186,Launceston (C)
58330,0,0,0,11,13,49,53,38,16,180,0,0,3,0,3,0,0,3,0,9,25,13,18,48,86,74,51,27,5,347,152,150,282,546,821,834,483,174,40,3482,Toodyay (S)
64610,6,8,16,33,52,118,157,196,73,659,0,4,0,0,0,4,3,5,3,19,18,17,56,74,67,132,140,118,43,665,417,508,1110,1664,1845,1816,1270,648,193,9471,Northern Midlands (M)
64810,8,6,7,14,51,107,117,166,72,548,0,0,3,3,0,3,7,6,0,22,48,40,93,93,119,142,132,104,44,815,480,685,1480,1784,2066,1823,1092,628,194,10232,Sorell (M)
65010,0,3,6,15,44,71,93,71,23,326,0,0,0,8,0,7,3,0,0,18,21,15,30,52,68,91,63,33,11,384,192,258,585,819,990,926,583,211,65,4629,Southern Midlands (M)
65210,0,0,3,6,7,35,46,42,8,147,0,3,0,0,0,0,0,0,0,3,7,8,6,14,25,43,32,24,7,166,45,58,176,252,401,478,336,154,39,1939,Tasman (M)
65410,6,5,20,21,64,138,205,228,121,808,4,0,4,6,11,11,3,8,3,50,39,25,40,95,123,134,137,154,64,811,557,618,1246,1704,2135,1961,1416,810,273,10720,Waratah/Wynyard (M)
65610,4,0,7,10,21,55,62,55,16,230,0,0,3,0,0,3,3,3,0,12,17,13,30,42,55,54,78,35,8,332,164,283,565,676,695,585,445,166,35,3614,West Coast (M)
65810,5,6,12,19,75,118,198,263,100,796,0,6,7,6,11,6,11,10,3,60,49,38,73,112,156,156,190,199,123,1096,742,1031,1916,2845,3410,3126,2187,1169,399,16825,West Tamar (M)
69399,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,3,0,3,6,0,0,3,0,0,15,3,7,26,25,24,18,9,0,0,112,
69499,3,6,3,0,10,10,7,6,0,45,0,0,0,0,3,0,3,0,0,6,16,14,39,32,17,17,20,9,0,164,83,103,203,161,152,158,78,22,0,960,
70200,27,73,150,139,181,229,128,77,26,1030,6,6,16,22,29,39,49,32,7,206,169,217,518,495,437,299,170,84,50,2439,844,1690,4179,3948,3875,2703,1014,383,110,18746,Alice Springs (T)
58400,0,3,0,0,0,3,9,4,5,24,0,0,0,0,0,0,4,0,0,4,0,0,3,3,0,6,6,3,0,21,10,9,33,43,59,55,52,13,5,279,Trayning (S)
72300,11,11,22,51,112,162,132,59,13,573,0,0,3,6,8,20,11,4,0,52,185,164,313,467,487,366,186,64,12,2244,814,1404,2127,3230,3215,2317,954,255,43,14359,Litchfield (M)
58470,0,0,0,6,3,3,3,3,0,18,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,6,6,0,0,27,10,20,28,33,31,30,21,3,0,176,Upper Gascoyne (S)
58510,4,15,39,49,72,117,226,316,209,1047,0,24,39,30,23,24,21,36,19,216,117,383,712,431,369,289,272,338,415,3326,1079,3461,7261,4862,3697,2965,1661,1482,1107,27575,Victoria Park (T)
89499,3,4,0,0,3,6,3,0,0,19,0,0,0,6,0,0,0,0,0,6,6,10,13,12,14,8,3,0,3,69,45,84,151,111,79,60,20,0,6,556,
99399,0,3,6,8,39,71,30,0,0,157,3,3,0,3,27,58,44,19,3,160,44,147,453,159,66,41,15,8,0,933,108,264,715,445,418,338,119,31,3,2441,Unincorp. Other Territories
99499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,10,3,0,0,0,27,
58540,0,0,0,3,5,11,16,11,0,46,0,0,0,0,0,0,0,0,0,0,3,0,11,7,5,6,9,4,3,48,14,35,111,137,161,110,72,36,9,685,Victoria Plains (S)
58570,0,11,13,36,56,162,291,446,187,1202,7,10,24,16,21,36,47,95,58,314,94,282,779,435,342,312,194,233,153,2824,737,2883,7670,5326,3950,2806,1499,1219,604,26694,Vincent (T)
58610,0,3,3,6,6,16,32,24,16,106,0,0,0,0,0,3,0,0,0,3,0,8,8,0,27,15,20,21,10,109,44,68,193,197,251,310,206,102,52,1423,Wagin (S)
58680,0,0,0,0,0,3,7,10,0,20,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,6,3,0,21,8,12,37,83,76,60,48,20,0,344,Wandering (S)
58760,37,43,246,377,516,734,934,733,277,3897,17,36,129,189,244,158,137,105,44,1059,653,652,1402,1657,1309,987,854,808,491,8813,6375,10005,22726,24897,19385,13029,7879,4108,1440,109844,Wanneroo (C)
58820,0,4,0,11,12,33,65,55,27,207,0,0,0,0,0,0,7,8,5,20,13,13,20,16,32,25,36,26,11,192,143,179,346,460,543,510,344,168,59,2752,Waroona (S)
58890,0,0,0,0,0,9,13,12,7,41,0,0,0,0,0,0,0,0,0,0,0,3,0,9,9,9,10,3,0,43,16,21,75,130,150,132,84,50,13,671,West Arthur (S)
59030,0,0,0,0,0,4,0,4,0,8,0,0,3,0,0,0,0,0,3,6,0,0,0,3,3,3,3,3,0,15,8,10,45,42,54,37,17,10,3,226,Westonia (S)
59100,0,0,0,0,0,4,9,10,3,26,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,10,9,11,5,49,14,24,78,96,136,98,75,36,11,568,Wickepin (S)
59170,0,3,0,0,7,6,6,8,0,30,0,3,0,0,0,0,0,0,0,3,0,0,3,9,4,7,10,7,4,44,17,42,108,131,148,128,84,47,7,712,Williams (S)
59250,3,7,8,3,15,11,8,0,0,55,0,0,3,0,0,3,0,3,0,9,0,18,41,34,30,12,3,0,0,138,31,125,311,228,210,93,28,6,0,1032,Wiluna (S)
59310,0,0,3,4,3,9,12,13,7,51,0,0,0,0,0,4,0,0,0,4,4,9,12,12,10,0,5,12,0,64,35,53,205,191,212,206,88,60,20,1070,Wongan-Ballidu (S)
59320,0,0,0,0,0,6,0,4,3,13,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,3,0,13,9,11,50,54,77,51,34,13,3,302,Woodanilling (S)
59330,0,0,0,6,3,9,12,11,8,49,0,0,0,0,0,3,0,0,0,3,0,3,0,4,3,7,17,8,4,46,9,33,30,65,69,71,85,39,15,416,Wyalkatchem (S)
59340,25,31,42,52,57,71,62,19,3,362,0,0,18,8,18,21,22,13,4,104,56,79,169,153,136,93,37,11,4,738,316,566,1436,1261,1099,733,280,60,14,5765,Wyndham-East Kimberley (S)
59350,0,0,5,3,0,0,3,0,0,11,0,0,3,0,0,0,0,0,0,3,3,8,17,15,10,9,6,0,0,68,3,57,93,77,55,37,23,3,0,348,Yalgoo (S)
59360,0,3,0,4,6,34,21,15,5,88,0,0,0,0,0,0,0,5,0,5,3,21,38,47,31,21,13,3,0,177,28,124,245,300,270,210,86,48,11,1322,Yilgarn (S)
59370,0,3,4,0,11,34,45,40,8,145,0,0,0,0,3,0,0,0,3,6,14,7,15,28,51,42,34,27,10,228,107,109,273,394,546,611,401,205,47,2693,York (S)
59399,0,0,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,7,26,16,5,3,0,0,0,60,9,38,152,104,70,35,4,6,0,418,
59499,6,6,12,16,20,78,77,11,0,226,3,3,8,6,7,4,0,3,0,34,65,104,315,281,239,192,79,41,9,1325,209,613,1549,1143,1095,1335,608,101,14,6667,
60210,0,0,6,13,34,71,107,100,43,374,3,0,3,0,3,3,3,3,6,24,22,15,23,37,63,104,92,89,38,483,152,178,438,669,976,1221,860,363,142,4999,Break O'Day (M)
60410,18,13,35,29,86,140,152,126,70,669,4,0,0,9,13,7,4,7,0,44,83,65,144,140,185,226,146,68,14,1071,635,913,2063,2185,1993,1787,945,364,126,11011,Brighton (M)
70420,99,113,206,195,132,129,70,12,4,960,16,15,21,42,57,71,48,33,12,315,99,104,188,159,125,84,72,18,3,852,462,595,1093,909,745,611,299,78,22,4814,Barkly (S)
70540,3,6,7,6,7,3,0,3,0,35,0,0,0,0,0,3,0,0,0,3,6,0,5,0,5,0,0,3,0,19,9,9,38,27,24,12,4,6,0,129,Belyuen (S)
70620,62,65,142,83,85,67,17,16,8,545,5,6,11,12,33,49,38,27,12,193,63,63,103,97,48,26,14,11,0,425,241,315,681,501,377,276,101,60,23,2575,Central Desert (S)
70700,3,0,3,3,10,24,14,8,3,68,0,0,0,0,0,3,0,0,0,3,19,11,22,23,26,43,25,4,0,173,43,54,98,143,193,221,102,24,3,881,Coomalie (S)
71000,46,50,159,239,349,558,518,241,69,2229,6,12,58,55,80,113,95,59,10,488,645,821,1995,1536,1318,1041,540,317,89,8302,2417,5553,13475,11443,10402,8228,3678,1288,312,56796,Darwin (C)
71300,150,205,384,307,242,155,84,14,4,1545,21,31,76,59,30,33,27,12,6,295,62,56,89,70,45,30,11,6,3,372,529,805,1630,1277,903,512,177,48,16,5897,East Arnhem (S)
72200,15,15,57,81,107,109,85,36,13,518,3,0,5,16,14,27,11,9,0,85,63,84,174,175,154,135,83,31,10,909,347,672,1479,1409,1245,923,402,127,29,6633,Katherine (T)
72330,135,160,267,245,201,146,41,13,6,1214,6,6,12,19,29,41,41,23,7,184,78,154,326,261,134,40,30,12,3,1038,378,607,1110,904,626,402,151,60,16,4254,MacDonnell (S)
72800,15,9,48,83,100,144,109,64,11,583,3,3,3,21,22,12,17,5,4,90,222,242,491,435,354,233,112,60,35,2184,1144,2342,5111,4639,3240,1870,717,276,68,19407,Palmerston (C)
73600,70,84,131,105,107,96,41,24,0,658,0,9,15,12,13,32,20,16,6,123,77,73,102,113,73,56,32,8,6,540,388,638,998,762,597,433,176,61,21,4074,Roper Gulf (S)
74050,17,11,31,14,32,64,28,13,0,210,7,8,13,10,10,7,6,3,0,64,10,6,25,21,20,4,6,6,0,98,137,196,446,379,302,188,58,22,0,1728,Tiwi Islands (S)
74500,70,93,192,103,91,94,46,9,0,698,0,14,11,14,24,48,49,27,6,193,37,27,48,38,47,29,14,14,0,254,414,549,983,661,554,400,176,64,9,3810,Victoria-Daly (S)
74560,0,0,0,0,0,13,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,8,3,0,0,29,6,6,23,63,87,89,31,12,0,317,Wagait (S)
74660,94,105,146,210,149,116,43,16,6,885,4,10,7,6,6,8,10,0,3,54,41,46,90,79,53,39,14,3,3,368,340,594,1088,998,645,354,111,29,18,4177,West Arnhem (S)
79399,7,0,12,20,27,51,24,0,0,141,0,3,7,6,9,6,3,0,0,34,73,178,424,338,250,117,33,12,0,1425,206,597,1583,1584,1255,761,182,19,3,6190,Unincorporated NT
79499,0,0,6,10,11,24,28,5,0,84,0,0,0,0,0,5,0,0,0,5,7,17,58,42,56,72,29,0,0,281,31,141,365,233,268,439,221,20,0,1718,
