LGA_MAIN11,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
22670,6058,3690,2404,910,51789,Greater Dandenong (C)
30900,22,9,0,0,134,Boulia (S)
31000,63846,32406,18405,8617,523711,Brisbane (C)
36070,23,0,0,0,160,Pormpuraaw (S)
36150,38,26,13,4,295,Quilpie (S)
36250,9920,5457,2921,1158,59570,Redland (C)
36300,46,11,5,6,272,Richmond (S)
36360,6398,3591,2200,867,43189,Rockhampton (R)
36510,2720,1740,743,244,14561,Scenic Rim (R)
36580,1476,922,328,94,7673,Somerset (R)
36630,2044,1357,631,226,11000,South Burnett (R)
36660,2255,1452,758,330,12032,Southern Downs (R)
36710,23819,15937,8547,3316,139462,Sunshine Coast (R)
31750,23,0,0,0,142,Bulloo (S)
31820,6000,4318,2284,781,34045,Bundaberg (R)
31900,938,612,314,125,5914,Burdekin (S)
32070,10151,4931,2047,768,70113,Cairns (R)
32250,116,73,24,3,740,Carpentaria (S)
32260,1802,1106,544,152,10424,Cassowary Coast (R)
32270,1271,481,174,53,11403,Central Highlands (R)
32310,629,420,220,69,4003,Charters Towers (R)
36960,100,30,9,0,1126,Torres Strait Island (R)
37010,9553,4679,2268,866,73999,Townsville (C)
41750,68,21,17,12,338,Elliston (DC)
50910,59,44,20,9,303,Brookton (S)
50980,860,290,93,22,6854,Broome (S)
51080,60,32,9,3,345,Broomehill-Tambellup (S)
51120,47,28,21,13,310,Bruce Rock (S)
51190,2015,1075,707,261,13650,Bunbury (C)
51260,2017,1331,778,236,12986,Busselton (S)
51310,2056,1169,774,413,13848,Cambridge (T)
51330,5579,2896,1500,585,41335,Canning (C)
51400,853,364,122,24,6026,Capel (S)
51470,45,23,4,3,212,Carnamah (S)
51540,386,222,96,24,2310,Carnarvon (S)
51610,102,48,15,0,441,Chapman Valley (S)
32330,15,0,3,0,199,Cherbourg (S)
32450,151,66,25,6,1361,Cloncurry (S)
32500,324,150,33,6,2021,Cook (S)
32600,16,11,4,0,114,Croydon (S)
37300,157,28,5,0,1535,Weipa (T)
37310,1492,799,444,159,10979,Western Downs (R)
37340,2001,1009,436,127,13659,Whitsunday (R)
52030,79,61,19,0,373,Coorow (S)
32750,13,6,0,0,107,Diamantina (S)
40120,4080,1910,682,242,19115,Adelaide Hills (DC)
40220,2067,1635,785,205,10118,Alexandrina (DC)
32770,11,0,0,0,154,Doomadgee (S)
33100,60,54,12,0,311,Etheridge (S)
33200,92,50,20,9,564,Flinders (S)
33220,7063,5301,2662,946,37880,Fraser Coast (R)
33360,3211,1522,616,164,23572,Gladstone (R)
33430,32087,19530,10652,4570,226555,Gold Coast (C)
33610,471,348,155,62,3733,Goondiwindi (R)
33620,3294,2208,1031,397,17398,Gympie (R)
33800,737,461,310,74,4139,Hinchinbrook (S)
33830,28,10,0,3,296,Hope Vale (S)
33960,7680,4033,2010,660,62265,Ipswich (C)
34420,28,10,0,0,211,Kowanyama (S)
34570,15,4,3,0,150,Lockhart River (S)
34580,1922,1183,522,184,12489,Lockyer Valley (R)
34590,14705,7253,3081,1073,103636,Logan (C)
34710,192,72,62,27,1549,Longreach (R)
34770,6056,2840,1489,538,45753,Mackay (R)
34800,59,23,15,3,448,McKinlay (S)
34830,15,3,0,0,70,Mapoon (S)
34860,601,264,156,42,4844,Maranoa (R)
35010,22662,13030,6433,2486,153562,Moreton Bay (R)
35250,43,8,0,0,232,Mornington (S)
35300,897,399,156,28,9154,Mount Isa (C)
35600,232,113,70,25,1591,Murweh (S)
35670,14,0,0,0,104,Napranum (S)
35760,617,431,210,103,3446,North Burnett (R)
35780,74,13,6,3,699,Northern Peninsula Area (R)
35790,42,13,6,0,436,Palm Island (S)
35800,92,54,19,6,594,Paroo (S)
37400,66,59,32,3,452,Winton (S)
37550,15,0,3,0,162,Woorabinda (S)
40250,62,13,6,3,478,Anangu Pitjantjatjara (AC)
37570,9,0,0,0,61,Wujal Wujal (S)
37600,39,0,0,0,399,Yarrabah (S)
39499,1421,711,167,29,6641,
40070,1491,849,394,207,12169,Adelaide (C)
40700,4303,2706,1600,829,23085,Burnside (C)
40910,2764,2024,1258,475,21276,Campbelltown (C)
41010,197,87,37,13,1143,Ceduna (DC)
41060,6418,3713,2650,1345,45408,Charles Sturt (C)
41140,688,371,191,73,3496,Clare and Gilbert Valleys (DC)
41190,95,46,32,14,580,Cleve (DC)
41330,141,126,36,0,721,Coober Pedy (DC)
41830,144,77,30,13,670,Flinders Ranges (DC)
41960,103,45,22,6,456,Franklin Harbour (DC)
42030,1212,727,563,173,8038,Gawler (T)
42110,278,183,83,36,1462,Goyder (DC)
42250,509,253,101,52,2932,Grant (DC)
42600,3148,1700,1331,838,18073,Holdfast Bay (C)
42750,370,206,77,42,1795,Kangaroo Island (DC)
