LGA_MAIN11,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot,LGA_NAME11
52520,51,29,17,6,368,Dalwallinu (S)
52590,248,167,74,15,1330,Dandaragan (S)
50280,902,452,227,76,5480,Augusta-Margaret River (S)
53080,61,48,10,4,462,Dundas (S)
53220,547,72,11,0,6634,East Pilbara (S)
53290,707,482,265,98,5112,Esperance (S)
53360,158,87,26,7,1124,Exmouth (S)
53430,2369,1239,722,302,14564,Fremantle (C)
53520,2022,1036,562,176,14101,Geraldton-Greenough (C)
53570,422,267,97,23,1839,Gingin (S)
53640,74,23,3,0,375,Gnowangerup (S)
53920,135,42,12,12,878,Halls Creek (S)
53990,1425,735,304,69,9216,Harvey (S)
54060,252,182,87,17,1345,Irwin (S)
54410,57,49,19,6,345,Kellerberrin (S)
54480,25,9,3,0,170,Kent (S)
54550,104,57,36,6,652,Kojonup (S)
54620,51,30,6,3,387,Kondinin (S)
54760,47,17,10,0,242,Kulin (S)
56580,2181,1220,632,316,11339,Nedlands (C)
51960,197,69,10,7,1443,Coolgardie (S)
55460,152,68,37,17,1099,Merredin (S)
57420,127,85,30,9,879,Ravensthorpe (S)
57490,5107,3159,1833,597,42628,Rockingham (C)
57140,60,38,27,11,358,Pingelly (S)
79499,250,115,4,0,1090,
56020,34,22,13,0,258,Mullewa (S)
56090,3211,1748,729,214,17572,Mundaring (S)
57560,1207,198,33,3,12451,Roebourne (S)
62410,426,343,113,58,1711,Glamorgan/Spring Bay (M)
62610,2314,1573,1098,410,16835,Glenorchy (C)
62810,4484,2229,1332,678,27089,Hobart (C)
63010,1196,688,272,69,6036,Huon Valley (M)
56230,953,743,398,84,5412,Murray (S)
56300,162,84,28,3,542,Nannup (S)
