yr,land_area_ha,protected_areas_indig_protected_area_num,protected_areas_national_parks_num,protected_areas_nature_reserves_num,protected_areas_all_oth_protected_areas_num,protected_areas_tot_num,protected_areas_indig_protected_area_ha,protected_areas_national_parks_ha,protected_areas_nature_reserves_ha,protected_areas_all_oth_protected_areas_ha,protected_areas_tot_ha,protected_areas_indig_protected_area_pr100,protected_areas_national_parks_pr100,protected_areas_nature_reserves_pr100,protected_areas_all_oth_protected_areas_pr100,protected_areas_tot_pr100,solar_instl_small_scale_solar_panel_sys_instl_num,solar_instl_increase_instl_prev_yr_pr100,solar_instl_solar_water_heater_instl_num,solar_instl_increase_swh_instl_prev_yr_pr100,lga_code18,lga_name18,ogc_fid
2018,17011.5,,,,,,,,,,,,,,,,,,,,11250,Broken Hill (C),1
2017,,,,,,,,,,,,,,,,,3140.0,11.1,139.0,1.5,11250,Broken Hill (C),2
2016,,,,,,,,,,,,,,,,,2826.0,7.5,137.0,0.7,11250,Broken Hill (C),3
2014,,,,,,,,,,,,,,,,,2800.0,,458.0,,48830,Yorke Peninsula (DC),52
2018,589960.8,,,,,,,,,,,,,,,,,,,,48830,Yorke Peninsula (DC),53
2017,,,,,,,,,,,,,,,,,3236.0,4.9,503.0,1.2,48830,Yorke Peninsula (DC),54
2016,,1.0,1.0,,53.0,55.0,2126.0,9419.0,,22479.0,34024.0,0.4,1.6,,3.8,5.8,3086.0,4.9,497.0,2.3,48830,Yorke Peninsula (DC),55
2018,3735.1,,,,,,,,,,,,,,,,,,,,24600,Melbourne (C),56
2017,,,,,,,,,,,,,,,,,800.0,12.7,684.0,1.8,24600,Melbourne (C),57
2016,,,,,,,,,,,,,,,,,710.0,11.3,672.0,4.3,24600,Melbourne (C),58
2015,,,,,,,,,,,,,,,,,638.0,20.4,644.0,7.3,24600,Melbourne (C),59
2015,,,,,,,,,,,,,,,,,2628.0,10.0,136.0,2.3,11250,Broken Hill (C),4
2014,,,,,,,,,,,,,,,,,2389.0,,133.0,,11250,Broken Hill (C),5
2018,83222.9,,,,,,,,,,,,,,,,,,,,58820,Waroona (S),6
2017,,,,,,,,,,,,,,,,,551.0,16.7,763.0,6.9,58820,Waroona (S),7
2016,,,4.0,3.0,1.0,8.0,,17945.0,554.0,1.0,18500.0,,21.6,0.7,,22.2,472.0,15.1,714.0,7.0,58820,Waroona (S),8
2015,,,,,,,,,,,,,,,,,410.0,16.5,667.0,7.6,58820,Waroona (S),9
2014,,,,,,,,,,,,,,,,,352.0,,620.0,,58820,Waroona (S),10
2018,1295721.1,,,,,,,,,,,,,,,,,,,,36910,Toowoomba (R),11
2017,,,,,,,,,,,,,,,,,15853.0,9.3,5900.0,4.0,36910,Toowoomba (R),12
2016,,,9.0,,7.0,16.0,,8237.0,,194.0,8431.0,,0.6,,,0.7,14506.0,5.5,5673.0,3.9,36910,Toowoomba (R),13
2015,,,,,,,,,,,,,,,,,13755.0,8.4,5459.0,5.2,36910,Toowoomba (R),14
2014,,,,,,,,,,,,,,,,,12693.0,,5191.0,,36910,Toowoomba (R),15
2018,283182.7,,,,,,,,,,,,,,,,,,,,58890,West Arthur (S),16
2017,,,,,,,,,,,,,,,,,91.0,12.3,76.0,7.0,58890,West Arthur (S),17
2016,,,2.0,16.0,6.0,24.0,,7644.0,3075.0,1067.0,11786.0,,2.7,1.1,0.4,4.2,81.0,20.9,71.0,2.9,58890,West Arthur (S),18
2015,,,,,,,,,,,,,,,,,67.0,15.5,69.0,13.1,58890,West Arthur (S),19
2014,,,,,,,,,,,,,,,,,58.0,,61.0,,58890,West Arthur (S),20
2018,204147.5,,,,,,,,,,,,,,,,,,,,35010,Moreton Bay (R),21
2017,,,,,,,,,,,,,,,,,60607.0,8.5,19894.0,4.2,35010,Moreton Bay (R),22
2016,,,7.0,1.0,32.0,40.0,,22306.0,212.0,6548.0,29065.0,,10.9,0.1,3.2,14.2,55843.0,7.0,19101.0,4.6,35010,Moreton Bay (R),23
2015,,,,,,,,,,,,,,,,,52203.0,9.5,18254.0,5.4,35010,Moreton Bay (R),24
2014,,,,,,,,,,,,,,,,,47668.0,,17314.0,,35010,Moreton Bay (R),25
2018,3919929.5,,,,,,,,,,,,,,,,,,,,33100,Etheridge (S),26
2017,,,,,,,,,,,,,,,,,71.0,18.3,51.0,4.1,33100,Etheridge (S),27
2016,,,5.0,,21.0,26.0,,308022.0,,166084.0,474106.0,,7.9,,4.2,12.1,60.0,7.1,49.0,2.1,33100,Etheridge (S),28
2015,,,,,,,,,,,,,,,,,56.0,7.7,48.0,2.1,33100,Etheridge (S),29
2014,,,,,,,,,,,,,,,,,52.0,,47.0,,33100,Etheridge (S),30
2014,,,,,,,,,,,,,,,,,530.0,,600.0,,24600,Melbourne (C),60
2018,392632.3,,,,,,,,,,,,,,,,,,,,48340,Wattle Range (DC),61
2017,,,,,,,,,,,,,,,,,1485.0,7.7,175.0,1.2,48340,Wattle Range (DC),62
2016,,,,,65.0,65.0,,,,20384.0,20384.0,,,,5.2,5.2,1379.0,10.5,173.0,8.8,48340,Wattle Range (DC),63
2015,,,,,,,,,,,,,,,,,1248.0,11.2,159.0,12.0,48340,Wattle Range (DC),64
2018,255101.3,,,,,,,,,,,,,,,,,,,,58540,Victoria Plains (S),31
2014,,,,,,,,,,,,,,,,,1122.0,,142.0,,48340,Wattle Range (DC),65
2018,925965.4,,,,,,,,,,,,,,,,,,,,13660,Gwydir (A),66
2017,,,,,,,,,,,,,,,,,596.0,22.1,186.0,3.3,13660,Gwydir (A),67
2016,,,7.0,2.0,3.0,12.0,,21777.0,896.0,3081.0,25754.0,,2.4,0.1,0.3,2.8,488.0,15.6,180.0,1.7,13660,Gwydir (A),68
2015,,,,,,,,,,,,,,,,,422.0,25.2,177.0,3.5,13660,Gwydir (A),69
2014,,,,,,,,,,,,,,,,,337.0,,171.0,,13660,Gwydir (A),70
2018,10150.7,,,,,,,,,,,,,,,,,,,,12850,Fairfield (C),71
2017,,,,,,,,,,,,,,,,,9008.0,8.7,2269.0,2.1,12850,Fairfield (C),72
2016,,,,,,,,,,,,,,,,,8285.0,5.7,2223.0,2.3,12850,Fairfield (C),73
2015,,,,,,,,,,,,,,,,,7837.0,7.4,2172.0,2.7,12850,Fairfield (C),74
2014,,,,,,,,,,,,,,,,,7299.0,,2115.0,,12850,Fairfield (C),75
2018,468782.4,,,,,,,,,,,,,,,,,,,,32260,Cassowary Coast (R),1329
2017,,,,,,,,,,,,,,,,,2746.0,15.2,807.0,1.4,32260,Cassowary Coast (R),1330
2016,,1.0,24.0,1.0,22.0,48.0,3053.0,274252.0,25.0,1329.0,278658.0,0.7,58.5,,0.3,59.4,2383.0,12.0,796.0,3.0,32260,Cassowary Coast (R),1331
2015,,,,,,,,,,,,,,,,,2127.0,11.8,773.0,2.9,32260,Cassowary Coast (R),1332
2014,,,,,,,,,,,,,,,,,1902.0,,751.0,,32260,Cassowary Coast (R),1333
2014,,,,,,,,,,,,,,,,,143.0,,57.0,,13850,Hay (A),2035
2018,235817.2,,,,,,,,,,,,,,,,,,,,89399,Unincorporated ACT,2036
2017,,,,,,,,,,,,,,,,,19473.0,11.1,9117.0,3.8,89399,Unincorporated ACT,2037
2016,,,1.0,45.0,2.0,48.0,,77776.0,24090.0,28959.0,130826.0,,33.0,10.2,12.3,55.5,17528.0,6.0,8785.0,5.1,89399,Unincorporated ACT,2038
2015,,,,,,,,,,,,,,,,,16530.0,6.9,8355.0,6.6,89399,Unincorporated ACT,2039
2014,,,,,,,,,,,,,,,,,15469.0,,7838.0,,89399,Unincorporated ACT,2040
2018,172760.7,,,,,,,,,,,,,,,,,,,,53990,Harvey (S),2041
2017,,,,,,,,,,,,,,,,,3304.0,13.3,1827.0,4.9,53990,Harvey (S),2042
2016,,,5.0,11.0,5.0,21.0,,4531.0,1231.0,103.0,5864.0,,2.6,0.7,0.1,3.4,2916.0,13.5,1741.0,6.0,53990,Harvey (S),2043
2015,,,,,,,,,,,,,,,,,2569.0,15.4,1643.0,7.0,53990,Harvey (S),2044
2014,,,,,,,,,,,,,,,,,2226.0,,1536.0,,53990,Harvey (S),2045
2017,,,,,,,,,,,,,,,,,83.0,22.1,68.0,1.5,58540,Victoria Plains (S),32
2015,,,,,,,,,,,,,,,,,1419.0,12.4,676.0,5.8,26610,Swan Hill (RC),99
2014,,,,,,,,,,,,,,,,,1262.0,,639.0,,26610,Swan Hill (RC),100
2018,595761.4,,,,,,,,,,,,,,,,,,,,16200,Parkes (A),101
2017,,,,,,,,,,,,,,,,,1391.0,10.0,225.0,1.4,16200,Parkes (A),102
2016,,,1.0,1.0,1.0,3.0,,16093.0,2858.0,72.0,19024.0,,2.7,0.5,,3.2,1264.0,8.2,222.0,1.4,16200,Parkes (A),103
2015,,,,,,,,,,,,,,,,,1168.0,14.1,219.0,4.3,16200,Parkes (A),104
2014,,,,,,,,,,,,,,,,,1024.0,,210.0,,16200,Parkes (A),105
2018,60046.2,,,,,,,,,,,,,,,,,,,,63810,Latrobe (M) (Tas.),106
2017,,,,,,,,,,,,,,,,,717.0,11.2,127.0,3.3,63810,Latrobe (M) (Tas.),107
2016,,,1.0,1.0,15.0,17.0,,3039.0,49.0,3744.0,6833.0,,5.1,0.1,6.2,11.4,645.0,10.6,123.0,5.1,63810,Latrobe (M) (Tas.),108
2015,,,,,,,,,,,,,,,,,583.0,8.6,117.0,3.5,63810,Latrobe (M) (Tas.),109
2014,,,,,,,,,,,,,,,,,537.0,,113.0,,63810,Latrobe (M) (Tas.),110
2018,142561.3,,,,,,,,,,,,,,,,,,,,23810,Latrobe (C) (Vic.),111
2017,,,,,,,,,,,,,,,,,5851.0,10.9,2717.0,8.5,23810,Latrobe (C) (Vic.),112
2016,,,2.0,,17.0,19.0,,41.0,,2630.0,2671.0,,,,1.8,1.9,5276.0,7.9,2505.0,9.4,23810,Latrobe (C) (Vic.),113
2015,,,,,,,,,,,,,,,,,4891.0,9.5,2289.0,10.7,23810,Latrobe (C) (Vic.),114
2014,,,,,,,,,,,,,,,,,4468.0,,2067.0,,23810,Latrobe (C) (Vic.),115
2018,9136.8,,,,,,,,,,,,,,,,,,,,23430,Kingston (C) (Vic.),116
2017,,,,,,,,,,,,,,,,,6539.0,10.8,2470.0,9.7,23430,Kingston (C) (Vic.),117
2016,,,,,,,,,,,,,,,,,5903.0,8.1,2251.0,7.0,23430,Kingston (C) (Vic.),118
2015,,,,,,,,,,,,,,,,,5462.0,14.1,2103.0,13.2,23430,Kingston (C) (Vic.),119
2014,,,,,,,,,,,,,,,,,4785.0,,1858.0,,23430,Kingston (C) (Vic.),120
2018,286208.3,,,,,,,,,,,,,,,,,,,,24850,Mitchell (S),121
2017,,,,,,,,,,,,,,,,,3676.0,11.3,3025.0,9.6,24850,Mitchell (S),122
2016,,,1.0,,45.0,46.0,,7040.0,,2833.0,9873.0,,2.5,,1.0,3.5,3304.0,12.1,2759.0,8.5,24850,Mitchell (S),123
2015,,,,,,,,,,,,,,,,,2947.0,13.4,2542.0,9.4,24850,Mitchell (S),124
2014,,,,,,,,,,,,,,,,,2599.0,,2324.0,,24850,Mitchell (S),125
2016,,,,11.0,,11.0,,,1038.0,,1038.0,,,0.4,,0.4,68.0,21.4,67.0,8.1,58540,Victoria Plains (S),33
2018,79449.6,,,,,,,,,,,,,,,,,,,,40120,Adelaide Hills (DC),126
2017,,,,,,,,,,,,,,,,,5549.0,8.1,1888.0,2.4,40120,Adelaide Hills (DC),127
2016,,,1.0,,100.0,101.0,,975.0,,6323.0,7298.0,,1.2,,8.0,9.2,5134.0,5.7,1843.0,2.8,40120,Adelaide Hills (DC),128
2015,,,,,,,,,,,,,,,,,4858.0,7.5,1792.0,2.8,40120,Adelaide Hills (DC),129
2014,,,,,,,,,,,,,,,,,4517.0,,1744.0,,40120,Adelaide Hills (DC),130
2018,236933.0,,,,,,,,,,,,,,,,,,,,54060,Irwin (S),131
2017,,,,,,,,,,,,,,,,,493.0,16.0,557.0,6.1,54060,Irwin (S),132
2016,,,,5.0,2.0,7.0,,,28993.0,43.0,29036.0,,,12.2,,12.3,425.0,11.8,525.0,7.1,54060,Irwin (S),133
2015,,,,,,,,,,,,,,,,,380.0,12.4,490.0,3.4,54060,Irwin (S),134
2014,,,,,,,,,,,,,,,,,338.0,,474.0,,54060,Irwin (S),135
2018,2208248.5,,,,,,,,,,,,,,,,,,,,24780,Mildura (RC),136
2017,,,,,,,,,,,,,,,,,3671.0,15.0,3389.0,3.7,24780,Mildura (RC),137
2016,,,4.0,,187.0,191.0,,849052.0,,197529.0,1046581.0,,38.5,,9.0,47.4,3191.0,11.1,3267.0,3.8,24780,Mildura (RC),138
2015,,,,,,,,,,,,,,,,,2871.0,12.4,3146.0,4.0,24780,Mildura (RC),139
2014,,,,,,,,,,,,,,,,,2555.0,,3026.0,,24780,Mildura (RC),140
2018,280718.9,,,,,,,,,,,,,,,,,,,,33800,Hinchinbrook (S),141
2017,,,,,,,,,,,,,,,,,1383.0,9.0,95.0,,33800,Hinchinbrook (S),142
2016,,1.0,4.0,,4.0,9.0,11300.0,80211.0,,1883.0,93394.0,4.0,28.6,,0.7,33.3,1269.0,8.1,95.0,,33800,Hinchinbrook (S),143
2015,,,,,,,,,,,,,,,,,1174.0,8.9,95.0,3.3,33800,Hinchinbrook (S),144
2014,,,,,,,,,,,,,,,,,1078.0,,92.0,,33800,Hinchinbrook (S),145
2018,674193.2,,,,,,,,,,,,,,,,,,,,41750,Elliston (DC),146
2017,,,,,,,,,,,,,,,,,154.0,12.4,25.0,8.7,41750,Elliston (DC),147
2016,,,,,46.0,46.0,,,,143602.0,143602.0,,,,21.3,21.3,137.0,12.3,23.0,,41750,Elliston (DC),148
2015,,,,,,,,,,,,,,,,,122.0,10.9,23.0,9.5,41750,Elliston (DC),149
2014,,,,,,,,,,,,,,,,,110.0,,21.0,,41750,Elliston (DC),150
2016,,,10.0,3.0,7.0,20.0,,79703.0,6060.0,790.0,86552.0,,26.1,2.0,0.3,28.3,183.0,15.8,122.0,3.4,56300,Nannup (S),1376
2015,,,,,,,,,,,,,,,,,56.0,24.4,62.0,12.7,58540,Victoria Plains (S),34
2014,,,,,,,,,,,,,,,,,9021.0,,7230.0,,17550,Tweed (A),215
2018,657026.7,,,,,,,,,,,,,,,,,,,,36370,Rockhampton (R),216
2017,,,,,,,,,,,,,,,,,7404.0,11.0,4929.0,3.1,36370,Rockhampton (R),217
2016,,,2.0,,10.0,12.0,,28230.0,,7145.0,35375.0,,4.3,,1.1,5.4,6672.0,8.6,4780.0,3.6,36370,Rockhampton (R),218
