lga_code16,p_1_149_om_uie,p_1_149_cfw,p_1_149_es_ns,p_1_149_tot,p_150_299_e,p_150_299_om_ie,p_150_299_om_uie,p_150_299_cfw,p_150_299_es_ns,p_150_299_tot,p_300_399_e,p_300_399_om_ie,p_300_399_om_uie,p_300_399_cfw,p_300_399_es_ns,p_300_399_tot,p_400_499_e,p_400_499_om_ie,p_400_499_om_uie,p_400_499_cfw,p_400_499_es_ns,p_400_499_tot,p_500_649_e,p_500_649_om_ie,p_500_649_om_uie,p_500_649_cfw,p_500_649_es_ns,p_500_649_tot,p_650_799_e,p_650_799_om_ie,p_650_799_om_uie,p_650_799_cfw,p_650_799_es_ns,p_650_799_tot,p_800_999_e,p_800_999_om_ie,p_800_999_om_uie,p_800_999_cfw,p_800_999_es_ns,p_800_999_tot,p_1000_1249_e,p_1000_1249_om_ie,p_1000_1249_om_uie,p_1000_1249_cfw,p_1000_1249_es_ns,p_1000_1249_tot,p_1250_1499_e,p_1250_1499_om_ie,p_1250_1499_om_uie,p_1250_1499_cfw,p_1250_1499_es_ns,p_1250_1499_tot,p_1500_1749_e,p_1500_1749_om_ie,p_1500_1749_om_uie,p_1500_1749_cfw,p_1500_1749_es_ns,p_1500_1749_tot,p_1750_1999_e,p_1750_1999_om_ie,p_1750_1999_om_uie,p_1750_1999_cfw,p_1750_1999_es_ns,p_1750_1999_tot,p_2000_2999_e,p_2000_2999_om_ie,p_2000_2999_om_uie,p_2000_2999_cfw,p_2000_2999_es_ns,p_2000_2999_tot,p_3000mor_e,p_3000mor_om_ie,p_3000mor_om_uie,p_3000mor_cfw,p_3000mor_es_ns,p_3000mor_tot,p_persinc_ns_e,p_persinc_ns_om_ie,p_persinc_ns_om_uie,p_persinc_ns_cfw,p_persinc_ns_es_ns,p_persinc_ns_tot,p_tot_e,p_tot_om_ie,p_tot_om_uie,p_tot_cfw,p_tot_es_ns,p_tot_tot,lga_name16
10050,38,28,7,1033,855,18,58,31,10,965,920,44,118,30,15,1134,1328,38,119,29,16,1534,2136,89,179,29,25,2457,2793,127,194,21,27,3164,3230,143,193,15,16,3599,2851,185,195,22,28,3284,1986,145,125,18,19,2294,1437,173,96,5,9,1718,1011,91,52,3,3,1165,1099,137,95,9,10,1345,254,196,89,4,0,540,347,15,27,10,21,431,21280,1419,1605,299,212,24820,Albury (C)
10130,30,28,7,568,530,32,51,42,5,665,549,18,71,47,13,691,694,39,99,50,14,889,1073,44,122,46,19,1307,1413,76,144,45,13,1689,1319,89,146,18,7,1591,1288,86,161,23,9,1570,841,64,72,13,3,994,773,60,67,5,8,921,553,33,33,5,5,626,766,55,59,11,6,884,214,67,63,0,0,341,167,16,28,14,18,240,10721,696,1153,401,130,13097,Armidale Regional (A)
10250,54,33,7,673,415,9,101,33,17,577,607,38,122,40,15,824,882,41,167,30,14,1144,1403,90,224,43,17,1784,1787,99,229,14,16,2145,1686,111,236,33,16,2089,1350,146,216,16,15,1745,776,94,127,11,3,1015,569,119,116,13,13,830,517,73,62,4,0,654,480,118,82,8,6,693,143,135,78,8,4,366,163,14,21,15,27,238,11398,1109,1874,353,181,14913,Ballina (A)
10300,0,0,0,9,24,0,9,5,4,39,38,3,9,4,0,49,44,3,5,0,0,53,56,13,20,9,0,100,84,7,13,3,0,103,94,8,7,12,6,126,75,6,12,4,0,103,42,12,4,0,0,58,28,3,5,4,0,37,10,6,4,0,0,21,17,4,4,5,0,36,3,5,6,0,0,14,12,4,3,4,0,26,545,80,104,61,13,795,Balranald (A)
10470,27,21,17,701,620,17,77,47,16,779,658,27,90,36,17,827,858,35,110,33,13,1053,1381,75,168,39,23,1679,1758,80,147,24,26,2033,2038,127,143,25,14,2347,1863,137,149,19,19,2187,1303,86,97,10,8,1507,1128,121,84,17,16,1370,918,53,47,8,4,1031,945,98,78,4,0,1127,228,88,55,9,7,395,210,12,26,14,14,279,14588,976,1322,362,201,17455,Bathurst Regional (A)
10550,54,29,5,525,394,29,137,47,14,617,469,34,135,43,17,700,704,38,141,32,23,945,1086,100,198,29,19,1420,1236,112,189,35,14,1589,1359,113,156,28,23,1676,1175,120,155,13,19,1481,687,99,107,12,9,905,496,87,57,7,10,659,386,27,48,3,3,474,330,69,32,3,8,445,92,39,49,5,3,191,134,24,21,15,17,202,9000,900,1499,350,194,11940,Bega Valley (A)
10600,18,15,0,164,110,4,56,30,4,209,126,12,75,17,8,234,207,17,75,8,6,306,294,18,117,17,14,460,368,33,87,5,9,496,339,29,77,13,8,463,290,20,47,3,3,369,191,25,36,6,3,259,128,13,23,3,0,171,106,10,10,7,0,134,122,15,17,3,0,154,35,12,21,0,0,68,34,8,11,11,8,69,2479,222,676,168,70,3609,Bellingen (A)
10650,7,9,3,94,69,11,22,20,3,122,104,19,30,15,8,177,144,25,34,12,0,218,234,36,48,29,7,349,278,27,40,6,9,366,300,31,41,12,4,383,229,30,48,10,3,324,136,27,15,8,3,189,97,18,21,6,0,147,63,13,8,0,0,80,55,23,12,7,0,100,9,14,13,7,0,47,36,4,10,3,5,61,1831,279,360,183,59,2709,Berrigan (A)
10750,182,74,30,3460,3363,104,381,102,66,4009,3328,191,414,118,57,4106,4078,244,516,89,76,5003,6595,512,693,93,97,7994,10227,577,751,67,118,11737,13438,792,690,76,136,15138,14158,898,681,43,108,15890,9584,711,420,29,60,10800,7550,671,267,31,39,8556,5395,398,153,7,27,5978,6259,649,224,16,34,7181,2183,621,191,15,24,3032,1402,105,80,26,107,1724,91085,6561,5723,984,999,105352,Blacktown (C)
10800,4,9,3,85,62,3,30,17,0,111,85,6,24,18,6,138,126,6,36,18,3,190,202,14,45,28,3,297,182,13,33,24,7,253,197,24,69,16,3,309,198,26,67,15,0,301,134,15,45,6,0,201,140,15,32,6,3,196,78,7,23,3,0,112,152,8,22,7,0,194,40,8,31,12,4,100,31,4,14,11,4,67,1697,157,481,233,40,2599,Bland (A)
