lga_code16,p_75ov_ewft,p_75ov_ewpt,p_75ov_eafw,p_75ov_ehw_ns,p_75ov_tot,p_tot_ewft,p_tot_ewpt,p_tot_eafw,p_tot_ehw_ns,p_tot_tot,lga_name16
10050,23,60,7,11,104,14305,9118,966,426,24820,Albury (C)
10130,63,67,10,4,144,7585,4776,487,254,13097,Armidale Regional (A)
10250,48,77,3,13,146,7814,6333,487,277,14913,Ballina (A)
10300,0,4,0,0,9,487,257,28,28,795,Balranald (A)
10470,46,78,10,11,146,10491,5940,679,343,17455,Bathurst Regional (A)
10550,40,61,8,8,118,6246,4922,531,244,11940,Bega Valley (A)
10600,25,30,5,9,65,1731,1653,139,82,3609,Bellingen (A)
10650,18,29,3,6,55,1552,960,126,79,2709,Berrigan (A)
10750,68,136,19,22,238,69939,30163,2775,2479,105352,Blacktown (C)
10800,34,24,8,6,69,1674,751,91,80,2599,Bland (A)
10850,30,22,3,12,65,1976,753,129,69,2922,Blayney (A)
10900,33,100,4,3,150,8722,8834,610,289,18452,Blue Mountains (C)
10950,19,12,4,0,42,900,321,40,33,1298,Bogan (A)
11100,42,69,9,13,130,32744,12046,1734,980,47503,Botany Bay (C)
11150,8,6,0,3,19,752,235,31,28,1047,Bourke (A)
11200,0,4,0,0,4,351,107,18,22,499,Brewarrina (A)
11250,10,14,8,8,48,4261,2111,315,163,6845,Broken Hill (C)
13910,58,56,0,10,134,4154,2394,242,176,6958,Hilltops (A)
14000,80,202,15,14,301,23490,16867,1251,681,42292,Hornsby (A)
14100,12,40,0,3,49,2343,1845,130,75,4397,Hunters Hill (A)
14170,99,190,8,19,327,38125,21451,1633,1194,62403,Inner West (A)
14200,49,40,8,20,115,3710,2197,231,180,6324,Inverell (A)
14300,12,14,0,3,26,1200,524,70,40,1836,Junee (A)
14350,31,39,6,14,91,4951,3681,413,288,9329,Kempsey (A)
14400,16,34,0,6,54,2428,2660,196,82,5363,Kiama (A)
14500,57,327,14,17,415,15381,13486,881,471,30220,Ku-ring-gai (A)
14550,33,24,4,8,71,1532,1044,82,63,2725,Kyogle (A)
14600,33,29,3,8,74,1476,695,92,79,2347,Lachlan (A)
14650,54,147,12,25,242,31614,23140,2098,911,57757,Lake Macquarie (C)
14700,25,67,4,7,105,10630,4710,389,256,15982,Lane Cove (A)
14750,26,23,3,7,61,3087,1200,172,117,4576,Leeton (A)
14850,61,66,7,26,159,11108,7917,659,408,20090,Lismore (C)
14870,20,38,0,6,62,4550,2447,298,149,7444,Lithgow (C)
14900,75,109,16,16,206,43967,20300,1935,1684,67886,Liverpool (C)
14920,25,27,4,3,63,1682,806,99,69,2654,Liverpool Plains (A)
