LGA_MAIN11,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P,LGA_NAME11
10750,3197,2808,6005,10181,9265,19446,3521,3367,6888,1291,1228,2519,14993,13860,28853,6941,6615,13556,3357,3415,6772,1152,1087,2239,11450,11117,22567,885,852,1737,484,905,1389,1266,685,1951,1302,1958,3260,66,47,113,4003,4447,8450,2556,3207,5763,612,884,1496,415,491,906,1120,1542,2662,43,48,91,4746,6172,10918,409,490,899,548,902,1450,20,33,53,977,1425,2402,10424,9447,19871,49790,49276,99066,Blacktown (C)
10050,437,405,842,1103,1128,2231,542,453,995,276,339,615,1921,1920,3841,1027,1014,2041,289,332,621,307,297,604,1623,1643,3266,122,145,267,82,114,196,265,188,453,286,453,739,10,11,21,765,911,1676,248,663,911,87,156,243,46,75,121,149,299,448,4,8,12,534,1201,1735,42,25,67,64,125,189,0,3,3,106,153,259,1552,1558,3110,6938,7791,14729,Albury (C)
10110,229,208,437,688,625,1313,134,107,241,200,211,411,1022,943,1965,498,516,1014,108,115,223,324,291,615,930,922,1852,54,71,125,42,61,103,96,69,165,107,163,270,6,8,14,305,372,677,701,1037,1738,262,230,492,62,62,124,176,271,447,6,8,14,1207,1608,2815,19,9,28,20,54,74,0,0,0,39,63,102,820,942,1762,4552,5058,9610,Armidale Dumaresq (A)
10470,405,335,740,987,891,1878,626,604,1230,127,118,245,1740,1613,3353,836,687,1523,456,458,914,200,190,390,1492,1335,2827,54,86,140,27,68,95,234,108,342,190,247,437,3,5,8,508,514,1022,553,813,1366,67,118,185,49,90,139,157,305,462,3,6,9,829,1332,2161,11,15,26,40,89,129,0,5,5,51,109,160,1947,1314,3261,6972,6552,13524,Bathurst Regional (A)
10550,255,241,496,941,911,1852,112,99,211,154,187,341,1207,1197,2404,807,771,1578,223,238,461,102,103,205,1132,1112,2244,39,49,88,15,29,44,137,81,218,102,238,340,10,0,10,303,397,700,33,66,99,25,63,88,5,11,16,56,174,230,3,3,6,122,317,439,11,6,17,31,80,111,0,3,3,42,89,131,964,1062,2026,4025,4415,8440,Bega Valley (A)
10600,130,118,248,374,355,729,70,100,170,117,81,198,561,536,1097,352,364,716,26,48,74,101,83,184,479,495,974,16,21,37,17,34,51,51,31,82,70,112,182,4,0,4,158,198,356,18,35,53,21,44,65,0,9,9,32,100,132,0,0,0,71,188,259,4,3,7,10,38,48,0,0,0,14,41,55,325,305,630,1738,1881,3619,Bellingen (A)
10650,64,67,131,194,206,400,76,62,138,33,23,56,303,291,594,201,206,407,17,30,47,46,23,69,264,259,523,7,8,15,0,12,12,36,18,54,21,65,86,4,0,4,68,103,171,8,27,35,0,8,8,3,6,9,11,26,37,0,0,0,22,67,89,3,3,6,10,4,14,0,3,3,13,10,23,312,328,640,1046,1125,2171,Berrigan (A)
10800,71,64,135,226,261,487,49,36,85,0,3,3,275,300,575,162,180,342,11,10,21,3,3,6,176,193,369,5,13,18,0,12,12,30,16,46,23,44,67,4,0,4,62,85,147,0,27,27,0,9,9,3,5,8,14,20,34,0,0,0,17,61,78,0,5,5,4,11,15,0,0,0,4,16,20,151,138,289,756,857,1613,Bland (A)
10850,74,71,145,233,265,498,72,65,137,13,16,29,318,346,664,184,162,346,43,53,96,24,25,49,251,240,491,6,9,15,3,9,12,27,15,42,21,52,73,0,0,0,57,85,142,13,25,38,4,5,9,5,13,18,20,58,78,0,0,0,42,101,143,0,3,3,4,16,20,0,3,3,4,22,26,246,237,483,992,1102,2094,Blayney (A)
10900,777,716,1493,2243,2135,4378,523,495,1018,522,475,997,3288,3105,6393,1598,1525,3123,484,531,1015,594,572,1166,2676,2628,5304,161,195,356,99,177,276,406,177,583,356,574,930,7,6,13,1029,1129,2158,539,683,1222,196,304,500,73,92,165,426,779,1205,9,11,20,1243,1869,3112,54,56,110,139,271,410,3,3,6,196,330,526,2308,2292,4600,11517,12069,23586,Blue Mountains (C)
