LGA_MAIN11,Singapore_Before_1941,Singapore_1941_1950,Singapore_1951_1960,Singapore_1961_1970,Singapore_1971_1980,Singapore_1981_1990,Singapore_1991_2000,Singapore_2001_2005,Singapore_2006,Singapore_2007,Singapore_2008,Singapore_2009,Singapore_2010,Singapore_2011,Singapore_Yr_arrival_ns,Singapore_Tot,South_Africa_Before_1941,South_Africa_1941_1950,South_Africa_1951_1960,South_Africa_1961_1970,South_Africa_1971_1980,South_Africa_1981_1990,South_Africa_1991_2000,South_Africa_2001_2005,South_Africa_2006,South_Africa_2007,South_Africa_2008,South_Africa_2009,South_Africa_2010,South_Africa_2011,South_Africa_Yr_arrival_ns,South_Africa_Tot,SE_Europe_nfd_Before_1941,SE_Europe_nfd_1941_1950,SE_Europe_nfd_1951_1960,SE_Europe_nfd_1961_1970,SE_Europe_nfd_1971_1980,SE_Europe_nfd_1981_1990,SE_Europe_nfd_1991_2000,SE_Europe_nfd_2001_2005,South_Eastern_Europe_nfd_2006,South_Eastern_Europe_nfd_2007,South_Eastern_Europe_nfd_2008,South_Eastern_Europe_nfd_2009,South_Eastern_Europe_nfd_2010,South_Eastern_Europe_nfd_2011,SE_Europe_nfd_arrival_ns,SE_Europe_nfd_Total,Sri_Lanka_Before_1941,Sri_Lanka_1941_1950,Sri_Lanka_1951_1960,Sri_Lanka_1961_1970,Sri_Lanka_1971_1980,Sri_Lanka_1981_1990,Sri_Lanka_1991_2000,Sri_Lanka_2001_2005,Sri_Lanka_2006,Sri_Lanka_2007,Sri_Lanka_2008,Sri_Lanka_2009,Sri_Lanka_2010,Sri_Lanka_2011,Sri_Lanka_Yr_arrival_ns,Sri_Lanka_Tot,Thailand_Before_1941,Thailand_1941_1950,Thailand_1951_1960,Thailand_1961_1970,Thailand_1971_1980,Thailand_1981_1990,Thailand_1991_2000,Thailand_2001_2005,Thailand_2006,Thailand_2007,Thailand_2008,Thailand_2009,Thailand_2010,Thailand_2011,Thailand_Yr_arrival_ns,Thailand_Tot,Turkey_Before_1941,Turkey_1941_1950,Turkey_1951_1960,Turkey_1961_1970,Turkey_1971_1980,Turkey_1981_1990,Turkey_1991_2000,Turkey_2001_2005,Turkey_2006,Turkey_2007,Turkey_2008,Turkey_2009,Turkey_2010,Turkey_2011,Turkey_Yr_arrival_ns,Turkey_Tot,United_Kingdom_Before_1941,United_Kingdom_1941_1950,United_Kingdom_1951_1960,United_Kingdom_1961_1970,United_Kingdom_1971_1980,United_Kingdom_1981_1990,United_Kingdom_1991_2000,United_Kingdom_2001_2005,United_Kingdom_2006,United_Kingdom_2007,United_Kingdom_2008,United_Kingdom_2009,United_Kingdom_2010,United_Kingdom_2011,United_Kingdom_Yr_arrival_ns,United_Kingdom_Tot,USA_Before_1941,USA_1941_1950,USA_1951_1960,USA_1961_1970,USA_1971_1980,USA_1981_1990,USA_1991_2000,USA_2001_2005,United_States_America_2006,United_States_America_2007,United_States_America_2008,United_States_America_2009,United_States_America_2010,United_States_America_2011,USA_year_of_arrival_ns,USA_Total,Vietnam_Before_1941,Vietnam_1941_1950,Vietnam_1951_1960,Vietnam_1961_1970,Vietnam_1971_1980,Vietnam_1981_1990,Vietnam_1991_2000,Vietnam_2001_2005,Vietnam_2006,Vietnam_2007,Vietnam_2008,Vietnam_2009,Vietnam_2010,Vietnam_2011,Vietnam_Yr_arrival_NS,Vietnam_Tot,Born_elsewhere_Before_1941,Born_elsewhere_1941_1950,Born_elsewhere_1951_1960,Born_elsewhere_1961_1970,Born_elsewhere_1971_1980,Born_elsewhere_1981_1990,Born_elsewhere_1991_2000,Born_elsewhere_2001_2005,Born_elsewhere_2006,Born_elsewhere_2007,Born_elsewhere_2008,Born_elsewhere_2009,Born_elsewhere_2010,Born_elsewhere_2011,Born_elsewhere_Yr_arrival_ns,Born_elsewhere_Tot,Tot_Before_1941,Tot_1941_1950,Tot_1951_1960,Tot_1961_1970,Tot_1971_1980,Tot_1981_1990,Tot_1991_2000,Tot_2001_2005,Tot_2006,Tot_2007,Tot_2008,Tot_2009,Tot_2010,Tot_2011,Tot_Yr_arrival_NS,Tot_Tot,LGA_NAME11
10050,0,0,0,3,5,0,3,4,0,0,0,0,0,0,0,15,0,0,3,4,5,9,42,17,14,5,7,13,7,7,3,136,0,4,8,16,0,7,0,0,0,0,0,0,0,0,3,38,0,0,0,0,4,7,7,0,3,5,3,4,0,0,0,33,0,0,0,0,0,5,14,5,7,0,0,7,3,0,3,44,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,17,53,162,384,227,145,72,94,20,27,19,22,9,5,77,1333,0,0,0,7,11,14,22,18,5,3,0,0,4,0,0,84,0,0,0,0,5,4,0,0,0,0,0,0,4,0,3,16,3,49,83,109,110,61,51,60,51,36,50,107,94,84,33,981,20,214,618,762,549,503,420,358,195,189,184,266,204,155,243,4880,Albury (C)
10110,0,0,0,3,5,0,3,0,0,0,3,4,0,3,0,21,0,0,3,4,11,6,48,3,4,4,0,7,4,0,0,94,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,7,6,3,3,3,4,0,3,3,6,0,38,0,0,0,0,0,0,0,4,3,3,3,4,8,5,0,30,0,0,0,3,0,0,3,3,0,0,0,0,0,0,0,9,13,29,66,175,96,67,61,41,6,4,11,15,11,5,38,638,0,3,3,10,18,10,27,18,3,4,3,9,3,0,9,120,0,0,0,0,3,3,0,0,0,3,3,4,9,17,3,45,0,12,24,44,36,42,60,60,18,35,52,81,109,75,32,680,20,73,180,319,255,268,384,246,60,84,133,185,259,193,153,2812,Armidale Dumaresq (A)
10250,0,0,0,7,3,0,7,0,0,0,0,0,0,0,0,17,0,0,5,16,30,27,19,21,7,6,6,25,4,4,3,173,0,3,3,7,0,0,0,0,0,0,0,0,0,0,3,16,0,4,0,7,3,0,8,0,0,0,0,0,0,0,0,22,0,0,0,3,4,3,12,19,0,4,0,4,9,0,3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,75,237,498,240,128,124,116,26,29,27,25,23,8,80,1667,0,0,3,17,25,27,22,25,6,3,3,4,6,4,3,148,0,0,0,0,4,3,7,0,0,0,0,0,4,0,3,21,6,21,49,73,66,62,53,52,18,4,12,9,14,13,28,480,66,180,537,809,594,500,449,365,92,83,86,117,101,50,190,4219,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,6,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,9,0,0,3,0,0,4,7,6,0,0,0,0,3,5,3,31,3,7,29,14,15,11,19,22,3,6,6,3,9,5,20,172,Balranald (A)
10350,0,5,0,3,37,39,37,25,7,12,3,6,3,0,6,183,0,3,3,16,55,86,63,38,22,8,5,0,9,0,8,316,0,7,29,77,35,13,18,5,3,0,0,0,0,0,8,195,0,4,4,28,33,85,97,40,12,10,21,7,19,3,62,425,0,0,0,7,19,71,109,58,19,18,31,6,21,0,21,380,0,0,4,72,100,92,66,26,3,5,0,0,0,0,20,388,66,170,339,731,362,224,132,88,16,17,27,27,14,11,153,2377,0,0,3,13,21,28,49,53,12,5,15,10,13,9,17,248,0,3,0,6,1636,4831,3103,829,195,248,281,326,231,104,604,12397,0,341,341,731,1685,1907,2481,1676,443,343,423,364,319,167,577,11798,119,1142,2939,6573,10365,15076,13856,6796,1663,1590,1775,1484,1277,661,3402,68718,Bankstown (C)
10470,0,0,0,6,3,3,4,4,3,0,0,0,0,0,0,23,0,0,3,3,10,6,28,17,0,7,0,9,5,0,0,88,0,3,3,11,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0,3,11,6,6,3,3,0,6,0,0,3,41,0,0,0,0,0,3,3,3,0,3,3,3,3,0,3,24,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,9,14,51,148,280,212,97,71,37,16,3,8,12,3,6,51,1009,0,3,0,3,9,11,12,11,6,0,0,0,0,3,3,61,0,0,0,0,3,6,0,7,0,0,3,0,3,3,18,43,0,17,27,43,64,49,70,55,7,18,13,9,9,3,64,448,17,130,323,501,455,374,388,260,69,75,65,95,65,50,325,3192,Bathurst Regional (A)
10550,0,0,3,0,3,0,3,3,0,0,0,0,0,0,3,15,0,4,0,14,15,20,9,7,0,0,0,0,0,0,7,76,0,0,4,12,3,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,9,0,0,0,3,5,5,0,0,0,0,0,0,8,0,0,21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,21,86,324,592,275,153,81,47,14,7,11,7,6,3,77,1704,3,0,3,16,27,24,18,14,6,0,4,3,3,3,4,128,0,0,0,0,0,8,5,0,0,0,0,0,3,3,0,19,5,29,74,74,77,60,24,26,3,0,0,0,3,7,8,390,33,204,721,904,614,446,266,173,43,28,41,33,50,28,167,3751,Bega Valley (A)
10600,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,9,11,10,4,3,0,0,0,0,0,0,3,40,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,6,9,29,79,217,124,77,58,57,7,10,0,7,3,0,42,719,0,0,3,3,12,12,4,9,0,0,0,0,0,0,4,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,20,28,29,35,26,16,0,0,10,3,3,0,7,188,17,61,169,343,251,244,138,115,33,16,23,22,25,11,66,1534,Bellingen (A)
10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,3,0,0,0,0,13,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,52,80,31,20,3,3,3,0,0,0,4,0,12,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,8,8,8,0,3,3,3,0,7,0,3,0,3,50,3,39,123,119,57,53,56,19,21,7,13,11,16,9,31,577,Berrigan (A)
10750,3,0,10,8,51,119,71,73,25,15,18,13,7,12,17,442,0,0,3,29,144,391,358,359,47,107,120,58,68,36,31,1751,4,25,51,196,92,33,134,29,0,0,0,3,0,0,27,594,0,0,3,45,107,679,1099,647,166,144,206,118,123,59,54,3450,0,0,0,0,13,83,113,91,24,37,24,30,15,13,33,476,0,0,0,188,339,234,278,120,14,22,16,33,18,21,53,1336,36,198,785,2524,1215,926,512,339,101,113,73,89,89,36,373,7409,0,0,5,25,62,75,117,128,36,22,32,48,64,44,39,697,0,0,0,0,182,377,206,41,3,13,11,12,17,6,52,920,9,236,393,1089,2082,4069,6606,4409,935,809,922,827,742,388,979,24495,85,1261,3722,8075,8782,20766,27989,17204,4216,4307,4579,3688,2766,1523,4257,113220,Blacktown (C)
