lga_code16,p_m3_trn_and_2_oth_ms_15_24,p_m3_trn_and_2_oth_ms_25_34,p_m3_trn_and_2_oth_ms_35_44,p_m3_trn_and_2_oth_ms_45_54,p_m3_trn_and_2_oth_ms_55_64,p_m3_trn_and_2_oth_ms_65_74,p_m3_trn_and_2_oth_ms_75ov,p_m3_trn_and_2_oth_ms_tot,p_m3_bus2othms_ex_tn_15_24,p_m3_bus2othms_ex_tn_25_34,p_m3_bus2othms_ex_tn_35_44,p_m3_bus2othms_ex_tn_45_54,p_m3_bus2othms_ex_tn_55_64,p_m3_bus2othms_ex_tn_65_74,p_m3_bus2othms_ex_tn_75ov,p_m3_bus2othms_ex_tn_tot,p_m3_other_m3_15_24,p_m3_other_m3_25_34,p_m3_other_m3_35_44,p_m3_other_m3_45_54,p_m3_other_m3_55_64,p_m3_other_m3_65_74,p_m3_other_m3_75ov,p_m3_other_m3_tot,p_m3_tot_m3_15_24,p_m3_tot_m3_25_34,p_m3_tot_m3_35_44,p_m3_tot_m3_45_54,p_m3_tot_m3_55_64,p_m3_tot_m3_65_74,p_m3_tot_m3_75ov,p_m3_tot_m3_tot,p_wkd_at_home_15_24,p_wkd_at_home_25_34,p_wkd_at_home_35_44,p_wkd_at_home_45_54,p_wkd_at_home_55_64,p_wkd_at_home_65_74,p_wkd_at_home_75ov,p_wkd_at_home_tot,p_did_not_go_to_work_15_24,p_did_not_go_to_work_25_34,p_did_not_go_to_work_35_44,p_did_not_go_to_work_45_54,p_did_not_go_to_work_55_64,p_did_not_go_to_work_65_74,p_did_not_go_to_work_75ov,p_did_not_go_to_work_tot,p_mt_ns_15_24,p_mt_ns_25_34,p_mt_ns_35_44,p_mt_ns_45_54,p_mt_ns_55_64,p_mt_ns_65_74,p_mt_ns_75ov,p_mt_ns_tot,p_tot_15_24,p_tot_25_34,p_tot_35_44,p_tot_45_54,p_tot_55_64,p_tot_65_74,p_tot_75ov,p_tot_tot,lga_name16
47980,13,6,5,5,0,0,0,32,3,6,3,0,0,0,0,18,3,4,3,0,0,0,0,14,18,13,20,7,0,0,0,60,21,105,208,230,259,137,29,981,460,484,338,281,290,119,15,1982,24,30,21,35,20,10,3,141,2600,4357,4176,4075,3175,901,105,19383,Unley (C)
48050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,41,66,94,67,14,302,139,123,94,101,129,41,3,635,9,7,5,5,4,6,0,46,654,666,816,977,974,267,44,4396,Victor Harbor (C)
48130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,28,50,69,65,55,12,284,52,40,41,53,48,34,3,278,7,10,9,3,4,3,6,39,350,479,488,604,550,190,34,2689,Wakefield (DC)
51960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,4,4,6,4,0,23,22,64,61,63,29,11,0,245,3,11,11,11,10,0,0,47,171,542,499,497,286,39,5,2043,Coolgardie (S)
52030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,18,12,17,3,61,3,5,6,3,14,3,0,32,0,0,0,0,4,0,0,8,13,57,66,90,95,36,9,373,Coorow (S)
52730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,46,68,85,65,23,294,52,24,33,53,58,30,7,248,8,0,5,9,0,3,0,23,222,213,330,481,416,200,31,1901,Denmark (S)
48260,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,30,37,50,40,13,178,68,44,31,34,49,21,3,258,5,6,4,4,3,0,3,23,335,511,430,484,424,146,21,2350,Walkerville (M)
48340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,3,0,4,12,29,50,82,127,84,25,408,71,76,99,112,113,52,8,540,17,0,8,5,13,5,4,61,528,625,913,1180,929,343,70,4587,Wattle Range (DC)
48410,0,10,8,6,3,0,0,33,7,6,0,0,3,0,0,22,0,3,3,3,3,0,0,15,10,16,16,14,13,0,0,68,26,108,222,203,184,97,28,878,737,876,815,696,593,187,18,3914,62,74,60,66,36,20,17,343,5036,9396,9657,10232,7027,1404,165,42916,West Torrens (C)
48540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,4,0,0,0,9,0,0,3,4,0,0,0,11,3,13,15,28,29,10,0,103,165,199,178,202,138,24,3,912,11,4,10,13,7,8,0,60,1073,1486,1402,1783,1187,182,22,7135,Whyalla (C)
48640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,27,24,27,17,4,110,8,9,8,15,15,9,0,63,0,0,3,3,3,0,0,8,79,106,129,137,135,52,7,637,Wudinna (DC)
