lga_code_2016,median_age_persons,median_mortgage_repay_monthly,median_tot_prsnl_inc_weekly,median_rent_weekly,median_tot_fam_inc_weekly,average_num_psns_per_bedroom,median_tot_hhd_inc_weekly,average_household_size,lga_name_2016
10050,39,1421,642,231,1532,0.8,1185,2.3,Albury (C)
10130,36,1393,561,250,1465,0.8,1173,2.4,Armidale Regional (A)
10250,48,1733,601,340,1426,0.8,1156,2.3,Ballina (A)
10300,41,950,624,150,1438,0.8,1174,2.5,Balranald (A)
10470,37,1670,646,280,1632,0.8,1310,2.5,Bathurst Regional (A)
10550,51,1343,538,250,1242,0.8,986,2.2,Bega Valley (A)
10600,49,1400,515,280,1218,0.8,997,2.3,Bellingen (A)
10650,49,1083,524,180,1251,0.7,967,2.2,Berrigan (A)
10750,33,2150,672,380,1817,0.9,1711,3.2,Blacktown (C)
10800,43,1000,580,150,1360,0.7,1100,2.4,Bland (A)
10850,42,1500,620,220,1581,0.8,1227,2.5,Blayney (A)
10900,44,1842,688,350,1866,0.8,1468,2.5,Blue Mountains (C)
10950,40,1083,634,160,1561,0.8,1155,2.4,Bogan (A)
11100,35,2400,720,460,1921,1.1,1626,2.7,Botany Bay (C)
11150,36,991,719,140,1562,0.8,1243,2.5,Bourke (A)
11200,34,433,439,90,923,0.9,864,2.6,Brewarrina (A)
11250,45,953,527,190,1279,0.7,965,2.2,Broken Hill (C)
13910,44,1200,538,200,1261,0.7,976,2.4,Hilltops (A)
14000,40,2400,793,500,2372,0.9,2121,2.9,Hornsby (A)
14100,43,3033,977,490,3301,0.9,2467,2.7,Hunters Hill (A)
14170,36,2600,957,480,2498,1.0,2048,2.4,Inner West (A)
14200,42,1200,509,210,1181,0.8,950,2.4,Inverell (A)
14300,40,1200,600,200,1410,0.8,1139,2.5,Junee (A)
14350,47,1300,474,240,1107,0.8,894,2.4,Kempsey (A)
14400,47,2000,683,395,1820,0.8,1509,2.5,Kiama (A)
14500,41,3000,942,650,3046,0.9,2640,2.9,Ku-ring-gai (A)
14550,50,1100,460,200,1076,0.8,832,2.2,Kyogle (A)
14600,40,900,556,150,1279,0.8,1034,2.4,Lachlan (A)
14650,42,1733,609,320,1610,0.8,1313,2.5,Lake Macquarie (C)
14700,36,2600,1149,520,2971,1.0,2376,2.5,Lane Cove (A)
14750,40,1300,607,195,1456,0.8,1190,2.5,Leeton (A)
14850,43,1430,550,260,1351,0.8,1067,2.4,Lismore (C)
14870,45,1387,510,230,1328,0.8,984,2.3,Lithgow (C)
14900,33,2123,584,370,1663,1.0,1550,3.2,Liverpool (C)
14920,45,1153,533,180,1287,0.7,1032,2.3,Liverpool Plains (A)
14950,46,1000,585,150,1408,0.7,1114,2.5,Lockhart (A)
15050,36,1733,644,320,1664,0.8,1415,2.7,Maitland (C)
15240,52,1324,476,250,1108,0.7,887,2.2,Mid-Coast (A)
15270,42,1690,547,270,1433,0.8,1131,2.4,Mid-Western Regional (A)
15300,38,1300,669,170,1480,0.8,1240,2.5,Moree Plains (A)
15350,42,3000,1295,560,3671,0.9,2522,2.4,Mosman (A)
15520,49,1300,558,200,1333,0.7,1061,2.3,Murray River (A)
15560,41,900,659,150,1461,0.8,1197,2.5,Murrumbidgee (A)
15650,35,1733,640,250,1665,0.8,1346,2.5,Muswellbrook (A)
15700,51,1300,467,250,1080,0.8,835,2.3,Nambucca (A)
15750,40,1395,632,200,1531,0.8,1242,2.5,Narrabri (A)
15800,44,1007,575,170,1349,0.7,1030,2.3,Narrandera (A)
15850,42,1100,586,185,1358,0.8,1078,2.5,Narromine (A)
15900,37,1768,660,340,1778,0.8,1368,2.4,Newcastle (C)
15950,37,2600,1386,575,3210,1.0,2360,2.0,North Sydney (A)
15990,40,2800,916,565,2528,0.9,2178,2.7,Northern Beaches (A)
16100,45,1452,611,210,1509,0.7,1239,2.4,Oberon (A)
16150,37,1629,667,270,1655,0.8,1295,2.5,Orange (C)
16200,41,1300,554,200,1412,0.8,1088,2.4,Parkes (A)
16260,34,2167,722,440,1933,1.0,1759,2.8,Parramatta (C)
16610,44,1300,491,250,1191,0.8,953,2.4,Richmond Valley (A)
16650,35,2167,666,460,1746,1.1,1575,2.7,Rockdale (C)
16700,36,2200,738,460,2106,1.0,1786,2.7,Ryde (C)
16900,39,1846,579,340,1562,0.8,1343,2.7,Shellharbour (C)
16950,48,1517,511,280,1226,0.7,992,2.3,Shoalhaven (C)
17000,36,1950,684,280,1981,0.8,1682,2.7,Singleton (A)
17040,43,1300,675,220,1569,0.8,1200,2.3,Snowy Monaro Regional (A)
17080,45,1300,577,180,1418,0.8,1120,2.3,Snowy Valleys (A)
11300,33,2200,552,500,1725,1.1,1569,2.9,Burwood (A)
11350,44,1733,596,400,1389,0.8,1149,2.4,Byron (A)
11400,43,1517,631,180,1618,0.8,1301,2.6,Cabonne (A)
11450,33,2220,821,460,2161,0.8,2047,3.1,Camden (A)
11500,34,1842,632,350,1597,0.9,1459,3.0,Campbelltown (C) (NSW)
11520,36,2500,882,565,2361,1.0,2061,2.6,Canada Bay (A)
11570,35,2000,502,380,1437,1.1,1298,3.0,Canterbury-Bankstown (A)
11600,40,867,681,105,1538,0.8,1240,2.4,Carrathool (A)
11650,42,1750,600,350,1560,0.8,1258,2.5,Central Coast (C) (NSW)
11700,39,575,460,100,1075,0.8,901,2.4,Central Darling (A)
11720,38,1517,540,280,1414,0.8,1177,2.6,Cessnock (C)
11730,49,1300,477,255,1133,0.8,910,2.3,Clarence Valley (A)
11750,36,1300,706,160,1923,0.7,1495,2.4,Cobar (A)
11800,44,1603,566,305,1346,0.8,1107,2.4,Coffs Harbour (C)
12000,44,1083,594,150,1418,0.8,1169,2.5,Coolamon (A)
12150,43,867,519,150,1218,0.7,976,2.4,Coonamble (A)
12350,47,1148,509,185,1225,0.7,959,2.3,Cowra (A)
12380,32,2000,501,400,1436,1.1,1379,3.2,Cumberland (A)
12700,45,1662,578,245,1474,0.8,1226,2.5,Dungog (A)
12730,45,1083,595,185,1399,0.7,1080,2.3,Edward River (A)
12750,54,1400,512,255,1184,0.7,939,2.2,Eurobodalla (A)
12850,36,1800,439,350,1263,1.1,1222,3.3,Fairfield (C)
12870,49,1300,559,200,1299,0.7,1017,2.3,Federation (A)
12900,42,1148,571,180,1326,0.8,1069,2.4,Forbes (A)
12930,37,2167,640,450,1817,1.0,1654,2.9,Georges River (A)
12950,45,1083,537,160,1199,0.8,998,2.4,Gilgandra (A)
13010,47,1083,478,200,1111,0.7,838,2.2,Glen Innes Severn (A)
13310,42,1517,625,260,1505,0.8,1196,2.4,Goulburn Mulwaree (A)
13340,44,1213,600,180,1439,0.8,1168,2.5,Greater Hume Shire (A)
13450,37,1495,674,220,1555,0.8,1331,2.7,Griffith (C)
13510,47,1107,539,180,1280,0.7,964,2.3,Gundagai (A)
13550,40,1473,618,240,1586,0.8,1253,2.5,Gunnedah (A)
13660,48,981,489,120,1178,0.8,910,2.3,Gwydir (A)
13800,38,2080,728,360,1916,0.8,1668,2.8,Hawkesbury (C)
13850,46,982,587,150,1344,0.7,1075,2.3,Hay (A)
16350,34,2000,728,370,1858,0.8,1658,2.9,Penrith (C)
16380,48,1671,540,310,1300,0.8,1042,2.3,Port Macquarie-Hastings (A)
16400,45,1733,571,305,1431,0.8,1180,2.5,Port Stephens (A)
16490,38,2100,933,300,2303,0.8,1882,2.6,Queanbeyan-Palerang Regional (A)
16550,34,2600,834,550,2421,1.0,1916,2.5,Randwick (C)
17420,38,2500,827,562,2464,0.8,2363,3.2,The Hills Shire (A)
17550,47,1733,539,340,1332,0.8,1064,2.4,Tweed (A)
17620,41,1688,630,220,1589,0.8,1242,2.4,Upper Hunter Shire (A)
17640,48,1400,609,190,1498,0.7,1161,2.4,Upper Lachlan Shire (A)
17650,46,1346,552,190,1342,0.8,1058,2.4,Uralla (A)
17750,35,1517,696,265,1682,0.8,1354,2.5,Wagga Wagga (C)
17850,48,1083,577,148,1329,0.7,1054,2.3,Walcha (A)
17900,43,750,464,145,1039,0.9,806,2.3,Walgett (A)
17950,43,899,649,144,1468,0.7,1104,2.4,Warren (A)
18020,49,923,479,160,1103,0.7,878,2.3,Warrumbungle Shire (A)
18050,35,3000,1151,622,2917,1.0,2308,2.4,Waverley (A)
18100,51,910,492,135,1193,0.7,904,2.2,Weddin (A)
18200,44,1200,555,160,1308,0.8,1052,2.4,Wentworth (A)
18230,37,1500,660,250,1525,0.8,1272,2.5,Western Plains Regional (A)
18250,37,2877,946,580,2671,1.0,2271,2.7,Willoughby (C)
18350,47,1842,645,350,1639,0.7,1335,2.4,Wingecarribee (A)
18400,37,2167,738,365,2032,0.8,1871,3.0,Wollondilly (A)
18450,39,1950,584,320,1710,0.9,1339,2.6,Wollongong (C)
18500,39,3200,1365,650,3626,0.9,2687,2.3,Woollahra (A)
18710,42,2000,869,300,2214,0.8,1879,2.7,Yass Valley (A)
19399,41,1083,717,110,1427,0.8,1270,2.5,Unincorporated NSW
19499,39,0,405,0,0,0.0,0,0.0,No usual address (NSW)
19799,58,0,540,0,0,0.0,0,0.0,Migratory - Offshore - Shipping (NSW)
20110,49,1300,562,200,1322,0.7,1002,2.2,Alpine (S)
20260,46,1022,556,185,1263,0.7,991,2.3,Ararat (RC)
20570,38,1350,590,250,1489,0.8,1160,2.4,Ballarat (C)
20660,39,1950,728,350,2033,0.8,1655,2.6,Banyule (C)
20740,50,1315,507,250,1192,0.7,922,2.2,Bass Coast (S)
20830,42,1465,585,250,1462,0.8,1196,2.5,Baw Baw (S)
20910,44,2500,897,450,2765,0.8,2145,2.6,Bayside (C)
21010,49,1192,537,200,1232,0.7,946,2.2,Benalla (RC)
21110,38,2500,869,406,2652,0.9,2083,2.6,Boroondara (C)
21180,35,1599,487,300,1358,0.9,1263,3.0,Brimbank (C)
21270,51,693,473,120,1110,0.7,839,2.2,Buloke (S)
21370,45,1300,561,200,1349,0.8,1081,2.4,Campaspe (S)
21450,34,1733,680,320,1700,0.8,1497,2.8,Cardinia (S)
21610,34,1733,640,340,1655,0.9,1554,3.1,Casey (C)
21670,50,975,452,195,1001,0.7,775,2.2,Central Goldfields (S)
21750,45,1300,574,210,1362,0.8,1057,2.3,Colac-Otway (S)
21830,46,1083,542,170,1301,0.7,1043,2.4,Corangamite (S)
21890,36,1950,650,339,1784,0.9,1423,2.5,Darebin (C)
22110,50,1293,506,220,1192,0.7,935,2.2,East Gippsland (S)
22170,38,1621,660,306,1649,0.8,1331,2.5,Frankston (C)
22250,49,977,498,150,1188,0.7,908,2.2,Gannawarra (S)
22830,39,1300,588,220,1417,0.8,1163,2.5,Greater Shepparton (C)
22910,50,1300,532,235,1287,0.8,996,2.2,Hepburn (S)
22980,50,780,497,140,1217,0.7,907,2.2,Hindmarsh (S)
23110,38,1900,704,330,1921,0.9,1567,2.6,Hobsons Bay (C)
23190,42,1200,617,200,1408,0.7,1110,2.3,Horsham (RC)
23270,33,1650,529,320,1473,0.9,1379,3.1,Hume (C)
23350,46,1400,641,210,1540,0.8,1265,2.4,Indigo (S)
23430,40,1993,704,351,1938,0.9,1537,2.5,Kingston (C) (Vic.)
23670,39,1733,664,351,1820,0.8,1561,2.7,Knox (C)
23810,41,1200,544,200,1415,0.8,1078,2.3,Latrobe (C) (Vic.)
23940,51,809,467,125,1116,0.8,826,2.2,Loddon (S)
24130,42,1733,702,315,1932,0.8,1638,2.7,Macedon Ranges (S)
24210,43,2050,629,415,1895,0.8,1642,2.8,Manningham (C)
24250,48,1352,580,231,1338,0.7,1062,2.3,Mansfield (S)
24330,33,2000,703,330,1913,1.0,1551,2.5,Maribyrnong (C)
24410,38,1800,696,341,1895,0.8,1544,2.6,Maroondah (C)
24600,28,2000,642,450,2062,1.1,1354,2.0,Melbourne (C)
24650,33,1704,658,300,1683,0.9,1542,3.0,Melton (C)
24780,40,1200,555,210,1340,0.8,1064,2.4,Mildura (RC)
24850,37,1582,648,265,1620,0.8,1391,2.7,Mitchell (S)
24900,47,1235,524,200,1283,0.8,1014,2.4,Moira (S)
24970,37,2000,569,391,1809,0.9,1512,2.7,Monash (C)
25060,38,2000,744,350,2098,0.9,1635,2.5,Moonee Valley (C)
25150,40,1559,635,260,1670,0.8,1391,2.6,Moorabool (S)
25250,34,1950,680,355,1843,0.9,1503,2.5,Moreland (C)
25340,46,1733,630,310,1621,0.8,1276,2.4,Mornington Peninsula (S)
25430,49,1300,550,250,1311,0.8,1002,2.2,Mount Alexander (S)
25490,43,1300,620,180,1486,0.8,1225,2.5,Moyne (S)
25620,48,1400,553,220,1388,0.8,1071,2.3,Murrindindi (S)
25710,41,2000,784,369,2307,0.8,2098,3.0,Nillumbik (S)
25810,48,953,513,170,1257,0.7,931,2.2,Northern Grampians (S)
25900,36,2167,1087,400,2559,1.0,1842,2.0,Port Phillip (C)
25990,50,1066,472,160,1148,0.7,876,2.3,Pyrenees (S)
26080,60,1623,671,300,1571,0.6,1173,2.0,Queenscliffe (B)
26170,47,1300,537,214,1320,0.7,1039,2.4,South Gippsland (S)
26260,46,1082,576,175,1370,0.7,1043,2.3,Southern Grampians (S)
26350,35,2200,1042,400,2680,1.0,1944,2.2,Stonnington (C)
26430,52,1170,546,190,1293,0.7,962,2.2,Strathbogie (S)
26490,42,1842,722,363,1876,0.8,1571,2.6,Surf Coast (S)
26610,40,1130,580,185,1358,0.8,1094,2.4,Swan Hill (RC)
26670,50,1083,535,150,1340,0.7,1043,2.3,Towong (S)
26700,45,1300,595,210,1386,0.7,1085,2.3,Wangaratta (RC)
26730,40,1430,618,250,1503,0.8,1182,2.4,Warrnambool (C)
17100,32,2167,682,470,1894,1.1,1781,3.0,Strathfield (A)
17150,40,2427,837,450,2312,0.9,1979,2.7,Sutherland Shire (A)
17200,32,2499,953,565,2524,1.2,1926,2.0,Sydney (C)
17310,40,1500,633,260,1446,0.8,1180,2.5,Tamworth Regional (A)
17350,46,1148,546,175,1329,0.7,1033,2.4,Temora (A)
17400,53,1079,454,180,1015,0.7,767,2.1,Tenterfield (A)
22310,37,2143,780,390,2248,0.9,1741,2.5,Glen Eira (C)
22410,47,1083,536,182,1362,0.7,1043,2.3,Glenelg (S)
22490,39,1550,628,260,1630,0.8,1448,2.8,Golden Plains (S)
22620,39,1387,604,250,1452,0.8,1184,2.4,Greater Bendigo (C)
22670,35,1600,475,300,1260,1.0,1168,2.9,Greater Dandenong (C)
22750,40,1517,600,280,1576,0.8,1244,2.4,Greater Geelong (C)
26810,43,1300,562,210,1409,0.7,1101,2.3,Wellington (S)
26890,48,657,555,80,1302,0.7,987,2.2,West Wimmera (S)
26980,38,2000,619,376,1916,0.9,1507,2.6,Whitehorse (C)
27070,34,1798,591,331,1569,0.9,1444,3.0,Whittlesea (C)
27170,36,1430,674,250,1550,0.8,1273,2.5,Wodonga (C)
27260,32,1733,685,320,1714,0.9,1620,3.1,Wyndham (C)
27350,33,2167,1039,421,2509,1.0,1958,2.1,Yarra (C)
27450,40,1733,667,325,1770,0.8,1501,2.7,Yarra Ranges (S)
27630,50,665,491,130,1179,0.7,885,2.2,Yarriambiack (S)
29399,31,775,741,285,1430,1.0,1087,2.1,Unincorporated Vic
29499,34,0,398,0,0,0.0,0,0.0,No usual address (Vic.)
