lga_code_2016,earners_persons_2010_11,earners_persons_2011_12,earners_persons_2012_13,earners_persons_2013_14,earners_persons_2014_15,median_age_of_earners_years_2010_11,median_age_of_earners_years_2011_12,median_age_of_earners_years_2012_13,median_age_of_earners_years_2013_14,median_age_of_earners_years_2014_15,income_aud_2010_11,income_aud_2011_12,income_aud_2012_13,income_aud_2013_14,income_aud_2014_15,median_aud_2010_11,median_aud_2011_12,median_aud_2012_13,median_aud_2013_14,median_aud_2014_15,mean_aud_2010_11,mean_aud_2011_12,mean_aud_2012_13,mean_aud_2013_14,mean_aud_2014_15,main_source_pc_of_earners_2010_11,main_source_pc_of_earners_2011_12,main_source_pc_of_earners_2012_13,main_source_pc_of_earners_2013_14,main_source_pc_of_earners_2014_15,lga_name16
10050,3712.0,3751.0,3775.0,3825.0,3916.0,49.0,49.0,49.0,49.0,49.0,96006844.0,92630139.0,87510415.0,99224115.0,109427273.0,11365.0,10450.0,10649.0,10952.0,11574.0,25864.0,24695.0,23182.0,25941.0,27944.0,7.0,6.9,7.0,6.9,7.2,Albury (C)
10130,3264.0,3228.0,3211.0,3161.0,3208.0,51.0,52.0,52.0,53.0,53.0,45699126.0,47437719.0,35766278.0,35540002.0,45864613.0,5835.0,5535.0,4583.0,3571.0,4694.0,14001.0,14696.0,11139.0,11243.0,14297.0,10.0,9.3,9.0,8.4,8.9,Armidale Regional (A)
10250,4884.0,4900.0,4831.0,4918.0,5024.0,50.0,51.0,51.0,52.0,52.0,81037815.0,88946595.0,88472840.0,103986173.0,115372608.0,8224.0,8408.0,8245.0,9452.0,10408.0,16593.0,18152.0,18314.0,21144.0,22964.0,10.9,10.9,10.7,10.7,11.1,Ballina (A)
10300,387.0,380.0,377.0,384.0,368.0,52.0,51.0,51.0,50.0,50.0,10771281.0,12033987.0,10395683.0,8584727.0,11981858.0,11989.0,17111.0,12987.0,17347.0,22439.0,27833.0,31668.0,27575.0,22356.0,32559.0,18.6,21.2,18.6,19.2,19.9,Balranald (A)
10470,3304.0,3322.0,3384.0,3441.0,3519.0,51.0,51.0,51.0,51.0,51.0,61035511.0,61066219.0,56850534.0,61514899.0,70659291.0,8527.0,7350.0,6468.0,7836.0,8297.0,18473.0,18382.0,16800.0,17877.0,20079.0,7.7,7.5,7.3,7.4,7.9,Bathurst Regional (A)
10550,3942.0,3920.0,3866.0,3867.0,3936.0,52.0,53.0,53.0,54.0,54.0,61120511.0,61482426.0,56454254.0,62660098.0,72388040.0,7954.0,7839.0,7726.0,8755.0,9954.0,15505.0,15684.0,14603.0,16204.0,18391.0,11.5,10.9,10.8,11.1,11.6,Bega Valley (A)
10600,1903.0,1887.0,1884.0,1833.0,1864.0,52.0,52.0,53.0,54.0,54.0,21519008.0,22982729.0,19310470.0,20398263.0,26180856.0,7026.0,7209.0,6051.0,5960.0,7054.0,11308.0,12180.0,10250.0,11128.0,14046.0,15.1,14.8,14.1,13.6,14.9,Bellingen (A)
10650,1212.0,1185.0,1195.0,1216.0,1230.0,52.0,53.0,53.0,53.0,53.0,19269134.0,15263051.0,20648726.0,26485433.0,36998907.0,6020.0,5590.0,8276.0,10626.0,15404.0,15899.0,12880.0,17279.0,21781.0,30080.0,12.3,11.7,12.9,13.5,15.3,Berrigan (A)
10750,15389.0,15700.0,16220.0,16917.0,18096.0,42.0,42.0,42.0,42.0,42.0,262244812.0,274036161.0,283527327.0,316918212.0,350485053.0,10928.0,11547.0,11640.0,12520.0,13351.0,17041.0,17455.0,17480.0,18734.0,19368.0,5.7,5.7,5.8,6.0,6.2,Blacktown (C)
10800,1211.0,1211.0,1199.0,1220.0,1237.0,52.0,52.0,53.0,53.0,53.0,53166164.0,30116431.0,31846256.0,45138242.0,40091065.0,22433.0,13341.0,14104.0,19160.0,19361.0,43903.0,24869.0,26561.0,36999.0,32410.0,25.3,22.0,21.4,23.6,24.7,Bland (A)
10850,1040.0,1015.0,1003.0,1046.0,1058.0,53.0,54.0,53.0,53.0,54.0,12622192.0,12359154.0,7212269.0,8924568.0,16379878.0,5825.0,6253.0,2808.0,3391.0,5367.0,12137.0,12177.0,7191.0,8532.0,15482.0,12.8,11.5,10.9,11.2,12.4,Blayney (A)
10900,6644.0,6787.0,6700.0,6803.0,7106.0,49.0,49.0,49.0,49.0,49.0,133909590.0,139644410.0,141392105.0,151896004.0,163542423.0,8998.0,9602.0,9800.0,10853.0,10649.0,20155.0,20575.0,21103.0,22328.0,23015.0,8.1,8.3,8.2,8.3,8.5,Blue Mountains (C)
10950,509.0,510.0,530.0,522.0,528.0,54.0,54.0,54.0,55.0,54.0,16778695.0,5920820.0,8260560.0,8447398.0,24493832.0,13666.0,8523.0,5800.0,7887.0,18047.0,32964.0,11609.0,15586.0,16183.0,46390.0,18.1,15.4,15.3,15.5,19.5,Bogan (A)
11100,2646.0,2661.0,2781.0,2943.0,3200.0,44.0,44.0,44.0,44.0,43.0,53304979.0,54818977.0,60244155.0,66719436.0,74097423.0,12800.0,13351.0,14804.0,15140.0,14557.0,20145.0,20601.0,21663.0,22671.0,23155.0,7.0,7.0,7.2,7.2,7.2,Botany Bay (C)
11150,351.0,370.0,363.0,376.0,358.0,48.0,48.0,49.0,49.0,51.0,12557403.0,9013400.0,3171928.0,3878533.0,10712084.0,19250.0,11820.0,6071.0,6200.0,14063.0,35776.0,24361.0,8738.0,10315.0,29922.0,17.1,14.5,12.8,12.3,15.1,Bourke (A)
11200,156.0,161.0,164.0,165.0,147.0,55.0,55.0,55.0,54.0,54.0,8624562.0,4807954.0,3636530.0,287741.0,1167617.0,24500.0,12867.0,7563.0,1448.0,4249.0,55286.0,29863.0,22174.0,1744.0,7943.0,16.5,13.9,13.7,11.5,13.4,Brewarrina (A)
11250,956.0,950.0,903.0,902.0,924.0,51.0,51.0,51.0,52.0,51.0,16367056.0,21156912.0,17818458.0,16973358.0,23657695.0,6042.0,8768.0,6746.0,7603.0,9319.0,17120.0,22270.0,19733.0,18817.0,25604.0,5.5,5.6,5.2,5.3,5.7,Broken Hill (C)
13910,2783.0,2769.0,2774.0,2749.0,2765.0,52.0,52.0,52.0,52.0,53.0,56955958.0,53441756.0,47268782.0,50082659.0,67966294.0,9710.0,8439.0,7277.0,7240.0,11690.0,20466.0,19300.0,17040.0,18219.0,24581.0,15.4,14.6,13.8,14.1,15.5,Hilltops (A)
14000,10549.0,10517.0,10631.0,10673.0,10777.0,48.0,48.0,48.0,48.0,48.0,262146913.0,257263904.0,268974081.0,277639353.0,294159240.0,9698.0,10133.0,10735.0,11809.0,12836.0,24850.0,24462.0,25301.0,26013.0,27295.0,6.3,6.3,6.4,6.4,6.4,Hornsby (A)
14100,1312.0,1330.0,1269.0,1291.0,1322.0,51.0,51.0,52.0,52.0,52.0,88593364.0,88404699.0,94329142.0,106527301.0,106295400.0,10329.0,12283.0,14019.0,15470.0,16394.0,67525.0,66470.0,74333.0,82515.0,80405.0,7.0,7.2,6.9,7.0,7.4,Hunters Hill (A)
14170,15290.0,15489.0,16179.0,16398.0,16982.0,43.0,43.0,43.0,43.0,43.0,458153844.0,472874711.0,512239493.0,553323415.0,591571066.0,10721.0,11128.0,12000.0,12588.0,12412.0,29964.0,30530.0,31661.0,33743.0,34835.0,7.3,7.3,7.5,7.5,7.5,Inner West (A)
