lga_code_2006_,lga_name_2006_,irsad_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
53710,Goomalling (S),922,227,4,34,WA ,28,2,20,859,1012,936,0
53920,Halls Creek (S),712,27,1,5,WA ,1,1,1,583,993,3136,34
53990,Harvey (S),990,518,8,78,WA ,109,8,77,787,1096,19555,0
54060,Irwin (S),961,426,7,64,WA ,77,6,54,907,1010,3055,0
54130,Jerramungup (S),975,474,8,71,WA ,97,7,68,912,1018,1128,0
54170,Joondalup (C),1083,626,10,94,WA ,131,10,92,918,1217,149673,0
54200,Kalamunda (S),1032,586,9,88,WA ,125,9,88,891,1196,49536,0
54280,Kalgoorlie/Boulder (C),1000,539,9,81,WA ,112,8,79,656,1126,28423,1
54970,Laverton (S),854,70,2,11,WA ,7,1,5,666,917,729,43
57140,Pingelly (S),913,181,3,28,WA ,22,2,16,869,1014,1168,0
57210,Plantagenet (S),938,322,5,49,WA ,51,4,36,890,992,4484,0
57280,Port Hedland (T),1016,564,9,85,WA ,119,9,84,558,1144,11957,12
57350,Quairading (S),914,187,3,28,WA ,23,2,17,873,1020,1020,0
55040,Leonora (S),965,442,7,67,WA ,84,6,59,908,1003,1410,0
55110,Mandurah (C),973,466,7,70,WA ,95,7,67,769,1306,55815,1
55180,Manjimup (S),926,258,4,39,WA ,33,3,24,837,1053,9255,0
55250,Meekatharra (S),897,120,2,18,WA ,10,1,7,880,997,1135,8
55320,Melville (C),1093,629,10,95,WA ,132,10,93,914,1224,93001,0
62410,Glamorgan/Spring Bay (M),905,151,3,23,TAS,14,5,47,837,969,4190,0
62610,Glenorchy (C),902,132,2,20,TAS,12,5,41,742,1025,43412,0
62810,Hobart (C),1058,607,10,91,TAS,29,10,97,895,1195,47701,0
63010,Huon Valley (M),917,203,4,31,TAS,17,6,57,827,975,14001,0
55390,Menzies (S),804,57,1,9,WA ,4,1,3,777,831,216,2
55460,Merredin (S),949,375,6,57,WA ,60,5,42,834,1029,3247,0
63210,Kentish (M),898,122,2,19,TAS,11,4,37,777,987,5762,0
63410,King Island (M),928,266,4,40,TAS,21,8,71,880,1011,1639,0
63610,Kingborough (M),1023,569,9,86,TAS,28,10,94,875,1146,30839,0
63810,Latrobe (M),934,299,5,45,TAS,23,8,77,810,1022,8630,0
64010,Launceston (C),935,300,5,45,TAS,24,9,81,690,1101,62219,0
64210,Meander Valley (M),945,350,6,53,TAS,25,9,84,840,1075,18352,0
64610,Northern Midlands (M),923,233,4,35,TAS,20,7,67,815,1068,12093,0
64810,Sorell (M),934,294,5,45,TAS,22,8,74,832,1016,11925,0
65010,Southern Midlands (M),893,107,2,17,TAS,9,4,31,775,971,5670,0
65210,Tasman (M),878,88,2,14,TAS,6,3,21,811,947,2238,0
55530,Mingenew (S),935,308,5,47,WA ,46,4,33,872,1028,472,0
70300,Alpurrurulam (CGC),759,49,1,8,NT ,20,6,58,759,759,345,0
55600,Moora (S),943,339,6,51,WA ,54,4,38,909,1039,2411,0
59450,Wyalkatchem (S),902,134,3,21,WA ,12,1,9,850,999,565,0
59520,Wyndham-East Kimberley (S),929,268,5,41,WA ,36,3,26,531,1057,6596,4
59590,Yalgoo (S),910,171,3,26,WA ,19,2,14,861,970,243,0
59660,Yilgarn (S),943,341,6,52,WA ,55,4,39,899,1009,1414,0
55670,Morawa (S),934,298,5,45,WA ,41,3,29,896,1062,826,0
55740,Mosman Park (T),1104,636,10,96,WA ,134,10,94,928,1238,8251,0
56440,Narrogin (T),935,301,5,46,WA ,42,3,30,788,1007,4238,0
55950,Mukinbudin (S),956,407,7,61,WA ,70,5,49,931,982,577,0
56020,Mullewa (S),912,180,3,27,WA ,21,2,15,859,961,910,0
56090,Mundaring (S),1037,591,9,89,WA ,126,9,89,854,1143,35095,2
56160,Murchison (S),903,138,3,21,WA ,13,1,10,720,1022,113,18
56230,Murray (S),955,405,7,61,WA ,69,5,49,841,1064,11970,0
56300,Nannup (S),946,354,6,53,WA ,56,4,40,900,1003,1190,0
56370,Narembeen (S),937,313,5,47,WA ,48,4,34,897,1011,905,0
57420,Ravensthorpe (S),981,494,8,74,WA ,100,7,70,920,1084,1949,0
57490,Rockingham (C),994,527,8,79,WA ,111,8,78,736,1152,84309,0
57560,Roebourne (S),1053,605,10,91,WA ,129,10,91,591,1131,16421,3
56650,Northam (T),909,168,3,26,WA ,18,2,13,811,1009,6008,0
56720,Northam (S),929,267,4,40,WA ,35,3,25,810,992,3793,0
56790,Northampton (S),930,275,5,42,WA ,38,3,27,678,1032,3206,0
56860,Nungarin (S),916,199,3,30,WA ,24,2,17,846,1012,244,0
70770,Cox Peninsula (CGC),967,452,7,68,NT ,28,9,81,967,967,294,0
56930,Peppermint Grove (S),1191,665,10,100,WA ,142,10,100,1165,1224,1582,0
57000,Perenjori (S),936,311,5,47,WA ,47,4,33,858,999,529,0
70790,Daguragu (CGC),667,8,1,2,NT ,4,2,12,557,740,543,0
71000,Darwin (C),1033,587,9,88,NT ,33,10,95,608,1200,66290,0
71350,Elliott District (CGC),766,50,1,8,NT ,21,7,61,766,766,420,16
72000,Jabiru (T),1048,603,10,91,NT ,34,10,98,903,1078,1136,0
72100,Jilkminggan (CGC),478,1,1,1,NT ,1,1,3,478,478,273,0
57630,Sandstone (S),902,131,2,20,WA ,11,1,8,902,902,120,0
57700,Serpentine-Jarrahdale (S),1016,565,9,85,WA ,120,9,84,927,1076,12892,2
57770,Shark Bay (S),935,306,5,46,WA ,45,4,32,879,995,858,7
57840,South Perth (C),1093,630,10,95,WA ,133,10,94,957,1177,38360,1
57910,Stirling (C),1030,582,9,88,WA ,124,9,87,794,1208,176868,0
57980,Subiaco (C),1123,644,10,97,WA ,137,10,96,745,1224,16379,0
58050,Swan (C),993,526,8,79,WA ,110,8,77,808,1163,93279,0
58120,Tambellup (S),928,264,4,40,WA ,34,3,24,829,1022,659,0
58190,Tammin (S),904,143,3,22,WA ,15,2,11,807,998,390,0
58260,Three Springs (S),951,380,6,57,WA ,62,5,44,917,1016,662,0
58330,Toodyay (S),970,458,7,69,WA ,90,7,63,932,1024,4113,0
58400,Trayning (S),906,158,3,24,WA ,17,2,12,848,933,393,0
59730,York (S),964,435,7,66,WA ,83,6,59,935,1062,3114,0
60210,Break O'Day (M),877,84,2,13,TAS,5,2,17,785,948,6068,0
60410,Brighton (M),859,71,2,11,TAS,1,1,4,683,1045,14120,5
60610,Burnie (C),907,161,3,25,TAS,16,6,54,655,1043,19053,0
60810,Central Coast (M),922,226,4,34,TAS,19,7,64,819,1085,20663,0
61010,Central Highlands (M),871,76,2,12,TAS,3,2,11,804,916,2242,3
61210,Circular Head (M),896,119,2,18,TAS,10,4,34,789,959,7954,0
61410,Clarence (C),980,490,8,74,TAS,26,9,87,703,1112,49638,2
61510,Derwent Valley (M),876,83,2,13,TAS,4,2,14,758,1000,9479,0
61610,Devonport (C),903,137,3,21,TAS,13,5,44,694,1047,24014,0
61810,Dorset (M),886,97,2,15,TAS,8,3,27,775,955,6999,0
62010,Flinders (M),920,218,4,33,TAS,18,7,61,891,954,861,0
62210,George Town (M),869,75,2,12,TAS,2,1,7,734,987,6526,0
58470,Upper Gascoyne (S),839,65,1,10,WA ,6,1,5,731,940,285,0
58510,Victoria Park (T),1020,568,9,86,WA ,121,9,85,741,1223,27956,4
65410,Waratah/Wynyard (M),905,152,3,23,TAS,15,6,51,782,1048,13411,0
65610,West Coast (M),881,91,2,14,TAS,7,3,24,823,939,5003,0
65810,West Tamar (M),984,503,8,76,TAS,27,10,91,788,1139,20813,0
58540,Victoria Plains (S),961,428,7,65,WA ,78,6,55,866,989,903,0
70200,Alice Springs (T),1020,567,9,85,NT ,32,10,92,606,1146,23891,4
58570,Vincent (T),1079,621,10,93,WA ,130,10,91,910,1144,26879,0
58610,Wagin (S),924,244,4,37,WA ,30,3,21,864,1016,1843,0
58680,Wandering (S),966,446,7,67,WA ,87,7,61,950,998,355,0
58760,Wanneroo (C),1010,554,9,83,WA ,115,9,81,822,1201,110941,0
58820,Waroona (S),935,304,5,46,WA ,44,4,31,856,1018,3451,0
58890,West Arthur (S),971,463,7,70,WA ,93,7,66,909,1010,853,0
59030,Westonia (S),972,465,7,70,WA ,94,7,66,972,972,213,0
59100,Wickepin (S),929,270,5,41,WA ,37,3,26,881,1064,716,0
59170,Williams (S),960,424,7,64,WA ,76,6,54,905,1011,866,0
59250,Wiluna (S),797,55,1,9,WA ,3,1,3,513,934,680,56
59310,Wongan-Ballidu (S),971,461,7,70,WA ,91,7,64,944,1040,1387,0
59380,Woodanilling (S),971,462,7,70,WA ,92,7,65,947,1002,399,0
72200,Katherine (T),977,482,8,73,NT ,29,9,83,564,1100,8191,2
72240,Kunbarllanjnja (CGC),692,19,1,3,NT ,9,3,26,692,692,882,0
72270,Lajamanu (CGC),709,26,1,4,NT ,11,4,32,709,709,669,0
72300,Litchfield (S),1010,553,9,83,NT ,31,9,89,921,1104,15555,5
72320,Ltyentye Purte (CGC),701,22,1,4,NT ,10,3,29,701,701,541,0
72340,Marngarr (CGC),670,9,1,2,NT ,5,2,15,670,670,275,17
72360,Mataranka (CGC),901,129,2,20,NT ,26,8,75,901,901,251,0
72800,Palmerston (C),999,537,9,81,NT ,30,9,86,571,1138,23718,0
73030,Pine Creek (CGC),852,68,2,11,NT ,24,7,69,852,852,346,26
73800,Tennant Creek (T),893,105,2,16,NT ,25,8,72,580,982,2921,4
74020,Thamarrurr (CGC),722,38,1,6,NT ,16,5,46,629,739,1930,0
74030,Timber Creek (CGC),810,58,1,9,NT ,22,7,63,810,810,228,0
74050,Tiwi Islands (CGC),713,32,1,5,NT ,13,4,38,703,752,2128,3
74600,Walangeri Ngumpinku (CGC),655,5,1,1,NT ,3,1,9,593,668,463,39
74650,Wallace Rockhole (CGC),716,34,1,6,NT ,14,5,41,716,716,88,0
75000,Yuendumu (CGC),731,41,1,7,NT ,17,5,49,731,731,693,1
75050,Yugul Mangi (CGC),678,13,1,2,NT ,6,2,18,640,894,1642,1
79399,Unincorporated NT,811,59,1,9,NT ,23,7,66,493,1081,30525,24
89399,Unincorporated ACT,1097,632,10,95,ACT,1,6,51,738,1268,323328,1
99399,Unincorp. Other Territories,918,212,4,32,OT ,1,6,51,720,1083,2290,0
