lga_code_2006_,lga_name_2006_,irsad_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
32800,Douglas (S),976,478,8,72,QLD,128,9,82,621,1140,10191,0
32850,Duaringa (S),991,520,8,78,QLD,136,9,87,862,1062,6744,0
32900,Eacham (S),957,414,7,62,QLD,120,8,76,855,1019,6359,0
32950,Eidsvold (S),881,92,2,14,QLD,43,3,28,814,973,860,0
33000,Emerald (S),1013,558,9,84,QLD,147,10,94,719,1136,14355,0
40430,Barunga West (DC),896,116,2,18,SA ,12,2,17,832,998,2543,0
70600,Borroloola (CGC),712,29,1,5,NT ,12,4,35,712,712,774,0
31750,Bulloo (S),936,310,5,47,QLD,93,6,59,910,1020,371,0
32100,Calliope (S),993,524,8,79,QLD,139,9,88,811,1081,16544,0
32130,Caloundra (C),993,525,8,79,QLD,140,9,89,797,1141,87596,0
32330,Cherbourg (S),674,11,1,2,QLD,6,1,4,674,674,1128,0
32350,Chinchilla (S),936,312,5,47,QLD,94,6,60,814,1022,5940,1
32400,Clifton (S),922,228,4,35,QLD,76,5,49,861,1007,2612,0
32450,Cloncurry (S),930,274,5,42,QLD,86,6,55,658,1053,3135,0
32500,Cook (S),917,202,4,31,QLD,71,5,45,795,1045,3466,2
32530,Cooloola (S),914,188,3,29,QLD,69,5,44,800,1057,36069,0
32550,Crow's Nest (S),1035,589,9,89,QLD,154,10,98,883,1140,12642,1
32600,Croydon (S),849,66,1,10,QLD,34,3,22,802,959,254,0
33030,Erub (IC),729,40,1,6,QLD,21,2,14,729,729,317,0
33050,Esk (S),924,246,4,37,QLD,81,6,52,807,999,15164,0
33100,Etheridge (S),944,346,6,52,QLD,107,7,68,883,987,851,0
33150,Fitzroy (S),943,344,6,52,QLD,106,7,68,831,1007,10571,0
