lga_name_2016,lga_code_2016,tot_ocmngr,tot_ocprof,tot_octechtrdw,tot_occompers,tot_occlericadm,tot_ocsaleswk,tot_ocmacop_driv,tot_oclab,tot_ocid_ns,tot_tot
Albury (C),10050,2508,4502,3364,2820,3004,2504,1542,2328,333,22907
Armidale Regional (A),10130,1816,2865,1373,1426,1524,1191,497,1469,163,12327
Ballina (A),10250,2293,3896,2391,2098,2030,1850,785,1828,288,17463
Balranald (A),10300,216,83,116,95,104,40,100,195,28,982
Bathurst Regional (A),10470,2173,3437,2626,2446,2182,1773,1162,2074,292,18165
Bega Valley (A),10550,1790,2111,2023,1612,1438,1409,763,1816,203,13153
Bellingen (A),10600,683,1047,686,587,499,391,308,616,78,4890
Berrigan (A),10650,682,400,434,364,332,250,282,484,60,3282
Blacktown (C),10750,14581,28795,19183,15005,24781,13991,16596,15392,3138,151468
Bland (A),10800,701,268,352,191,240,159,276,306,49,2541
Blayney (A),10850,557,458,460,318,366,231,338,430,67,3222
Blue Mountains (C),10900,4476,10277,4613,4327,4796,2695,1496,2695,494,35860
Bogan (A),10950,280,121,156,127,105,61,157,149,18,1173
Botany Bay (C),11100,2950,5149,2795,2475,3504,2233,1480,1957,420,22963
Bourke (A),11150,198,161,108,169,98,54,64,119,32,1000
Brewarrina (A),11200,125,84,40,96,40,15,21,65,16,498
Broken Hill (C),11250,646,1111,1022,1047,751,704,721,761,138,6902
Hilltops (A),13910,1557,903,1056,713,807,708,499,1203,110,7563
Hornsby (A),14000,11022,23871,6925,6254,10364,5835,1751,3751,1021,70798
Hunters Hill (A),14100,1456,2226,347,474,860,534,81,150,106,6240
Inner West (A),14170,16318,37401,8446,8446,12773,7250,2467,4862,1608,99575
Inverell (A),14200,1044,895,864,744,607,662,375,1044,147,6393
Junee (A),14300,431,270,273,292,256,156,201,411,32,2318
Kempsey (A),14350,1100,1375,1308,1383,1054,974,666,1384,218,9463
Kiama (A),14400,1358,2434,1425,1145,1150,721,476,636,147,9488
Ku-ring-gai (A),14500,11583,21592,2805,3962,7330,4502,639,1536,973,54920
Kyogle (A),14550,663,460,381,346,323,230,255,513,64,3239
Lachlan (A),14600,681,300,306,246,234,167,211,276,45,2472
Lake Macquarie (C),14650,8453,17116,13704,9812,12170,8597,5768,8395,1253,85264
Lane Cove (A),14700,3632,8073,1187,1390,2456,1441,280,528,311,19292
Leeton (A),14750,738,632,650,382,511,357,442,902,99,4705
Lismore (C),14850,2110,3651,2366,2291,2309,1934,1007,2261,251,18168
Lithgow (C),14870,736,952,1363,1006,1031,654,972,942,142,7798
Liverpool (C),14900,8374,14232,12213,8382,13467,7719,8754,8705,2063,83905
Liverpool Plains (A),14920,632,342,342,316,283,209,373,459,58,3013
Lockhart (A),14950,391,164,144,122,130,69,110,130,30,1294
Maitland (C),15050,3313,5766,5987,3873,4586,3547,3408,3696,516,34692
Mid-Coast (A),15240,3654,4832,4396,3808,3319,3516,1976,4007,515,30032
Mid-Western Regional (A),15270,1410,1274,1671,946,979,882,1219,1163,137,9689
Moree Plains (A),15300,1152,762,642,554,665,422,520,701,103,5521
Mosman (A),15350,3360,5530,622,1018,1686,1085,100,293,300,13999
Murray River (A),15520,1205,701,627,478,503,414,323,661,78,4994
Murrumbidgee (A),15560,508,157,177,143,182,87,155,276,32,1716
Muswellbrook (A),15650,650,717,1347,607,684,533,1201,870,115,6732
Nambucca (A),15700,774,988,925,907,659,538,429,892,121,6229
Narrabri (A),15750,1009,774,801,492,604,468,691,704,115,5657
Narrandera (A),15800,499,277,289,222,242,154,206,393,40,2325
Narromine (A),15850,599,330,340,271,266,182,270,289,39,2592
Newcastle (C),15900,7321,19901,9424,8998,9555,6715,3781,6305,1034,73034
North Sydney (A),15950,8633,17713,2080,2402,5105,2673,362,790,691,40445
Northern Beaches (A),15990,24082,37083,14705,12242,17481,11805,3554,6623,2109,129685
Oberon (A),16100,417,268,321,209,225,159,319,268,56,2241
Orange (C),16150,1945,3772,2609,2056,2331,1732,1225,1881,256,17805
