lga_code_2006_,lga_name_2006_,ieo_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
10050,Albury (C),964,407,7,61,NSW,86,6,56,823,1117,46282,0
10110,Armidale Dumaresq (A),1044,590,9,89,NSW,125,9,82,869,1172,23367,0
10150,Ashfield (A),1097,624,10,94,NSW,136,9,89,1015,1179,39669,0
10200,Auburn (A),987,492,8,74,NSW,112,8,73,881,1195,64961,3
10250,Ballina (A),980,476,8,72,NSW,104,7,68,828,1106,38461,0
10300,Balranald (A),934,220,4,33,NSW,38,3,25,872,1105,2441,0
10350,Bankstown (C),955,361,6,55,NSW,81,6,53,821,1051,170488,0
10470,Bathurst Regional (A),982,484,8,73,NSW,108,8,71,806,1162,35844,4
10500,Baulkham Hills (A),1098,625,10,94,NSW,137,9,89,951,1189,159391,0
10550,Bega Valley (A),952,342,6,52,NSW,77,6,51,793,1092,31060,0
10600,Bellingen (A),971,438,7,66,NSW,95,7,62,829,1083,12417,0
10650,Berrigan (A),944,304,5,46,NSW,66,5,43,869,1142,7994,0
10750,Blacktown (C),949,334,6,51,NSW,75,5,49,741,1132,271710,0
10800,Bland (A),951,340,6,51,NSW,76,5,50,859,1128,6101,0
10850,Blayney (A),944,300,5,45,NSW,65,5,43,840,1070,6593,0
10900,Blue Mountains (C),1065,603,10,91,NSW,128,9,84,951,1224,74067,0
10950,Bogan (A),934,224,4,34,NSW,39,3,26,854,1073,2881,0
11000,Bombala (A),947,317,5,48,NSW,72,5,47,874,1071,2540,0
11050,Boorowa (A),977,462,7,70,NSW,100,7,65,906,1103,2294,0
11100,Botany Bay (C),982,486,8,73,NSW,109,8,71,810,1137,35991,0
11150,Bourke (A),965,409,7,62,NSW,87,6,57,834,1100,3097,0
11200,Brewarrina (A),912,135,3,21,NSW,14,1,10,858,1065,1945,4
11250,Broken Hill (C),885,63,1,10,NSW,3,1,2,825,1123,19363,2
12500,Deniliquin (A),927,193,3,29,NSW,28,2,19,876,976,7433,0
12600,Dubbo (C),945,308,5,47,NSW,68,5,45,796,1055,37845,2
