yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_age_pension_dva_num,slct_gov_pnsn_alwn_pension_dva_num,slct_gov_pnsn_alwn_inc_supp_supplement_dva_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,lga_code18,lga_name18,ogc_fid
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.0,,,,53.0,109.0,139.0,219.0,49.0,9.0,5.0,14.0,238.0,209.0,219.0,,,,,,,,,58820.0,Waroona (S),9.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,536.0,,24.0,13.0,50.0,,143.0,203.0,52.0,16.0,,14.0,232.0,192.0,,,,,,,,,,58820.0,Waroona (S),10.0
2016,1902.0,44.0,126839521.0,52248.0,66687.0,76.6,374.0,54.0,4836203.0,4429.0,12931.0,7.1,1444.0,50.0,9481069.0,165.0,6566.0,13.5,75.0,57.0,2617638.0,17247.0,34902.0,2.1,2126.0,47.0,138122745.0,49840.0,64968.0,7.14,2.27,0.32,0.12,0.47600000000000003,5.0,17.0,28.7,26.4,22.0,18.8,32.7,114.0,3.5,3017.0,30842.0,534.0,,29.0,11.0,61.0,,148.0,201.0,57.0,,5.0,17.0,235.0,217.0,,29.7,19.1,16.9,6.8,2.6,9.5,0.3,761.0,58820.0,Waroona (S),11.0
2015,1941.0,43.0,130291880.0,53086.0,67126.0,76.0,402.0,53.0,6044207.0,7182.0,15035.0,8.3,1466.0,50.0,13823563.0,219.0,9429.0,13.7,68.0,58.0,1694141.0,13522.0,24914.0,1.6,2166.0,47.0,145932992.0,51260.0,67374.0,6.89,2.27,0.33,0.14,0.474,5.7,17.0,28.5,25.7,20.8,18.9,34.6,127.0,2.7,2859.0,21223.0,528.0,,32.0,9.0,49.0,,151.0,133.0,64.0,,,,244.0,270.0,,,,,,,,,,58820.0,Waroona (S),12.0
2014,1851.0,43.0,125592753.0,54027.0,67851.0,76.5,397.0,53.0,5763229.0,5916.0,14517.0,8.0,1400.0,50.0,10727307.0,260.0,7662.0,13.3,54.0,59.0,1845588.0,21398.0,34178.0,1.8,2112.0,46.0,139143551.0,49385.0,65882.0,6.77,2.29,0.34,0.16,0.467,5.0,16.4,28.1,25.1,22.3,16.5,36.1,125.0,3.9,3712.0,30910.0,508.0,,38.0,9.0,49.0,,163.0,131.0,72.0,,,,248.0,269.0,,,,,,,,,,58820.0,Waroona (S),13.0
2013,1861.0,42.0,118672758.0,49631.0,63768.0,76.5,387.0,52.0,5689912.0,7009.0,14703.0,8.2,1332.0,50.0,10480722.0,332.0,7868.0,12.8,53.0,59.0,1768589.0,21772.0,33370.0,1.6,2085.0,46.0,132743504.0,48473.0,63666.0,6.63,2.23,0.34,0.14,0.467,4.8,16.6,28.1,25.9,21.1,17.8,35.2,112.0,2.9,6919.0,25508.0,493.0,,37.0,8.0,35.0,,154.0,128.0,71.0,,,,255.0,280.0,,,,,,,,,,58820.0,Waroona (S),14.0
2012,1765.0,41.0,106216493.0,45983.0,60179.0,75.8,415.0,50.0,6477137.0,6311.0,15608.0,9.1,1319.0,48.0,9897222.0,352.0,7504.0,12.6,63.0,60.0,1236781.0,16322.0,19631.0,1.8,2028.0,45.0,120475059.0,45018.0,59406.0,6.86,2.33,0.34,0.15,0.46399999999999997,4.6,15.9,27.4,25.4,22.9,16.9,34.7,117.0,3.4,3011.0,29160.0,,,,,,,,,,,,,,,,,,,,,,,,58820.0,Waroona (S),15.0
2011,1641.0,42.0,90766290.0,42789.0,55312.0,74.2,424.0,51.0,4641267.0,4335.0,10946.0,9.5,1215.0,49.0,8888457.0,403.0,7316.0,13.5,58.0,59.0,1293416.0,16946.0,22300.0,1.9,1935.0,45.0,103902823.0,40355.0,53697.0,7.24,2.38,0.33,0.13,0.48,4.8,16.4,28.3,26.7,23.7,17.2,32.5,149.0,2.8,2725.0,18925.0,,,,,,,,,,,,,,,,,,,,,,,719.0,58820.0,Waroona (S),16.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18761.0,,,,1829.0,4323.0,6359.0,4974.0,2380.0,690.0,880.0,1100.0,11638.0,9264.0,12530.0,,,,,,,,,36910.0,Toowoomba (R),17.0
2016,78459.0,39.0,4172578330.0,46734.0,53182.0,76.5,14660.0,51.0,261593425.0,5855.0,17844.0,7.7,61320.0,46.0,444251654.0,181.0,7245.0,13.7,3118.0,58.0,76280078.0,17830.0,24464.0,1.7,86831.0,43.0,4767357788.0,45891.0,54904.0,4.82,1.79,0.37,0.14,0.457,7.4,19.6,30.4,25.8,26.1,26.8,21.3,6669.0,220.2,2508.0,33013.0,19179.0,73.0,1092.0,530.0,1696.0,,6448.0,4906.0,2391.0,,1112.0,1062.0,11939.0,9640.0,,29.7,26.2,21.8,3.7,1.8,6.9,0.5,795.0,36910.0,Toowoomba (R),19.0
