yr,est_p_inc_emply_inc_num,est_p_inc_emply_inc_med_age_yrs,est_p_inc_tot_emply_inc_aud,est_p_inc_med_emply_inc_aud,est_p_inc_avg_emply_inc_aud,est_p_inc_emply_inc_mn_src_inc_pr100,est_p_inc_own_unincorportd_bsns_inc_num,est_p_inc_own_unincorportd_bsns_inc_med_age_yrs,est_p_inc_tot_own_unincorportd_bsns_inc_aud,est_p_inc_med_own_unincorportd_bsns_inc_aud,est_p_inc_avg_own_unincorportd_bsns_inc_aud,est_p_inc_own_unincorportd_bsns_inc_mn_src_inc_pr100,est_p_inc_investment_inc_num,est_p_inc_investment_inc_med_age_yrs,est_p_inc_tot_investment_inc_aud,est_p_inc_med_investment_inc_aud,est_p_inc_avg_investment_inc_aud,est_p_inc_investment_inc_mn_src_inc_pr100,est_p_inc_super_annuity_inc_num,est_p_inc_super_annuity_inc_med_age_yrs,est_p_inc_tot_super_annuity_inc_aud,est_p_inc_med_super_annuity_inc_aud,est_p_inc_avg_super_annuity_inc_aud,est_p_inc_super_annuity_inc_mn_src_inc_pr100,est_p_inc_tot_inc_excl_gov_pnsn_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_med_age_yrs,est_p_inc_tot_inc_excl_gov_pnsn_aud,est_p_inc_med_tot_inc_excl_gov_pnsn_aud,est_p_inc_avg_tot_inc_excl_gov_pnsn_aud,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p20_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p80_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p20_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_p10_p50_ratio,est_p_inc_tot_inc_excl_gov_pnsn_alwn_gini_coefficient_num,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_1_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_5_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_inc_share_top_10_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_loest_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_second_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_third_quartile_pr100,est_p_inc_tot_inc_excl_gov_pnsn_alwn_hi_quartile_pr100,gcg_rptd_by_taxpayers_gcg_p_num,gcg_rptd_by_taxpayers_gcg_amount_audm,gcg_rptd_by_taxpayers_gcg_med_aud,gcg_rptd_by_taxpayers_gcg_avg_aud,slct_gov_pnsn_alwn_age_pension_centrelink_num,slct_gov_pnsn_alwn_age_pension_dva_num,slct_gov_pnsn_alwn_pension_dva_num,slct_gov_pnsn_alwn_inc_supp_supplement_dva_num,slct_gov_pnsn_alwn_carer_payment_num,slct_gov_pnsn_alwn_carer_alloance_num,slct_gov_pnsn_alwn_dsblty_supp_pension_num,slct_gov_pnsn_alwn_newstart_alloance_num,slct_gov_pnsn_alwn_prnting_payment_single_num,slct_gov_pnsn_alwn_prnting_payment_prtred_num,slct_gov_pnsn_alwn_yth_alloance_full_time_studts_aprtc_num,slct_gov_pnsn_alwn_yth_alloance_oth_num,slct_gov_pnsn_alwn_fam_tax_bft_num,slct_gov_pnsn_alwn_fam_tax_bft_b_num,slct_gov_pnsn_alwn_commonwealth_rent_asst_num,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1_aud499wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud500_aud999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud1000_aud1999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud2000_aud2999wk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_aud3000_plswk_pr100,tot_p_inc_wk_p_ov_15_yrs_p_earn_nil_inc_pr100,tot_p_inc_wk_p_ov_15_yrs_p_negative_inc_pr100,eq_t_hs_inc_fam_lone_grp_hslds_med_eq_t_hs_inc_wk_aud,lga_code18,lga_name18,ogc_fid
2016,39554.0,42.0,1922687513.0,40949.0,48609.0,69.3,8814.0,49.0,190314400.0,12151.0,21592.0,10.6,34051.0,51.0,253899888.0,290.0,7456.0,16.8,2054.0,59.0,52287015.0,18804.0,25456.0,2.4,47635.0,47.0,2331536878.0,39362.0,48946.0,5.03,1.87,0.37,0.15,0.467,7.4,20.2,31.3,29.7,29.8,23.7,16.8,3468.0,174.9,3851.0,50442.0,16637.0,45.0,1096.0,619.0,1484.0,,4898.0,3856.0,1242.0,,538.0,526.0,7102.0,5721.0,,35.7,26.5,17.0,2.4,1.4,6.0,0.4,679.0,17550.0,Tweed (A),337.0
2015,38599.0,42.0,1810164593.0,39270.0,46897.0,69.0,8609.0,49.0,172486003.0,11842.0,20036.0,10.6,32791.0,51.0,245759653.0,343.0,7495.0,17.1,2056.0,59.0,55543787.0,18912.0,27015.0,2.6,46002.0,47.0,2203086898.0,38242.0,47891.0,5.01,1.87,0.37,0.15,0.47100000000000003,7.6,20.7,32.0,30.6,29.9,22.9,16.6,3211.0,113.5,4004.0,35333.0,16225.0,43.0,1200.0,669.0,1456.0,,5121.0,4017.0,1311.0,,617.0,631.0,7261.0,6012.0,,,,,,,,,,17550.0,Tweed (A),338.0
2014,36508.0,42.0,1674734846.0,38491.0,45873.0,69.3,8312.0,49.0,158058625.0,10953.0,19016.0,10.4,30969.0,51.0,235187681.0,407.0,7594.0,16.9,1944.0,59.0,50345753.0,19692.0,25898.0,2.6,44320.0,47.0,2071564926.0,37377.0,46741.0,5.13,1.88,0.37,0.14,0.475,7.6,20.8,32.1,30.9,29.7,22.8,16.6,3009.0,72.0,3016.0,23925.0,15692.0,45.0,1285.0,704.0,1411.0,,5271.0,3936.0,1340.0,,675.0,652.0,7374.0,6080.0,,,,,,,,,,17550.0,Tweed (A),339.0
2013,35350.0,42.0,1575755644.0,37666.0,44576.0,68.8,8241.0,49.0,143137878.0,9942.0,17369.0,10.2,30069.0,51.0,219258201.0,401.0,7292.0,17.4,1948.0,59.0,47204325.0,17837.0,24232.0,2.5,43181.0,47.0,1945547691.0,36376.0,45056.0,5.24,1.87,0.36,0.14,0.474,7.3,20.4,31.7,31.1,29.6,22.9,16.4,2620.0,52.1,1730.0,19888.0,15225.0,43.0,1408.0,720.0,1349.0,,5254.0,3794.0,1336.0,,716.0,706.0,7506.0,6118.0,,,,,,,,,,17550.0,Tweed (A),340.0
2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.0,44000.0,Maralinga Tjarutja (AC),254.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,,,,31.0,64.0,87.0,151.0,59.0,8.0,7.0,25.0,187.0,139.0,139.0,,,,,,,,,17950.0,Warren (A),255.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324.0,,6.0,,31.0,,94.0,134.0,55.0,10.0,,26.0,195.0,146.0,,,,,,,,,,17950.0,Warren (A),256.0
2016,1206.0,41.0,54446566.0,41525.0,45146.0,65.6,468.0,53.0,18640954.0,18538.0,39831.0,19.5,1055.0,50.0,14983181.0,588.0,14202.0,13.7,24.0,56.0,435107.0,9110.0,18129.0,0.8,1433.0,47.0,84492720.0,47001.0,58962.0,4.87,1.74,0.36,0.15,0.499,11.2,24.3,34.9,25.7,25.3,27.5,21.6,126.0,4.6,3196.0,36796.0,330.0,,8.0,5.0,29.0,,107.0,136.0,62.0,,6.0,20.0,208.0,161.0,,29.6,24.6,20.9,2.5,2.1,5.7,0.4,757.0,17950.0,Warren (A),257.0
2015,1231.0,40.0,52637744.0,38545.0,42760.0,65.5,461.0,54.0,22101499.0,24769.0,47943.0,20.8,1022.0,50.0,13759582.0,700.0,13463.0,12.9,25.0,56.0,758951.0,11319.0,30358.0,0.6,1409.0,47.0,84927175.0,46580.0,60275.0,4.3,1.75,0.41,0.19,0.485,11.3,25.0,35.5,23.8,26.5,28.0,21.6,112.0,3.2,4962.0,28289.0,327.0,,8.0,7.0,27.0,,111.0,159.0,64.0,,,26.0,209.0,162.0,,,,,,,,,,17950.0,Warren (A),258.0
2014,1200.0,41.0,51279450.0,39354.0,42733.0,66.1,478.0,53.0,14738507.0,14982.0,30834.0,17.2,1058.0,49.0,13426690.0,762.0,12691.0,15.9,,,,,,,1468.0,47.0,76679267.0,42644.0,52234.0,4.86,1.73,0.36,0.14,0.51,10.6,24.2,34.9,27.8,25.5,28.5,18.2,122.0,3.9,1534.0,32017.0,320.0,,8.0,8.0,30.0,,112.0,131.0,56.0,,,,222.0,173.0,,,,,,,,,,17950.0,Warren (A),259.0
2013,1188.0,41.0,48632509.0,37736.0,40936.0,66.9,471.0,52.0,17909309.0,15127.0,38024.0,17.8,1002.0,50.0,14025866.0,1091.0,13998.0,14.1,,,,,,,1451.0,46.0,77732280.0,40605.0,53572.0,4.83,1.81,0.38,0.15,0.539,13.2,27.5,38.0,26.6,27.6,26.5,19.2,133.0,5.4,1082.0,40774.0,325.0,,8.0,9.0,34.0,,119.0,112.0,46.0,,,,222.0,166.0,,,,,,,,,,17950.0,Warren (A),260.0
2012,1179.0,40.0,47747327.0,34864.0,40498.0,66.4,482.0,52.0,9715660.0,14593.0,20157.0,16.9,1028.0,50.0,15809688.0,938.0,15379.0,15.9,,,,,,,1462.0,46.0,71728880.0,38821.0,49062.0,5.44,1.89,0.35,0.12,0.5660000000000001,11.2,25.2,36.8,27.9,25.9,26.2,20.1,119.0,7.1,1356.0,59956.0,,,,,,,,,,,,,,,,,,,,,,,,17950.0,Warren (A),261.0
2011,1124.0,41.0,41621197.0,32336.0,37030.0,64.5,475.0,51.0,15032867.0,18064.0,31648.0,20.2,949.0,49.0,13445620.0,888.0,14168.0,14.5,,,,,,,1407.0,46.0,68151506.0,38652.0,48437.0,5.17,1.77,0.34,0.13,0.524,11.5,25.6,36.3,27.0,25.6,27.3,20.0,129.0,6.9,3830.0,53107.0,,,,,,,,,,,,,,,,,,,,,,,609.0,17950.0,Warren (A),262.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1045.0,,,,114.0,218.0,321.0,208.0,48.0,16.0,16.0,27.0,361.0,249.0,204.0,,,,,,,,,21270.0,Buloke (S),263.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1083.0,,31.0,38.0,107.0,,318.0,201.0,31.0,22.0,23.0,23.0,389.0,245.0,,,,,,,,,,21270.0,Buloke (S),264.0
2016,2557.0,44.0,99931451.0,33757.0,39082.0,60.8,1123.0,55.0,-394360.0,520.0,-351.0,12.1,2699.0,53.0,19295861.0,724.0,7149.0,25.0,100.0,58.0,1670704.0,9960.0,16707.0,1.6,3382.0,51.0,116157792.0,28980.0,34346.0,13.2,2.15,0.16,0.01,0.639,7.0,21.0,34.3,42.9,25.2,21.1,10.8,321.0,7.1,1539.0,22022.0,1143.0,,35.0,47.0,111.0,,323.0,216.0,44.0,,22.0,14.0,424.0,312.0,,38.6,23.8,14.3,1.1,0.9,7.0,1.4,570.0,21270.0,Buloke (S),265.0
2012,34010.0,42.0,1440446013.0,35873.0,42354.0,68.5,8235.0,49.0,150583766.0,10208.0,18286.0,10.6,29639.0,51.0,207405473.0,413.0,6998.0,17.4,1935.0,59.0,47292871.0,18340.0,24441.0,2.6,42726.0,47.0,1820418902.0,34256.0,42607.0,5.5,1.89,0.34,0.13,0.48100000000000004,7.8,20.7,32.0,31.7,29.7,22.6,16.1,2308.0,54.6,1788.0,23672.0,,,,,,,,,,,,,,,,,,,,,,,,17550.0,Tweed (A),341.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,37.0,44.0,115.0,212.0,127.0,13.0,,75.0,225.0,220.0,164.0,,,,,,,,,32330.0,Cherbourg (S),295.0
2011,33293.0,41.0,1332647504.0,34496.0,40028.0,68.0,8451.0,48.0,151760077.0,9851.0,17958.0,10.9,28627.0,51.0,197690129.0,451.0,6906.0,17.6,1949.0,59.0,46829961.0,17597.0,24028.0,2.6,42445.0,46.0,1708923011.0,32655.0,40262.0,5.76,1.87,0.32,0.12,0.485,8.2,20.8,32.0,31.3,29.7,23.2,15.8,2586.0,54.7,2364.0,21151.0,,,,,,,,,,,,,,,,,,,,,,,570.0,17550.0,Tweed (A),342.0
2016,39694.0,38.0,2288383204.0,50022.0,57651.0,83.9,4987.0,48.0,111418201.0,7543.0,22342.0,5.7,25231.0,45.0,116545718.0,109.0,4619.0,8.7,1121.0,56.0,25646325.0,11542.0,22878.0,1.4,40453.0,41.0,2405417338.0,50031.0,59462.0,4.47,1.78,0.4,0.18,0.43799999999999994,6.5,18.2,29.1,22.4,25.1,27.5,25.1,2185.0,50.3,1550.0,23002.0,8722.0,,406.0,239.0,928.0,,3412.0,3900.0,1556.0,,436.0,718.0,6096.0,5251.0,,30.5,24.2,21.2,4.3,1.8,7.4,0.5,784.0,36370.0,Rockhampton (R),343.0
2015,41470.0,37.0,2360201073.0,49227.0,56913.0,84.4,5105.0,48.0,109278953.0,6463.0,21406.0,5.4,25818.0,45.0,131548181.0,122.0,5095.0,8.6,1057.0,57.0,28241766.0,13750.0,26719.0,1.3,41786.0,40.0,2487842917.0,49931.0,59538.0,4.29,1.77,0.41,0.19,0.435,6.6,18.2,29.2,21.8,24.9,27.6,25.7,2343.0,57.5,2107.0,24528.0,8675.0,,437.0,270.0,898.0,,3486.0,3558.0,1578.0,,369.0,818.0,6133.0,5668.0,,,,,,,,,,36370.0,Rockhampton (R),344.0
2014,40641.0,37.0,2273784569.0,47652.0,55948.0,85.1,4898.0,49.0,101980385.0,6807.0,20821.0,5.0,25058.0,45.0,132645932.0,154.0,5294.0,8.4,1018.0,57.0,24135465.0,10643.0,23709.0,1.2,41315.0,40.0,2427747155.0,48904.0,58762.0,4.28,1.8,0.42,0.2,0.435,6.5,18.1,29.1,21.6,25.1,27.1,26.2,2306.0,52.3,2212.0,22700.0,8665.0,6.0,463.0,288.0,779.0,,3324.0,2841.0,1359.0,,342.0,620.0,6165.0,5651.0,,,,,,,,,,36370.0,Rockhampton (R),345.0
2013,41204.0,37.0,2291086262.0,46925.0,55603.0,85.1,5158.0,48.0,98830593.0,6727.0,19161.0,5.1,25432.0,45.0,136432231.0,185.0,5365.0,8.3,970.0,57.0,20767370.0,10182.0,21410.0,1.0,42103.0,40.0,2448560572.0,48280.0,58156.0,4.27,1.81,0.42,0.2,0.436,6.4,17.8,28.9,21.2,25.0,26.5,27.3,2156.0,44.8,1102.0,20773.0,8467.0,8.0,533.0,272.0,709.0,,3349.0,2370.0,1260.0,,295.0,523.0,6249.0,5695.0,,,,,,,,,,36370.0,Rockhampton (R),346.0
2012,40459.0,37.0,2143191380.0,45293.0,52972.0,85.2,5178.0,48.0,99301819.0,8744.0,19178.0,5.6,25349.0,44.0,126223790.0,203.0,4979.0,8.0,929.0,58.0,20170624.0,11142.0,21712.0,1.0,41870.0,40.0,2322733501.0,46545.0,55475.0,4.49,1.81,0.4,0.19,0.44299999999999995,6.3,17.8,28.8,21.6,24.4,26.5,27.5,1769.0,66.3,1718.0,37499.0,,,,,,,,,,,,,,,,,,,,,,,,36370.0,Rockhampton (R),347.0
2011,330.0,39.0,9848616.0,24753.0,29844.0,97.2,,,,,,,56.0,40.0,-27400.0,5.0,-489.0,0.9,,,,,,,324.0,39.0,9989415.0,25411.0,30832.0,4.58,1.85,0.4,0.2,0.435,,18.0,29.7,35.4,39.4,16.8,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,343.0,74050.0,Tiwi Islands (R),1683.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,,,,40.0,,108.0,186.0,109.0,18.0,,55.0,212.0,201.0,,,,,,,,,,32330.0,Cherbourg (S),296.0
2011,38389.0,37.0,1883427935.0,42515.0,49062.0,84.5,5078.0,48.0,89633898.0,7167.0,17651.0,5.7,23793.0,45.0,108733044.0,219.0,4570.0,8.5,896.0,58.0,16388008.0,10000.0,18290.0,1.0,40555.0,40.0,2051882940.0,42855.0,50595.0,4.65,1.8,0.39,0.17,0.44,6.2,17.7,28.6,22.5,24.9,26.8,25.9,2234.0,47.5,1648.0,21250.0,,,,,,,,,,,,,,,,,,,,,,,730.0,36370.0,Rockhampton (R),348.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8569.0,,,,1072.0,2426.0,3454.0,3843.0,1533.0,323.0,343.0,774.0,5902.0,4974.0,6490.0,,,,,,,,,36370.0,Rockhampton (R),349.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8646.0,,361.0,214.0,979.0,,3365.0,3934.0,1597.0,384.0,357.0,732.0,6085.0,5119.0,,,,,,,,,,36370.0,Rockhampton (R),350.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6554.0,,,,491.0,1127.0,1641.0,1457.0,404.0,148.0,100.0,120.0,2452.0,1810.0,2747.0,,,,,,,,,20740.0,Bass Coast (S),351.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6451.0,7.0,262.0,111.0,466.0,,1618.0,1479.0,425.0,157.0,104.0,139.0,2532.0,1922.0,,,,,,,,,,20740.0,Bass Coast (S),352.0
2016,13569.0,44.0,599025409.0,37048.0,44147.0,65.2,3916.0,51.0,75399429.0,13712.0,19254.0,13.9,12163.0,53.0,96372418.0,387.0,7923.0,18.2,623.0,59.0,15004492.0,14478.0,24084.0,2.1,16986.0,49.0,756713226.0,35998.0,44549.0,5.43,1.89,0.35,0.14,0.475,6.5,20.0,31.6,33.1,31.4,21.4,14.2,1268.0,43.5,3108.0,34271.0,6391.0,8.0,293.0,126.0,420.0,,1657.0,1425.0,455.0,,123.0,146.0,2541.0,2001.0,,38.0,26.7,15.1,2.1,1.4,5.7,0.5,625.0,20740.0,Bass Coast (S),353.0
2015,13211.0,43.0,565486954.0,35792.0,42804.0,65.0,3808.0,51.0,72183321.0,12701.0,18956.0,13.7,11749.0,52.0,97882238.0,446.0,8331.0,18.4,645.0,59.0,14831176.0,13527.0,22994.0,2.2,16384.0,48.0,721895747.0,35605.0,44061.0,5.25,1.86,0.35,0.14,0.479,7.2,20.7,32.1,33.2,30.9,21.6,14.2,1274.0,34.1,3381.0,26775.0,6110.0,8.0,308.0,139.0,395.0,,1689.0,1434.0,440.0,,115.0,174.0,2541.0,2066.0,,,,,,,,,,20740.0,Bass Coast (S),354.0
2014,12600.0,43.0,518648783.0,34500.0,41163.0,65.4,3743.0,51.0,64907801.0,11665.0,17341.0,13.3,11128.0,53.0,87457337.0,501.0,7859.0,18.3,664.0,59.0,15105081.0,11723.0,22749.0,2.2,15849.0,48.0,669202402.0,34051.0,42224.0,5.37,1.87,0.35,0.13,0.48200000000000004,7.2,20.7,32.1,33.9,31.5,21.1,13.5,1149.0,56.7,3880.0,49316.0,5869.0,6.0,321.0,153.0,377.0,,1656.0,1324.0,450.0,,117.0,207.0,2525.0,2024.0,,,,,,,,,,20740.0,Bass Coast (S),355.0
2013,12198.0,43.0,493514863.0,33639.0,40459.0,65.2,3665.0,50.0,52737345.0,9439.0,14389.0,12.6,10935.0,52.0,88391332.0,563.0,8083.0,19.3,663.0,59.0,12704013.0,10758.0,19161.0,2.2,15520.0,48.0,633950466.0,32944.0,40847.0,5.39,1.87,0.35,0.13,0.488,7.1,20.9,32.4,34.5,30.9,21.3,13.3,1082.0,27.3,2303.0,25247.0,5705.0,6.0,349.0,157.0,310.0,,1612.0,1194.0,421.0,,153.0,204.0,2476.0,1948.0,,,,,,,,,,20740.0,Bass Coast (S),356.0
2016,252.0,41.0,7139391.0,24410.0,28331.0,94.6,,,,,,,23.0,52.0,5319.0,11.0,231.0,0.6,,,,,,,165.0,42.0,6362472.0,37755.0,38560.0,,,,,0.361,,13.6,23.3,27.7,41.0,24.7,6.6,,,,,50.0,,,,34.0,,111.0,188.0,137.0,,,71.0,234.0,225.0,,67.2,14.7,2.9,,0.7,7.1,0.6,371.0,32330.0,Cherbourg (S),297.0
2012,11920.0,42.0,489178799.0,33263.0,41038.0,65.2,3568.0,50.0,65338158.0,12479.0,18312.0,13.5,10790.0,52.0,91499819.0,676.0,8480.0,18.7,638.0,59.0,12818672.0,13270.0,20092.0,2.2,15292.0,48.0,647194992.0,33513.0,42322.0,5.45,1.88,0.34,0.15,0.486,6.8,21.3,33.0,31.8,31.1,21.7,15.4,879.0,28.9,3345.0,32870.0,,,,,,,,,,,,,,,,,,,,,,,,20740.0,Bass Coast (S),357.0
2011,11695.0,42.0,467323930.0,32705.0,39959.0,65.3,3540.0,50.0,61545850.0,12202.0,17386.0,13.3,10386.0,52.0,87560191.0,702.0,8431.0,18.6,643.0,59.0,12893633.0,11385.0,20052.0,2.1,15177.0,47.0,620192137.0,32355.0,40864.0,5.78,1.91,0.33,0.14,0.494,7.1,21.3,33.1,30.9,31.0,21.7,16.4,1107.0,37.9,3940.0,34281.0,,,,,,,,,,,,,,,,,,,,,,,585.0,20740.0,Bass Coast (S),358.0
2012,2119.0,38.0,94879591.0,40310.0,44776.0,74.8,712.0,49.0,13893072.0,11750.0,19513.0,14.4,1683.0,45.0,10548008.0,328.0,6267.0,9.7,31.0,56.0,1042245.0,15581.0,33621.0,0.5,2385.0,42.0,117404575.0,44611.0,49226.0,3.92,1.66,0.42,0.22,0.42200000000000004,5.5,16.7,27.1,21.6,27.1,30.4,20.9,153.0,3.9,1860.0,25259.0,,,,,,,,,,,,,,,,,,,,,,,,34710.0,Longreach (R),429.0
2011,2114.0,37.0,87130951.0,37513.0,41216.0,74.6,742.0,47.0,15135665.0,10932.0,20398.0,15.0,1671.0,44.0,10299779.0,333.0,6164.0,9.6,27.0,57.0,339627.0,7712.0,12579.0,0.3,2420.0,40.0,111130735.0,40257.0,45922.0,4.21,1.72,0.41,0.18,0.435,5.8,17.5,28.2,23.1,27.8,28.6,20.5,210.0,5.9,2187.0,27970.0,,,,,,,,,,,,,,,,,,,,,,,751.0,34710.0,Longreach (R),430.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2399.0,,,,299.0,588.0,1044.0,787.0,188.0,79.0,79.0,104.0,1409.0,1037.0,879.0,,,,,,,,,63010.0,Huon Valley (M),431.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2432.0,5.0,109.0,16.0,288.0,,1032.0,755.0,186.0,106.0,68.0,108.0,1413.0,1050.0,,,,,,,,,,63010.0,Huon Valley (M),432.0
2016,7234.0,42.0,320993800.0,39379.0,44373.0,72.2,1859.0,52.0,33585504.0,8433.0,18066.0,12.2,5263.0,51.0,29571388.0,193.0,5619.0,11.5,406.0,59.0,11857235.0,22571.0,29205.0,3.1,8271.0,46.0,380541833.0,38701.0,46009.0,5.3,1.8,0.34,0.13,0.461,6.9,19.2,30.1,30.9,28.9,25.9,14.3,406.0,12.6,3274.0,30935.0,2379.0,5.0,125.0,22.0,295.0,,1060.0,820.0,193.0,,86.0,90.0,1462.0,1166.0,,38.6,24.9,16.9,2.2,1.1,6.9,0.5,628.0,63010.0,Huon Valley (M),433.0
2012,174.0,37.0,5610032.0,22937.0,32242.0,86.4,23.0,53.0,738257.0,19820.0,32098.0,9.8,64.0,38.0,12608.0,40.0,197.0,3.0,,,,,,,131.0,38.0,6138694.0,39322.0,46860.0,,,,,0.42700000000000005,,16.2,28.5,23.5,32.6,25.0,18.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,59250.0,Wiluna (S),950.0
2015,249.0,39.0,7582325.0,24270.0,30451.0,91.6,,,,,,,,,,,,,,,,,,,180.0,41.0,6966072.0,37380.0,38700.0,,,,,0.387,,14.2,25.1,32.6,36.0,23.6,7.9,,,,,43.0,,,,27.0,,118.0,201.0,117.0,,,71.0,215.0,210.0,,,,,,,,,,32330.0,Cherbourg (S),298.0
2015,2105.0,44.0,77464200.0,30630.0,36800.0,59.0,1055.0,54.0,14241730.0,7478.0,13499.0,19.4,1922.0,54.0,15943990.0,602.0,8296.0,17.5,115.0,63.0,3318222.0,25688.0,28854.0,2.9,2697.0,51.0,106088633.0,32102.0,39336.0,5.36,1.88,0.35,0.11,0.488,6.0,19.5,31.3,36.0,32.2,20.1,11.6,203.0,6.3,3696.0,31137.0,602.0,,57.0,25.0,42.0,,162.0,183.0,34.0,,,,356.0,247.0,,,,,,,,,,42750.0,Kangaroo Island (DC),367.0
2014,2066.0,45.0,72312618.0,29160.0,35001.0,60.2,1070.0,53.0,15243766.0,7535.0,14247.0,18.8,1895.0,53.0,16352367.0,705.0,8629.0,17.2,120.0,62.0,3619295.0,26197.0,30161.0,3.0,2682.0,51.0,104803673.0,32192.0,39077.0,5.52,1.85,0.33,0.11,0.486,6.0,19.5,31.2,34.5,32.8,20.8,12.0,188.0,5.6,2650.0,29734.0,558.0,,56.0,26.0,37.0,,165.0,182.0,31.0,,,23.0,357.0,247.0,,,,,,,,,,42750.0,Kangaroo Island (DC),368.0
2013,2027.0,44.0,70234736.0,28954.0,34650.0,60.0,1081.0,53.0,8973545.0,3072.0,8301.0,17.0,1840.0,53.0,15486319.0,788.0,8416.0,18.3,123.0,63.0,3203740.0,23709.0,26047.0,2.9,2683.0,50.0,96452262.0,28866.0,35949.0,6.04,1.96,0.33,0.08,0.519,6.7,19.9,32.0,38.0,31.1,20.0,10.9,237.0,4.7,2972.0,19775.0,524.0,,62.0,24.0,30.0,,164.0,170.0,26.0,,,,368.0,249.0,,,,,,,,,,42750.0,Kangaroo Island (DC),369.0
2012,1994.0,43.0,67023850.0,28579.0,33613.0,60.0,1081.0,52.0,19388088.0,8917.0,17935.0,19.9,1832.0,53.0,15676488.0,787.0,8557.0,16.4,108.0,61.0,2686731.0,22139.0,24877.0,2.7,2663.0,49.0,102997208.0,32107.0,38677.0,5.55,1.85,0.33,0.11,0.49,6.7,20.1,31.6,32.4,32.2,22.0,13.4,168.0,3.5,3027.0,20892.0,,,,,,,,,,,,,,,,,,,,,,,,42750.0,Kangaroo Island (DC),370.0
2011,1914.0,43.0,61205726.0,27589.0,31978.0,59.1,1086.0,52.0,19823544.0,9003.0,18254.0,21.8,1730.0,52.0,13101531.0,796.0,7573.0,15.3,112.0,59.0,2979667.0,19325.0,26604.0,2.8,2601.0,49.0,95899476.0,30060.0,36870.0,5.44,1.89,0.35,0.11,0.479,6.2,19.2,31.0,32.0,33.0,21.4,13.7,211.0,3.5,2053.0,16712.0,,,,,,,,,,,,,,,,,,,,,,,574.0,42750.0,Kangaroo Island (DC),371.0
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,643.0,,,,39.0,102.0,149.0,175.0,35.0,20.0,,18.0,319.0,209.0,232.0,,,,,,,,,42750.0,Kangaroo Island (DC),372.0
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629.0,,54.0,20.0,38.0,,153.0,203.0,35.0,16.0,6.0,9.0,334.0,232.0,,,,,,,,,,42750.0,Kangaroo Island (DC),373.0
2011,182.0,36.0,5260051.0,15009.0,28901.0,88.8,,,,,,,46.0,42.0,-48214.0,18.0,-1048.0,2.6,,,,,,,115.0,41.0,4314181.0,36692.0,37515.0,,,,,,,17.9,33.2,29.3,25.0,24.1,21.6,,,,,,,,,,,,,,,,,,,,,,,,,,,618.0,59250.0,Wiluna (S),951.0
