lga_name_2016,lga_code_2016,d_21_24_fpt_mpet,d_21_24_fpt_mpulftw,d_21_24_fpt_mpulptw,d_21_24_fpt_mput,d_21_24_fpt_mptlf,d_21_24_fpt_mpnlf,d_21_24_fpt_mplfsns,d_21_24_fpt_t,tdcf_fpeft_mpeft,tdcf_fpeft_mpept,tdcf_fpeft_mpeaw,tdcf_fpeft_mpehns,tdcf_fpeft_mpet,tdcf_fpeft_mpulftw,tdcf_fpeft_mpulptw,tdcf_fpeft_mput,tdcf_fpeft_mptlf,tdcf_fpeft_mpnlf,tdcf_fpeft_mplfsns,tdcf_fpeft_t,tdcf_fpept_mpeft,tdcf_fpept_mpept,tdcf_fpept_mpeaw,tdcf_fpept_mpehns,tdcf_fpept_mpet,tdcf_fpept_mpulftw,tdcf_fpept_mpulptw,tdcf_fpept_mput,tdcf_fpept_mptlf,tdcf_fpept_mpnlf,tdcf_fpept_mplfsns,tdcf_fpept_t,tdcf_fpeaw_mpeft,tdcf_fpeaw_mpept,tdcf_fpeaw_mpeaw,tdcf_fpeaw_mpehns,tdcf_fpeaw_mpet,tdcf_fpeaw_mpulftw,tdcf_fpeaw_mpulptw,tdcf_fpeaw_mput,tdcf_fpeaw_mptlf,tdcf_fpeaw_mpnlf,tdcf_fpeaw_mplfsns,tdcf_fpeaw_t,tdcf_fphns_mpeft,tdcf_fphns_mpept,tdcf_fphns_mpeaw,tdcf_fphns_mpehns,tdcf_fphns_mpet,tdcf_fphns_mpulftw,tdcf_fphns_mpulptw,tdcf_fphns_mput,tdcf_fphns_mptlf,tdcf_fphns_mpnlf,tdcf_fphns_mplfsns,tdcf_fphns_t,tdcf_fpet_mpeft,tdcf_fpet_mpept,tdcf_fpet_mpeaw,tdcf_fpet_mpehns,tdcf_fpet_mpet,tdcf_fpet_mpulftw,tdcf_fpet_mpulptw,tdcf_fpet_mput,tdcf_fpet_mptlf,tdcf_fpet_mpnlf,tdcf_fpet_mplfsns,tdcf_fpet_t,tdcf_fpulftw_mpeft,tdcf_fpulftw_mpept,tdcf_fpulftw_mpeaw,tdcf_fpulftw_mpehns,tdcf_fpulftw_mpet,tdcf_fpulftw_mpulftw,tdcf_fpulftw_mpulptw,tdcf_fpulftw_mput,tdcf_fpulftw_mptlf,tdcf_fpulftw_mpnlf,tdcf_fpulftw_mplfsns,tdcf_fpulftw_t,tdcf_fpulptw_mpeft,tdcf_fpulptw_mpept,tdcf_fpulptw_mpeaw,tdcf_fpulptw_mpehns,tdcf_fpulptw_mpet,tdcf_fpulptw_mpulftw,tdcf_fpulptw_mpulptw,tdcf_fpulptw_mput,tdcf_fpulptw_mptlf,tdcf_fpulptw_mpnlf,tdcf_fpulptw_mplfsns,tdcf_fpulptw_t,tdcf_fput_mpeft,tdcf_fput_mpept,tdcf_fput_mpeaw,tdcf_fput_mpehns,tdcf_fput_mpet,tdcf_fput_mpulftw,tdcf_fput_mpulptw,tdcf_fput_mput,tdcf_fput_mptlf,tdcf_fput_mpnlf,tdcf_fput_mplfsns,tdcf_fput_t,tdcf_fptlf_mpeft,tdcf_fptlf_mpept,tdcf_fptlf_mpeaw,tdcf_fptlf_mpehns,tdcf_fptlf_mpet,tdcf_fptlf_mpulftw,tdcf_fptlf_mpulptw,tdcf_fptlf_mput,tdcf_fptlf_mptlf,tdcf_fptlf_mpnlf,tdcf_fptlf_mplfsns,tdcf_fptlf_t,tdcf_fpnlf_mpeft,tdcf_fpnlf_mpept,tdcf_fpnlf_mpeaw,tdcf_fpnlf_mpehns,tdcf_fpnlf_mpet,tdcf_fpnlf_mpulftw,tdcf_fpnlf_mpulptw,tdcf_fpnlf_mput,tdcf_fpnlf_mptlf,tdcf_fpnlf_mpnlf,tdcf_fpnlf_mplfsns,tdcf_fpnlf_t,tdcf_fplfsns_mpeft,tdcf_fplfsns_mpept,tdcf_fplfsns_mpeaw,tdcf_fplfsns_mpehns,tdcf_fplfsns_mpet,tdcf_fplfsns_mpulftw,tdcf_fplfsns_mpulptw,tdcf_fplfsns_mput,tdcf_fplfsns_mptlf,tdcf_fplfsns_mpnlf,tdcf_fplfsns_mplfsns,tdcf_fplfsns_t,tdcf_fpt_mpeft,tdcf_fpt_mpept,tdcf_fpt_mpeaw,tdcf_fpt_mpehns,tdcf_fpt_mpet,tdcf_fpt_mpulftw,tdcf_fpt_mpulptw,tdcf_fpt_mput,tdcf_fpt_mptlf,tdcf_fpt_mpnlf,tdcf_fpt_mplfsns,tdcf_fpt_t
Albury (C),10050,69,0,0,0,72,10,0,83,1646,167,36,11,1864,18,5,22,1885,112,5,2005,2952,304,42,21,3321,45,8,51,3375,94,3,3463,275,45,42,0,360,0,0,0,363,4,0,365,40,3,0,15,63,0,0,0,63,3,0,59,4907,520,123,56,5599,63,13,80,5678,209,7,5894,32,10,0,0,41,7,0,7,47,3,0,53,92,16,0,0,112,5,4,9,121,6,0,127,119,26,0,0,150,12,4,14,163,8,0,173,5030,543,122,57,5753,72,22,91,5844,215,7,6072,1133,197,27,23,1381,63,12,75,1456,288,8,1753,0,0,0,4,3,0,0,0,3,0,29,39,6163,748,146,84,7140,137,32,167,7309,509,46,7856
Armidale Regional (A),10130,23,0,0,0,23,3,0,27,954,138,10,6,1105,20,7,26,1129,73,0,1205,1297,182,15,10,1504,12,0,10,1517,57,0,1576,91,19,26,0,134,3,0,3,139,9,0,143,22,0,0,6,27,0,0,0,27,4,0,38,2366,336,52,26,2774,38,8,40,2818,141,0,2962,9,7,0,0,17,13,0,13,30,5,0,39,27,6,0,14,44,7,0,7,52,7,0,52,36,14,0,14,57,16,0,16,79,16,0,91,2398,344,52,41,2837,57,8,61,2899,154,0,3056,668,125,10,25,822,28,9,36,861,272,0,1136,12,0,0,0,12,0,0,0,12,0,9,23,3074,473,66,60,3668,84,17,100,3767,424,12,4213
Ballina (A),10250,48,5,0,5,52,7,0,58,1229,215,22,18,1482,24,8,36,1515,60,0,1571,2002,416,38,12,2470,31,8,43,2511,102,4,2619,136,23,24,3,181,0,0,0,179,11,0,192,20,4,0,36,56,0,0,0,61,3,0,61,3379,658,78,76,4188,57,21,76,4268,178,3,4443,23,8,0,0,36,5,0,5,34,3,0,38,54,28,3,0,87,11,4,8,99,0,0,101,83,35,3,0,121,12,4,12,132,5,0,139,3462,691,81,76,4313,69,22,90,4403,181,3,4584,826,184,31,28,1071,54,3,58,1130,167,6,1302,6,0,0,0,8,0,0,0,8,0,16,20,4294,879,117,97,5394,118,29,143,5539,350,28,5914
Balranald (A),10300,3,0,0,0,3,0,0,3,79,6,0,5,86,0,0,0,92,0,0,92,139,10,0,0,153,0,0,0,153,0,0,157,19,0,0,0,19,0,0,0,19,0,0,19,0,0,0,0,4,0,0,0,4,0,0,4,238,16,0,4,266,0,0,0,262,0,0,264,3,0,0,0,3,3,0,3,6,0,0,6,5,0,0,0,5,0,0,0,5,0,0,3,7,0,0,0,7,3,0,3,8,0,0,10,245,16,0,4,267,4,0,4,275,7,0,274,94,12,0,0,104,3,0,3,114,6,0,114,5,3,0,0,11,0,0,0,11,0,0,8,346,29,0,7,381,11,0,11,390,10,0,405
Bathurst Regional (A),10470,57,0,0,0,58,4,0,66,1785,161,29,15,1989,22,4,30,2022,106,3,2126,2235,217,40,18,2515,17,5,22,2535,66,0,2607,242,13,37,3,291,3,0,3,296,12,0,306,38,8,4,24,65,3,0,3,68,0,0,71,4307,396,104,60,4864,48,10,55,4920,188,3,5113,36,0,0,0,33,8,0,8,43,3,0,42,72,6,0,0,83,3,3,7,86,9,0,94,101,5,0,0,113,12,3,9,126,9,0,137,4408,400,105,65,4982,59,13,68,5050,199,3,5247,935,137,27,30,1125,63,11,67,1192,241,10,1440,0,0,0,3,7,0,0,0,7,0,13,14,5344,537,132,91,6106,118,21,139,6241,438,20,6702
Bega Valley (A),10550,10,0,0,0,10,3,0,15,814,181,16,4,1014,12,3,20,1033,61,0,1091,1308,302,41,12,1663,22,5,30,1690,93,0,1780,109,20,32,0,152,0,0,0,152,4,0,159,19,0,3,20,42,0,0,0,42,0,4,42,2247,496,87,36,2870,36,12,45,2915,158,6,3075,18,9,0,0,18,6,3,8,35,5,0,38,37,7,3,4,54,8,0,8,53,0,0,53,55,10,3,4,75,11,3,15,91,5,0,95,2300,508,88,43,2944,47,16,59,3001,162,6,3170,605,142,27,6,782,26,12,34,816,186,3,1009,11,0,0,0,17,0,0,0,17,0,14,32,2911,654,120,53,3739,70,28,98,3834,353,26,4210
Bellingen (A),10600,0,0,0,0,0,3,0,9,276,69,7,4,357,0,0,0,357,33,0,384,440,185,9,9,643,10,0,12,655,52,3,712,34,3,8,0,40,3,4,3,47,0,0,50,14,0,0,7,20,0,0,0,20,0,0,20,762,265,17,16,1056,12,3,14,1077,88,3,1168,8,3,0,0,14,4,0,7,22,0,0,22,22,4,0,0,29,0,0,0,25,0,0,25,33,6,0,0,38,4,3,6,48,0,0,48,791,270,17,16,1101,16,7,25,1124,88,3,1213,240,94,9,3,355,21,4,24,378,94,4,485,6,0,0,0,6,0,0,0,6,0,5,7,1038,367,29,20,1455,44,7,54,1508,184,17,1702
Berrigan (A),10650,7,0,0,0,7,0,0,7,255,13,11,0,280,0,0,0,279,23,3,307,469,33,13,0,520,7,0,7,523,18,3,540,36,4,9,0,48,0,0,0,48,0,0,48,5,0,0,0,5,0,0,0,5,6,0,12,761,54,29,3,851,7,0,9,862,46,3,911,3,0,0,0,7,5,0,5,10,3,0,15,3,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,10,5,0,5,15,3,0,21,772,54,35,8,863,10,0,11,880,46,3,930,176,18,3,11,200,6,0,6,209,33,0,246,0,0,0,0,0,0,0,0,0,3,0,3,951,68,33,10,1068,21,0,20,1086,86,4,1177
Blacktown (C),10750,1780,52,19,67,1850,341,12,2204,19650,1758,172,188,21774,474,102,576,22353,1051,27,23430,16117,2059,205,194,18577,281,77,359,18938,634,13,19589,1613,187,209,30,2042,28,3,35,2075,57,6,2133,368,57,10,333,768,22,3,29,795,61,38,896,37756,4063,594,751,43160,810,191,998,44163,1803,79,46043,858,170,18,26,1071,145,13,159,1232,108,4,1338,1264,207,3,26,1497,116,40,152,1649,107,3,1757,2122,381,21,48,2570,259,52,314,2886,211,3,3095,39876,4442,619,796,45736,1070,240,1311,47044,2012,90,49143,15610,2767,276,513,19169,689,167,854,20025,3673,89,23780,114,20,0,102,232,0,4,9,242,38,243,517,55601,7233,890,1414,65134,1761,415,2170,67306,5719,418,73441
Bland (A),10800,3,0,0,0,3,0,0,3,208,28,0,0,237,0,0,0,237,0,3,242,354,39,7,4,409,0,0,0,408,16,0,422,27,0,4,4,32,0,0,0,32,7,0,36,8,0,0,21,31,0,0,0,31,0,0,31,593,71,10,33,709,0,0,0,709,20,3,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,8,593,70,10,33,710,0,0,0,712,22,3,735,143,24,0,3,171,10,10,24,189,27,0,218,0,0,0,3,3,0,0,0,3,0,0,3,735,95,11,40,884,16,6,23,906,53,3,959
Blayney (A),10850,8,0,0,0,8,0,0,5,313,33,0,0,347,3,0,3,355,13,0,363,491,39,10,4,548,7,0,7,552,12,0,567,38,5,12,0,52,0,0,0,52,0,0,52,9,0,0,0,10,0,0,0,10,3,0,11,854,78,22,4,955,9,0,9,971,29,0,999,14,0,0,0,14,0,0,0,14,0,0,14,13,3,0,0,14,0,0,0,14,4,0,13,21,3,0,0,24,0,0,0,24,4,0,30,877,81,22,4,983,9,0,9,991,35,0,1030,196,25,8,7,239,9,3,10,249,27,0,282,0,0,0,0,0,0,0,0,0,0,0,0,1075,105,35,16,1225,18,3,22,1246,65,5,1313
Blue Mountains (C),10900,278,4,3,10,285,42,0,321,3013,433,47,11,3500,46,18,63,3560,237,0,3801,4623,632,64,34,5350,46,25,72,5419,172,7,5605,448,31,54,10,539,7,0,7,544,14,3,566,31,6,0,23,63,0,0,0,64,6,0,65,8114,1105,165,72,9455,97,38,140,9595,431,14,10034,44,10,4,0,61,7,0,7,61,9,0,73,194,19,4,9,224,3,3,4,233,13,0,244,236,29,7,10,286,8,3,9,293,21,0,318,8353,1129,172,83,9742,106,39,146,9888,455,14,10350,2312,305,45,43,2709,39,11,47,2757,259,3,3015,7,0,0,13,13,0,0,0,13,6,15,37,10673,1440,220,134,12464,147,48,199,12658,719,33,13405
Bogan (A),10950,0,0,0,0,0,0,0,0,93,7,0,0,98,0,0,0,101,10,0,108,120,16,0,0,138,7,0,7,151,5,0,154,11,0,4,0,16,0,0,0,16,0,0,16,0,0,0,4,4,0,0,0,4,0,0,4,222,22,4,6,257,10,0,10,268,16,0,287,4,0,0,0,4,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,3,0,0,3,224,22,4,6,257,13,0,13,270,16,0,289,67,3,3,4,75,8,0,8,88,10,3,103,3,0,0,0,4,0,0,0,4,0,8,8,296,29,6,7,343,24,0,24,361,27,12,398
Botany Bay (C),11100,196,9,0,9,209,42,0,249,2117,231,16,11,2382,40,14,48,2431,85,5,2521,2076,307,30,25,2429,34,13,45,2475,78,4,2557,246,24,33,6,313,3,0,3,311,3,0,318,25,0,0,30,61,0,0,3,64,6,0,69,4474,560,80,72,5188,72,23,94,5282,171,7,5463,57,6,0,0,62,20,7,24,85,3,0,91,108,19,0,3,132,10,4,11,143,6,0,158,163,28,0,3,194,25,11,33,235,14,0,241,4641,586,80,81,5387,96,33,127,5516,187,7,5704,1253,264,19,28,1559,38,19,51,1612,260,13,1882,7,0,0,16,24,0,0,0,24,5,15,49,5900,848,99,117,6972,136,47,185,7149,450,38,7637
Bourke (A),11150,0,0,0,0,0,0,0,0,123,24,3,0,147,0,0,0,146,3,0,154,71,8,0,0,80,0,0,0,80,4,0,90,7,0,0,0,7,0,0,0,9,0,0,9,0,0,0,3,3,0,0,0,3,0,0,3,201,28,3,3,237,3,0,3,240,6,3,247,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,202,28,3,3,238,3,0,3,247,6,3,256,45,0,0,0,43,5,3,13,53,18,0,79,0,0,0,0,0,0,0,0,0,0,7,7,251,31,3,3,289,8,3,11,303,27,8,338
Brewarrina (A),11200,0,0,0,0,0,0,0,0,55,3,0,0,54,0,0,0,54,10,0,63,23,3,0,0,33,0,0,0,30,12,0,46,6,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,3,0,3,3,0,0,3,79,9,0,0,96,3,0,9,102,18,0,122,0,0,0,0,0,4,0,4,4,0,0,4,0,0,0,0,6,0,0,0,6,4,0,8,0,0,0,0,6,4,0,4,4,4,0,7,83,11,0,0,96,8,0,11,108,24,0,126,17,8,0,0,23,4,0,6,33,32,0,63,0,0,0,0,0,0,0,0,0,0,0,0,101,13,0,0,120,11,4,17,139,49,0,190
Broken Hill (C),11250,3,0,0,0,3,3,0,4,423,40,5,7,475,14,0,17,491,49,0,548,548,42,9,9,616,16,3,22,633,35,0,671,63,6,6,0,74,0,0,3,83,6,0,84,7,0,0,12,15,0,4,4,24,0,0,20,1035,89,31,28,1184,37,7,43,1234,92,0,1320,15,0,0,0,14,5,3,9,30,0,0,30,19,3,0,0,28,6,0,7,30,0,0,27,33,4,0,0,41,9,5,16,54,0,0,59,1070,97,31,31,1226,47,10,56,1285,89,0,1379,252,58,9,18,337,32,12,39,380,99,5,481,7,0,0,0,7,0,0,0,7,0,11,13,1334,154,41,50,1573,76,23,97,1674,188,13,1877
Hilltops (A),13910,14,0,0,0,14,0,0,14,525,71,3,8,609,10,0,10,618,35,0,652,907,132,23,3,1061,10,7,20,1076,27,3,1105,54,7,20,0,82,0,0,0,82,14,0,94,13,7,5,17,39,3,0,3,38,0,0,38,1502,210,40,31,1789,17,7,29,1811,68,3,1885,12,7,0,4,27,8,0,8,28,9,0,37,22,4,0,0,25,0,0,0,25,3,0,36,35,15,0,4,54,8,0,8,62,16,0,76,1535,223,46,36,1839,27,7,34,1872,84,3,1960,502,89,19,28,632,24,5,33,664,161,3,825,15,0,0,0,15,0,0,0,15,0,5,15,2049,312,66,60,2484,52,12,66,2548,243,8,2802
Hornsby (A),14000,1169,42,11,47,1218,127,4,1347,8627,780,64,48,9524,243,60,301,9831,464,4,10298,10710,1088,74,53,11920,160,21,181,12102,265,5,12374,874,97,101,6,1075,8,0,8,1087,24,0,1110,107,11,0,69,187,4,0,4,194,19,8,219,20312,1974,239,179,22713,412,87,496,23210,771,22,24006,270,25,4,0,298,43,0,43,337,18,0,353,469,59,3,8,545,21,4,23,568,23,3,594,733,86,12,8,843,60,4,65,913,42,5,952,21050,2062,252,192,23557,478,90,566,24119,810,29,24959,5671,551,63,118,6396,150,28,178,6572,475,20,7069,29,3,0,21,57,0,0,0,57,4,16,77,26748,2618,313,330,30006,627,115,741,30745,1297,69,32109
Hunters Hill (A),14100,107,4,4,3,115,14,0,125,792,68,11,3,863,12,7,18,883,50,0,930,936,47,9,6,998,16,3,14,1015,27,3,1047,81,9,9,0,93,0,0,0,93,4,0,100,5,0,0,11,20,0,0,0,20,0,0,19,1810,115,31,21,1974,26,6,31,2004,78,4,2089,18,7,0,0,22,0,0,0,22,0,0,22,35,0,0,0,35,0,0,0,35,3,0,38,51,7,0,0,53,0,0,0,53,3,0,62,1866,116,31,21,2032,26,6,31,2064,86,4,2153,494,50,13,4,562,9,0,9,572,57,0,629,3,3,0,0,9,0,0,0,9,0,0,5,2362,169,40,24,2601,32,6,42,2637,145,4,2787
Inner West (A),14170,558,11,4,12,574,85,3,661,7294,1008,67,35,8402,155,27,190,8591,430,8,9030,8017,963,50,50,9085,106,34,142,9225,241,20,9478,1071,97,150,7,1321,10,0,10,1330,33,0,1358,84,0,0,90,181,0,0,0,182,19,9,205,16460,2067,275,184,18982,275,69,340,19324,718,37,20073,177,30,3,6,208,31,0,30,242,18,0,261,339,65,3,7,411,16,4,23,435,14,0,450,517,94,6,12,628,44,7,55,679,32,0,709,16975,2157,280,194,19608,320,72,392,19997,751,37,20783,3733,516,70,86,4398,88,26,113,4512,496,14,5020,22,5,0,17,47,0,0,0,47,0,53,97,20732,2671,345,298,24048,403,104,502,24554,1245,96,25896
Inverell (A),14200,6,0,0,0,6,0,0,10,516,77,4,3,604,12,3,15,613,34,0,643,668,106,15,11,798,18,13,23,821,27,10,855,60,5,17,0,78,5,0,5,84,0,0,84,5,0,0,21,31,0,0,0,35,3,0,36,1249,186,29,39,1508,32,14,44,1555,62,10,1626,8,3,0,4,11,10,0,10,23,3,0,29,17,3,0,0,20,0,0,0,22,11,0,31,24,7,0,4,29,13,0,14,47,13,0,61,1277,194,29,35,1537,44,11,58,1598,81,10,1680,374,66,26,0,465,49,9,61,526,169,0,696,3,4,0,0,6,0,0,0,6,0,11,16,1659,257,51,41,2008,102,21,116,2126,246,15,2394
Junee (A),14300,3,0,0,0,3,0,0,5,220,17,0,0,242,10,0,10,248,18,0,272,272,32,8,0,310,0,0,0,316,15,0,325,36,0,8,0,41,3,0,3,42,0,0,42,5,0,0,3,9,3,0,3,11,0,0,11,530,52,14,3,598,12,0,12,616,36,0,649,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,3,15,0,0,0,15,0,0,15,15,0,0,3,18,0,0,0,18,0,0,18,547,52,14,5,621,12,0,12,628,36,0,666,117,14,0,10,143,12,0,18,160,35,0,193,0,0,0,0,0,0,0,0,0,0,3,3,659,67,14,17,758,30,0,31,789,70,3,859
Kempsey (A),14350,18,0,0,0,18,3,0,19,609,134,14,4,767,10,4,17,775,51,0,828,872,182,27,11,1097,8,4,16,1109,107,10,1235,70,12,17,3,103,0,0,0,106,0,0,104,8,4,3,23,45,0,0,0,45,3,0,51,1555,335,63,47,2001,20,11,32,2034,165,13,2211,9,6,0,4,22,5,0,5,23,15,0,35,34,4,0,0,41,6,0,6,48,5,0,53,49,12,0,4,61,9,0,9,69,17,0,89,1607,345,63,51,2066,32,11,39,2104,182,13,2304,469,119,23,40,641,51,11,59,706,277,6,984,4,0,0,3,5,0,0,0,5,0,22,31,2072,464,85,88,2717,83,17,98,2818,460,40,3320
Kiama (A),14400,86,0,0,0,91,17,0,105,741,99,15,6,861,4,0,4,863,48,0,912,1446,179,26,13,1666,14,3,22,1691,59,6,1761,169,5,28,0,200,0,0,0,200,3,0,203,17,0,0,13,32,0,0,0,32,0,0,32,2367,285,67,38,2761,20,3,25,2785,110,6,2905,6,4,0,0,4,0,0,3,10,0,0,10,52,9,9,0,70,3,0,3,72,4,0,74,60,8,9,0,76,3,0,3,82,10,0,84,2428,296,77,41,2837,19,6,26,2860,118,6,2990,451,71,5,21,542,11,3,10,555,69,0,623,8,0,0,3,14,0,0,0,14,0,0,16,2892,366,80,56,3392,31,9,40,3434,190,11,3631
Ku-ring-gai (A),14500,1226,37,8,44,1271,134,3,1405,7581,721,58,35,8392,214,42,258,8649,484,3,9127,9146,726,92,60,10025,163,25,190,10215,225,11,10453,568,54,55,6,681,8,0,8,690,14,0,698,87,3,0,75,171,0,3,7,174,6,8,188,17391,1501,200,171,19264,388,74,455,19721,730,17,20469,217,5,0,5,236,42,0,42,272,14,0,284,437,39,3,4,489,40,5,42,529,27,0,553,654,43,6,15,721,75,5,80,796,39,0,836,18043,1547,206,182,19982,462,75,534,20517,772,17,21309,5577,445,71,61,6156,185,23,207,6365,536,3,6899,12,0,0,21,35,0,0,0,35,3,22,63,23637,1995,277,262,26172,648,102,744,26914,1312,42,28265
Kyogle (A),14550,9,0,0,0,9,0,0,8,244,36,0,0,286,0,0,0,286,8,0,296,259,54,6,3,324,3,3,11,335,26,0,358,20,3,0,0,22,0,0,0,23,0,0,26,3,0,0,9,14,0,0,0,14,4,0,21,529,96,8,15,646,8,3,15,660,40,0,702,4,6,0,0,6,5,0,5,11,13,0,23,0,0,0,3,7,0,0,0,7,0,0,11,7,9,0,3,16,5,0,5,23,15,0,31,533,101,8,17,665,13,3,15,682,51,0,730,187,45,9,4,252,11,8,12,261,117,0,380,0,0,0,0,0,0,0,0,0,0,0,0,718,149,20,26,908,28,5,36,944,171,0,1113
Lachlan (A),14600,0,0,0,0,0,0,3,7,154,11,4,0,167,4,0,4,171,15,0,184,288,22,0,10,319,8,0,8,330,7,0,341,26,3,15,0,38,0,0,0,39,0,0,39,15,0,0,21,35,0,0,0,35,3,3,43,489,29,12,32,562,17,0,17,575,27,3,605,3,0,0,0,3,9,0,9,9,3,0,9,9,0,0,0,9,0,0,0,9,8,0,16,15,0,0,0,15,9,0,9,22,9,0,30,500,29,12,32,575,18,0,18,598,38,3,635,182,25,10,19,237,18,3,17,253,48,3,302,0,0,0,0,0,0,0,0,0,0,0,0,687,53,20,50,812,38,3,39,847,88,4,943
Lake Macquarie (C),14650,632,11,8,16,650,90,7,745,6616,770,83,40,7506,132,36,167,7670,522,18,8206,12303,1313,194,110,13917,178,27,209,14128,453,14,14594,1026,125,143,15,1316,20,10,31,1342,36,6,1390,126,7,3,100,235,3,0,3,236,10,3,249,20065,2221,421,259,22967,334,74,410,23376,1026,41,24437,141,36,0,9,188,35,3,36,222,22,0,247,438,68,7,4,513,48,4,54,570,27,0,599,579,105,7,12,704,80,10,91,793,52,0,846,20646,2324,430,272,23672,412,79,496,24167,1075,38,25283,4867,596,142,111,5718,229,34,263,5982,1028,24,7028,27,6,3,11,51,0,0,0,51,3,44,103,25545,2927,574,397,29444,644,114,756,30200,2104,105,32409
Lane Cove (A),14700,221,3,0,6,225,24,0,251,1967,185,14,12,2176,70,11,79,2255,105,0,2368,2227,187,15,7,2440,29,5,34,2478,54,3,2535,238,24,17,4,286,0,0,0,289,6,0,293,11,0,3,25,40,0,0,0,40,4,0,41,4440,407,55,47,4941,100,14,114,5058,174,3,5232,55,8,0,0,65,9,0,9,81,0,0,77,122,14,0,0,133,4,0,6,139,3,0,145,178,23,0,0,203,20,0,21,222,4,0,221,4617,425,56,46,5146,115,14,135,5276,175,3,5459,1257,138,13,23,1437,30,6,34,1468,81,0,1557,15,0,0,0,15,0,0,0,15,0,9,19,5882,565,72,71,6589,148,22,166,6763,255,13,7030
Leeton (A),14750,6,0,0,0,6,0,0,5,428,40,9,11,487,3,0,3,490,10,0,501,575,47,8,5,633,0,3,4,635,8,0,647,61,6,0,3,68,0,0,0,68,0,0,68,0,4,0,6,10,0,0,0,10,0,0,10,1066,95,15,23,1204,5,3,4,1207,20,0,1229,12,0,0,0,12,0,0,0,15,0,0,15,31,5,0,0,35,0,0,0,35,0,4,36,43,5,0,0,48,0,0,0,49,0,4,54,1107,103,15,28,1249,4,3,9,1255,20,7,1280,309,39,9,18,381,3,3,11,387,57,3,443,0,0,0,0,3,0,0,0,4,0,10,13,1419,140,21,47,1629,12,5,16,1649,78,18,1740
Lismore (C),14850,43,7,0,3,49,3,0,53,1307,202,15,10,1538,16,14,31,1567,99,0,1666,1835,393,24,13,2260,31,14,50,2309,136,4,2449,137,19,16,3,180,4,0,7,179,10,0,193,14,4,0,30,46,0,3,3,48,3,0,55,3295,618,55,61,4031,52,36,85,4111,246,4,4364,30,10,0,0,44,10,0,10,55,3,0,59,52,24,0,0,79,10,3,11,91,11,0,103,84,33,0,0,123,23,4,27,146,17,0,164,3379,657,55,61,4146,73,40,110,4256,268,4,4528,818,262,19,24,1115,60,18,80,1197,266,3,1459,4,0,3,3,10,0,0,0,12,4,16,31,4196,915,80,80,5278,130,59,187,5463,534,24,6024
Lithgow (C),14870,18,0,0,0,18,4,0,20,514,43,5,3,568,7,0,7,579,37,3,616,921,86,7,11,1025,19,5,21,1048,43,3,1093,95,9,14,11,132,4,0,4,134,0,0,134,15,4,0,12,33,0,0,0,33,0,0,33,1548,146,28,35,1757,28,5,36,1786,78,4,1874,14,3,0,0,11,6,0,6,23,8,3,31,31,5,4,0,44,0,0,0,44,10,0,52,44,9,4,0,61,6,0,6,68,13,3,84,1596,157,36,35,1814,38,5,44,1856,98,4,1960,425,66,16,23,527,61,3,69,596,167,8,768,13,0,0,3,16,0,0,0,16,3,8,26,2031,226,52,57,2363,97,8,105,2466,261,24,2751
Liverpool (C),14900,1205,42,20,66,1274,356,5,1634,9718,958,113,61,10853,221,59,276,11130,697,14,11841,9301,1442,132,109,10981,169,36,205,11193,502,9,11704,887,78,118,13,1095,15,0,15,1112,34,0,1145,178,36,0,223,438,4,0,7,447,36,8,495,20088,2506,369,406,23372,408,102,504,23876,1269,30,25182,356,85,3,12,454,67,12,79,531,61,0,593,555,151,3,12,726,67,33,100,828,109,0,934,913,242,8,22,1175,131,45,177,1357,166,0,1525,20996,2748,375,432,24548,538,145,688,25230,1438,30,26700,9269,2654,211,494,12630,591,223,815,13445,5004,69,18508,38,29,0,48,111,8,3,5,117,22,197,339,30308,5428,588,964,37290,1138,373,1510,38797,6462,297,45550
Liverpool Plains (A),14920,6,0,0,0,6,0,0,6,214,13,4,0,227,0,0,0,227,14,0,247,317,33,0,0,352,0,0,0,350,10,0,368,34,0,4,0,41,4,0,4,44,0,0,44,4,0,0,6,11,0,0,0,11,9,0,13,573,44,12,3,634,0,0,0,632,36,0,665,6,0,0,0,6,8,0,8,11,3,0,14,28,3,0,0,29,0,3,3,32,0,0,32,32,3,0,0,36,8,3,7,45,3,0,45,606,46,12,3,666,13,3,16,680,38,0,713,208,26,8,17,256,10,4,17,275,54,4,333,4,0,0,0,4,0,0,0,4,0,0,3,814,75,18,22,928,25,5,26,955,93,6,1051
