lga_name_2016,lga_code_2016,d_21_24_fpt_mpet,d_21_24_fpt_mpulftw,d_21_24_fpt_mpulptw,d_21_24_fpt_mput,d_21_24_fpt_mptlf,d_21_24_fpt_mpnlf,d_21_24_fpt_mplfsns,d_21_24_fpt_t,tdcf_fpeft_mpeft,tdcf_fpeft_mpept,tdcf_fpeft_mpeaw,tdcf_fpeft_mpehns,tdcf_fpeft_mpet,tdcf_fpeft_mpulftw,tdcf_fpeft_mpulptw,tdcf_fpeft_mput,tdcf_fpeft_mptlf,tdcf_fpeft_mpnlf,tdcf_fpeft_mplfsns,tdcf_fpeft_t,tdcf_fpept_mpeft,tdcf_fpept_mpept,tdcf_fpept_mpeaw,tdcf_fpept_mpehns,tdcf_fpept_mpet,tdcf_fpept_mpulftw,tdcf_fpept_mpulptw,tdcf_fpept_mput,tdcf_fpept_mptlf,tdcf_fpept_mpnlf,tdcf_fpept_mplfsns,tdcf_fpept_t,tdcf_fpeaw_mpeft,tdcf_fpeaw_mpept,tdcf_fpeaw_mpeaw,tdcf_fpeaw_mpehns,tdcf_fpeaw_mpet,tdcf_fpeaw_mpulftw,tdcf_fpeaw_mpulptw,tdcf_fpeaw_mput,tdcf_fpeaw_mptlf,tdcf_fpeaw_mpnlf,tdcf_fpeaw_mplfsns,tdcf_fpeaw_t,tdcf_fphns_mpeft,tdcf_fphns_mpept,tdcf_fphns_mpeaw,tdcf_fphns_mpehns,tdcf_fphns_mpet,tdcf_fphns_mpulftw,tdcf_fphns_mpulptw,tdcf_fphns_mput,tdcf_fphns_mptlf,tdcf_fphns_mpnlf,tdcf_fphns_mplfsns,tdcf_fphns_t,tdcf_fpet_mpeft,tdcf_fpet_mpept,tdcf_fpet_mpeaw,tdcf_fpet_mpehns,tdcf_fpet_mpet,tdcf_fpet_mpulftw,tdcf_fpet_mpulptw,tdcf_fpet_mput,tdcf_fpet_mptlf,tdcf_fpet_mpnlf,tdcf_fpet_mplfsns,tdcf_fpet_t,tdcf_fpulftw_mpeft,tdcf_fpulftw_mpept,tdcf_fpulftw_mpeaw,tdcf_fpulftw_mpehns,tdcf_fpulftw_mpet,tdcf_fpulftw_mpulftw,tdcf_fpulftw_mpulptw,tdcf_fpulftw_mput,tdcf_fpulftw_mptlf,tdcf_fpulftw_mpnlf,tdcf_fpulftw_mplfsns,tdcf_fpulftw_t,tdcf_fpulptw_mpeft,tdcf_fpulptw_mpept,tdcf_fpulptw_mpeaw,tdcf_fpulptw_mpehns,tdcf_fpulptw_mpet,tdcf_fpulptw_mpulftw,tdcf_fpulptw_mpulptw,tdcf_fpulptw_mput,tdcf_fpulptw_mptlf,tdcf_fpulptw_mpnlf,tdcf_fpulptw_mplfsns,tdcf_fpulptw_t,tdcf_fput_mpeft,tdcf_fput_mpept,tdcf_fput_mpeaw,tdcf_fput_mpehns,tdcf_fput_mpet,tdcf_fput_mpulftw,tdcf_fput_mpulptw,tdcf_fput_mput,tdcf_fput_mptlf,tdcf_fput_mpnlf,tdcf_fput_mplfsns,tdcf_fput_t,tdcf_fptlf_mpeft,tdcf_fptlf_mpept,tdcf_fptlf_mpeaw,tdcf_fptlf_mpehns,tdcf_fptlf_mpet,tdcf_fptlf_mpulftw,tdcf_fptlf_mpulptw,tdcf_fptlf_mput,tdcf_fptlf_mptlf,tdcf_fptlf_mpnlf,tdcf_fptlf_mplfsns,tdcf_fptlf_t,tdcf_fpnlf_mpeft,tdcf_fpnlf_mpept,tdcf_fpnlf_mpeaw,tdcf_fpnlf_mpehns,tdcf_fpnlf_mpet,tdcf_fpnlf_mpulftw,tdcf_fpnlf_mpulptw,tdcf_fpnlf_mput,tdcf_fpnlf_mptlf,tdcf_fpnlf_mpnlf,tdcf_fpnlf_mplfsns,tdcf_fpnlf_t,tdcf_fplfsns_mpeft,tdcf_fplfsns_mpept,tdcf_fplfsns_mpeaw,tdcf_fplfsns_mpehns,tdcf_fplfsns_mpet,tdcf_fplfsns_mpulftw,tdcf_fplfsns_mpulptw,tdcf_fplfsns_mput,tdcf_fplfsns_mptlf,tdcf_fplfsns_mpnlf,tdcf_fplfsns_mplfsns,tdcf_fplfsns_t,tdcf_fpt_mpeft,tdcf_fpt_mpept,tdcf_fpt_mpeaw,tdcf_fpt_mpehns,tdcf_fpt_mpet,tdcf_fpt_mpulftw,tdcf_fpt_mpulptw,tdcf_fpt_mput,tdcf_fpt_mptlf,tdcf_fpt_mpnlf,tdcf_fpt_mplfsns,tdcf_fpt_t
Cleve (DC),41190,0,0,0,0,0,0,0,0,66,0,0,0,71,0,0,0,71,3,0,74,185,0,0,0,187,0,0,0,187,3,0,193,11,0,0,0,14,0,0,0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,268,3,0,0,274,0,0,0,274,3,0,277,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,5,0,0,0,5,0,0,5,3,0,3,0,5,0,0,0,5,0,0,5,271,3,3,0,276,0,0,0,276,3,0,283,44,0,0,0,44,0,3,3,45,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,312,3,3,0,317,0,3,3,321,9,0,330
Flinders Ranges (DC),41830,0,0,0,0,0,0,0,0,34,3,0,0,30,0,0,0,30,0,0,30,60,6,0,3,62,4,0,4,68,3,0,73,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,86,7,0,3,102,4,0,4,106,3,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,6,0,0,0,0,0,0,6,6,6,0,0,6,86,7,0,3,102,4,6,7,107,3,0,110,36,3,0,0,39,3,0,3,42,7,0,52,0,0,0,0,0,0,0,0,0,0,7,12,131,11,0,3,141,3,6,7,153,10,7,169
Franklin Harbour (DC),41960,0,0,0,0,0,0,0,0,26,4,3,0,26,0,0,0,26,0,0,26,78,4,13,0,100,0,0,0,100,5,0,98,5,0,0,0,5,0,0,0,6,0,0,6,3,0,0,3,7,0,0,0,7,0,0,7,110,4,12,4,135,0,0,0,138,5,0,143,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,110,4,12,4,135,3,0,5,144,5,0,141,23,3,0,3,23,3,0,3,31,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,131,9,12,8,164,6,0,7,171,5,0,177
Kimba (DC),43220,0,0,0,0,0,0,0,0,62,0,0,0,66,0,0,0,66,0,0,63,97,6,0,3,105,0,0,0,105,3,0,109,14,0,3,0,18,0,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,173,10,3,3,187,0,0,0,187,3,0,189,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,0,0,4,4,0,0,0,4,0,0,0,4,0,0,4,176,10,3,3,193,0,0,0,193,3,0,197,27,0,0,0,27,0,0,0,27,4,0,36,0,0,0,0,0,0,0,0,0,0,0,0,204,10,3,3,217,0,0,0,217,9,0,229
Kingston (DC) (SA),43360,0,0,0,0,0,0,0,0,52,8,3,0,59,0,0,0,59,0,0,58,114,18,0,0,134,5,0,5,139,11,0,153,7,0,4,0,16,0,0,0,16,0,0,16,3,0,0,0,3,0,0,0,3,0,0,3,172,25,6,0,206,5,0,5,211,14,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,25,6,0,206,5,0,5,211,14,0,229,50,15,3,0,66,5,0,5,70,12,0,84,0,0,0,0,0,0,0,0,0,0,0,0,224,41,15,0,276,12,0,12,288,25,0,309
Light (RegC),43650,39,0,0,0,36,3,0,40,666,71,0,0,738,8,0,8,748,40,0,790,1218,113,25,9,1359,24,0,22,1382,31,0,1411,95,13,11,0,121,6,0,6,127,0,0,127,17,7,3,9,26,0,0,0,33,3,0,32,1996,194,41,11,2243,38,0,37,2287,71,3,2362,11,0,0,0,11,3,0,3,14,3,0,19,35,0,0,4,44,0,0,0,47,0,0,47,50,0,0,4,56,7,0,7,63,3,0,63,2046,196,41,12,2300,46,0,46,2349,75,3,2426,483,76,17,9,579,29,3,27,612,66,0,678,6,0,0,0,6,0,0,0,6,0,0,6,2535,275,59,24,2892,71,4,72,2964,143,3,3111
Lower Eyre Peninsula (DC),43710,0,0,0,0,0,0,0,0,180,17,0,4,203,0,0,0,203,8,0,208,441,51,6,0,509,7,0,7,509,16,0,528,16,3,5,0,26,0,0,0,26,4,0,29,3,0,0,0,3,0,0,0,3,0,0,3,643,73,14,6,736,7,0,7,739,23,0,768,5,0,0,0,5,0,0,0,5,3,0,10,13,0,3,0,14,0,3,3,22,0,0,22,16,0,3,0,23,0,3,3,20,3,0,29,661,73,15,6,758,4,3,7,761,31,0,793,144,8,0,3,157,0,0,0,158,14,0,169,7,0,0,0,7,0,0,0,7,0,9,15,814,79,13,9,919,7,3,10,923,44,9,980
Loxton Waikerie (DC),43790,6,0,0,0,6,0,0,6,313,58,7,3,372,4,0,4,377,19,0,402,637,89,10,6,743,10,0,12,754,38,0,794,70,0,12,0,82,0,0,0,84,4,0,91,3,0,0,4,9,0,0,0,9,0,0,9,1025,141,29,10,1207,20,0,17,1225,65,0,1291,6,0,0,0,6,4,0,4,11,3,0,17,21,6,0,0,23,3,0,3,28,0,0,27,26,6,0,0,32,9,0,9,35,3,0,42,1051,145,29,10,1238,27,0,25,1262,66,0,1327,309,32,6,6,353,3,4,9,362,66,0,430,0,0,0,0,0,0,0,0,0,0,0,0,1356,180,33,20,1594,29,4,35,1626,130,0,1761
Mallala (DC),43920,16,0,0,0,16,4,0,18,285,44,3,4,332,8,3,11,349,30,0,377,536,55,7,9,605,10,0,10,618,33,0,654,24,0,5,0,31,0,0,0,34,3,0,37,3,0,0,3,9,0,0,0,9,0,0,9,849,97,18,20,978,22,5,23,1002,67,0,1075,10,0,0,4,17,0,0,0,17,11,0,28,13,8,0,0,29,0,0,0,29,3,0,32,29,8,4,4,42,0,0,0,42,14,0,56,874,106,16,21,1024,22,5,23,1051,76,0,1132,266,61,13,3,345,13,4,17,362,42,3,406,0,0,0,0,0,0,0,0,0,0,6,6,1146,169,26,29,1364,34,13,42,1411,125,7,1542
Maralinga Tjarutja (AC),44000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,6
