lga_code16,m_negnilinc_e,m_negnilinc_om_ie,m_negnilinc_om_uie,m_negnilinc_cfw,m_negnilinc_es_ns,m_negnilinc_tot,m_1_149_e,m_1_149_om_ie,m_1_149_om_uie,m_1_149_cfw,m_1_149_es_ns,m_1_149_tot,m_150_299_e,m_150_299_om_ie,m_150_299_om_uie,m_150_299_cfw,m_150_299_es_ns,m_150_299_tot,m_300_399_e,m_300_399_om_ie,m_300_399_om_uie,m_300_399_cfw,m_300_399_es_ns,m_300_399_tot,m_400_499_e,m_400_499_om_ie,m_400_499_om_uie,m_400_499_cfw,m_400_499_es_ns,m_400_499_tot,m_500_649_e,m_500_649_om_ie,m_500_649_om_uie,m_500_649_cfw,m_500_649_es_ns,m_500_649_tot,m_650_799_e,m_650_799_om_ie,m_650_799_om_uie,m_650_799_cfw,m_650_799_es_ns,m_650_799_tot,m_800_999_e,m_800_999_om_ie,m_800_999_om_uie,m_800_999_cfw,m_800_999_es_ns,m_800_999_tot,m_1000_1249_e,m_1000_1249_om_ie,m_1000_1249_om_uie,m_1000_1249_cfw,m_1000_1249_es_ns,m_1000_1249_tot,m_1250_1499_e,m_1250_1499_om_ie,m_1250_1499_om_uie,m_1250_1499_cfw,m_1250_1499_es_ns,m_1250_1499_tot,m_1500_1749_e,m_1500_1749_om_ie,m_1500_1749_om_uie,m_1500_1749_cfw,m_1500_1749_es_ns,m_1500_1749_tot,m_1750_1999_e,m_1750_1999_om_ie,m_1750_1999_om_uie,m_1750_1999_cfw,m_1750_1999_es_ns,m_1750_1999_tot,m_2000_2999_e,m_2000_2999_om_ie,m_2000_2999_om_uie,m_2000_2999_cfw,m_2000_2999_es_ns,m_2000_2999_tot,m_3000mor_e,m_3000mor_om_ie,m_3000mor_om_uie,m_3000mor_cfw,m_3000mor_es_ns,m_3000mor_tot,m_persinc_ns_e,m_persinc_ns_om_ie,m_persinc_ns_om_uie,m_persinc_ns_cfw,m_persinc_ns_es_ns,m_persinc_ns_tot,m_tot_e,m_tot_om_ie,m_tot_om_uie,m_tot_cfw,m_tot_es_ns,m_tot_tot,f_negnilinc_e,f_negnilinc_om_ie,f_negnilinc_om_uie,f_negnilinc_cfw,f_negnilinc_es_ns,f_negnilinc_tot,f_1_149_e,f_1_149_om_ie,f_1_149_om_uie,f_1_149_cfw,f_1_149_es_ns,f_1_149_tot,f_150_299_e,f_150_299_om_ie,f_150_299_om_uie,f_150_299_cfw,f_150_299_es_ns,f_150_299_tot,f_300_399_e,f_300_399_om_ie,f_300_399_om_uie,f_300_399_cfw,f_300_399_es_ns,f_300_399_tot,f_400_499_e,f_400_499_om_ie,f_400_499_om_uie,f_400_499_cfw,f_400_499_es_ns,f_400_499_tot,f_500_649_e,f_500_649_om_ie,f_500_649_om_uie,f_500_649_cfw,f_500_649_es_ns,f_500_649_tot,f_650_799_e,f_650_799_om_ie,f_650_799_om_uie,f_650_799_cfw,f_650_799_es_ns,f_650_799_tot,f_800_999_e,f_800_999_om_ie,f_800_999_om_uie,f_800_999_cfw,f_800_999_es_ns,f_800_999_tot,f_1000_1249_e,f_1000_1249_om_ie,f_1000_1249_om_uie,f_1000_1249_cfw,f_1000_1249_es_ns,f_1000_1249_tot,f_1250_1499_e,f_1250_1499_om_ie,f_1250_1499_om_uie,f_1250_1499_cfw,f_1250_1499_es_ns,f_1250_1499_tot,f_1500_1749_e,f_1500_1749_om_ie,f_1500_1749_om_uie,f_1500_1749_cfw,f_1500_1749_es_ns,f_1500_1749_tot,f_1750_1999_e,f_1750_1999_om_ie,f_1750_1999_om_uie,f_1750_1999_cfw,f_1750_1999_es_ns,f_1750_1999_tot,f_2000_2999_e,f_2000_2999_om_ie,f_2000_2999_om_uie,f_2000_2999_cfw,f_2000_2999_es_ns,f_2000_2999_tot,f_3000mor_e,f_3000mor_om_ie,f_3000mor_om_uie,f_3000mor_cfw,f_3000mor_es_ns,f_3000mor_tot,f_persinc_ns_e,f_persinc_ns_om_ie,f_persinc_ns_om_uie,f_persinc_ns_cfw,f_persinc_ns_es_ns,f_persinc_ns_tot,f_tot_e,f_tot_om_ie,f_tot_om_uie,f_tot_cfw,f_tot_es_ns,f_tot_tot,p_negnilinc_e,p_negnilinc_om_ie,p_negnilinc_om_uie,p_negnilinc_cfw,p_negnilinc_es_ns,p_negnilinc_tot,p_1_149_e,p_1_149_om_ie,lga_name16
10850,3,0,8,7,0,20,35,0,3,4,3,42,12,4,3,4,0,24,22,0,11,10,5,51,19,6,12,8,0,44,45,3,16,15,4,75,90,14,16,12,5,127,121,17,38,0,0,176,144,21,30,7,0,204,152,12,19,0,0,190,163,12,19,4,3,200,188,0,8,3,0,201,302,9,8,0,5,322,99,7,9,0,0,108,14,3,6,3,3,30,1412,100,207,85,26,1829,6,0,6,11,0,20,56,0,11,9,3,77,51,5,18,17,0,85,51,0,11,10,7,76,59,0,11,3,0,81,84,3,20,6,3,125,125,3,22,4,0,157,93,7,13,3,0,123,78,8,13,3,0,99,55,7,3,0,0,68,46,3,6,0,0,57,38,3,7,0,0,45,37,0,3,0,0,43,16,4,3,0,0,19,10,0,3,4,0,19,810,49,147,70,15,1093,11,0,13,18,0,36,84,0,Blayney (A)
10900,22,12,17,27,3,74,330,3,32,4,4,380,249,12,70,23,3,363,237,29,80,24,0,381,322,35,111,19,10,489,465,65,157,18,6,707,583,73,165,11,5,838,667,95,193,14,14,985,716,135,186,13,6,1055,434,113,107,10,8,673,397,97,104,11,3,608,343,57,66,5,0,470,387,121,73,3,3,596,130,75,54,0,4,263,91,15,24,0,11,138,5369,950,1430,179,84,8014,23,0,16,36,3,78,545,7,68,14,0,639,586,23,134,23,7,770,593,42,141,19,15,816,777,27,122,18,5,945,1160,47,167,16,11,1407,1165,52,145,14,17,1401,1085,65,124,10,10,1284,807,70,106,14,6,1004,506,48,74,3,10,645,387,43,46,4,7,486,321,28,30,3,0,374,248,46,37,7,0,336,53,20,18,3,0,98,121,4,16,7,3,151,8377,536,1240,192,90,10440,43,12,27,67,7,154,879,7,Blue Mountains (C)
10950,0,0,0,4,0,5,8,0,0,0,0,8,3,0,5,5,0,19,13,0,3,3,0,18,13,3,4,3,0,30,19,3,11,3,3,42,33,3,6,4,0,52,52,0,10,0,0,62,77,8,17,4,0,108,54,0,7,0,0,68,77,3,15,0,0,96,57,3,3,3,0,70,89,3,11,3,0,102,34,10,5,3,0,50,11,0,8,7,0,31,537,43,116,43,7,749,6,0,0,6,0,6,18,0,0,0,3,25,21,0,0,3,6,28,25,0,7,3,0,39,35,0,4,3,0,41,42,0,10,3,0,60,53,0,3,0,0,65,72,0,8,0,3,84,52,0,10,4,0,73,31,3,0,3,0,38,24,3,5,0,0,33,11,0,3,0,0,15,11,0,3,0,0,18,3,0,0,0,0,7,13,0,3,3,0,16,421,15,57,41,12,547,5,0,0,13,0,12,26,0,Bogan (A)
11100,68,13,14,25,5,124,310,10,6,7,6,341,375,9,34,10,7,437,506,31,54,5,10,615,690,36,71,9,22,833,1115,93,105,11,22,1344,1833,135,114,11,29,2133,3071,165,143,11,41,3441,3711,196,128,11,27,4075,2853,170,97,5,20,3144,2594,202,72,7,15,2888,2040,137,47,3,17,2239,3735,245,65,0,11,4052,3018,285,40,4,14,3358,376,24,28,10,34,462,26302,1755,1016,128,281,29481,57,4,6,26,3,98,420,4,22,11,3,457,550,11,23,12,14,609,662,21,40,7,6,739,827,17,43,5,7,896,1429,39,40,13,24,1546,2010,56,47,15,18,2143,2510,51,49,15,20,2639,2523,47,48,0,22,2639,1741,42,28,3,8,1815,1268,52,23,0,0,1344,886,33,10,0,3,928,1187,32,18,4,0,1242,579,57,9,3,5,652,248,4,5,4,12,271,16881,467,415,109,151,18022,126,15,19,50,10,214,730,13,Botany Bay (C)
11150,0,0,0,5,0,7,0,0,0,0,0,4,13,0,3,4,0,22,12,0,6,0,0,20,6,0,4,0,0,13,26,0,6,0,0,36,37,0,4,3,0,44,67,5,14,0,5,89,63,3,10,0,3,83,40,5,5,0,0,52,36,0,5,0,0,44,37,0,5,0,0,39,31,3,8,0,0,44,9,3,11,0,0,14,8,0,7,4,8,19,381,28,90,27,14,536,0,0,0,9,0,5,8,0,4,0,0,6,11,0,0,0,0,20,11,3,3,0,0,18,19,3,0,0,0,20,29,0,6,6,0,43,56,0,4,0,0,71,64,8,10,0,0,77,60,0,3,5,0,66,45,0,3,0,3,53,40,0,4,0,0,40,29,0,0,0,0,30,32,0,0,0,0,34,3,0,4,0,0,5,15,0,0,0,0,16,422,16,38,27,12,514,0,0,0,13,0,16,6,0,Bourke (A)
11200,0,0,0,11,0,11,0,0,0,0,0,3,7,0,0,0,0,4,6,0,4,3,0,8,4,0,5,0,0,12,13,0,8,0,0,19,27,4,3,3,0,36,28,3,4,0,3,34,26,0,11,3,3,41,13,0,3,0,0,17,17,3,3,0,0,23,8,0,0,0,0,12,8,0,0,0,0,8,3,3,0,3,0,10,0,0,0,0,0,9,162,16,39,28,5,258,0,0,0,7,0,7,0,0,0,0,0,0,10,0,0,3,0,13,10,0,0,0,0,9,6,0,0,0,0,10,24,0,0,0,0,28,21,0,0,7,0,33,33,0,0,0,0,38,27,0,3,0,0,27,22,0,0,0,0,25,16,0,0,0,0,14,11,0,0,0,0,13,6,0,0,0,0,9,3,0,0,0,0,4,10,0,3,4,3,14,200,8,11,21,3,242,0,0,0,20,0,19,0,0,Brewarrina (A)
14300,0,0,3,7,0,15,18,0,0,0,0,18,7,3,6,4,0,15,13,0,10,5,3,33,18,0,13,7,0,40,46,6,24,3,0,80,90,4,19,4,3,121,119,11,25,4,3,156,107,9,16,0,3,144,98,10,12,7,4,125,73,6,8,0,0,97,39,5,0,3,0,41,76,3,6,0,0,94,11,10,8,0,0,31,9,0,7,0,0,18,727,66,168,55,18,1033,3,0,3,4,0,12,21,0,6,4,0,34,27,0,5,5,0,44,42,3,15,5,0,57,44,0,5,7,0,57,67,3,15,9,3,95,101,3,9,3,4,119,92,7,7,4,0,107,75,3,8,3,0,94,51,3,8,3,0,63,31,3,5,3,0,37,28,0,0,0,0,24,21,0,0,0,0,32,3,0,0,3,0,5,6,0,4,3,0,11,611,34,95,51,13,798,5,0,9,12,0,22,40,0,Junee (A)
14350,12,0,13,22,0,55,141,0,14,16,6,174,96,6,37,21,6,169,113,20,66,30,11,234,187,18,56,10,10,288,316,17,78,17,0,430,478,28,90,11,9,614,548,49,75,8,9,698,520,35,71,7,6,645,293,21,32,6,9,363,225,16,29,3,3,269,219,15,8,3,4,241,215,17,16,3,3,252,66,39,15,0,0,121,57,0,18,3,10,94,3484,292,609,160,92,4635,16,0,9,26,3,52,190,7,13,12,11,231,164,5,41,24,4,242,259,13,38,15,8,339,344,6,34,20,13,419,599,11,60,14,10,705,664,30,56,8,13,766,502,18,36,6,5,570,414,13,29,6,7,469,238,8,24,0,3,279,193,6,5,5,0,209,159,8,4,3,0,173,113,8,6,0,0,127,22,9,7,0,0,36,59,0,9,9,9,77,3930,162,366,149,93,4693,29,0,17,50,3,98,331,6,Kempsey (A)
11250,8,0,0,3,0,13,78,0,4,0,3,88,77,5,9,4,3,103,88,5,12,5,7,123,106,9,17,12,8,153,188,18,33,5,0,244,265,12,22,0,9,309,296,24,29,0,4,357,345,31,25,0,4,409,293,16,18,0,5,335,295,7,12,0,4,322,304,11,10,3,0,321,439,11,9,0,0,463,97,8,20,0,3,128,60,7,10,0,9,91,2939,172,224,43,68,3450,6,0,0,15,0,24,130,0,3,4,7,147,152,4,20,3,3,184,156,10,14,13,6,201,234,7,12,4,7,256,371,14,18,0,5,418,391,8,18,3,4,425,394,7,16,0,3,428,386,19,10,3,8,423,254,11,8,0,0,270,209,0,3,0,0,213,144,3,5,0,0,153,146,7,5,0,0,158,18,3,3,0,0,28,52,0,9,0,10,71,3042,101,154,52,57,3397,13,3,0,16,0,37,205,0,Broken Hill (C)
13910,6,0,17,30,0,53,71,0,10,20,0,106,61,9,22,25,3,113,72,17,29,12,7,128,117,6,45,25,3,195,208,33,69,24,13,343,379,44,64,19,0,506,455,42,91,19,15,617,354,39,72,13,3,483,189,27,47,9,6,274,149,27,44,5,3,224,123,20,28,5,0,171,119,29,30,9,6,189,50,40,28,9,5,132,50,7,10,13,3,86,2388,331,595,233,64,3613,11,3,11,29,0,48,134,3,9,21,5,167,124,6,23,31,3,193,174,13,27,16,8,241,220,4,28,16,4,278,418,16,45,22,6,513,441,15,41,15,5,528,361,12,27,9,3,417,253,25,28,12,3,319,151,5,27,5,4,187,110,13,11,4,0,148,83,5,9,4,0,97,72,13,20,4,3,114,17,13,18,3,0,50,39,0,5,16,4,57,2599,155,333,204,52,3346,15,6,28,52,0,100,200,4,Hilltops (A)
14000,60,21,14,58,4,159,816,12,49,17,4,905,674,38,84,25,4,830,579,82,111,38,17,833,699,80,142,25,18,958,980,126,183,23,13,1332,1324,202,228,13,17,1779,1858,249,255,17,31,2404,2099,308,264,23,21,2722,1515,267,200,20,13,2012,1322,330,163,12,6,1839,1038,200,102,4,3,1355,1576,358,169,13,9,2128,626,401,128,13,8,1181,208,38,29,15,19,304,15383,2726,2111,326,194,20740,78,12,14,79,3,189,1233,19,101,41,9,1403,1199,52,179,33,6,1474,1107,73,125,44,20,1356,1249,55,152,20,11,1493,1887,114,186,28,18,2225,2180,141,174,23,18,2539,2300,131,159,12,15,2615,2186,147,130,16,13,2493,1407,106,92,12,7,1626,1134,124,64,11,3,1338,930,81,41,9,3,1053,842,119,79,3,4,1043,228,117,43,9,0,403,242,12,16,9,12,284,18194,1300,1555,353,141,21549,146,36,29,133,8,346,2051,32,Hornsby (A)
14100,7,0,0,10,0,19,37,0,3,0,0,42,55,0,6,3,0,70,62,7,10,3,0,77,48,3,9,5,0,67,76,14,12,0,0,104,104,18,21,0,0,143,166,21,16,0,0,206,143,43,25,3,3,218,132,34,17,0,0,181,92,33,24,3,0,152,81,20,14,3,0,112,135,41,16,0,0,189,67,69,25,3,0,167,19,6,4,0,3,31,1213,312,209,41,14,1784,9,0,0,8,0,22,81,7,6,4,3,94,119,4,13,0,0,139,102,6,17,3,0,130,146,3,12,7,3,168,193,13,14,3,0,221,258,13,12,4,0,293,273,15,16,4,0,313,294,22,23,3,3,349,207,20,11,0,3,240,174,19,8,0,0,195,123,20,0,0,0,145,160,17,11,4,0,196,44,33,16,3,0,96,21,0,3,3,3,32,2199,186,169,47,17,2612,14,0,0,16,0,34,112,4,Hunters Hill (A)
