lga_code16,m_negnilinc_e,m_negnilinc_om_ie,m_negnilinc_om_uie,m_negnilinc_cfw,m_negnilinc_es_ns,m_negnilinc_tot,m_1_149_e,m_1_149_om_ie,m_1_149_om_uie,m_1_149_cfw,m_1_149_es_ns,m_1_149_tot,m_150_299_e,m_150_299_om_ie,m_150_299_om_uie,m_150_299_cfw,m_150_299_es_ns,m_150_299_tot,m_300_399_e,m_300_399_om_ie,m_300_399_om_uie,m_300_399_cfw,m_300_399_es_ns,m_300_399_tot,m_400_499_e,m_400_499_om_ie,m_400_499_om_uie,m_400_499_cfw,m_400_499_es_ns,m_400_499_tot,m_500_649_e,m_500_649_om_ie,m_500_649_om_uie,m_500_649_cfw,m_500_649_es_ns,m_500_649_tot,m_650_799_e,m_650_799_om_ie,m_650_799_om_uie,m_650_799_cfw,m_650_799_es_ns,m_650_799_tot,m_800_999_e,m_800_999_om_ie,m_800_999_om_uie,m_800_999_cfw,m_800_999_es_ns,m_800_999_tot,m_1000_1249_e,m_1000_1249_om_ie,m_1000_1249_om_uie,m_1000_1249_cfw,m_1000_1249_es_ns,m_1000_1249_tot,m_1250_1499_e,m_1250_1499_om_ie,m_1250_1499_om_uie,m_1250_1499_cfw,m_1250_1499_es_ns,m_1250_1499_tot,m_1500_1749_e,m_1500_1749_om_ie,m_1500_1749_om_uie,m_1500_1749_cfw,m_1500_1749_es_ns,m_1500_1749_tot,m_1750_1999_e,m_1750_1999_om_ie,m_1750_1999_om_uie,m_1750_1999_cfw,m_1750_1999_es_ns,m_1750_1999_tot,m_2000_2999_e,m_2000_2999_om_ie,m_2000_2999_om_uie,m_2000_2999_cfw,m_2000_2999_es_ns,m_2000_2999_tot,m_3000mor_e,m_3000mor_om_ie,m_3000mor_om_uie,m_3000mor_cfw,m_3000mor_es_ns,m_3000mor_tot,m_persinc_ns_e,m_persinc_ns_om_ie,m_persinc_ns_om_uie,m_persinc_ns_cfw,m_persinc_ns_es_ns,m_persinc_ns_tot,m_tot_e,m_tot_om_ie,m_tot_om_uie,m_tot_cfw,m_tot_es_ns,m_tot_tot,f_negnilinc_e,f_negnilinc_om_ie,f_negnilinc_om_uie,f_negnilinc_cfw,f_negnilinc_es_ns,f_negnilinc_tot,f_1_149_e,f_1_149_om_ie,f_1_149_om_uie,f_1_149_cfw,f_1_149_es_ns,f_1_149_tot,f_150_299_e,f_150_299_om_ie,f_150_299_om_uie,f_150_299_cfw,f_150_299_es_ns,f_150_299_tot,f_300_399_e,f_300_399_om_ie,f_300_399_om_uie,f_300_399_cfw,f_300_399_es_ns,f_300_399_tot,f_400_499_e,f_400_499_om_ie,f_400_499_om_uie,f_400_499_cfw,f_400_499_es_ns,f_400_499_tot,f_500_649_e,f_500_649_om_ie,f_500_649_om_uie,f_500_649_cfw,f_500_649_es_ns,f_500_649_tot,f_650_799_e,f_650_799_om_ie,f_650_799_om_uie,f_650_799_cfw,f_650_799_es_ns,f_650_799_tot,f_800_999_e,f_800_999_om_ie,f_800_999_om_uie,f_800_999_cfw,f_800_999_es_ns,f_800_999_tot,f_1000_1249_e,f_1000_1249_om_ie,f_1000_1249_om_uie,f_1000_1249_cfw,f_1000_1249_es_ns,f_1000_1249_tot,f_1250_1499_e,f_1250_1499_om_ie,f_1250_1499_om_uie,f_1250_1499_cfw,f_1250_1499_es_ns,f_1250_1499_tot,f_1500_1749_e,f_1500_1749_om_ie,f_1500_1749_om_uie,f_1500_1749_cfw,f_1500_1749_es_ns,f_1500_1749_tot,f_1750_1999_e,f_1750_1999_om_ie,f_1750_1999_om_uie,f_1750_1999_cfw,f_1750_1999_es_ns,f_1750_1999_tot,f_2000_2999_e,f_2000_2999_om_ie,f_2000_2999_om_uie,f_2000_2999_cfw,f_2000_2999_es_ns,f_2000_2999_tot,f_3000mor_e,f_3000mor_om_ie,f_3000mor_om_uie,f_3000mor_cfw,f_3000mor_es_ns,f_3000mor_tot,f_persinc_ns_e,f_persinc_ns_om_ie,f_persinc_ns_om_uie,f_persinc_ns_cfw,f_persinc_ns_es_ns,f_persinc_ns_tot,f_tot_e,f_tot_om_ie,f_tot_om_uie,f_tot_cfw,f_tot_es_ns,f_tot_tot,p_negnilinc_e,p_negnilinc_om_ie,p_negnilinc_om_uie,p_negnilinc_cfw,p_negnilinc_es_ns,p_negnilinc_tot,p_1_149_e,p_1_149_om_ie,lga_name16
10050,28,0,9,20,4,64,352,3,14,10,8,381,232,3,18,19,0,275,253,31,42,13,0,343,381,19,50,17,3,468,596,55,84,12,6,755,1075,70,109,6,14,1269,1464,79,120,10,9,1689,1477,135,132,6,14,1773,1039,107,84,12,16,1255,790,125,61,3,3,985,577,71,46,0,0,690,725,91,63,5,3,890,188,156,63,3,0,412,154,12,20,3,9,203,9322,959,919,137,105,11437,46,3,11,25,3,87,604,3,23,17,4,652,624,14,34,14,6,696,672,19,76,15,9,789,943,22,71,17,16,1063,1542,36,97,13,11,1703,1726,58,88,9,12,1895,1765,56,73,4,3,1915,1372,52,60,16,13,1508,947,38,47,10,0,1047,647,47,33,3,5,733,439,23,12,0,4,473,374,46,33,4,3,461,65,37,25,3,0,132,195,3,8,5,12,229,11965,457,687,163,109,13381,71,4,19,50,8,148,956,10,Albury (C)
10130,15,4,12,30,3,68,189,0,12,14,0,225,188,16,23,22,8,247,193,13,32,26,6,266,250,27,56,20,6,362,405,31,72,24,7,538,633,40,91,22,5,792,663,58,108,8,3,848,656,68,105,9,7,839,374,48,48,6,3,477,375,51,49,3,3,483,259,29,27,4,3,319,452,36,44,6,3,539,165,50,41,0,0,261,89,10,19,8,6,131,4891,481,748,208,65,6397,27,3,10,24,0,65,304,7,11,12,0,347,345,10,32,23,0,415,356,4,37,15,3,421,440,13,44,30,5,523,672,20,55,14,12,774,780,30,51,21,12,895,660,30,35,13,3,743,638,22,51,13,5,724,471,16,19,6,0,519,397,17,15,0,0,434,291,3,6,3,0,306,308,21,11,0,0,345,52,14,17,0,0,87,80,3,8,5,8,108,5829,216,403,189,60,6703,45,6,20,60,3,134,496,7,Armidale Regional (A)
10250,14,4,18,19,3,58,226,3,18,15,3,265,136,4,41,14,7,211,203,18,56,18,3,300,310,23,91,11,3,434,448,53,106,18,11,642,767,50,130,6,11,963,840,87,167,20,13,1113,709,108,148,9,11,986,426,62,83,7,4,583,293,84,91,9,8,480,281,50,43,4,0,383,301,76,51,4,3,441,103,104,67,7,0,275,79,14,11,6,14,127,5143,735,1123,167,91,7260,21,3,10,35,0,65,351,3,30,21,8,409,276,4,59,22,11,368,404,25,68,20,10,532,578,20,83,15,10,712,958,38,113,20,10,1134,1020,49,96,11,7,1187,846,27,73,19,7,978,640,42,68,4,4,753,347,28,50,7,3,430,281,35,25,5,4,353,233,16,18,0,0,271,175,36,34,5,3,253,37,38,14,0,0,92,85,0,12,7,13,113,6247,372,756,191,86,7652,36,10,27,54,3,126,575,3,Ballina (A)
10300,0,0,0,5,0,11,0,0,0,0,0,0,3,0,3,7,3,11,15,3,6,4,0,22,12,3,3,0,0,22,15,9,12,8,0,43,31,3,8,3,0,49,57,5,6,6,3,79,50,9,11,0,0,64,24,5,5,0,0,31,23,3,5,0,0,26,9,3,4,0,0,16,11,0,4,4,0,18,3,6,3,0,0,10,3,0,4,3,0,11,259,56,71,34,6,430,3,0,0,8,0,10,10,0,0,0,0,8,19,0,0,3,0,26,26,0,3,0,0,29,26,3,4,0,0,30,43,3,5,0,0,56,48,4,0,0,0,52,42,3,3,3,0,53,29,0,5,3,0,35,20,4,0,0,0,23,6,0,0,4,0,7,7,3,0,0,0,10,9,0,0,3,0,9,0,0,3,0,0,8,7,0,0,3,0,14,285,20,27,20,8,367,3,0,0,12,0,17,11,0,Balranald (A)
10470,26,8,12,26,5,71,219,0,6,12,11,245,189,3,33,28,8,262,209,18,46,19,6,291,274,19,58,17,3,368,458,45,96,18,14,626,697,40,76,15,10,845,982,88,89,17,7,1186,930,93,102,10,18,1155,663,61,70,4,3,803,633,87,59,7,10,797,540,37,34,10,4,622,608,70,57,0,3,735,153,67,44,0,7,270,92,11,17,9,9,134,6681,644,799,190,113,8420,22,0,9,36,4,66,402,10,21,15,10,456,428,14,47,24,8,518,448,18,52,15,6,531,586,18,52,15,15,684,928,26,70,22,8,1052,1065,38,68,12,16,1193,1052,43,55,8,5,1163,933,44,46,7,7,1036,638,22,31,4,3,698,499,32,27,8,3,568,384,14,6,3,0,411,342,27,21,0,0,388,77,22,13,5,0,123,117,3,5,6,6,143,7909,334,525,180,93,9035,44,5,16,61,7,138,625,8,Bathurst Regional (A)
10550,9,8,8,14,3,43,152,4,27,11,3,205,111,16,66,20,10,220,122,14,76,21,9,246,223,19,77,14,16,353,341,57,106,12,5,531,497,69,105,18,6,691,676,75,110,11,15,891,649,90,103,3,13,862,388,73,78,5,4,554,281,65,42,4,4,391,250,23,35,0,0,302,207,50,26,3,8,297,68,34,34,3,3,142,66,17,11,4,11,102,4044,602,910,158,113,5823,13,3,12,30,3,64,270,3,32,15,3,326,276,16,70,27,7,400,352,14,58,23,5,452,479,18,70,20,8,590,746,38,88,12,6,893,736,45,87,18,7,899,683,39,49,9,10,793,522,30,50,13,8,623,296,27,22,6,0,355,219,22,20,4,3,270,138,9,14,3,0,166,125,16,3,4,0,153,25,9,14,3,0,49,73,9,5,7,4,96,4955,298,593,189,78,6117,23,13,21,47,4,111,425,6,Bega Valley (A)
10600,3,3,3,16,0,26,55,0,9,6,0,73,29,4,30,12,0,79,32,0,38,13,4,86,74,12,42,3,5,133,108,9,61,6,3,188,142,18,53,3,3,226,182,20,53,3,8,273,161,15,30,6,3,212,118,18,21,0,3,165,68,8,11,3,0,92,62,11,11,4,0,83,77,15,10,0,0,102,33,4,16,0,0,51,16,4,7,6,3,34,1162,146,395,80,40,1823,0,0,4,18,3,21,76,0,10,8,0,92,79,3,32,18,0,135,94,7,34,6,4,143,130,5,33,4,3,182,183,5,63,7,10,270,222,17,32,4,0,274,161,3,20,10,3,193,127,8,20,3,0,159,70,4,12,3,0,94,61,6,14,0,0,76,41,4,3,0,0,52,39,3,3,4,0,52,7,3,10,0,0,14,19,7,3,5,4,35,1313,70,286,90,29,1785,3,4,5,29,3,49,127,0,Bellingen (A)
10650,0,0,3,20,3,28,26,4,3,3,0,35,16,9,9,13,3,49,27,6,12,12,4,64,45,10,14,9,0,78,80,19,22,10,5,145,115,19,32,8,0,167,152,18,27,12,0,210,146,25,28,10,8,214,89,15,19,3,3,134,63,13,21,3,0,102,39,5,3,0,0,52,30,17,7,3,0,65,3,16,15,3,0,36,22,4,9,0,3,36,850,187,230,106,30,1414,0,3,0,14,0,27,56,0,3,7,3,62,52,0,9,13,0,78,76,11,17,3,4,110,103,14,14,3,0,139,157,13,26,14,0,207,166,16,13,0,5,191,144,10,17,3,3,177,81,4,20,5,0,112,51,8,0,0,0,60,29,5,8,3,0,43,24,3,3,0,0,31,23,3,3,4,0,30,3,3,3,3,0,13,16,0,4,0,3,20,978,90,128,77,22,1296,0,3,8,39,4,53,80,4,Berrigan (A)
10750,197,26,46,93,13,372,1269,26,65,26,16,1402,1210,53,135,35,30,1468,1252,103,214,52,31,1647,1609,150,300,52,35,2151,2489,341,428,49,48,3355,4679,418,477,39,57,5668,7468,610,503,49,95,8730,8494,709,496,24,84,9812,6044,571,320,19,44,6994,4919,533,221,21,28,5721,3585,326,128,4,26,4067,4586,537,177,13,26,5347,1765,502,144,9,13,2440,785,77,59,10,77,1007,50356,4992,3719,498,610,60169,218,7,24,105,12,369,1854,19,120,53,12,2055,2151,51,244,64,35,2544,2078,88,196,66,33,2462,2465,98,216,41,43,2854,4101,173,270,45,53,4641,5546,157,276,28,61,6076,5965,181,189,30,44,6408,5661,186,180,21,28,6074,3534,139,102,16,18,3806,2633,134,49,8,10,2838,1811,68,24,4,0,1909,1668,110,47,5,3,1838,415,119,47,7,7,593,614,33,22,10,32,720,40730,1566,2004,489,391,45187,413,35,67,196,31,740,3122,43,Blacktown (C)
10800,3,0,14,18,0,35,23,0,0,3,0,35,16,0,17,5,0,39,27,0,12,14,3,53,36,7,20,10,4,77,74,10,26,13,3,126,78,9,13,13,3,117,115,19,43,7,3,190,109,20,41,14,0,188,92,13,34,4,0,138,95,12,25,3,3,140,59,7,17,3,0,83,121,7,12,3,0,142,30,6,29,10,3,77,15,3,10,8,4,38,898,112,318,136,29,1487,0,0,3,16,0,25,40,0,3,7,3,48,46,3,10,10,0,72,58,4,8,5,3,78,90,0,10,11,0,111,130,9,20,9,3,177,105,4,15,9,0,133,78,13,20,12,0,117,87,7,20,3,0,114,44,7,11,7,0,68,42,4,11,0,0,49,16,0,3,0,0,26,36,3,7,0,0,44,11,5,10,9,0,22,9,0,3,4,0,26,797,48,163,97,12,1114,3,0,11,39,0,57,63,3,Bland (A)
