lga_code_2016,num_pns_pres_cen_ngt_1_fam_hh,nu_pn_pre_cen_ngt_1_no_fam_hh,num_pns_pres_cen_ngt_1_tot,num_pns_pres_cen_ngt_2_fam_hh,nu_pn_pre_cen_ngt_2_no_fam_hh,num_pns_pres_cen_ngt_2_tot,num_pns_pres_cen_ngt_3_fam_hh,nu_pn_pre_cen_ngt_3_no_fam_hh,num_pns_pres_cen_ngt_3_tot,num_pns_pres_cen_ngt_4_fam_hh,nu_pn_pre_cen_ngt_4_no_fam_hh,num_pns_pres_cen_ngt_4_tot,num_pns_pres_cen_ngt_5_fam_hh,nu_pn_pre_cen_nt_5_non_fam_hh,nu_pn_pre_cen_ngt_5_tot,num_pn_pres_cen_ngt_6_fam_hh,nu_pn_pre_ce_ngt_6_no_fam_hh,num_pns_pres_cen_ngt_6_tot,tot_family_households,tot_non_family_households,tot_tot,lga_name16
13340,83,947,1026,1243,199,1436,442,41,480,490,28,514,267,18,284,166,8,168,2685,1228,3920,Greater Hume Shire (A)
13450,133,2192,2330,2483,534,3014,1205,170,1373,1262,117,1380,716,81,795,383,58,445,6186,3156,9338,Griffith (C)
13510,78,1404,1479,1556,232,1791,503,30,538,445,29,474,234,23,258,117,4,119,2934,1725,4656,Gundagai (A)
13550,77,1377,1455,1409,234,1643,633,69,700,593,45,639,284,22,309,145,10,150,3141,1759,4894,Gunnedah (A)
13660,35,617,660,705,174,883,255,36,288,189,25,210,110,19,129,60,0,61,1351,873,2226,Gwydir (A)
13800,332,4535,4864,5866,945,6808,3600,305,3905,3607,204,3806,1912,105,2012,1098,39,1143,16405,6132,22541,Hawkesbury (C)
13850,33,386,420,365,107,476,142,27,170,98,10,107,60,7,67,31,4,34,732,537,1265,Hay (A)
16380,562,9131,9692,10957,2068,13026,3859,389,4243,3328,219,3549,1631,80,1712,757,44,803,21086,11927,33014,Port Macquarie-Hastings (A)
16400,492,6738,7226,8780,1607,10387,3488,338,3826,3330,205,3538,1482,75,1557,871,38,913,18447,9001,27448,Port Stephens (A)
16490,426,5516,5946,5688,1019,6703,3116,301,3421,3116,201,3321,1411,78,1487,625,36,663,14382,7155,21534,Queanbeyan-Palerang Regional (A)
16550,1060,14095,15159,12757,4473,17236,7323,2011,9334,6896,1073,7973,2598,476,3078,1135,250,1392,31774,22390,54163,Randwick (C)
