lga_name_2016,lga_code_2016,sme_usl_ad_1_yr_ago_as_2016_m,sme_usl_ad_1_yr_ago_as_2016_f,sme_usl_ad_1_yr_ago_as_2016_p,dif_usl_ad_1_yr_ago_sme_sa2_m,dif_usl_ad_1_yr_ago_sme_sa2_f,dif_usl_ad_1_yr_ago_sme_sa2_p,dif_us_ad_1_ago_dif_sa2_nsw_m,dif_us_ad_1_ago_dif_sa2_nsw_f,dif_us_ad_1_ago_dif_sa2_nsw_p,dif_us_ad_1_ago_dif_sa2_vic_m,dif_us_ad_1_ago_dif_sa2_vic_f,dif_us_ad_1_ago_dif_sa2_vic_p,dif_us_ad_1_ago_dif_sa2_qld_m,dif_us_ad_1_ago_dif_sa2_qld_f,dif_us_ad_1_ago_dif_sa2_qld_p,dif_us_ad_1_ago_dif_sa2_sa_m,dif_us_ad_1_ago_dif_sa2_sa_f,dif_us_ad_1_ago_dif_sa2_sa_p,dif_us_ad_1_ago_dif_sa2_wa_m,dif_us_ad_1_ago_dif_sa2_wa_f,dif_us_ad_1_ago_dif_sa2_wa_p,dif_us_ad_1_ago_dif_sa2_tas_m,dif_us_ad_1_ago_dif_sa2_tas_f,dif_us_ad_1_ago_dif_sa2_tas_p,dif_us_ad_1_ago_dif_sa2_nt_m,dif_us_ad_1_ago_dif_sa2_nt_f,dif_us_ad_1_ago_dif_sa2_nt_p,dif_us_ad_1_ago_dif_sa2_act_m,dif_us_ad_1_ago_dif_sa2_act_f,dif_us_ad_1_ago_dif_sa2_act_p,dif_us_ad_1_ago_dif_sa2_ot_m,dif_us_ad_1_ago_dif_sa2_ot_f,dif_us_ad_1_ago_dif_sa2_ot_p,dif_us_ad_1_ago_dif_sa2_tot_m,dif_us_ad_1_ago_dif_sa2_tot_f,dif_us_ad_1_ago_dif_sa2_tot_p,difnt_usl_add_1_yr_ago_os_m,difnt_usl_add_1_yr_ago_os_f,difnt_usl_add_1_yr_ago_os_p,difnt_usl_add_1_yr_ago_ns_m,difnt_usl_add_1_yr_ago_ns_f,difnt_usl_add_1_yr_ago_ns_p,difnt_usl_add_1_yr_ago_tot_m,difnt_usl_add_1_yr_ago_tot_f,difnt_usl_add_1_yr_ago_tot_p,n_stated_m,n_stated_f,n_stated_p,tot_m,tot_f,tot_p
Albury (C),10050,18123,19387,37515,1016,1079,2087,1747,1994,3740,645,677,1321,123,137,262,45,45,82,45,33,81,16,18,32,29,23,50,27,27,50,0,0,3,2673,2948,5616,147,186,331,69,62,133,3903,4273,8177,2292,2421,4711,24318,26073,50400
Armidale Regional (A),10130,10305,10815,21117,1140,1321,2459,801,982,1787,34,34,70,116,152,269,9,7,11,14,13,24,12,5,19,11,8,17,14,7,19,0,0,0,1003,1222,2226,192,245,441,49,41,88,2385,2829,5215,1373,1415,2783,14058,15056,29118
Ballina (A),10250,15336,16332,31664,932,1060,1997,1420,1584,3005,57,80,132,274,317,595,15,13,26,23,26,48,7,5,15,14,15,25,12,12,26,0,0,0,1817,2048,3873,119,126,241,46,62,111,2919,3297,6219,1696,1840,3533,19956,21466,41415
Balranald (A),10300,914,848,1761,51,50,105,19,19,40,24,32,61,4,5,12,4,3,10,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,57,64,120,4,3,4,4,0,4,114,118,236,130,130,262,1161,1098,2267
Bathurst Regional (A),10470,14901,15366,30271,1104,1215,2326,1561,1646,3209,35,30,63,67,58,124,3,11,13,21,10,39,0,7,8,4,7,10,20,15,36,0,0,0,1714,1790,3502,94,109,204,47,31,81,2964,3144,6112,2576,1857,4437,20443,20377,40816
Bega Valley (A),10550,12652,13183,25834,764,846,1616,785,851,1641,173,170,345,55,62,123,5,7,9,24,28,53,11,6,14,18,20,30,97,105,206,0,0,0,1169,1249,2421,50,60,110,32,28,69,2013,2192,4205,1439,1481,2925,16108,16860,32966
Bellingen (A),10600,4752,5071,9817,315,361,677,369,428,795,21,26,43,57,39,96,4,3,7,11,9,21,5,3,11,3,6,14,4,8,14,0,0,0,478,517,998,27,22,51,23,22,46,845,937,1780,478,490,971,6071,6494,12567
Berrigan (A),10650,3230,3215,6438,224,274,492,58,52,109,145,150,296,19,13,29,0,7,8,3,3,5,3,3,8,4,4,8,0,0,0,0,0,0,230,229,458,23,34,50,6,3,11,479,534,1013,468,458,929,4178,4208,8382
Blacktown (C),10750,131207,134157,265365,3285,3280,6571,14594,14305,28896,197,158,359,335,277,609,91,89,180,142,120,257,19,8,32,39,36,76,59,63,120,0,0,4,15474,15057,30538,2621,3035,5660,281,225,511,21662,21607,43268,12253,11154,23407,165117,166923,332036
Bland (A),10800,2345,2296,4635,126,145,274,76,89,163,5,3,6,7,7,14,0,0,0,0,0,0,3,9,13,0,0,0,0,6,7,0,0,0,96,110,205,3,4,9,0,3,3,228,263,489,369,398,767,2938,2957,5896
