lga_code16,hq_nni_mng,hq_nni_pro,hq_nni_tectw,hq_nni_copsw,hq_nni_claw,hq_nni_swks,hq_nni_maopdv,hq_nni_lab,hq_nni_idns,hq_nni_tot,hq_1_149_mng,hq_1_149_pro,hq_1_149_tectw,hq_1_149_copsw,hq_1_149_claw,hq_1_149_swks,hq_1_149_maopdv,hq_1_149_lab,hq_1_149_idns,hq_1_149_tot,hq_150_299_mng,hq_150_299_pro,hq_150_299_tectw,hq_150_299_copsw,hq_150_299_claw,hq_150_299_swks,hq_150_299_maopdv,hq_150_299_lab,hq_150_299_idns,hq_150_299_tot,hq_300_399_mng,hq_300_399_pro,hq_300_399_tectw,hq_300_399_copsw,hq_300_399_claw,hq_300_399_swks,hq_300_399_maopdv,hq_300_399_lab,hq_300_399_idns,hq_300_399_tot,hq_400_499_mng,hq_400_499_pro,hq_400_499_tectw,hq_400_499_copsw,hq_400_499_claw,hq_400_499_swks,hq_400_499_maopdv,hq_400_499_lab,hq_400_499_idns,hq_400_499_tot,hq_500_649_mng,hq_500_649_pro,hq_500_649_tectw,hq_500_649_copsw,hq_500_649_claw,hq_500_649_swks,hq_500_649_maopdv,hq_500_649_lab,hq_500_649_idns,hq_500_649_tot,hq_650_799_mng,hq_650_799_pro,hq_650_799_tectw,hq_650_799_copsw,hq_650_799_claw,hq_650_799_swks,hq_650_799_maopdv,hq_650_799_lab,hq_650_799_idns,hq_650_799_tot,hq_800_999_mng,hq_800_999_pro,hq_800_999_tectw,hq_800_999_copsw,hq_800_999_claw,hq_800_999_swks,hq_800_999_maopdv,hq_800_999_lab,hq_800_999_idns,hq_800_999_tot,hq_1000_1249_mng,hq_1000_1249_pro,hq_1000_1249_tectw,hq_1000_1249_copsw,hq_1000_1249_claw,hq_1000_1249_swks,hq_1000_1249_maopdv,hq_1000_1249_lab,hq_1000_1249_idns,hq_1000_1249_tot,hq_1250_1499_mng,hq_1250_1499_pro,hq_1250_1499_tectw,hq_1250_1499_copsw,hq_1250_1499_claw,hq_1250_1499_swks,hq_1250_1499_maopdv,hq_1250_1499_lab,hq_1250_1499_idns,hq_1250_1499_tot,hq_1500_1749_mng,hq_1500_1749_pro,hq_1500_1749_tectw,hq_1500_1749_copsw,hq_1500_1749_claw,hq_1500_1749_swks,hq_1500_1749_maopdv,hq_1500_1749_lab,hq_1500_1749_idns,hq_1500_1749_tot,hq_1750_1999_mng,hq_1750_1999_pro,hq_1750_1999_tectw,hq_1750_1999_copsw,hq_1750_1999_claw,hq_1750_1999_swks,hq_1750_1999_maopdv,hq_1750_1999_lab,hq_1750_1999_idns,hq_1750_1999_tot,hq_2000_2999_mng,hq_2000_2999_pro,hq_2000_2999_tectw,hq_2000_2999_copsw,hq_2000_2999_claw,hq_2000_2999_swks,hq_2000_2999_maopdv,hq_2000_2999_lab,hq_2000_2999_idns,hq_2000_2999_tot,hq_3000mo_mng,hq_3000mo_pro,hq_3000mo_tectw,hq_3000mo_copsw,hq_3000mo_claw,hq_3000mo_swks,hq_3000mo_maopdv,hq_3000mo_lab,hq_3000mo_idns,hq_3000mo_tot,hq_pins_mng,hq_pins_pro,hq_pins_tectw,hq_pins_copsw,hq_pins_claw,hq_pins_swks,hq_pins_maopdv,hq_pins_lab,hq_pins_idns,hq_pins_tot,hq_tot_mng,hq_tot_pro,hq_tot_tectw,hq_tot_copsw,hq_tot_claw,hq_tot_swks,hq_tot_maopdv,hq_tot_lab,hq_tot_idns,hq_tot_tot,cl_nfd_nni_mng,cl_nfd_nni_pro,cl_nfd_nni_tectw,cl_nfd_nni_copsw,cl_nfd_nni_claw,cl_nfd_nni_swks,cl_nfd_nni_maopdv,cl_nfd_nni_lab,cl_nfd_nni_idns,cl_nfd_nni_tot,cl_nfd_1_149_mng,cl_nfd_1_149_pro,cl_nfd_1_149_tectw,cl_nfd_1_149_copsw,cl_nfd_1_149_claw,cl_nfd_1_149_swks,cl_nfd_1_149_maopdv,cl_nfd_1_149_lab,cl_nfd_1_149_idns,cl_nfd_1_149_tot,cl_nfd_150_299_mng,cl_nfd_150_299_pro,cl_nfd_150_299_tectw,cl_nfd_150_299_copsw,cl_nfd_150_299_claw,cl_nfd_150_299_swks,cl_nfd_150_299_maopdv,cl_nfd_150_299_lab,cl_nfd_150_299_idns,cl_nfd_150_299_tot,cl_nfd_300_399_mng,cl_nfd_300_399_pro,cl_nfd_300_399_tectw,cl_nfd_300_399_copsw,cl_nfd_300_399_claw,cl_nfd_300_399_swks,cl_nfd_300_399_maopdv,cl_nfd_300_399_lab,cl_nfd_300_399_idns,cl_nfd_300_399_tot,lga_name16
20910,38,41,3,7,11,11,4,3,6,127,26,76,15,77,35,36,3,16,3,285,35,123,34,138,73,61,9,44,5,528,39,148,43,159,94,61,10,58,4,623,46,202,63,151,105,72,15,63,9,719,87,312,65,256,123,88,15,71,7,1031,126,381,84,308,198,108,17,50,17,1279,226,637,180,351,211,101,24,44,22,1786,254,938,154,215,222,89,28,35,27,1961,183,837,74,133,147,65,19,10,10,1485,238,921,74,68,104,53,24,10,16,1504,177,692,24,36,56,44,7,3,10,1053,395,807,43,34,94,60,4,4,20,1465,459,616,17,20,58,61,0,6,28,1265,28,79,11,16,16,10,0,7,23,185,2338,6818,879,1973,1547,931,183,419,197,15293,0,0,0,0,0,0,0,0,0,0,0,3,0,5,4,3,0,0,0,18,0,5,3,8,3,3,0,3,0,26,3,3,0,13,11,4,0,0,0,31,Bayside (C)
21010,9,7,0,0,0,0,0,0,0,19,8,0,0,3,0,0,0,3,0,16,11,13,3,7,3,0,0,4,0,57,14,7,0,13,5,0,0,3,4,44,17,13,3,18,16,0,0,8,0,70,22,20,4,21,15,10,0,7,0,106,20,59,10,29,12,6,0,8,0,152,26,59,9,28,26,11,0,8,0,154,22,117,14,25,17,4,0,10,0,210,38,100,10,13,20,3,0,0,0,182,15,95,6,20,12,3,3,3,0,166,27,56,5,11,3,0,0,0,0,113,53,60,3,5,11,3,0,0,3,139,24,28,0,0,7,0,0,0,0,65,3,8,0,0,3,4,0,3,0,20,311,650,71,193,148,42,14,60,21,1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,Benalla (RC)
21110,77,106,16,25,21,16,3,8,6,282,46,182,27,136,65,64,5,35,13,569,72,330,58,272,173,136,22,97,23,1196,86,381,92,284,206,198,18,140,16,1421,115,437,87,335,254,188,16,129,16,1580,181,829,144,528,412,245,27,121,31,2517,276,1038,217,556,532,279,35,135,35,3102,414,1721,348,602,799,291,30,94,42,4344,569,2666,425,460,937,268,14,70,57,5466,513,2572,254,224,652,205,20,30,43,4522,659,2904,152,145,441,167,26,23,45,4568,572,2211,98,76,210,115,12,18,36,3354,1676,3400,118,72,290,224,11,17,37,5842,1895,1998,56,28,196,182,3,13,54,4412,73,232,13,42,57,29,0,11,50,500,7238,21009,2094,3777,5248,2607,250,934,498,43659,0,4,0,0,3,3,0,0,0,8,0,3,3,8,5,8,0,3,3,35,4,6,3,14,10,5,0,7,0,45,6,3,0,31,12,8,0,10,3,75,Boroondara (C)
21180,35,24,5,7,28,12,4,8,4,138,13,57,11,45,21,55,9,26,8,253,28,129,30,118,80,130,36,67,9,629,38,151,51,153,115,146,56,82,17,814,52,171,67,158,144,136,86,92,15,918,118,371,110,299,231,190,142,146,28,1631,127,552,165,381,341,201,234,176,34,2226,250,998,259,417,521,178,279,168,30,3105,387,1717,360,327,569,137,232,101,33,3863,354,1574,178,202,359,92,115,42,24,2931,376,1389,119,152,215,86,69,21,16,2442,315,1048,74,82,96,57,20,17,20,1734,745,796,74,67,115,78,16,10,10,1918,501,409,25,15,48,27,6,7,7,1038,48,93,12,34,41,23,12,8,32,302,3380,9490,1550,2463,2922,1543,1331,971,289,23936,0,3,0,0,3,3,0,3,0,14,0,3,3,10,3,9,0,0,0,31,0,0,7,17,11,12,3,7,3,64,3,0,0,15,7,8,3,5,0,44,Brimbank (C)
21270,11,0,0,0,0,0,0,0,0,12,3,3,0,0,0,0,0,0,0,6,3,3,0,10,6,0,0,3,3,24,6,3,0,3,4,0,0,0,0,20,7,3,0,4,4,4,0,0,0,31,20,13,0,9,12,4,0,4,0,57,10,30,0,4,5,5,0,0,0,67,15,30,3,7,0,5,3,0,3,75,17,50,0,10,3,3,0,0,0,82,11,43,0,3,3,0,0,0,0,63,11,41,0,4,8,0,0,0,0,67,14,34,0,0,0,0,0,0,0,47,18,18,0,0,0,0,0,0,0,35,8,3,0,0,0,0,0,0,0,15,0,3,0,0,3,0,0,0,0,10,151,280,14,69,48,17,6,13,5,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,Buloke (S)
21370,24,8,3,3,0,0,0,5,0,41,13,17,0,9,4,0,0,0,0,48,26,17,9,20,16,13,0,11,0,104,19,36,4,31,24,14,3,11,0,149,22,56,14,46,30,15,0,15,0,190,32,97,18,59,44,11,4,19,0,287,47,140,15,87,58,28,3,17,0,390,82,202,25,79,58,21,5,12,3,483,80,334,31,63,53,20,7,20,0,614,67,307,22,44,30,10,7,14,0,492,65,242,15,24,32,5,10,5,0,403,48,178,3,21,9,3,3,5,0,265,134,137,12,16,15,4,0,3,0,322,58,71,3,4,9,0,0,0,0,144,16,15,0,3,4,0,0,0,0,43,729,1846,178,505,371,150,49,140,17,3973,0,0,0,0,0,0,0,3,0,0,3,0,0,5,0,3,0,3,0,8,3,0,0,3,0,4,0,3,0,20,0,0,3,5,3,3,0,5,0,16,Campaspe (S)
21450,18,21,3,3,10,0,0,0,0,58,21,32,6,14,18,15,5,7,3,124,23,59,27,57,44,54,9,23,3,297,30,55,17,76,43,47,7,23,3,301,24,96,21,107,47,39,12,46,8,411,58,141,33,157,76,63,16,45,8,596,73,180,65,169,84,60,21,46,3,709,110,259,83,172,127,62,30,51,7,900,109,467,70,83,84,47,27,29,4,921,93,486,41,55,74,26,15,12,0,797,90,424,33,48,38,15,3,10,0,650,75,315,15,35,26,8,0,3,3,479,147,199,26,21,20,17,0,3,3,437,80,110,10,3,19,7,0,3,5,235,12,34,4,22,9,3,0,0,8,92,958,2882,445,1027,716,471,139,306,52,7002,0,0,0,0,0,0,0,0,0,4,0,0,3,9,3,4,0,6,0,17,0,0,0,11,8,4,0,3,0,31,3,0,0,10,3,5,0,0,0,29,Cardinia (S)
21610,43,38,9,17,28,8,4,10,12,168,18,101,22,62,55,74,7,24,7,377,41,171,43,225,96,201,27,75,6,897,65,207,69,259,116,208,38,85,6,1050,87,252,81,332,154,201,46,108,6,1273,128,462,129,520,238,271,79,130,19,1969,163,609,190,622,323,261,100,150,11,2431,272,986,261,559,362,187,109,147,26,2916,370,1639,285,319,361,152,86,71,25,3310,256,1649,155,177,221,65,48,22,20,2609,275,1375,92,99,117,58,20,25,15,2073,229,1127,43,82,59,42,3,10,4,1601,520,731,41,58,63,53,6,8,9,1485,289,433,21,14,36,19,3,4,6,827,28,102,21,45,19,19,4,6,26,267,2792,9875,1468,3390,2259,1811,575,883,199,23248,0,0,0,0,0,0,0,0,0,8,0,0,5,9,3,10,0,4,0,34,4,9,9,14,8,20,0,8,0,72,0,0,4,29,12,28,0,21,0,93,Casey (C)
21670,4,0,0,0,0,0,0,0,0,10,3,0,0,4,0,0,0,0,0,8,8,3,3,4,0,10,0,0,0,28,5,12,3,9,12,0,0,3,3,48,4,13,3,6,7,9,0,6,0,44,6,28,3,32,11,12,3,7,0,95,12,30,8,25,8,3,0,11,0,97,13,71,7,21,11,8,3,3,0,140,15,110,15,23,14,3,3,3,0,174,14,73,3,8,10,0,0,0,0,111,13,67,3,24,0,0,0,0,0,110,13,36,0,7,0,0,0,0,0,64,24,31,0,9,0,0,0,0,0,68,7,18,0,0,0,0,0,0,0,24,3,3,0,5,0,0,0,0,0,16,136,508,53,175,69,38,11,38,7,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,3,Central Goldfields (S)
21750,28,3,3,0,3,0,0,0,0,38,8,9,3,3,8,4,0,0,0,34,17,8,6,13,6,9,4,13,0,86,23,17,6,17,19,15,0,6,0,101,32,29,10,29,15,6,0,15,3,150,27,55,13,52,27,13,3,15,0,212,33,60,9,52,33,15,5,22,0,250,38,111,14,58,44,21,4,25,6,322,71,166,19,50,35,8,0,23,7,374,40,159,12,26,16,4,0,5,3,270,41,131,8,24,8,6,0,3,6,228,38,83,6,13,3,0,0,0,0,149,65,66,3,18,3,3,0,0,4,164,31,45,3,7,3,3,0,0,0,91,6,24,0,0,3,0,0,0,0,38,497,981,112,381,246,108,27,134,31,2518,3,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,10,0,0,0,9,7,3,0,0,0,19,Colac-Otway (S)
