lga_code_2014,lga_name_2014,year,land_area_ha,pa_indig_area,pa_nat_park,pa_nat_res,pa_oth_pa,pa_tot,pa_indig_area_ha,pa_nat_park_ha,pa_nat_res_ha,pa_oth_pa_ha,pa_tot_ha,pa_indig_area_pc,pa_nat_park_pc,pa_nat_res_pc,pa_oth_pa_pc,pa_tot_pc,solar_panel_system,solar_water_heater
10050,Albury (C),2014,30593.1,,,,1.0,1.0,,,,4.0,4.0,,,,,,3098.0,575.0
10110,Armidale Dumaresq (A),2014,423083.5,,6.0,7.0,3.0,16.0,,30062.0,4167.0,54322.0,88550.0,,7.1,1.0,12.8,20.9,1201.0,911.0
10150,Ashfield (A),2014,828.1,,,,,,,,,,,,,,,,533.0,200.0
10200,Auburn (C),2014,3247.7,,,1.0,,1.0,,,48.0,,48.0,,,1.5,,1.5,1638.0,750.0
10250,Ballina (A),2014,48471.6,1.0,,7.0,,8.0,861.0,,1311.0,,2172.0,1.8,,2.7,,4.5,4219.0,4404.0
10300,Balranald (A),2014,2169312.5,,7.0,,4.0,11.0,,63635.0,,3513.0,67148.0,,2.9,,0.2,3.1,61.0,30.0
10350,Bankstown (C),2014,7680.0,,,,1.0,1.0,,,,202.0,202.0,,,,2.6,2.6,4951.0,2357.0
10470,Bathurst Regional (A),2014,381643.2,,,4.0,1.0,5.0,,,15019.0,1486.0,16505.0,,,3.9,0.4,4.3,1856.0,604.0
10550,Bega Valley (A),2014,627895.6,,9.0,6.0,12.0,27.0,,145016.0,30467.0,83271.0,258755.0,,23.1,4.9,13.3,41.2,2766.0,1828.0
10600,Bellingen (A),2014,160037.6,1.0,10.0,8.0,2.0,21.0,85.0,21937.0,5102.0,24898.0,52022.0,0.1,13.7,3.2,15.6,32.5,1224.0,1501.0
10650,Berrigan (A),2014,206592.7,,1.0,1.0,2.0,4.0,,2059.0,291.0,1140.0,3490.0,,1.0,0.1,0.6,1.7,780.0,171.0
10750,Blacktown (C),2014,24010.5,,,1.0,2.0,3.0,,,326.0,107.0,432.0,,,1.4,0.4,1.8,14711.0,3748.0
10800,Bland (A),2014,855770.8,,1.0,4.0,,5.0,,1172.0,2606.0,,3778.0,,0.1,0.3,,0.4,326.0,67.0
10850,Blayney (A),2014,152488.3,,,,,,,,,,,,,,,,347.0,170.0
10900,Blue Mountains (C),2014,143114.5,,1.0,,3.0,4.0,,106018.0,,340.0,106359.0,,74.1,,0.2,74.3,4560.0,1628.0
10950,Bogan (A),2014,1460048.3,,,1.0,,1.0,,,4778.0,,4778.0,,,0.3,,0.3,196.0,63.0
11000,Bombala (A),2014,394657.1,,2.0,5.0,1.0,8.0,,82134.0,9850.0,494.0,92479.0,,20.8,2.5,0.1,23.4,140.0,56.0
11050,Boorowa (A),2014,257797.5,,,1.0,,1.0,,,141.0,,141.0,,,0.1,,0.1,204.0,49.0
11100,Botany Bay (C),2014,2168.7,,,,,,,,,,,,,,,,614.0,250.0
11150,Bourke (A),2014,4160445.3,,4.0,2.0,,6.0,,173767.0,88496.0,,262262.0,,4.2,2.1,,6.3,130.0,99.0
11200,Brewarrina (A),2014,1916518.2,2.0,2.0,1.0,,5.0,4334.0,35542.0,6227.0,,46104.0,0.2,1.9,0.3,,2.4,32.0,9.0
11250,Broken Hill (C),2014,17029.4,,,,,,,,,,,,,,,,2390.0,133.0
11300,Burwood (A),2014,712.8,,,,,,,,,,,,,,,,595.0,158.0
11350,Byron (A),2014,56584.7,,5.0,11.0,1.0,17.0,,3885.0,2363.0,187.0,6435.0,,6.9,4.2,0.3,11.4,3219.0,3810.0
11400,Cabonne (A),2014,602392.9,,4.0,4.0,2.0,10.0,,34041.0,4560.0,310.0,38912.0,,5.7,0.8,0.1,6.5,853.0,385.0
11450,Camden (A),2014,20126.3,,,,1.0,1.0,,,,43.0,43.0,,,,0.2,0.2,2828.0,1013.0
11500,Campbelltown (C),2014,31214.0,,2.0,,,2.0,,1202.0,,,1202.0,,3.9,,,3.9,7276.0,3694.0
11520,Canada Bay (A),2014,1989.3,,,,,,,,,,,,,,,,1141.0,388.0
11550,Canterbury (C),2014,3356.4,,,,1.0,1.0,,,,25.0,25.0,,,,0.8,0.8,2620.0,968.0
11600,Carrathool (A),2014,1893250.1,,5.0,7.0,3.0,15.0,,54390.0,33412.0,23878.0,111681.0,,2.9,1.8,1.3,5.9,162.0,40.0
11700,Central Darling (A),2014,5349380.6,,4.0,2.0,,6.0,,239389.0,14190.0,,253579.0,,4.5,0.3,,4.7,127.0,19.0
11720,Cessnock (C),2014,196540.7,,5.0,,5.0,10.0,,12599.0,,42114.0,54714.0,,6.4,,21.4,27.8,2550.0,2184.0
11730,Clarence Valley (A),2014,1042877.3,,19.0,21.0,17.0,57.0,,92297.0,26688.0,105964.0,224948.0,,8.9,2.6,10.2,21.6,4108.0,4560.0
11750,Cobar (A),2014,4557101.4,,4.0,4.0,,8.0,,65546.0,177352.0,,242898.0,,1.4,3.9,,5.3,386.0,115.0
11800,Coffs Harbour (C),2014,117373.8,,6.0,8.0,4.0,18.0,,12384.0,1550.0,1594.0,15528.0,,10.6,1.3,1.4,13.2,4551.0,6663.0
11860,Conargo (A),2014,873794.1,,1.0,1.0,,2.0,,197.0,2786.0,,2983.0,,,0.3,,0.3,116.0,23.0
12000,Coolamon (A),2014,243092.9,,,,,,,,,,,,,,,,265.0,83.0
12050,Cooma-Monaro (A),2014,518454.3,,6.0,18.0,4.0,28.0,,44404.0,31448.0,15713.0,91564.0,,8.6,6.1,3.0,17.7,553.0,148.0
12150,Coonamble (A),2014,991585.1,,4.0,3.0,1.0,8.0,,27318.0,3998.0,15.0,31331.0,,2.8,0.4,,3.2,279.0,155.0
12200,Cootamundra (A),2014,152375.2,,1.0,3.0,,4.0,,1048.0,672.0,,1720.0,,0.7,0.4,,1.1,453.0,97.0
12300,Corowa Shire (A),2014,232925.2,,1.0,,3.0,4.0,,123.0,,1327.0,1450.0,,0.1,,0.6,0.6,1273.0,165.0
12350,Cowra (A),2014,280867.3,,1.0,1.0,,2.0,,6196.0,437.0,,6633.0,,2.2,0.2,,2.4,680.0,216.0
12500,Deniliquin (A),2014,14318.8,,1.0,,1.0,2.0,,1.0,,423.0,424.0,,,,3.0,3.0,498.0,109.0
12600,Dubbo (C),2014,342568.1,,5.0,2.0,1.0,8.0,,48449.0,1871.0,121.0,50441.0,,14.1,0.5,,14.7,4467.0,1152.0
12700,Dungog (A),2014,225001.7,,4.0,2.0,2.0,8.0,,4532.0,1296.0,34139.0,39967.0,,2.0,0.6,15.2,17.8,566.0,538.0
12750,Eurobodalla (A),2014,342817.1,,6.0,5.0,4.0,15.0,,31469.0,297.0,108890.0,140657.0,,9.2,0.1,31.8,41.0,2603.0,3100.0
12850,Fairfield (C),2014,10152.2,,,,,,,,,,,,,,,,7312.0,2118.0
12900,Forbes (A),2014,471807.4,,1.0,2.0,,3.0,,1966.0,646.0,,2612.0,,0.4,0.1,,0.6,470.0,108.0
12950,Gilgandra (A),2014,483200.8,,5.0,,,5.0,,24649.0,,,24649.0,,5.1,,,5.1,417.0,166.0
13010,Glen Innes Severn (A),2014,548035.9,2.0,6.0,1.0,5.0,14.0,90.0,11654.0,7226.0,100225.0,119195.0,,2.1,1.3,18.3,21.7,555.0,271.0
13050,Gloucester (A),2014,295016.8,,8.0,7.0,1.0,16.0,,25678.0,9628.0,30782.0,66089.0,,8.7,3.3,10.4,22.4,435.0,270.0
13100,Gosford (C),2014,94105.9,,6.0,5.0,2.0,13.0,,32638.0,514.0,23.0,33175.0,,34.7,0.5,,35.3,6970.0,4971.0
13310,Goulburn Mulwaree (A),2014,322000.8,,3.0,5.0,,8.0,,18810.0,4882.0,,23692.0,,5.8,1.5,,7.4,1408.0,311.0
13320,Great Lakes (A),2014,337332.8,,9.0,19.0,1.0,29.0,,64211.0,3577.0,2674.0,70461.0,,19.0,1.1,0.8,20.9,2753.0,2182.0
13340,Greater Hume Shire (A),2014,574928.4,,3.0,6.0,5.0,14.0,,31418.0,1817.0,6167.0,39402.0,,5.5,0.3,1.1,6.9,886.0,257.0
13380,Greater Taree (C),2014,372904.8,,10.0,16.0,4.0,30.0,,30295.0,12933.0,798.0,44026.0,,8.1,3.5,0.2,11.8,3839.0,4429.0
13450,Griffith (C),2014,163994.1,,,,1.0,1.0,,,,311.0,311.0,,,,0.2,0.2,1157.0,145.0
13500,Gundagai (A),2014,245713.7,,,2.0,1.0,3.0,,,1559.0,1630.0,3189.0,,,0.6,0.7,1.3,222.0,82.0
13550,Gunnedah (A),2014,498740.9,,2.0,1.0,2.0,5.0,,8666.0,4574.0,784.0,14023.0,,1.7,0.9,0.2,2.8,606.0,330.0
13650,Guyra (A),2014,438954.8,2.0,2.0,4.0,3.0,11.0,1553.0,2674.0,4446.0,52741.0,61414.0,0.4,0.6,1.0,12.0,14.0,231.0,134.0
13660,Gwydir (A),2014,926236.2,,7.0,2.0,2.0,11.0,,21777.0,896.0,1953.0,24626.0,,2.4,0.1,0.2,2.7,332.0,169.0
13700,Harden (A),2014,186824.6,,,,,,,,,,,,,,,,253.0,65.0
13800,Hawkesbury (C),2014,277464.1,,3.0,2.0,5.0,10.0,,50301.0,411.0,149975.0,200687.0,,18.1,0.1,54.1,72.3,2586.0,1740.0
13850,Hay (A),2014,1132601.6,1.0,5.0,1.0,1.0,8.0,4114.0,44271.0,411.0,80.0,48876.0,0.4,3.9,,,4.3,146.0,58.0
13950,Holroyd (C),2014,4018.1,,,,,,,,,,,,,,,,2745.0,920.0
14000,Hornsby (A),2014,46210.7,,4.0,3.0,1.0,8.0,,19747.0,2632.0,9.0,22387.0,,42.7,5.7,,48.4,5029.0,3047.0
14100,Hunters Hill (A),2014,571.7,,,,1.0,1.0,,,,5.0,5.0,,,,0.8,0.8,221.0,99.0
14150,Hurstville (C),2014,2272.4,,,,1.0,1.0,,,,15.0,15.0,,,,0.6,0.6,1915.0,876.0
14200,Inverell (A),2014,859494.0,1.0,9.0,5.0,2.0,17.0,2643.0,51176.0,13358.0,1757.0,68935.0,0.3,6.0,1.6,0.2,8.0,970.0,564.0
14250,Jerilderie (A),2014,337305.4,,,2.0,,2.0,,,652.0,,652.0,,,0.2,,0.2,160.0,43.0
14300,Junee (A),2014,202999.7,,1.0,1.0,,2.0,,52.0,3410.0,,3462.0,,,1.7,,1.7,275.0,81.0
14350,Kempsey (A),2014,337567.0,,11.0,12.0,9.0,32.0,,24982.0,10572.0,61164.0,96718.0,,7.4,3.1,18.1,28.7,2104.0,2719.0
14400,Kiama (A),2014,25774.3,,2.0,1.0,,3.0,,4256.0,1112.0,,5368.0,,16.5,4.3,,20.8,1219.0,1426.0
14450,Kogarah (C),2014,1554.8,,,,,,,,,,,,,,,,1072.0,419.0
14500,Ku-ring-gai (A),2014,8539.8,,3.0,1.0,1.0,5.0,,1695.0,11.0,1.0,1707.0,,19.8,0.1,,20.0,2303.0,1504.0
14550,Kyogle (A),2014,358401.9,,7.0,1.0,3.0,11.0,,42544.0,13.0,30734.0,73291.0,,11.9,,8.6,20.4,891.0,696.0
14600,Lachlan (A),2014,1496540.9,,1.0,3.0,,4.0,,129.0,9443.0,,9572.0,,,0.6,,0.6,430.0,188.0
14650,Lake Macquarie (C),2014,64798.7,,7.0,3.0,1.0,11.0,,7642.0,265.0,411.0,8318.0,,11.8,0.4,0.6,12.8,9595.0,9170.0
14700,Lane Cove (A),2014,1048.0,,,,,,,,,,,,,,,,589.0,215.0
14750,Leeton (A),2014,116694.7,,1.0,,1.0,2.0,,8165.0,,174.0,8339.0,,7.0,,0.1,7.1,431.0,117.0
14800,Leichhardt (A),2014,1055.0,,,,,,,,,,,,,,,,817.0,756.0
14850,Lismore (C),2014,128779.2,,2.0,6.0,,8.0,,7777.0,1276.0,,9053.0,,6.0,1.0,,7.0,4262.0,4722.0
14870,Lithgow (C),2014,451184.7,,6.0,2.0,4.0,12.0,,50982.0,1453.0,138808.0,191242.0,,11.3,0.3,30.8,42.4,1044.0,304.0
14900,Liverpool (C),2014,30543.1,,1.0,2.0,1.0,4.0,,47.0,419.0,38.0,505.0,,0.2,1.4,0.1,1.7,7446.0,2645.0
14920,Liverpool Plains (A),2014,508231.4,,3.0,2.0,1.0,6.0,,8002.0,1977.0,6.0,9986.0,,1.6,0.4,,2.0,361.0,262.0
14950,Lockhart (A),2014,289585.2,,,1.0,,1.0,,,343.0,,343.0,,,0.1,,0.1,262.0,93.0
15050,Maitland (C),2014,39151.7,,,,,,,,,,,,,,,,3515.0,2569.0
15150,Manly (A),2014,1435.5,,2.0,,,2.0,,280.0,,,280.0,,19.5,,,19.5,633.0,263.0
15200,Marrickville (A),2014,1652.0,,,,,,,,,,,,,,,,1286.0,543.0
15270,Mid-Western Regional (A),2014,875278.5,,3.0,2.0,3.0,8.0,,41976.0,8665.0,49662.0,100303.0,,4.8,1.0,5.7,11.5,1260.0,766.0
15300,Moree Plains (A),2014,1790595.0,,4.0,8.0,,12.0,,10179.0,6838.0,,17017.0,,0.6,0.4,,1.0,1283.0,229.0
15350,Mosman (A),2014,865.1,,1.0,,,1.0,,91.0,,,91.0,,10.6,,,10.6,291.0,128.0
15500,Murray (A),2014,434445.3,,3.0,,2.0,5.0,,34458.0,,6824.0,41282.0,,7.9,,1.6,9.5,526.0,205.0
15550,Murrumbidgee (A),2014,350668.5,,2.0,1.0,1.0,4.0,,23821.0,36.0,408.0,24265.0,,6.8,,0.1,6.9,138.0,29.0
15650,Muswellbrook (A),2014,340499.4,,1.0,1.0,1.0,3.0,,4409.0,3805.0,136343.0,144556.0,,1.3,1.1,40.0,42.5,598.0,709.0
15700,Nambucca (A),2014,149134.9,1.0,5.0,7.0,2.0,15.0,111.0,11746.0,13136.0,4796.0,29789.0,0.1,7.9,8.8,3.2,20.0,1696.0,1665.0
15750,Narrabri (A),2014,1301407.2,,10.0,2.0,4.0,16.0,,116331.0,22980.0,27057.0,166368.0,,8.9,1.8,2.1,12.8,1648.0,336.0
15800,Narrandera (A),2014,411623.6,,1.0,2.0,2.0,5.0,,202.0,217.0,224.0,643.0,,,0.1,0.1,0.2,296.0,59.0
15850,Narromine (A),2014,526038.7,,1.0,,,1.0,,4384.0,,,4384.0,,0.8,,,0.8,604.0,178.0
15900,Newcastle (C),2014,18677.3,,2.0,1.0,2.0,5.0,,2418.0,35.0,894.0,3347.0,,12.9,0.2,4.8,17.9,6062.0,3447.0
15950,North Sydney (A),2014,1047.3,,,,,,,,,,,,,,,,420.0,214.0
16100,Oberon (A),2014,362688.3,,3.0,1.0,2.0,6.0,,33623.0,239.0,68828.0,102690.0,,9.3,0.1,19.0,28.3,290.0,119.0
16150,Orange (C),2014,28393.8,,,,,,,,,,,,,,,,1744.0,784.0
16180,Palerang (A),2014,514679.2,,11.0,9.0,3.0,23.0,,53045.0,6841.0,22802.0,82688.0,,10.3,1.3,4.4,16.1,1001.0,471.0
16200,Parkes (A),2014,595491.9,,1.0,1.0,1.0,3.0,,16074.0,2868.0,72.0,19015.0,,2.7,0.5,,3.2,1018.0,208.0
16250,Parramatta (C),2014,6135.6,,,,,,,,,,,,,,,,4215.0,1724.0
16350,Penrith (C),2014,40463.1,,1.0,4.0,1.0,6.0,,804.0,1016.0,66.0,1885.0,,2.0,2.5,0.2,4.7,7950.0,3226.0
16370,Pittwater (A),2014,9032.8,,1.0,,,1.0,,4665.0,,,4665.0,,51.6,,,51.6,1414.0,690.0
16380,Port Macquarie-Hastings (A),2014,368301.5,,13.0,14.0,4.0,31.0,,43154.0,10230.0,37674.0,91058.0,,11.7,2.8,10.2,24.7,6547.0,8275.0
16400,Port Stephens (A),2014,85847.3,,12.0,8.0,3.0,23.0,,14562.0,895.0,3658.0,19115.0,,17.0,1.0,4.3,22.3,4258.0,3788.0
16470,Queanbeyan (C),2014,17236.1,,,4.0,,4.0,,,889.0,,889.0,,,5.2,,5.2,1487.0,821.0
