lga_code16,p_oth_svc_15_19_yr,p_oth_svc_20_24_yr,p_oth_svc_25_34_yr,p_oth_svc_35_44_yr,p_oth_svc_45_54_yr,p_oth_svc_55_64_yr,p_oth_svc_65_74_yr,p_oth_svc_75_84_yr,p_oth_svc_85_yr_over,p_oth_svc_tot,p_inad_desc_ns_15_19,p_inad_desc_ns_20_24,p_inad_desc_ns_25_34,p_inad_desc_ns_35_44,p_inad_desc_ns_45_54,p_inad_desc_ns_55_64,p_inad_desc_ns_65_74,p_inad_desc_ns_75_84,p_inad_desc_ns_85,p_inad_desc_ns_tot,p_tot_15_19_yr,p_tot_20_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
11350,17,23,87,119,129,80,25,0,0,475,39,61,167,197,184,153,46,15,5,872,580,749,2367,3071,3348,2852,711,89,11,13782,Byron (A)
11400,18,14,47,36,42,39,9,0,0,209,24,23,32,39,49,47,25,16,3,248,334,351,869,1218,1452,1147,436,104,11,5925,Cabonne (A)
11450,110,185,405,353,307,190,39,3,0,1593,113,204,425,452,380,211,79,13,9,1886,2544,3778,9640,9884,8039,4742,1006,78,20,39736,Camden (A)
11500,114,339,568,476,436,370,90,4,0,2408,210,480,1006,834,812,574,129,18,3,4060,3547,7471,16249,14838,13859,10566,1982,127,14,68657,Campbelltown (C) (NSW)
11520,48,119,353,291,332,217,74,10,0,1445,45,162,603,421,385,228,105,17,5,1976,1293,3502,12496,10559,8725,5717,1716,200,33,44247,Canada Bay (A)
11570,201,600,1398,1496,1263,839,176,20,0,6000,325,1023,2297,1991,1921,1194,234,47,20,9049,5648,14426,34824,31656,28799,18584,3646,326,37,137954,Canterbury-Bankstown (A)
11600,0,0,3,3,4,5,0,0,0,27,7,8,4,14,16,6,4,3,0,68,76,130,282,257,311,251,79,25,5,1414,Carrathool (A)
11650,272,663,1225,1197,1312,898,223,26,3,5812,325,582,1019,1174,1325,952,288,78,21,5764,8531,12569,26061,29582,32178,23556,5125,483,74,138163,Central Coast (C) (NSW)
11700,0,0,3,3,4,5,0,0,0,15,4,0,9,5,0,4,5,0,0,21,16,53,105,106,137,159,42,5,0,631,Central Darling (A)
11720,63,168,290,224,222,108,32,3,0,1107,58,108,171,190,212,144,26,15,8,934,1372,2105,4687,4646,4696,3322,667,83,14,21584,Cessnock (C)
11730,38,81,133,149,181,133,33,3,0,749,44,52,92,122,144,131,54,28,3,681,1068,1264,2604,3460,4351,3951,968,173,25,17876,Clarence Valley (A)
11750,3,12,19,11,13,8,0,0,0,64,8,10,13,18,14,13,4,0,4,77,78,164,532,439,436,397,90,22,4,2157,Cobar (A)
11800,59,124,245,209,270,193,64,8,0,1172,63,111,213,239,253,191,63,21,3,1152,1895,2412,5449,6130,6954,5729,1252,119,14,29958,Coffs Harbour (C)
12000,0,8,11,11,7,7,3,0,0,46,3,8,10,12,13,11,3,10,0,69,91,150,240,312,426,313,117,30,3,1676,Coolamon (A)
12150,0,9,8,6,10,10,3,0,0,45,6,3,12,18,10,10,8,3,0,69,51,111,264,224,332,304,108,21,7,1416,Coonamble (A)
12350,16,24,33,40,35,24,9,3,0,186,14,24,30,31,28,37,12,4,0,178,305,421,743,880,1110,951,333,73,7,4823,Cowra (A)
12380,91,296,862,685,606,388,90,3,0,3013,227,828,2129,1359,1144,711,136,22,14,6576,3231,9717,26458,19912,15342,10003,1854,122,25,86662,Cumberland (A)
12700,9,24,34,35,32,28,8,0,0,174,9,16,24,29,57,22,6,5,0,161,198,247,595,749,953,793,220,62,8,3813,Dungog (A)
16380,53,126,246,249,280,193,59,5,0,1224,77,76,142,199,225,180,65,24,5,987,1856,2063,4861,6149,7498,5844,1371,181,28,29847,Port Macquarie-Hastings (A)
16400,64,142,218,255,262,197,49,7,0,1199,70,102,161,220,255,218,71,23,3,1129,1776,2345,4680,5777,6674,4933,1144,153,21,27498,Port Stephens (A)
16490,67,127,248,225,218,144,29,4,0,1066,70,124,207,219,262,183,43,14,0,1111,1651,2451,6020,6404,7250,4349,941,115,15,29192,Queanbeyan-Palerang Regional (A)
16550,70,165,590,500,362,271,95,13,3,2077,90,260,793,594,534,286,113,27,4,2706,2167,6536,19360,16269,12977,8023,2268,292,44,67935,Randwick (C)
16610,25,42,60,48,63,48,20,0,0,303,26,24,40,71,69,73,38,12,0,358,597,681,1276,1608,1905,1734,436,86,10,8334,Richmond Valley (A)
16650,50,173,480,448,356,254,71,10,0,1843,73,322,884,603,504,343,91,24,5,2844,1666,5007,16317,12129,9760,6330,1535,162,25,52939,Rockdale (C)
16700,71,171,472,441,429,277,89,11,0,1962,64,220,763,619,522,380,88,22,11,2683,1946,5254,15762,13547,11264,7492,1858,211,27,57370,Ryde (C)
16900,89,151,330,297,239,168,30,0,0,1316,77,138,218,235,258,177,36,12,4,1164,1968,3043,5986,6489,6733,4308,664,57,12,29260,Shellharbour (C)
16950,62,136,290,288,298,218,68,8,0,1372,95,121,234,243,298,274,100,38,14,1416,2259,2969,6255,7058,8362,7139,1649,199,35,35926,Shoalhaven (C)
17000,31,72,112,107,105,52,9,0,0,490,26,46,59,69,97,61,14,4,0,376,890,1202,2140,2326,2500,1556,347,47,12,11027,Singleton (A)
17040,22,53,98,90,86,77,16,4,0,453,29,47,69,110,86,92,35,17,3,498,837,1621,3086,3259,3484,2728,915,143,26,16098,Snowy Monaro Regional (A)
17080,13,21,34,25,31,25,14,0,0,166,16,24,46,51,68,54,27,13,0,292,281,417,997,1161,1395,1239,389,86,12,5979,Snowy Valleys (A)
17420,149,299,498,651,675,472,150,16,0,2910,147,295,590,847,837,522,190,27,3,3460,4442,7417,13361,19322,18782,12416,3622,338,26,79729,The Hills Shire (A)
17550,41,125,276,288,342,207,70,0,4,1362,112,139,286,334,359,299,99,36,13,1671,2203,2732,5818,7575,8594,7198,1669,220,37,36033,Tweed (A)
17620,16,28,49,54,38,23,11,3,0,216,13,9,44,51,52,50,10,4,0,231,346,439,1248,1314,1375,1139,343,91,19,6302,Upper Hunter Shire (A)
17640,10,12,25,14,25,17,4,3,0,111,7,7,15,9,22,24,11,10,0,117,178,199,479,588,857,725,340,90,17,3474,Upper Lachlan Shire (A)
17650,3,6,12,15,13,20,5,0,0,75,10,10,12,15,22,22,5,3,0,99,124,159,356,539,627,553,165,43,8,2588,Uralla (A)
17750,62,163,266,221,236,166,56,4,0,1178,77,117,232,181,201,144,49,18,5,1015,2327,3849,6772,5988,5873,4563,1107,170,28,30666,Wagga Wagga (C)
17850,4,8,12,10,9,3,3,0,0,42,0,0,5,5,7,9,11,10,0,47,66,97,189,238,334,300,171,38,5,1424,Walcha (A)
17900,3,6,9,16,8,10,3,0,0,54,3,7,18,16,23,24,11,3,0,105,61,144,395,377,479,453,192,34,3,2141,Walgett (A)
17950,0,0,3,5,7,13,3,3,0,36,0,6,3,4,9,6,3,4,0,35,25,71,211,202,254,248,87,30,3,1131,Warren (A)
18020,7,10,12,26,21,14,6,0,0,100,4,9,16,28,34,28,13,4,3,142,102,209,468,611,810,732,292,82,22,3322,Warrumbungle Shire (A)
18050,25,86,368,264,166,113,50,7,0,1074,33,112,655,452,295,146,68,25,3,1803,657,2449,12247,9281,6186,3592,1396,205,37,36053,Waverley (A)
18100,0,4,9,15,7,5,3,0,0,44,3,5,6,6,19,11,8,7,0,57,58,70,177,282,315,317,148,33,3,1400,Weddin (A)
18200,3,12,20,16,23,19,7,0,0,96,7,9,17,25,33,35,20,6,0,150,153,221,464,561,694,618,189,33,3,2942,Wentworth (A)
18230,56,117,234,172,186,145,56,13,3,981,60,79,158,127,154,127,48,25,9,786,1394,1973,4743,4359,4733,3814,1059,200,38,22300,Western Plains Regional (A)
18250,51,67,245,210,223,159,41,6,0,1005,38,130,411,394,345,203,60,15,3,1603,1085,2741,8780,9669,7659,4671,1494,194,27,36319,Willoughby (C)
18350,46,88,166,162,191,142,47,8,0,849,41,68,106,174,220,186,90,22,7,919,1304,1429,3088,3887,4947,3994,1497,248,33,20419,Wingecarribee (A)
18400,72,113,235,227,227,122,33,3,0,1040,71,100,224,224,266,176,66,22,3,1158,1582,2260,4494,5273,5413,3802,817,92,19,23752,Wollondilly (A)
18450,190,454,819,738,733,443,104,8,0,3484,181,388,675,654,722,432,121,45,9,3220,5018,9612,18693,19546,19341,12723,2270,248,30,87495,Wollongong (C)
18500,16,61,205,144,139,91,41,3,0,707,29,78,356,270,255,196,134,38,6,1365,507,1968,7627,6050,5133,3798,2141,453,76,27741,Woollahra (A)
18710,18,30,47,59,74,43,21,3,0,302,25,28,37,65,89,35,18,10,0,300,477,595,1177,1827,2058,1349,466,87,19,8050,Yass Valley (A)
19399,0,0,3,3,7,3,0,0,0,13,0,4,7,10,3,6,4,0,0,27,17,61,115,117,123,149,61,12,0,664,Unincorporated NSW
20110,11,18,28,24,47,24,11,0,0,173,22,17,35,39,54,57,15,7,7,242,350,371,828,1198,1480,1306,350,55,16,5952,Alpine (S)
20260,12,19,33,25,34,30,5,3,0,160,15,12,28,31,36,31,13,7,4,179,287,342,805,852,1119,972,282,66,9,4725,Ararat (RC)
20570,59,185,324,288,330,260,79,4,0,1528,98,163,265,282,320,225,81,21,6,1467,2735,4854,9507,9263,9411,6914,1519,164,30,44388,Ballarat (C)
20660,70,160,434,436,405,320,89,13,0,1933,69,197,468,499,470,324,133,29,11,2199,2426,5067,12517,13704,12662,9362,2385,262,28,58414,Banyule (C)
20740,11,49,91,95,105,73,19,3,4,456,33,31,88,90,115,121,43,12,3,541,660,743,2095,2405,2988,2653,788,126,30,12486,Bass Coast (S)
20830,56,104,193,169,234,165,42,8,0,976,52,68,131,152,201,158,70,19,6,852,1217,1738,3936,3968,4822,3913,1065,188,33,20888,Baw Baw (S)
20910,57,104,211,238,354,192,76,12,0,1238,67,122,270,425,633,386,177,32,16,2135,1993,3513,6294,9655,12454,8250,2808,332,51,45354,Bayside (C)
21010,13,29,30,41,42,39,12,3,0,212,11,20,32,42,55,49,27,13,0,241,317,436,841,926,1324,1284,386,61,10,5577,Benalla (RC)
21110,80,243,477,334,423,335,125,19,0,2040,114,304,620,612,790,481,205,60,18,3196,3414,8564,17495,16005,18675,12378,4173,550,82,81338,Boroondara (C)
21180,73,406,893,685,706,436,89,7,4,3310,160,673,1548,1273,1194,761,139,27,3,5781,3245,8996,20768,17610,16388,10791,1834,132,21,79781,Brimbank (C)
21270,3,14,16,13,10,13,8,3,0,82,9,3,9,14,16,21,10,5,3,94,122,144,322,399,609,599,184,39,21,2437,Buloke (S)
21370,30,77,125,93,139,125,29,10,0,636,56,56,80,107,162,130,44,22,4,663,1039,1221,2546,2923,3844,3245,815,162,34,15824,Campaspe (S)
21450,97,166,535,393,391,257,56,7,0,1911,137,220,496,516,522,337,92,19,11,2346,2514,4286,10379,10134,9701,5869,1330,182,39,44425,Cardinia (S)
21610,212,638,1398,1272,1253,702,153,11,4,5634,316,855,1927,1872,1846,1074,261,40,20,8195,7035,13691,32072,33545,29630,17723,3056,270,50,137066,Casey (C)
21670,6,26,24,25,36,36,12,0,0,155,19,18,26,39,48,50,12,10,3,221,266,393,645,769,1060,944,219,40,11,4352,Central Goldfields (S)
21750,17,23,67,59,51,45,13,0,0,280,20,35,79,67,81,78,41,8,6,422,583,775,1664,1727,2132,1852,565,106,23,9430,Colac-Otway (S)
21830,16,27,34,35,41,36,16,0,0,200,28,21,35,50,64,52,32,14,7,312,425,522,980,1246,1707,1489,512,99,22,7000,Corangamite (S)
21890,62,236,649,563,462,268,77,9,0,2330,97,345,911,705,607,349,86,20,6,3124,2250,6681,20637,17112,13913,7625,1397,151,32,69808,Darebin (C)
22110,23,66,117,113,144,136,41,3,0,640,40,51,97,118,156,185,67,23,0,721,922,1149,2669,3039,3993,3751,1121,193,21,16862,East Gippsland (S)
22170,102,292,583,512,583,355,94,3,0,2520,144,296,700,748,786,549,146,25,11,3402,3302,5912,13785,13869,13937,9710,2120,164,37,62848,Frankston (C)
22250,10,17,21,19,26,37,9,3,0,141,12,20,20,23,34,49,24,7,3,204,228,322,620,736,1035,982,336,69,7,4326,Gannawarra (S)
22830,66,114,247,233,262,176,48,4,0,1153,80,123,236,237,251,174,65,17,9,1195,1708,2237,5257,5419,6083,4647,1205,168,42,26774,Greater Shepparton (C)
22910,12,22,40,50,44,51,5,0,0,231,12,19,33,49,73,60,21,9,3,284,226,378,793,1273,1636,1492,442,59,13,6314,Hepburn (S)
22980,0,18,10,12,17,14,3,0,0,66,7,12,9,8,20,9,7,4,3,83,92,191,334,389,530,519,146,43,9,2250,Hindmarsh (S)
23110,48,139,348,343,294,217,52,3,0,1436,66,210,496,411,447,287,73,6,3,2006,1550,3424,9782,10198,9537,5978,1084,93,20,41662,Hobsons Bay (C)
23190,26,46,96,69,79,67,19,4,0,408,33,24,60,54,73,54,21,12,0,331,578,796,1741,1696,1943,1692,438,89,19,8988,Horsham (RC)
23270,111,357,838,691,683,417,72,9,0,3186,198,545,1159,992,1038,535,113,21,4,4612,4045,8841,20475,18131,17300,10165,1832,121,27,80927,Hume (C)
23350,16,27,39,44,69,41,11,0,0,261,19,20,32,52,66,48,25,13,0,281,392,420,908,1467,1946,1631,471,67,16,7322,Indigo (S)
23430,84,239,596,632,608,452,113,18,0,2734,107,264,694,789,835,543,190,28,21,3464,3216,6138,15368,17789,16933,10992,2643,262,52,73390,Kingston (C) (Vic.)
23670,106,325,671,689,742,531,128,6,0,3209,130,334,741,819,960,672,149,36,10,3859,3919,7371,16019,16293,17409,12806,2703,214,38,76766,Knox (C)
23810,60,162,242,221,212,151,47,8,0,1097,66,113,221,190,223,197,62,21,5,1086,1764,2898,6042,5698,6423,5052,1086,133,25,29124,Latrobe (C) (Vic.)
23940,3,8,17,16,13,14,0,0,0,66,11,5,18,20,32,27,6,9,3,127,111,146,337,479,687,707,238,63,8,2773,Loddon (S)
24130,30,82,122,167,197,148,50,3,0,802,41,67,113,192,230,147,70,14,7,876,1084,1545,3021,4893,5682,3920,1130,116,24,21409,Macedon Ranges (S)
24210,59,149,354,359,503,362,118,17,0,1927,60,197,505,480,562,426,171,35,11,2443,2338,4701,9786,10650,12795,8851,2733,431,36,52333,Manningham (C)
24250,16,6,16,19,37,30,15,0,0,147,8,15,20,52,35,33,14,8,0,185,218,260,562,732,855,850,300,44,12,3822,Mansfield (S)
24330,24,147,459,321,240,136,23,6,4,1363,50,223,634,432,349,209,55,6,0,1942,1024,4136,14084,10562,7001,3851,637,56,15,41367,Maribyrnong (C)
24410,66,218,473,487,505,347,101,13,0,2209,84,206,512,497,548,346,140,30,6,2369,2817,4956,12029,12255,11997,8189,1940,191,18,54399,Maroondah (C)
24600,34,274,737,305,282,158,45,3,3,1844,91,479,1186,500,408,248,89,21,7,3034,1926,9915,30999,13069,8726,5847,1918,266,59,72720,Melbourne (C)
24650,73,232,598,572,414,225,55,4,0,2176,143,344,706,797,620,334,70,9,5,3022,3123,5409,14511,16644,12089,6784,1071,66,11,59714,Melton (C)
24780,48,93,178,141,170,129,34,3,0,807,56,89,197,191,202,195,62,10,6,1009,1416,1971,4401,4366,5023,4134,1009,127,36,22483,Mildura (RC)
24850,37,91,173,152,149,94,27,4,0,728,53,92,164,170,209,153,40,15,0,890,1074,1729,3810,3760,4293,3012,655,82,9,18425,Mitchell (S)
24900,38,45,93,69,65,74,24,3,0,410,47,65,76,94,121,82,39,17,3,553,778,945,1932,2159,2736,2342,633,124,22,11656,Moira (S)
24970,61,280,562,524,656,383,125,17,0,2610,114,392,1032,839,868,496,157,56,20,3965,3208,8216,19391,17852,17544,10920,2865,401,65,80459,Monash (C)
25060,38,152,467,363,381,274,77,14,0,1769,62,199,493,515,546,298,113,23,7,2257,2268,5503,14261,12962,12450,7870,1811,201,22,57347,Moonee Valley (C)
25150,28,74,109,101,125,74,25,0,0,532,38,85,117,120,168,99,58,9,4,689,886,1222,2602,3174,3549,2386,566,76,13,14471,Moorabool (S)
25250,53,264,874,639,537,304,74,6,0,2756,71,342,1130,779,535,359,116,24,10,3380,2133,8121,26545,19290,13987,7779,1537,174,35,79594,Moreland (C)
25340,96,242,482,527,652,433,141,16,0,2580,150,269,430,608,777,586,243,56,15,3126,4101,5578,10314,13705,16254,12366,3782,446,60,66602,Mornington Peninsula (S)
17310,56,116,232,220,211,178,46,6,3,1071,85,92,218,217,210,171,65,24,11,1090,1640,2147,5308,5196,5682,4530,1235,206,33,25969,Tamworth Regional (A)
17350,7,14,30,22,15,17,6,0,0,113,3,3,16,14,28,22,12,3,0,101,145,164,411,459,613,500,161,28,0,2479,Temora (A)
17400,4,4,14,17,7,12,11,0,0,73,6,9,8,16,23,22,13,7,0,107,110,114,269,410,513,636,254,57,5,2370,Tenterfield (A)
22620,88,227,425,317,366,297,80,12,0,1820,106,191,288,349,348,306,88,30,3,1716,3015,5143,10013,9707,10384,8097,1703,221,41,48320,Greater Bendigo (C)
17100,13,60,159,124,128,66,16,0,0,565,25,184,378,222,174,128,31,10,6,1147,614,2222,6563,3803,3364,2216,568,85,17,19447,Strathfield (A)
17150,228,509,979,937,925,649,200,29,7,4452,197,431,885,1048,988,719,249,46,20,4574,6125,10230,21787,25165,25092,18120,4469,449,63,111497,Sutherland Shire (A)
17200,69,308,1318,761,471,319,82,11,0,3332,93,654,2355,1123,718,369,167,32,6,5513,2128,13158,51285,26930,16281,9715,2914,374,56,122838,Sydney (C)
22310,58,198,529,441,552,330,122,15,0,2253,82,228,685,624,646,415,168,33,24,2901,2280,5590,16774,16047,15002,9848,2926,335,64,68866,Glen Eira (C)
22410,16,27,49,59,70,48,19,0,0,285,23,37,41,52,84,83,31,20,3,375,523,557,1106,1536,2103,1739,478,107,14,8159,Glenelg (S)
22490,18,31,75,101,73,81,17,0,0,391,40,34,53,107,113,75,23,4,0,460,573,711,1622,2414,2529,1722,411,55,14,10052,Golden Plains (S)
22670,64,301,818,651,476,318,92,4,0,2724,107,572,1457,1148,1015,611,131,27,6,5085,2063,6623,17766,13458,11171,7420,1576,109,17,60208,Greater Dandenong (C)
22750,149,459,861,749,751,568,146,18,3,3699,227,436,763,773,830,645,196,48,22,3940,5895,10475,21689,21899,22216,16371,3471,371,67,102456,Greater Geelong (C)
25430,8,31,40,50,68,51,14,3,0,255,24,15,38,62,71,72,31,11,0,328,384,458,911,1398,1963,1771,464,82,17,7450,Mount Alexander (S)
25490,6,29,39,50,57,25,13,0,0,215,25,25,42,48,66,63,29,18,0,311,396,507,1205,1518,1808,1567,470,124,15,7611,Moyne (S)
25620,19,16,42,38,50,47,7,0,0,223,7,19,36,53,94,58,26,10,3,312,280,358,794,1146,1459,1286,413,80,24,5848,Murrindindi (S)
25710,40,139,194,233,334,238,58,5,0,1240,71,93,182,216,340,233,85,11,0,1242,1962,3015,4473,6631,8304,6082,1466,125,11,32065,Nillumbik (S)
