lga_code16,nfans_75ov_ewft,nfans_75ov_ewpt,nfans_75ov_eafw,nfans_75ov_ehw_ns,nfans_75ov_tot,nfans_tot_ewft,nfans_tot_ewpt,nfans_tot_eafw,nfans_tot_ehw_ns,nfans_tot_tot,tot_15_19_ewft,tot_15_19_ewpt,tot_15_19_eafw,tot_15_19_ehw_ns,tot_15_19_tot,tot_20_24_ewft,tot_20_24_ewpt,tot_20_24_eafw,tot_20_24_ehw_ns,tot_20_24_tot,tot_25_29_ewft,tot_25_29_ewpt,tot_25_29_eafw,tot_25_29_ehw_ns,tot_25_29_tot,tot_30_34_ewft,tot_30_34_ewpt,tot_30_34_eafw,tot_30_34_ehw_ns,tot_30_34_tot,tot_35_39_ewft,tot_35_39_ewpt,tot_35_39_eafw,tot_35_39_ehw_ns,tot_35_39_tot,tot_40_44_ewft,tot_40_44_ewpt,tot_40_44_eafw,tot_40_44_ehw_ns,tot_40_44_tot,tot_45_49_ewft,tot_45_49_ewpt,tot_45_49_eafw,tot_45_49_ehw_ns,tot_45_49_tot,tot_50_54_ewft,tot_50_54_ewpt,tot_50_54_eafw,tot_50_54_ehw_ns,tot_50_54_tot,tot_55_59_ewft,tot_55_59_ewpt,tot_55_59_eafw,tot_55_59_ehw_ns,tot_55_59_tot,tot_60_64_ewft,tot_60_64_ewpt,tot_60_64_eafw,tot_60_64_ehw_ns,tot_60_64_tot,tot_65_69_ewft,tot_65_69_ewpt,tot_65_69_eafw,tot_65_69_ehw_ns,tot_65_69_tot,tot_70_74_ewft,tot_70_74_ewpt,tot_70_74_eafw,tot_70_74_ehw_ns,tot_70_74_tot,tot_75ov_ewft,tot_75ov_ewpt,tot_75ov_eafw,tot_75ov_ehw_ns,tot_75ov_tot,tot_tot_ewft,tot_tot_ewpt,tot_tot_eafw,tot_tot_ehw_ns,tot_tot_tot,lga_name16
52590,0,0,0,0,0,10,8,0,3,28,28,30,0,3,61,55,28,6,3,88,82,28,6,0,123,78,35,11,3,124,83,39,5,3,135,95,33,5,3,138,111,45,4,3,161,125,48,4,3,182,99,43,13,0,154,58,55,6,0,118,38,35,0,0,71,19,24,3,0,39,14,8,0,0,24,890,445,62,27,1430,Dandaragan (S)
52660,0,0,0,0,3,8,14,0,5,32,55,277,7,7,348,127,104,15,3,248,175,113,11,3,305,175,111,18,5,314,162,150,12,3,328,216,121,6,5,345,230,151,11,8,398,215,126,17,9,373,205,107,16,6,335,109,87,21,0,224,45,61,3,0,117,6,20,3,0,31,6,30,0,0,44,1731,1457,152,61,3403,Dardanup (S)
52100,0,0,0,0,0,12,4,3,0,14,11,10,0,0,16,27,5,0,0,32,39,5,0,0,48,27,14,7,4,53,32,17,0,0,45,29,18,0,0,48,45,15,0,0,63,34,13,0,0,49,44,19,3,0,70,36,9,9,0,59,15,14,3,0,40,3,3,0,0,9,0,4,0,3,8,347,144,23,12,528,Corrigin (S)
52170,0,0,0,0,0,4,15,0,0,27,16,141,3,3,166,129,197,13,7,343,171,135,15,6,329,166,129,8,7,315,129,107,0,6,244,113,88,4,3,206,164,119,10,0,292,118,89,6,3,213,128,75,6,3,214,83,95,3,0,186,36,54,4,3,99,11,37,0,0,58,13,24,0,0,33,1278,1290,77,38,2679,Cottesloe (T)
52240,0,0,0,0,0,7,0,3,0,9,15,3,0,0,15,15,4,0,0,23,28,16,0,0,46,35,6,0,0,42,31,11,3,4,51,34,15,0,0,50,43,10,0,3,55,36,16,3,0,51,43,14,3,0,57,28,15,3,0,39,25,12,3,3,38,6,6,0,0,20,3,4,0,4,17,342,125,20,17,504,Cranbrook (S)
52310,0,0,0,0,0,6,3,3,0,6,3,0,0,0,3,8,0,0,0,8,9,4,0,0,13,18,3,0,0,21,15,0,0,0,15,18,4,0,0,25,14,3,0,0,19,11,3,3,0,24,12,9,3,0,24,13,3,0,3,18,11,3,0,0,12,3,4,0,0,10,3,5,0,0,4,140,38,12,5,194,Cuballing (S)
52380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,8,11,3,0,0,12,11,0,0,0,11,6,5,0,0,12,9,4,0,0,12,15,0,0,0,21,10,4,0,0,16,12,3,0,0,13,10,3,0,0,13,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,87,24,4,4,121,Cue (S)
52940,0,0,0,0,0,4,0,0,0,3,4,4,0,0,9,11,6,0,0,15,9,6,0,0,12,21,16,0,0,34,27,7,0,0,32,16,6,0,0,27,25,3,0,0,35,21,7,0,3,29,18,4,0,0,20,20,9,0,0,33,10,3,0,0,18,4,4,0,0,8,0,3,0,0,7,193,81,5,11,289,Dowerin (S)
53010,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,14,7,0,0,19,22,7,0,0,29,25,15,0,0,37,14,9,0,0,26,25,7,0,0,31,22,11,0,0,29,25,9,3,0,34,37,9,0,5,44,18,5,0,0,26,13,10,3,0,26,9,0,0,0,5,3,0,0,0,5,217,74,10,8,309,Dumbleyung (S)
53080,0,0,0,0,0,7,0,0,0,5,5,3,0,3,16,31,3,0,3,35,54,11,3,3,69,57,4,0,3,64,49,5,5,3,66,40,0,5,4,45,55,3,0,0,66,43,12,7,3,64,44,12,3,0,60,31,7,0,0,38,7,0,0,0,12,6,3,0,0,4,0,0,0,0,5,424,64,26,21,537,Dundas (S)
