lga_code_2016,intct_fam_no_otr_chld_pre_fam,step_fam_no_otr_chld_pre_fam,blnd_fam_no_otr_chld_pre_fam,intct_fam_othr_child_pres_fam,step_fam_othr_child_pres_fam,blnd_fam_othr_child_pres_fam,otr_cpl_fam_otr_chld_only_fam,tot_families,lga_name_2016
10050,4485,363,223,43,4,3,29,5160,Albury (C)
10130,2343,172,107,30,4,7,27,2680,Armidale Regional (A)
10250,3579,275,161,36,5,3,31,4083,Ballina (A)
10300,210,9,11,0,0,0,4,236,Balranald (A)
10470,3662,322,239,36,5,8,31,4308,Bathurst Regional (A)
10550,2409,249,155,35,6,5,41,2892,Bega Valley (A)
10600,992,98,62,12,3,0,4,1171,Bellingen (A)
10650,630,40,36,6,0,0,10,722,Berrigan (A)
10750,43800,2408,1615,974,81,43,198,49127,Blacktown (C)
10800,491,27,27,3,0,0,6,558,Bland (A)
10850,685,66,36,13,0,0,9,805,Blayney (A)
10900,7947,688,377,77,11,0,49,9148,Blue Mountains (C)
10950,220,19,19,0,0,0,3,269,Bogan (A)
11100,5137,257,157,77,0,4,24,5657,Botany Bay (C)
11150,188,12,6,9,0,0,7,216,Bourke (A)
11200,84,4,3,4,0,0,11,114,Brewarrina (A)
11250,1211,122,108,12,8,0,14,1484,Broken Hill (C)
13910,1531,121,102,18,0,0,11,1786,Hilltops (A)
14000,20712,880,392,207,16,3,40,22244,Hornsby (A)
14100,1730,73,26,7,0,0,0,1838,Hunters Hill (A)
14170,17492,931,301,157,11,3,50,18951,Inner West (A)
14200,1286,129,91,25,0,3,11,1553,Inverell (A)
14300,460,36,26,9,0,0,12,543,Junee (A)
14350,1896,175,137,40,8,6,29,2293,Kempsey (A)
14400,2221,160,102,24,4,0,11,2524,Kiama (A)
14500,17613,653,261,147,4,9,24,18710,Ku-ring-gai (A)
14550,595,59,33,15,0,0,5,713,Kyogle (A)
14600,520,21,22,15,0,3,7,593,Lachlan (A)
14650,19722,1834,1038,268,44,25,169,23096,Lake Macquarie (C)
14700,4441,184,62,22,0,0,6,4722,Lane Cove (A)
14750,973,56,68,10,5,3,13,1133,Leeton (A)
14850,3444,315,190,43,8,4,32,4034,Lismore (C)
14870,1621,136,117,23,0,5,31,1936,Lithgow (C)
14900,26723,1213,898,473,34,37,106,29481,Liverpool (C)
14920,616,47,35,8,0,0,6,716,Liverpool Plains (A)
14950,277,17,17,6,0,0,4,323,Lockhart (A)
15050,8064,729,542,100,18,9,69,9533,Maitland (C)
15240,6093,613,389,111,13,16,128,7357,Mid-Coast (A)
15270,2109,171,129,27,0,0,38,2485,Mid-Western Regional (A)
15300,1043,74,50,22,3,4,25,1219,Moree Plains (A)
15350,3309,143,46,10,0,0,4,3511,Mosman (A)
15520,989,64,40,8,0,0,11,1119,Murray River (A)
15560,347,27,27,3,0,0,3,401,Murrumbidgee (A)
15650,1473,121,108,13,3,0,19,1741,Muswellbrook (A)
15700,1279,123,94,28,3,4,9,1541,Nambucca (A)
15750,1174,49,63,12,0,4,19,1316,Narrabri (A)
15800,487,30,25,6,3,0,5,559,Narrandera (A)
15850,527,29,27,3,0,0,10,605,Narromine (A)
15900,14094,1090,607,137,22,4,81,16046,Newcastle (C)
15950,5460,338,100,18,5,0,9,5927,North Sydney (A)
15990,31939,1744,765,234,26,9,77,34793,Northern Beaches (A)
16100,433,37,28,3,0,0,5,505,Oberon (A)
16150,3686,299,218,35,6,7,31,4283,Orange (C)
16200,1250,80,88,19,3,0,17,1460,Parkes (A)
16260,29071,1120,445,359,24,10,73,31093,Parramatta (C)
16350,21812,1781,1223,352,56,33,153,25421,Penrith (C)
11300,3734,150,60,60,3,3,11,4024,Burwood (A)
11350,2532,185,104,24,0,0,22,2862,Byron (A)
11400,1385,97,83,11,0,0,14,1593,Cabonne (A)
11450,10231,773,551,117,17,16,51,11745,Camden (A)
11500,17600,1252,909,424,48,25,137,20390,Campbelltown (C) (NSW)
11520,10062,443,141,58,4,0,30,10740,Canada Bay (A)
11570,42382,1855,1086,777,62,24,148,46332,Canterbury-Bankstown (A)
11600,263,12,7,3,0,0,3,281,Carrathool (A)
11650,30757,2925,1875,389,66,36,263,36311,Central Coast (C) (NSW)
11700,118,14,4,0,0,0,4,141,Central Darling (A)
11720,4790,506,366,98,18,13,79,5869,Cessnock (C)
11730,3595,325,272,87,9,5,46,4348,Clarence Valley (A)
11750,379,33,42,4,0,0,3,460,Cobar (A)
11800,6050,575,343,103,8,6,57,7141,Coffs Harbour (C)
12000,387,31,21,3,0,0,11,449,Coolamon (A)
12150,243,15,15,7,0,3,9,291,Coonamble (A)
12350,987,92,52,18,3,0,16,1163,Cowra (A)
12380,26695,1027,577,492,33,27,86,28943,Cumberland (A)
12700,864,52,59,18,5,0,13,1007,Dungog (A)
12730,694,50,34,9,0,0,7,797,Edward River (A)
12750,2330,257,147,34,8,3,26,2807,Eurobodalla (A)
12850,23732,1119,656,622,52,26,113,26313,Fairfield (C)
12870,941,75,75,6,3,0,11,1110,Federation (A)
12900,795,40,41,6,5,0,13,896,Forbes (A)
12930,18050,791,373,298,19,9,52,19592,Georges River (A)
12950,303,28,16,11,0,0,5,369,Gilgandra (A)
13010,610,50,36,9,0,0,8,716,Glen Innes Severn (A)
13310,2487,243,176,28,9,3,25,2972,Goulburn Mulwaree (A)
13340,1000,58,55,17,5,0,12,1153,Greater Hume Shire (A)
13450,2649,146,91,35,0,3,33,2957,Griffith (C)
13510,879,61,54,15,5,3,15,1030,Gundagai (A)
13550,1129,90,59,15,0,0,12,1308,Gunnedah (A)
13660,406,29,23,5,0,0,3,470,Gwydir (A)
13800,7133,629,444,116,15,4,52,8393,Hawkesbury (C)
13850,236,17,7,3,0,0,9,273,Hay (A)
16380,6084,587,361,87,13,4,50,7192,Port Macquarie-Hastings (A)
16400,6102,581,379,98,12,3,68,7243,Port Stephens (A)
16490,6164,502,329,63,3,4,40,7107,Queanbeyan-Palerang Regional (A)
16550,13514,634,276,107,9,4,42,14593,Randwick (C)
16610,1736,193,129,38,7,0,37,2141,Richmond Valley (A)
16650,11935,551,250,171,7,5,28,12949,Rockdale (C)
16700,14028,535,220,147,12,4,38,14982,Ryde (C)
16900,7192,673,446,121,25,4,76,8532,Shellharbour (C)
16950,7387,788,475,127,18,13,127,8936,Shoalhaven (C)
17000,2456,216,133,24,3,0,18,2854,Singleton (A)
17040,1725,132,96,11,0,0,10,1970,Snowy Monaro Regional (A)
17080,1179,98,74,13,3,0,13,1378,Snowy Valleys (A)
17420,24311,1115,614,289,29,15,34,26403,The Hills Shire (A)
17550,7514,661,402,83,11,4,71,8751,Tweed (A)
17620,1292,96,67,21,0,0,10,1492,Upper Hunter Shire (A)
17640,698,45,36,8,0,0,8,791,Upper Lachlan Shire (A)
17650,549,36,32,4,0,0,10,631,Uralla (A)
17750,5796,410,329,53,11,8,37,6648,Wagga Wagga (C)
17850,282,13,9,3,0,0,0,312,Walcha (A)
17900,350,23,11,13,8,0,17,420,Walgett (A)
17950,221,12,13,3,0,0,0,250,Warren (A)
18020,681,41,36,10,0,0,9,774,Warrumbungle Shire (A)
18050,6289,315,112,32,0,0,5,6754,Waverley (A)
18100,282,13,20,0,0,0,0,320,Weddin (A)
18200,578,49,28,7,0,0,9,676,Wentworth (A)
18230,4347,325,257,73,11,8,54,5075,Western Plains Regional (A)
18250,9686,353,138,80,3,0,29,10290,Willoughby (C)
18350,4325,358,221,40,0,8,29,4984,Wingecarribee (A)
18400,6006,440,360,100,9,3,49,6960,Wollondilly (A)
18450,20984,1469,888,198,27,12,121,23697,Wollongong (C)
