LGA_MAIN11,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total,LGA_NAME11
10550,74,102,134,73,18,0,427,5,46,79,134,165,68,21,0,518,33,256,460,583,642,352,109,39,2474,48,135,292,442,553,295,137,41,1943,23,53,72,116,122,83,29,8,506,347,674,906,1203,1013,598,237,63,5041,76,62,77,85,71,29,10,3,413,446,789,1055,1404,1206,710,276,74,5960,13,24,43,97,109,77,39,18,420,294,172,235,338,468,424,430,256,2617,839,1448,2238,3100,3277,1999,1030,428,14359,Bega Valley (A)
10600,46,66,64,38,7,4,237,0,11,37,58,82,20,6,0,214,17,115,284,283,260,113,43,12,1127,26,58,147,220,193,123,51,14,832,10,18,29,51,42,18,7,3,178,125,214,342,530,380,201,103,32,1927,22,22,27,39,21,5,0,0,136,157,254,398,620,443,224,110,35,2241,6,15,22,36,31,36,20,6,172,101,46,75,127,129,132,123,61,794,307,511,1009,1410,1202,686,360,132,5617,Bellingen (A)
10650,8,9,4,4,3,3,37,0,3,17,14,19,0,3,0,56,26,111,74,78,84,45,12,4,434,12,53,75,75,94,61,18,11,399,10,10,15,16,24,4,0,3,82,93,189,219,256,211,137,75,15,1195,22,16,19,11,12,0,6,0,86,125,215,253,283,247,141,81,18,1363,3,3,11,25,17,15,9,3,86,88,38,69,99,95,160,164,93,806,254,429,507,583,560,426,290,132,3181,Berrigan (A)
10750,2303,1499,801,228,41,9,7969,60,612,677,475,256,61,16,3,2160,2202,9297,7794,5416,3289,953,255,54,29260,1862,4816,4753,3350,1949,696,235,61,17722,372,708,920,768,600,236,70,14,3688,3810,7626,7510,6344,4166,1902,805,149,32312,674,851,722,525,299,80,23,6,3180,4856,9185,9152,7637,5065,2218,898,169,39180,390,872,1012,1013,876,375,175,55,4768,3659,3068,3019,2775,2593,2068,1549,628,19359,13211,30756,28710,22165,14829,6599,3169,979,120418,Blacktown (C)
10800,3,7,8,0,0,0,21,0,10,3,9,5,0,4,0,31,11,85,86,45,37,21,4,0,289,5,29,58,53,42,25,12,0,224,3,8,17,31,12,5,3,0,79,92,170,153,157,133,67,31,0,803,12,21,18,13,10,5,0,0,79,107,199,188,201,155,77,34,0,961,0,5,11,13,19,8,5,5,66,49,41,55,59,48,67,77,28,424,172,372,404,387,314,198,136,33,2016,Bland (A)
10850,14,16,20,10,3,0,66,0,10,11,6,18,6,0,0,51,10,89,116,89,90,34,17,0,445,12,53,90,101,73,48,17,3,397,8,13,20,18,19,9,3,3,93,110,204,224,221,159,85,33,6,1042,24,15,22,20,11,7,3,0,102,142,232,266,259,189,101,39,9,1237,7,8,10,15,14,15,4,0,73,81,22,69,81,87,87,88,16,531,252,417,576,567,491,301,168,28,2800,Blayney (A)
10050,168,198,123,46,11,3,756,9,106,179,186,163,50,6,0,699,274,1147,976,765,569,223,76,22,4052,193,517,568,624,504,245,103,17,2771,57,90,116,131,117,52,24,10,597,994,1516,1423,1401,1007,513,289,45,7188,208,164,116,108,91,15,6,3,711,1259,1770,1655,1640,1215,580,319,58,8496,40,51,71,105,105,75,26,13,486,522,374,451,499,496,526,571,379,3818,2305,4164,4068,4017,3175,1745,1112,492,21078,Albury (C)
10110,253,339,286,174,49,19,1274,11,64,96,124,114,34,7,5,455,210,630,530,531,445,199,81,45,2671,118,156,246,319,245,163,72,16,1335,49,34,62,74,69,45,26,8,367,402,515,460,584,407,190,91,19,2668,115,59,43,47,35,10,7,0,316,566,608,565,705,511,245,124,27,3351,26,16,25,56,49,43,18,15,248,395,236,245,255,227,243,213,119,1933,1331,1859,1960,2329,1877,1101,564,246,11267,Armidale Dumaresq (A)
10350,932,674,356,102,21,6,3362,42,262,241,219,179,51,20,6,1020,1577,4897,3597,2408,1395,483,173,55,14585,1268,2767,2624,2099,1249,443,228,58,10736,190,331,504,524,415,158,89,37,2248,2016,3649,3693,3447,2472,1579,1019,322,18197,283,404,378,322,149,49,12,8,1605,2489,4384,4575,4293,3036,1786,1120,367,22050,246,470,553,617,479,343,223,73,3004,2459,2066,2113,2041,1805,1535,1593,1072,14684,8203,15995,14635,12351,8499,4743,3378,1637,69441,Bankstown (C)
10470,144,185,176,80,27,3,688,3,54,103,136,122,40,7,0,465,209,756,741,607,492,220,86,20,3131,113,266,428,501,410,240,105,35,2098,65,68,122,137,142,62,26,13,635,718,1251,1187,1117,784,390,177,44,5668,144,113,99,86,56,21,3,3,525,927,1432,1408,1340,982,473,206,60,6828,30,32,67,105,95,63,40,15,447,657,541,496,432,432,396,380,170,3504,1945,3148,3387,3306,2709,1512,851,303,17161,Bathurst Regional (A)
