lga_code_2006_,lga_name_2006_,ier_score,ranking_within_australia_rank_,ranking_within_australia_decile_,ranking_within_australia_percentile_,ranking_within_state_or_territory_state_,ranking_within_state_or_territory_rank_,ranking_within_state_or_territory_decile_,ranking_within_state_or_territory_percentile_,minimum_score_for_cds_in_area_percentile_,maximum_score_for_cds_in_area_percentile_,urp,per100_urp_without_a_cd_level_score_percentile_
10050,Albury (C),971,292,5,44,NSW,63,5,41,721,1194,46282,0
10110,Armidale Dumaresq (A),957,203,4,31,NSW,41,3,27,742,1137,23367,0
10150,Ashfield (A),994,418,7,63,NSW,99,7,65,852,1149,39669,0
10200,Auburn (A),951,173,3,26,NSW,31,3,21,783,1131,64961,3
10250,Ballina (A),985,371,6,56,NSW,88,6,58,753,1126,38461,0
10300,Balranald (A),968,274,5,42,NSW,59,4,39,916,1168,2441,0
10350,Bankstown (C),971,289,5,44,NSW,62,5,41,582,1152,170488,0
10470,Bathurst Regional (A),998,440,7,66,NSW,104,7,68,727,1163,35844,4
10500,Baulkham Hills (A),1160,665,10,100,NSW,152,10,99,964,1248,159391,0
10550,Bega Valley (A),968,275,5,42,NSW,60,4,39,772,1071,31060,0
10600,Bellingen (A),944,147,3,23,NSW,19,2,13,834,1033,12417,0
10650,Berrigan (A),982,359,6,54,NSW,84,6,55,899,1093,7994,0
10750,Blacktown (C),991,402,7,61,NSW,95,7,62,619,1259,271710,0
10800,Bland (A),995,419,7,63,NSW,100,7,65,900,1159,6101,0
10850,Blayney (A),985,367,6,55,NSW,86,6,56,861,1106,6593,0
10900,Blue Mountains (C),1033,569,9,86,NSW,122,8,80,790,1175,74067,0
10950,Bogan (A),958,206,4,31,NSW,43,3,28,769,1115,2881,0
11000,Bombala (A),964,241,4,37,NSW,50,4,33,894,1076,2540,0
11050,Boorowa (A),988,385,6,58,NSW,92,6,60,935,1108,2294,0
11100,Botany Bay (C),977,336,6,51,NSW,77,6,51,603,1112,35991,0
11150,Bourke (A),915,101,2,16,NSW,7,1,5,776,1112,3097,0
11200,Brewarrina (A),805,62,1,10,NSW,1,1,1,689,1076,1945,4
11250,Broken Hill (C),912,94,2,15,NSW,6,1,4,802,1067,19363,2
12500,Deniliquin (A),944,148,3,23,NSW,20,2,13,898,1038,7433,0
12600,Dubbo (C),988,386,6,58,NSW,93,7,61,710,1177,37845,2
12700,Dungog (A),1014,511,8,77,NSW,117,8,76,795,1101,8060,0
12750,Eurobodalla (A),957,204,4,31,NSW,42,3,28,730,1080,35010,0
12850,Fairfield (C),951,169,3,26,NSW,30,2,20,657,1187,179893,0
12900,Forbes (A),952,175,3,27,NSW,33,3,22,809,1112,9362,0
12950,Gilgandra (A),954,189,3,29,NSW,37,3,25,822,1113,4521,0
13010,Glen Innes Severn (A),932,120,2,18,NSW,11,1,8,782,1098,8779,2
13050,Gloucester (A),973,307,5,46,NSW,67,5,44,891,1052,4801,0
13100,Gosford (C),1008,484,8,73,NSW,114,8,75,725,1179,158157,1
13310,Goulburn Mulwaree (A),967,265,4,40,NSW,57,4,38,750,1138,26087,3
13350,Greater Taree (C),948,160,3,24,NSW,26,2,17,634,1062,45145,2
13370,Greater Hume Shire (A),1003,465,7,70,NSW,110,8,72,898,1106,9729,0
13400,Great Lakes (A),961,231,4,35,NSW,48,4,32,725,1071,32763,0
13450,Griffith (C),997,432,7,65,NSW,102,7,67,774,1105,23800,0
13500,Gundagai (A),971,288,5,44,NSW,61,4,40,916,1047,3695,0
13550,Gunnedah (A),942,145,3,22,NSW,18,2,12,796,1110,11526,0
13650,Guyra (A),949,162,3,25,NSW,27,2,18,844,1081,4229,0
13660,Gwydir (A),973,302,5,46,NSW,65,5,43,851,1097,5311,0
13700,Harden (A),974,309,5,47,NSW,68,5,45,863,1103,3583,0
13750,Hastings (A),973,303,5,46,NSW,66,5,43,734,1118,68431,0
13800,Hawkesbury (C),1048,603,10,91,NSW,131,9,86,829,1231,60560,0
13850,Hay (A),947,155,3,24,NSW,23,2,15,911,1059,3382,0
13950,Holroyd (C),972,299,5,45,NSW,64,5,42,744,1130,89766,0
14000,Hornsby (A),1114,658,10,99,NSW,148,10,97,835,1232,151325,0
14100,Hunter's Hill (A),1113,657,10,99,NSW,147,10,96,785,1239,13242,0
14150,Hurstville (C),1018,523,8,79,NSW,119,8,78,751,1182,73725,0
14200,Inverell (A),942,144,3,22,NSW,17,2,12,799,1069,15507,1
14250,Jerilderie (A),1004,469,8,71,NSW,111,8,73,898,1090,1643,0
