lga_code16,p_pg_deg_35_44_yr,p_pg_deg_45_54_yr,p_pg_deg_55_64_yr,p_pg_deg_65_74_yr,p_pg_deg_75_84_yr,p_pg_deg_85_yr_over,p_pguate_deg_tot,p_grad_dip_cer_15_24,p_grad_dip_cer_25_34,p_grad_dip_cer_35_44,p_grad_dip_cer_45_54,p_grad_dip_cer_55_64,p_grad_dip_cer_65_74,p_grad_dip_cer_75_84,p_grad_dip_cer_85_over,p_grad_dip_cer_tot,p_b_deg_15_24_yr,p_b_deg_25_34_yr,p_b_deg_35_44_yr,p_b_deg_45_54_yr,p_b_deg_55_64_yr,p_b_deg_65_74_yr,p_b_deg_75_84_yr,p_b_deg_85_yr_over,p_b_deg_tot,p_adv_dip_dip_15_24,p_adv_dip_dip_25_34,p_adv_dip_dip_35_44,p_adv_dip_dip_45_54,p_adv_dip_dip_55_64,p_adv_dip_dip_65_74,p_adv_dip_dip_75_84,p_adv_dip_dip_85_over,p_adv_dip_dip_total,p_cer_iii_iv_15_24_yr,p_cer_iii_iv_25_34_yr,p_cer_iii_iv_35_44_yr,p_cer_iii_iv_45_54_yr,p_cer_iii_iv_55_64_yr,p_cer_iii_iv_65_74_yr,p_cer_iii_iv_75_84_yr,p_cer_iii_iv_85_yr,p_cer_iii_iv_tot,p_cer_i_ii_15_24_yr,p_cer_i_ii_25_34_yr,p_cer_i_ii_35_44_yr,p_cer_i_ii_45_54_yr,p_cer_i_ii_55_64_yr,p_cer_i_ii_65_74_yr,p_cer_i_ii_75_84_yr,p_cer_i_ii_85_yr_over,p_cer_i_ii_tot,p_cer_nfd_15_24_yr,p_cer_nfd_25_34_yr,p_cer_nfd_35_44_yr,p_cer_nfd_45_54_yr,p_cer_nfd_55_64_yr,p_cer_nfd_65_74_yr,p_cer_nfd_75_84_yr,p_cer_nfd_85_yr_over,p_cer_nfd_tot,p_cer_tot_15_24_yr,p_cer_tot_25_34_yr,p_cer_tot_35_44_yr,p_cer_tot_45_54_yr,p_cer_tot_55_64_yr,p_cer_tot_65_74_yr,p_cer_tot_75_84_yr,p_cer_tot_85_yr_over,p_cer_tot_tot,p_lvl_educ_inad_desc_15_24,p_lvl_educ_inad_desc_25_34,p_lvl_educ_inad_desc_35_44,p_lvl_educ_inad_desc_45_54,p_lvl_educ_inad_desc_55_64,p_lvl_educ_inad_desc_65_74,p_lvl_educ_inad_desc_75_84,p_lvl_educ_inad_desc_85,p_lvl_educ_inad_desc_tot,p_lvl_educ_ns_15_24,p_lvl_educ_ns_25_34,p_lvl_educ_ns_35_44,p_lvl_educ_ns_45_54,p_lvl_educ_ns_55_64,p_lvl_educ_ns_65_74,p_lvl_educ_ns_75_84,p_lvl_educ_ns_85,p_lvl_educ_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
12850,545,341,284,123,26,3,2621,69,232,153,123,132,51,13,0,779,2231,5158,2982,1928,1505,762,206,32,14816,1380,2974,2604,2223,1468,616,205,54,11516,1894,3585,3320,3375,2697,1565,669,175,17282,310,355,370,335,225,95,22,3,1710,204,414,598,681,526,269,96,26,2820,2414,4352,4288,4386,3452,1928,783,202,21809,104,281,248,287,258,144,67,10,1398,1796,1794,1637,1820,1750,1404,1051,599,11838,8157,15938,12446,11113,8844,5032,2346,898,64775,Fairfield (C)
12870,17,20,28,12,3,0,106,0,15,14,23,35,16,3,0,102,31,139,142,114,122,74,34,3,660,28,105,117,130,137,102,65,7,688,177,326,346,367,372,303,114,30,2046,22,31,32,20,21,14,0,0,143,24,21,25,48,48,37,17,3,223,227,374,394,441,446,351,138,32,2404,0,4,7,12,10,15,10,3,65,148,84,110,164,215,262,224,142,1343,443,740,809,892,1001,835,476,193,5381,Federation (A)
12900,22,14,22,7,0,0,86,4,15,20,16,11,9,3,0,78,31,177,130,95,88,46,23,5,600,14,69,98,109,117,68,31,13,514,144,279,266,266,216,146,60,11,1392,16,28,21,23,28,15,3,0,127,11,22,22,37,35,33,4,0,179,178,328,314,325,276,194,70,15,1694,4,4,3,5,19,4,5,0,49,134,106,103,171,175,203,163,48,1120,366,716,684,742,712,538,307,85,4140,Forbes (A)
12930,2647,1580,890,385,122,33,9906,44,423,435,417,355,175,39,8,1900,2506,8228,5362,3985,2832,1314,544,145,24916,936,2559,2412,2565,1834,925,409,145,11781,1068,2131,2184,2468,1948,1327,794,367,12298,123,144,178,204,143,106,15,12,916,143,254,422,586,572,420,199,74,2669,1339,2524,2792,3259,2662,1853,1011,453,15887,117,283,213,242,250,202,109,43,1452,1043,1366,998,1026,984,956,867,702,7931,6263,19354,14853,13067,9801,5811,3104,1524,73772,Georges River (A)
12950,5,6,12,4,0,0,39,0,3,7,5,0,3,0,0,21,14,68,52,37,43,24,8,0,243,10,24,30,54,46,29,12,0,195,55,118,113,129,109,66,20,17,629,11,12,9,8,6,6,0,0,53,4,8,12,15,18,12,3,0,70,67,133,140,152,134,76,28,13,747,5,3,0,0,5,9,0,0,22,43,41,41,52,82,74,85,33,443,137,285,266,305,319,218,133,51,1714,Gilgandra (A)
13010,23,13,8,9,13,3,84,0,9,17,12,19,16,3,0,72,17,68,112,109,105,85,23,8,523,22,55,99,102,126,74,36,0,512,119,200,172,244,248,168,61,16,1236,24,24,17,10,19,15,4,0,124,16,23,26,31,43,25,12,6,182,168,247,217,287,313,207,78,25,1544,3,6,3,4,12,15,8,7,55,99,154,159,144,176,207,149,99,1190,305,548,635,673,760,612,302,134,3973,Glen Innes Severn (A)
13310,108,106,118,77,22,7,525,8,46,63,68,120,30,11,3,348,82,466,405,358,360,232,85,28,2015,104,400,429,443,423,261,103,24,2200,499,1010,909,975,761,530,221,63,4954,88,67,52,65,42,21,0,6,336,49,57,88,111,124,96,34,19,566,629,1128,1043,1153,925,649,255,84,5858,10,19,6,16,36,36,20,10,161,396,459,449,456,394,471,398,270,3299,1235,2607,2511,2602,2376,1759,897,419,14396,Goulburn Mulwaree (A)
13340,33,28,26,23,6,0,122,0,13,26,22,24,12,0,0,91,27,122,174,154,128,73,25,0,711,20,91,123,167,176,89,24,7,699,137,287,283,359,337,192,54,9,1660,18,17,21,15,25,10,0,0,119,15,16,27,53,30,45,11,0,203,170,317,339,423,402,249,72,16,1983,3,3,6,3,21,5,3,0,54,100,75,77,102,157,153,113,80,858,319,629,771,909,922,597,252,107,4514,Greater Hume Shire (A)
13450,76,73,36,20,3,5,296,11,38,56,46,41,7,6,0,213,95,521,402,293,222,71,32,11,1638,68,312,243,289,187,87,30,12,1219,450,851,722,677,545,239,91,29,3615,38,45,57,51,32,16,3,3,247,40,65,53,94,84,41,12,9,399,532,963,832,821,666,295,108,38,4256,18,29,22,27,28,17,11,3,158,367,414,345,380,430,347,311,238,2825,1094,2363,1967,1927,1615,841,499,306,10614,Griffith (C)
13510,11,13,31,20,9,0,100,0,12,19,22,29,14,0,0,95,23,121,147,106,122,75,38,12,646,27,80,106,135,135,110,44,6,640,160,264,288,364,313,169,91,22,1681,15,34,22,27,24,16,4,0,148,12,20,30,33,39,43,23,5,206,182,326,342,428,374,226,115,32,2031,5,3,3,3,13,16,12,3,57,104,84,108,123,183,214,179,73,1064,343,638,739,832,891,669,389,127,4632,Gundagai (A)
