lga_code16,p_pg_deg_35_44_yr,p_pg_deg_45_54_yr,p_pg_deg_55_64_yr,p_pg_deg_65_74_yr,p_pg_deg_75_84_yr,p_pg_deg_85_yr_over,p_pguate_deg_tot,p_grad_dip_cer_15_24,p_grad_dip_cer_25_34,p_grad_dip_cer_35_44,p_grad_dip_cer_45_54,p_grad_dip_cer_55_64,p_grad_dip_cer_65_74,p_grad_dip_cer_75_84,p_grad_dip_cer_85_over,p_grad_dip_cer_tot,p_b_deg_15_24_yr,p_b_deg_25_34_yr,p_b_deg_35_44_yr,p_b_deg_45_54_yr,p_b_deg_55_64_yr,p_b_deg_65_74_yr,p_b_deg_75_84_yr,p_b_deg_85_yr_over,p_b_deg_tot,p_adv_dip_dip_15_24,p_adv_dip_dip_25_34,p_adv_dip_dip_35_44,p_adv_dip_dip_45_54,p_adv_dip_dip_55_64,p_adv_dip_dip_65_74,p_adv_dip_dip_75_84,p_adv_dip_dip_85_over,p_adv_dip_dip_total,p_cer_iii_iv_15_24_yr,p_cer_iii_iv_25_34_yr,p_cer_iii_iv_35_44_yr,p_cer_iii_iv_45_54_yr,p_cer_iii_iv_55_64_yr,p_cer_iii_iv_65_74_yr,p_cer_iii_iv_75_84_yr,p_cer_iii_iv_85_yr,p_cer_iii_iv_tot,p_cer_i_ii_15_24_yr,p_cer_i_ii_25_34_yr,p_cer_i_ii_35_44_yr,p_cer_i_ii_45_54_yr,p_cer_i_ii_55_64_yr,p_cer_i_ii_65_74_yr,p_cer_i_ii_75_84_yr,p_cer_i_ii_85_yr_over,p_cer_i_ii_tot,p_cer_nfd_15_24_yr,p_cer_nfd_25_34_yr,p_cer_nfd_35_44_yr,p_cer_nfd_45_54_yr,p_cer_nfd_55_64_yr,p_cer_nfd_65_74_yr,p_cer_nfd_75_84_yr,p_cer_nfd_85_yr_over,p_cer_nfd_tot,p_cer_tot_15_24_yr,p_cer_tot_25_34_yr,p_cer_tot_35_44_yr,p_cer_tot_45_54_yr,p_cer_tot_55_64_yr,p_cer_tot_65_74_yr,p_cer_tot_75_84_yr,p_cer_tot_85_yr_over,p_cer_tot_tot,p_lvl_educ_inad_desc_15_24,p_lvl_educ_inad_desc_25_34,p_lvl_educ_inad_desc_35_44,p_lvl_educ_inad_desc_45_54,p_lvl_educ_inad_desc_55_64,p_lvl_educ_inad_desc_65_74,p_lvl_educ_inad_desc_75_84,p_lvl_educ_inad_desc_85,p_lvl_educ_inad_desc_tot,p_lvl_educ_ns_15_24,p_lvl_educ_ns_25_34,p_lvl_educ_ns_35_44,p_lvl_educ_ns_45_54,p_lvl_educ_ns_55_64,p_lvl_educ_ns_65_74,p_lvl_educ_ns_75_84,p_lvl_educ_ns_85,p_lvl_educ_ns_tot,p_tot_15_24_yr,p_tot_25_34_yr,p_tot_35_44_yr,p_tot_45_54_yr,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
18350,316,322,379,372,148,23,1713,8,71,109,178,239,174,52,6,845,136,688,988,999,1010,977,451,109,5357,130,378,623,774,775,799,380,119,3976,608,1179,1189,1398,1198,884,445,117,7021,72,63,65,96,83,70,24,3,473,45,72,128,194,258,310,158,45,1205,725,1317,1387,1687,1534,1263,628,164,8707,7,27,27,44,80,96,45,27,353,372,294,379,509,524,715,556,352,3699,1394,2911,3820,4512,4550,4392,2262,795,24643,Wingecarribee (A)
18400,222,195,169,79,12,10,922,13,85,90,108,111,40,8,0,462,213,789,863,616,516,260,68,16,3333,239,610,753,779,632,286,81,21,3396,952,1849,1978,1800,1372,728,307,53,9043,92,103,95,93,92,36,8,4,518,72,99,199,205,212,132,34,7,957,1121,2054,2265,2103,1678,892,356,63,10520,18,35,50,59,70,41,21,6,303,474,344,392,436,464,416,341,201,3075,2102,4133,4638,4299,3643,2009,881,316,22013,Wollondilly (A)
18450,2016,1604,1322,686,177,37,7984,74,634,681,590,703,284,87,18,3076,2188,6093,5113,3480,2797,1441,519,146,21771,1112,2709,3194,3231,2494,1389,500,160,14779,3187,5960,5558,5888,4671,2833,1547,506,30145,472,367,378,360,295,148,47,20,2090,273,370,632,816,873,637,290,105,4002,3934,6699,6568,7069,5838,3624,1877,631,36243,111,186,199,216,272,257,146,48,1439,1854,1675,1468,1714,1816,1920,1923,1100,13471,9400,20001,19244,17917,15245,9598,5225,2143,98771,Wollongong (C)
18500,1441,1237,899,716,248,65,5897,14,275,273,239,231,154,63,12,1264,849,4484,3127,2443,1860,1425,554,238,14985,127,683,720,714,615,563,267,127,3809,146,432,342,365,270,298,152,77,2083,15,34,41,27,31,28,10,0,188,29,95,108,131,156,159,65,54,809,190,565,493,528,456,488,230,127,3078,23,72,65,69,105,116,49,30,523,483,954,703,657,582,672,508,303,4858,1753,8249,6825,5880,4746,4134,1923,907,34417,Woollahra (A)
18710,164,180,147,86,25,8,672,6,28,91,107,87,48,12,0,379,66,320,469,442,318,231,62,10,1914,37,150,275,301,227,136,44,10,1185,193,386,443,498,338,180,84,21,2143,23,25,19,31,15,9,3,0,134,30,16,40,67,64,50,20,4,285,241,423,507,601,417,233,104,25,2555,6,3,12,14,11,17,7,3,59,175,93,168,168,199,163,145,129,1233,533,1064,1691,1806,1410,919,396,178,7996,Yass Valley (A)
19399,4,8,14,3,0,0,32,0,0,3,0,5,3,0,0,12,3,18,19,19,26,19,3,0,115,0,13,18,7,32,15,3,3,86,26,39,38,40,34,19,3,3,198,0,3,3,0,0,0,0,0,9,0,3,5,14,4,11,0,0,28,26,47,49,51,41,25,3,3,238,0,0,0,0,0,0,0,0,3,22,26,28,27,40,38,0,8,189,54,103,121,116,156,100,15,14,681,Unincorporated NSW
20110,68,68,65,40,5,5,280,3,23,62,68,88,41,3,0,284,47,223,307,229,261,155,45,8,1280,35,113,186,226,222,175,63,22,1048,158,299,385,429,419,244,108,33,2069,20,20,27,14,33,13,7,0,134,6,22,29,45,52,36,12,3,214,180,343,446,487,507,294,127,37,2418,8,4,11,16,17,17,18,6,90,143,148,226,249,244,237,157,82,1487,416,884,1305,1338,1398,962,412,166,6884,Alpine (S)
20260,21,20,20,16,3,0,100,0,20,21,39,38,32,4,0,161,45,165,146,131,163,71,21,9,746,26,92,123,162,153,132,34,9,741,102,271,282,341,309,174,87,20,1593,22,16,22,21,14,4,0,0,106,14,15,20,29,37,32,5,3,157,133,309,332,393,361,215,91,23,1855,6,16,5,12,11,12,3,3,69,162,295,332,266,258,213,169,70,1773,378,917,984,1023,1006,681,334,114,5443,Ararat (RC)
20570,632,593,498,257,82,10,2708,24,368,525,541,491,227,49,4,2232,798,2864,2540,1707,1328,822,293,87,10444,449,1231,1371,1440,1170,770,318,80,6823,1911,3367,2637,2530,2047,1212,552,177,14439,308,232,174,129,128,62,14,6,1045,113,201,227,229,210,150,77,27,1240,2338,3800,3039,2894,2387,1425,642,206,16720,27,57,67,75,84,82,47,23,475,1100,908,847,947,1006,1119,968,554,7442,4800,9793,9023,8198,6966,4700,2401,957,46839,Ballarat (C)
20660,2083,1416,1083,611,177,29,7389,50,645,940,896,772,350,71,9,3731,1409,5331,5351,3450,2637,1442,488,165,20269,608,1721,2025,1895,1627,1053,438,158,9522,1176,2390,2213,2465,1995,1392,784,272,12688,148,100,126,119,108,78,14,3,703,106,183,289,329,318,256,125,56,1670,1434,2682,2627,2911,2428,1721,929,335,15066,34,106,125,136,119,120,88,34,759,762,883,827,873,916,977,959,759,6957,4435,13217,13969,11566,9580,6291,3144,1484,63687,Banyule (C)
20740,88,89,128,116,25,3,540,6,68,97,116,146,105,30,0,568,73,451,489,401,516,423,132,42,2526,79,298,381,438,482,473,180,65,2397,305,866,876,1005,1033,729,330,104,5249,56,62,51,56,48,33,13,0,317,19,58,81,102,123,121,38,23,570,382,980,1009,1164,1201,892,378,129,6136,10,18,25,29,30,53,32,13,216,301,256,270,419,484,603,504,292,3126,851,2153,2361,2664,2990,2655,1286,545,15509,Bass Coast (S)
20830,170,171,191,87,32,3,794,8,121,179,170,227,140,19,4,862,173,815,801,633,716,409,124,32,3694,176,549,629,715,632,472,164,45,3371,847,1744,1437,1640,1232,833,358,81,8160,95,86,92,86,65,46,11,3,476,62,105,97,123,131,124,34,9,685,999,1931,1626,1846,1431,1000,398,94,9321,15,33,20,34,39,55,31,18,232,488,351,414,546,619,643,467,219,3744,1865,3920,3837,4111,3846,2800,1233,410,22024,Baw Baw (S)
20910,1614,1982,1313,682,194,60,6826,24,249,606,881,741,361,95,26,2995,1088,3032,4863,4976,3348,1863,737,311,20225,335,829,1373,1916,1561,1282,613,299,8206,452,865,927,1419,1112,744,419,230,6168,77,47,78,84,73,58,27,8,450,62,87,169,278,287,243,120,94,1337,588,991,1175,1787,1469,1046,568,330,7959,20,58,114,139,132,126,80,55,728,584,544,592,797,767,709,619,669,5273,2700,6610,10347,12481,9341,6080,2905,1758,52217,Bayside (C)
21010,20,36,57,24,6,0,176,0,26,35,38,57,42,9,0,209,35,184,158,163,197,112,47,19,914,41,119,141,198,229,173,72,25,1009,208,366,343,442,418,267,121,48,2203,48,30,23,25,26,15,4,5,168,22,18,46,34,48,46,12,8,223,271,410,409,500,490,330,135,59,2594,0,5,3,17,23,10,10,3,65,168,114,136,188,247,248,195,97,1395,522,887,911,1140,1292,942,470,205,6362,Benalla (RC)
21110,3878,3936,2662,1526,495,158,16696,70,858,1208,1583,1352,660,181,54,5965,3550,9689,8388,8368,5798,3348,1447,644,41229,876,1750,1762,2468,2109,1725,880,451,12013,954,1581,1041,1523,1159,768,465,258,7745,144,85,66,123,96,67,28,12,624,118,141,210,348,352,287,167,130,1766,1216,1805,1324,1999,1607,1120,658,398,10135,82,171,201,227,203,175,128,83,1257,1192,1275,1009,1093,1008,1019,928,761,8283,7275,19284,17767,19676,14739,9577,4708,2555,95574,Boroondara (C)
21180,1331,532,308,135,18,3,4408,94,489,473,337,216,74,15,6,1713,2259,6992,4627,2600,1680,728,164,40,19084,1434,3999,2823,2126,1455,615,164,37,12651,2228,4335,3829,3777,2949,1705,651,177,19658,271,331,307,267,191,72,19,4,1469,247,478,530,542,438,222,59,19,2543,2746,5141,4668,4590,3586,2001,730,205,23667,100,318,224,185,186,117,26,18,1175,2266,2564,2006,1983,1987,1904,1196,631,14528,9091,21382,16150,12352,9412,5579,2317,934,77226,Brimbank (C)
21270,13,11,3,6,0,0,43,3,14,13,17,24,4,0,0,79,18,82,73,66,82,20,26,14,372,20,28,45,74,81,43,22,12,315,55,132,144,210,173,105,37,13,871,11,15,16,16,18,3,0,0,71,4,13,8,12,12,6,3,3,61,70,152,174,236,202,120,37,15,1005,0,3,3,3,0,8,0,0,19,52,49,46,95,140,129,117,100,732,154,351,366,501,529,320,210,141,2569,Buloke (S)
21370,69,70,55,24,4,3,299,13,82,85,104,88,50,13,0,436,116,525,571,386,363,194,73,17,2232,95,315,361,475,480,265,109,34,2145,578,1106,1053,1280,1045,571,253,85,5968,71,80,69,57,45,28,5,0,360,40,62,96,87,103,77,29,14,505,693,1251,1216,1419,1192,680,291,100,6837,3,24,21,19,22,41,25,7,162,444,281,350,464,551,632,575,322,3623,1371,2546,2673,2941,2743,1884,1085,489,15737,Campaspe (S)
21450,492,263,197,101,17,0,1600,47,260,304,286,200,112,21,0,1229,437,1997,1943,1155,845,474,114,42,7003,575,1804,1736,1393,885,503,165,44,7102,1800,4093,3339,3073,2000,1016,419,101,15843,175,228,184,158,81,40,5,6,875,111,219,288,270,237,139,44,8,1318,2085,4539,3813,3500,2326,1194,469,121,18038,25,94,82,89,74,83,25,6,483,961,821,848,911,801,742,524,260,5857,4153,10013,9215,7596,5324,3206,1335,472,41310,Cardinia (S)
21610,2898,1226,673,247,66,7,7915,134,772,924,698,473,196,47,3,3247,2174,8482,7888,4335,2554,1030,348,91,26906,1975,6225,6341,4493,2722,1198,400,100,23450,4646,8926,8473,8363,5562,2571,1057,254,39849,566,578,521,432,287,99,16,3,2504,371,736,881,919,715,394,146,31,4183,5580,10246,9875,9708,6558,3068,1222,288,46540,131,346,416,340,305,167,91,31,1825,2790,2817,2632,2629,2304,1938,1433,786,17326,12909,31549,30974,23428,15584,7844,3608,1317,127202,Casey (C)
21670,12,17,32,13,3,0,97,5,16,16,26,24,24,5,0,113,40,105,104,88,108,100,38,10,591,21,74,111,124,144,118,31,10,641,181,318,319,463,423,310,121,37,2169,17,36,29,23,20,12,4,0,145,15,18,38,37,45,34,16,3,198,211,373,383,526,487,357,140,39,2513,5,5,6,8,6,14,4,3,55,131,86,113,167,207,273,222,103,1297,414,677,744,956,1014,902,440,168,5308,Central Goldfields (S)
21750,42,51,73,48,9,0,276,4,34,37,60,71,42,7,6,262,68,303,310,246,260,200,60,21,1467,68,185,231,279,322,184,68,23,1361,327,694,609,650,557,286,117,37,3272,43,53,32,30,34,10,0,0,203,35,58,54,59,59,35,10,8,323,413,800,691,742,649,330,131,38,3792,4,15,10,21,13,23,8,0,89,240,184,169,284,323,307,250,132,1878,799,1561,1499,1677,1709,1130,527,218,9122,Colac-Otway (S)
21830,26,20,31,24,4,0,133,0,35,41,38,54,18,6,0,190,51,205,239,193,193,100,32,4,1012,43,112,155,206,191,133,43,19,897,254,409,422,526,373,176,80,24,2269,30,22,28,17,33,17,0,0,148,11,25,34,46,37,35,9,3,208,302,461,482,590,439,225,94,31,2617,4,3,6,7,6,8,4,0,43,193,133,142,235,263,253,240,110,1574,592,973,1089,1289,1177,760,423,166,6477,Corangamite (S)
21890,2925,1777,970,300,69,9,10044,74,1031,1237,1062,659,203,28,14,4300,2336,9526,6841,3892,1874,728,207,71,25478,960,3009,2534,2020,1140,432,160,70,10325,1360,2839,2330,2246,1576,862,530,191,11924,210,175,164,151,96,46,5,3,847,117,269,307,357,254,135,53,29,1524,1691,3286,2797,2746,1925,1041,588,223,14297,80,211,171,127,104,78,29,24,835,1509,2264,1640,1447,1174,1107,1123,845,11109,6888,23083,18147,13075,7846,3882,2203,1254,76385,Darebin (C)
22110,100,95,136,109,26,8,556,7,85,102,140,179,108,21,3,649,98,491,533,502,647,511,162,38,2979,121,373,436,563,690,616,229,68,3098,553,1084,1134,1387,1456,1099,478,123,7311,78,92,87,83,103,55,9,5,511,40,91,101,113,175,159,66,27,768,673,1267,1322,1588,1732,1313,551,150,8590,18,20,30,23,37,68,38,15,253,512,379,433,600,769,986,752,441,4877,1430,2690,2964,3508,4197,3707,1777,725,20997,East Gippsland (S)
22170,683,478,369,177,53,12,2401,59,412,487,409,373,191,39,9,1982,697,3093,2987,1923,1383,777,295,95,11260,845,2478,2488,2217,1614,917,326,106,10992,2177,4903,4365,4359,3301,1832,814,278,22020,270,262,258,209,153,86,27,4,1267,187,300,389,438,411,254,120,60,2159,2631,5462,5013,5010,3871,2169,965,337,25449,36,105,118,126,146,143,82,19,779,1302,1426,1379,1463,1426,1375,1189,702,10265,5617,13568,13155,11631,9180,5749,2942,1280,63124,Frankston (C)
22250,17,15,10,3,0,0,60,0,11,9,28,18,18,0,0,93,32,125,125,83,96,49,24,7,544,23,70,106,111,120,69,32,3,534,159,251,267,325,309,205,58,15,1585,27,22,20,20,20,7,0,0,116,16,11,23,31,29,24,6,0,131,195,289,310,370,353,229,64,14,1834,0,3,5,3,6,10,6,0,32,116,86,103,119,190,211,196,69,1099,376,600,672,728,802,591,334,99,4194,Gannawarra (S)
22830,221,196,140,53,21,7,932,16,185,239,222,216,62,15,3,962,302,1257,997,744,622,301,94,23,4335,243,781,835,813,651,380,132,55,3886,1033,1833,1668,1717,1335,699,267,70,8625,126,107,95,111,84,41,10,3,569,75,136,137,164,127,91,40,12,783,1237,2065,1896,1991,1546,837,310,89,9972,17,66,54,48,31,38,30,10,293,805,880,839,927,904,866,662,369,6253,2653,5500,5073,4933,4113,2537,1258,559,26637,Greater Shepparton (C)
22910,95,116,145,104,27,4,521,3,26,65,97,122,65,13,0,392,41,200,365,325,370,249,71,17,1629,39,132,206,274,318,221,65,23,1278,155,311,353,470,409,271,112,32,2110,28,23,20,19,25,10,0,0,133,9,31,35,43,62,49,12,4,247,197,365,408,537,499,327,125,36,2490,6,5,8,7,19,27,7,4,80,192,126,167,252,312,312,237,139,1734,475,877,1316,1609,1786,1298,553,214,8124,Hepburn (S)
22980,12,6,6,5,0,0,55,0,9,9,12,18,7,0,0,61,18,82,64,48,64,25,20,3,328,14,50,40,84,74,37,14,5,318,95,133,142,162,144,80,38,7,802,14,10,12,13,11,3,0,0,72,9,12,10,21,25,5,3,0,82,118,153,168,191,180,90,37,8,950,0,0,0,4,9,3,0,0,19,49,42,33,64,87,96,76,60,506,207,350,333,416,435,268,151,82,2229,Hindmarsh (S)
23110,1336,914,531,201,29,5,4151,20,406,542,510,403,122,27,9,2035,788,3797,3727,2162,1283,561,169,45,12526,463,1496,1544,1394,910,459,140,51,6465,920,1941,1758,2010,1570,797,407,176,9565,94,118,95,98,77,33,10,3,525,96,180,232,259,193,117,42,23,1145,1101,2238,2082,2373,1845,945,461,200,11236,32,100,95,90,81,64,27,17,506,655,876,806,791,794,706,659,419,5704,3129,9987,10138,8239,5839,3051,1509,735,42626,Hobsons Bay (C)
23190,83,49,37,29,5,0,287,5,71,75,72,57,20,3,3,313,91,380,328,251,236,116,44,16,1466,63,207,274,250,298,164,55,30,1347,382,698,555,555,490,219,82,34,3012,51,55,35,30,32,20,5,5,221,23,33,52,52,54,32,18,4,270,453,788,641,630,577,270,105,39,3499,8,12,7,16,12,10,13,6,84,172,163,148,158,197,217,216,145,1408,803,1686,1556,1427,1425,833,439,245,8406,Horsham (RC)
23270,1461,639,350,121,17,3,4515,106,579,535,405,296,113,27,4,2057,1663,5613,4138,2328,1476,586,172,46,16016,1423,3901,3313,2664,1525,642,241,44,13756,2827,5655,4653,4722,3163,1561,576,137,23295,378,392,323,290,191,63,5,3,1636,282,525,542,594,400,219,70,26,2663,3485,6573,5517,5603,3757,1847,646,161,27594,94,318,213,187,158,100,35,20,1134,2194,2419,2008,2048,1730,1476,889,323,13088,9088,21189,17186,13878,9291,4890,2037,596,78153,Hume (C)
23350,68,78,108,67,13,3,379,0,39,96,87,105,50,7,3,386,35,183,370,285,344,195,64,13,1492,33,110,211,289,295,221,71,24,1256,200,383,472,597,482,268,98,22,2520,30,23,26,38,26,15,0,0,154,14,21,36,52,51,44,11,3,239,238,427,536,684,556,331,116,27,2909,4,8,5,11,18,21,12,7,78,144,146,182,231,248,221,187,97,1457,469,943,1464,1673,1684,1100,457,177,7957,Indigo (S)
23430,2004,1177,725,355,100,25,6442,64,569,867,771,567,258,54,18,3171,1474,5894,6145,3909,2380,1081,439,144,21467,779,2633,3039,2816,1949,1154,439,152,12959,1422,3027,3391,3759,2801,1681,931,300,17312,177,139,218,193,142,98,26,5,994,118,245,426,467,443,332,138,58,2227,1716,3413,4036,4420,3383,2110,1095,369,20536,63,170,185,183,172,150,104,47,1077,898,1164,1176,1179,1182,1285,1293,1013,9196,5105,15782,17450,14462,10352,6398,3525,1764,74848,Kingston (C) (Vic.)
23670,1641,1100,743,288,64,19,5684,69,511,698,578,566,228,64,6,2721,1584,5672,5061,3340,2463,1187,382,115,19799,957,2569,2736,2772,2138,1192,425,149,12933,1979,3855,3756,4442,3510,1987,1072,264,20877,250,196,224,196,153,105,22,6,1143,185,264,343,479,493,312,173,59,2304,2415,4309,4324,5117,4155,2402,1263,337,24318,54,117,145,194,207,162,114,43,1044,862,948,975,1007,1121,1089,1036,822,7862,6012,15879,15579,14111,11396,6550,3345,1490,74366,Knox (C)
23810,201,187,193,95,25,7,921,25,171,183,198,181,94,15,4,873,368,1263,960,740,753,371,132,35,4631,287,815,821,892,842,457,189,48,4354,1383,2755,2177,2484,2108,1193,523,168,12794,208,206,149,98,94,40,16,4,817,93,171,164,211,200,139,46,11,1031,1691,3132,2494,2789,2408,1364,584,188,14643,14,34,52,59,56,67,24,11,324,1021,848,765,982,1088,1059,921,462,7154,3430,6455,5471,5849,5519,3505,1901,756,32897,Latrobe (C) (Vic.)
23940,12,8,14,12,3,0,46,3,4,16,22,24,11,5,0,88,15,91,93,79,71,46,9,8,417,12,57,73,94,91,59,22,0,408,69,142,167,260,264,141,58,6,1110,5,13,10,28,11,0,4,0,68,6,12,12,21,24,28,7,0,101,83,160,185,308,301,170,66,6,1280,0,0,8,4,8,13,3,3,32,114,63,93,142,185,196,119,58,979,222,382,482,651,699,501,228,79,3243,Loddon (S)
24130,356,358,294,199,35,7,1405,8,113,319,325,288,123,27,7,1206,227,813,1462,1141,892,571,151,39,5305,161,445,745,878,716,540,175,54,3705,570,1083,1300,1468,1104,664,258,59,6511,73,64,67,67,57,25,5,0,361,47,92,122,152,153,131,44,21,755,689,1236,1488,1688,1324,818,310,81,7631,11,28,38,43,58,61,22,7,270,461,279,432,539,548,581,319,187,3351,1568,3057,4840,4974,4122,2899,1040,384,22883,Macedon Ranges (S)
24210,1942,1382,1085,560,193,40,7166,30,333,561,688,584,328,103,25,2665,1665,4942,4881,4173,2991,1698,721,183,21258,572,1261,1536,2096,1650,1301,693,217,9318,727,1217,1373,2157,1512,1238,909,258,9393,92,58,70,119,102,60,32,8,547,79,144,211,387,324,299,156,73,1678,895,1413,1655,2665,1941,1592,1096,342,11610,46,117,124,165,159,181,111,37,936,604,597,570,743,749,931,1020,760,5970,3964,10494,11279,11913,9150,6592,3933,1603,58931,Manningham (C)
24250,24,34,30,40,5,3,159,6,29,33,33,36,23,0,0,166,42,152,165,123,149,124,33,14,794,15,79,126,131,137,107,37,6,628,121,196,269,287,304,212,68,30,1486,23,7,16,11,10,10,3,0,71,9,16,24,27,33,30,16,4,158,152,220,306,325,353,249,89,34,1721,0,3,5,7,10,10,7,0,45,130,103,122,141,153,159,86,25,919,343,598,781,792,862,709,262,88,4433,Mansfield (S)
24330,1652,716,380,112,18,4,5520,47,705,691,473,268,60,11,0,2254,1550,6373,4358,1875,940,327,73,16,15524,677,2012,1489,1028,594,225,65,32,6125,719,1656,1274,1145,837,364,164,81,6248,131,114,85,77,56,17,4,0,484,72,210,189,194,128,64,17,6,880,928,1982,1547,1417,1023,446,190,87,7609,56,152,115,69,53,37,13,9,502,911,1462,1113,816,701,539,454,352,6346,4326,15166,10971,6396,3953,1743,823,498,43873,Maribyrnong (C)
24410,1259,732,547,274,80,19,4189,43,525,669,590,477,239,71,6,2614,903,4265,3913,2407,1688,949,388,114,14623,632,1808,2055,1876,1503,1018,442,132,9461,1369,2960,2739,3128,2107,1302,667,219,14491,152,145,158,122,110,64,15,4,770,105,190,255,349,341,248,136,52,1671,1626,3301,3148,3592,2562,1613,821,275,16929,29,87,92,99,122,118,67,29,641,684,733,707,736,749,750,820,616,5802,3992,11914,11836,10035,7642,4960,2686,1201,54269,Maroondah (C)
24600,3378,1748,1235,741,229,62,16407,198,1346,762,548,493,244,53,11,3651,9191,18798,5666,2924,2067,1183,414,138,40382,2292,3277,1637,1283,1070,610,202,81,10442,1188,2053,1067,916,691,338,114,46,6412,191,158,90,75,58,27,3,0,606,230,294,211,223,175,119,37,10,1302,1610,2509,1361,1218,921,486,149,57,8324,428,393,168,104,87,69,37,17,1308,5479,6943,4338,3933,3073,1804,764,542,26878,20081,41396,17311,11755,8950,5148,1851,905,107389,Melbourne (C)
24650,1155,448,237,83,23,3,2891,52,355,488,288,180,49,11,0,1427,856,3853,4024,1765,930,368,71,17,11882,815,2565,2722,1683,965,362,91,20,9229,2031,4538,4296,3222,2115,1044,317,73,17644,246,279,277,171,125,49,3,0,1158,191,375,561,417,298,159,35,12,2050,2475,5189,5132,3811,2543,1250,363,90,20852,49,139,174,114,93,67,31,13,674,1570,1940,1791,1419,1172,923,437,130,9374,5881,14918,15479,9538,6112,3102,1028,272,56323,Melton (C)
24780,139,102,88,36,6,0,511,25,108,135,163,116,53,8,4,612,232,948,838,602,533,230,103,16,3490,163,534,608,682,626,355,115,27,3109,844,1703,1409,1501,1200,653,250,69,7630,195,147,101,86,66,31,3,4,631,73,110,133,168,144,87,22,5,750,1114,1965,1649,1758,1414,767,280,76,9009,27,25,36,30,41,44,22,13,235,800,711,570,763,879,915,706,396,5739,2371,4407,3980,4094,3693,2400,1238,526,22715,Mildura (RC)
24850,135,91,90,43,13,0,491,12,95,122,136,96,36,8,0,515,157,611,595,402,347,199,82,14,2407,199,627,606,604,427,239,70,21,2783,737,1587,1325,1425,1020,538,177,48,6846,115,96,83,64,56,22,3,3,444,83,99,116,132,114,63,24,15,643,929,1783,1521,1620,1188,622,205,63,7930,12,32,33,34,35,33,16,3,188,633,516,497,586,589,492,338,150,3795,1955,3766,3510,3471,2781,1666,728,254,18118,Mitchell (S)
24900,46,36,34,34,6,0,209,0,54,52,76,81,32,10,0,307,77,346,354,265,245,158,68,19,1525,92,261,271,356,353,233,92,17,1677,434,802,803,888,769,484,260,63,4501,50,51,51,60,51,21,5,0,289,29,51,68,85,73,64,16,12,414,518,903,915,1032,898,575,285,79,5205,3,16,15,13,31,37,26,9,145,337,249,264,342,464,540,456,233,2892,1039,1872,1921,2125,2103,1603,939,359,11960,Moira (S)
24970,4148,2620,1496,747,289,59,14625,91,684,879,1001,761,383,107,17,3917,4055,10283,7772,5702,3675,1981,886,254,34622,1531,2679,2637,2837,2100,1444,830,262,14333,1338,2090,2092,2722,1950,1398,1106,367,13062,187,127,133,170,116,84,32,16,854,154,207,295,447,390,340,198,96,2121,1676,2422,2520,3338,2454,1823,1334,476,16046,161,263,235,260,242,170,143,66,1544,1618,1498,1216,1200,1126,1199,1381,1211,10443,9447,22772,19408,16956,11862,7759,4975,2350,95523,Monash (C)
25060,1703,1161,786,341,56,9,6420,40,677,777,715,626,229,48,8,3127,1796,6388,5102,3477,2307,854,248,82,20254,642,1887,1866,1863,1341,714,290,100,8700,969,2247,1967,2220,1469,1002,631,216,10727,134,125,126,138,86,36,11,4,667,100,215,277,333,254,165,90,41,1484,1204,2592,2367,2694,1814,1211,734,263,12874,39,144,128,101,114,85,48,25,684,955,1438,1039,994,907,1018,875,534,7752,4834,15344,12988,11000,7894,4449,2283,1021,59806,Moonee Valley (C)
25150,162,144,116,61,12,0,593,10,89,132,109,118,50,10,0,516,124,542,645,473,349,217,51,15,2411,144,422,475,509,416,250,77,14,2302,509,1060,1024,1133,803,456,146,35,5161,43,58,50,62,39,14,4,0,270,43,77,96,77,91,65,16,8,465,591,1200,1167,1265,931,539,161,40,5896,4,14,19,26,33,28,10,8,139,295,241,312,370,366,411,222,136,2345,1179,2591,2906,2899,2334,1548,547,220,14214,Moorabool (S)
25250,3542,1660,944,363,71,18,11546,113,1298,1342,954,681,196,45,5,4627,2950,12141,7489,3603,1906,763,202,77,29140,1009,3654,2759,1967,1172,468,199,88,11323,1503,3509,2594,2465,1742,895,617,303,13624,202,212,183,147,77,51,21,7,880,140,324,347,386,254,132,77,51,1711,1846,4039,3128,2991,2071,1074,711,363,16216,100,259,184,134,118,67,47,30,934,1478,2497,1679,1327,1142,984,1131,759,11006,7746,28589,20118,12639,8031,3921,2418,1341,84802,Moreland (C)
25340,683,791,718,554,210,39,3401,35,308,595,680,685,432,113,23,2870,593,2344,3465,2935,2444,2155,913,251,15097,646,1596,2413,2722,2498,2044,924,311,13146,1981,4066,4171,4898,3964,2648,1465,451,23646,240,199,220,238,184,152,49,12,1293,179,251,366,495,515,503,194,87,2589,2401,4510,4753,5630,4661,3309,1712,547,27528,38,66,118,154,174,267,161,70,1042,1173,904,1127,1469,1608,2033,1870,1156,11345,4923,10099,13152,14376,12779,10794,5902,2397,74436,Mornington Peninsula (S)
