lga_name_2011,hl_p_homeless_tot,lga_code11
Albury (C),147.0,10050
Armidale Dumaresq (A),190.0,10110
Ashfield (A),469.0,10150
Auburn (C),628.0,10200
Ballina (A),142.0,10250
Balranald (A),0.0,10300
Bankstown (C),804.0,10350
Bathurst Regional (A),129.0,10470
Bega Valley (A),104.0,10550
Bellingen (A),44.0,10600
Berrigan (A),18.0,10650
Blacktown (C),1400.0,10750
Bland (A),7.0,10800
Blayney (A),28.0,10850
Blue Mountains (C),238.0,10900
Bogan (A),4.0,10950
Bombala (A),0.0,11000
Boorowa (A),5.0,11050
Botany Bay (C),258.0,11100
Bourke (A),3.0,11150
Brewarrina (A),23.0,11200
Cowra (A),19.0,12350
Ballarat (C),403.0,20570
Banyule (C),461.0,20660
Bass Coast (S),59.0,20740
Baw Baw (S),101.0,20830
Bayside (C),212.0,20910
Benalla (RC),32.0,21010
Boroondara (C),383.0,21110
Brimbank (C),1134.0,21180
Broken Hill (C),46.0,11250
Burwood (A),541.0,11300
Byron (A),279.0,11350
Cabonne (A),21.0,11400
Camden (A),86.0,11450
Campbelltown (C),644.0,11500
Canada Bay (A),183.0,11520
Canterbury (C),692.0,11550
Carrathool (A),4.0,11600
Central Darling (A),19.0,11700
Cessnock (C),141.0,11720
Clarence Valley (A),198.0,11730
Cobar (A),12.0,11750
Coffs Harbour (C),280.0,11800
Conargo (A),0.0,11860
Coolamon (A),15.0,12000
Cooma-Monaro (A),10.0,12050
Coonamble (A),3.0,12150
Cootamundra (A),4.0,12200
Corowa Shire (A),17.0,12300
Deniliquin (A),16.0,12500
Dubbo (C),95.0,12600
Dungog (A),7.0,12700
Eurobodalla (A),78.0,12750
Fairfield (C),1384.0,12850
Forbes (A),9.0,12900
Gilgandra (A),17.0,12950
Glen Innes Severn (A),21.0,13010
Gloucester (A),7.0,13050
Gosford (C),403.0,13100
Goulburn Mulwaree (A),101.0,13310
Great Lakes (A),73.0,13320
Greater Hume Shire (A),6.0,13340
Greater Taree (C),191.0,13380
Griffith (C),102.0,13450
Gundagai (A),3.0,13500
Gunnedah (A),13.0,13550
Guyra (A),4.0,13650
Gwydir (A),8.0,13660
Harden (A),10.0,13700
Hawkesbury (C),199.0,13800
Hay (A),0.0,13850
Holroyd (C),425.0,13950
Hornsby (A),281.0,14000
Hunters Hill (A),7.0,14100
Hurstville (C),273.0,14150
Inverell (A),49.0,14200
Jerilderie (A),0.0,14250
Junee (A),10.0,14300
Kempsey (A),205.0,14350
Kiama (A),30.0,14400
Kogarah (C),168.0,14450
Ku-ring-gai (A),57.0,14500
Kyogle (A),21.0,14550
Lachlan (A),14.0,14600
Lake Macquarie (C),411.0,14650
Lane Cove (A),74.0,14700
Leeton (A),19.0,14750
Leichhardt (A),319.0,14800
Lismore (C),283.0,14850
Lithgow (C),36.0,14870
Liverpool (C),778.0,14900
Liverpool Plains (A),20.0,14920
Lockhart (A),0.0,14950
Maitland (C),116.0,15050
Manly (A),111.0,15150
Marrickville (A),1215.0,15200
Mid-Western Regional (A),52.0,15270
Moree Plains (A),100.0,15300
Mosman (A),33.0,15350
Murray (A),10.0,15500
Murrumbidgee (A),0.0,15550
Muswellbrook (A),39.0,15650
Nambucca (A),69.0,15700
Narrabri (A),43.0,15750
Narrandera (A),4.0,15800
Narromine (A),22.0,15850
Newcastle (C),652.0,15900
North Sydney (A),360.0,15950
Oberon (A),6.0,16100
Orange (C),73.0,16150
Palerang (A),23.0,16180
Parkes (A),29.0,16200
Parramatta (C),804.0,16250
Penrith (C),607.0,16350
Pittwater (A),56.0,16370
Port Macquarie-Hastings (A),209.0,16380
Port Stephens (A),103.0,16400
Queanbeyan (C),127.0,16470
Randwick (C),617.0,16550
Richmond Valley (A),69.0,16610
Rockdale (C),483.0,16650
Ryde (C),223.0,16700
Shellharbour (C),134.0,16900
Shoalhaven (C),224.0,16950
Singleton (A),34.0,17000
Snowy River (A),27.0,17050
Warren (A),0.0,17950
Warringah (A),206.0,18000
Warrumbungle Shire (A),13.0,18020
Waverley (A),309.0,18050
Weddin (A),8.0,18100
Wellington (A),32.0,18150
