lga_code16,psn_15_y_over_indig_m,psn_15_y_over_indig_f,psn_15_y_over_indig_p,psn_15_y_over_nonind_m,psn_15_y_over_nonind_f,psn_15_y_over_nonind_p,psn_15_y_over_ind_s_nsm,psn_15_y_over_ind_s_nsf,psn_15_y_over_ind_s_nsp,psn_15_y_over_totm,psn_15_y_over_totf,psn_15_y_over_totp,in_lf_emp_indig_m,in_lf_emp_indig_f,in_lf_emp_indig_p,in_lf_emp_nonind_m,in_lf_emp_nonind_f,in_lf_emp_nonind_p,in_lf_emp_indst_nsm,in_lf_emp_indst_nsf,in_lf_emp_indst_nsp,in_lf_employd_totm,in_lf_employd_totf,in_lf_employd_totp,in_lf_unemp_ind_m,in_lf_unemp_ind_f,in_lf_unemp_ind_p,in_lf_unemp_no_ind_m,in_lf_unemp_no_ind_f,in_lf_unemp_no_ind_p,in_lf_un_indst_nsm,in_lf_un_indst_nsf,in_lf_un_indst_nsp,in_lf_unemp_totm,in_lf_unemp_totf,in_lf_unemp_totp,in_lf_to_lf_ind_m,in_lf_to_lf_ind_f,in_lf_to_lf_ind_p,in_lf_to_la_fo_no_in_m,in_lf_to_la_fo_no_in_f,in_lf_to_la_fo_no_in_p,in_lf_to_l_fo_in_st_nsm,in_lf_to_l_fo_in_st_nsf,in_lf_to_l_fo_in_st_nsp,in_lf_to_lf_totm,in_lf_to_lf_totf,in_lf_to_lf_totp,n_the_lf_indig_m,n_the_lf_indig_f,n_the_lf_indig_p,n_the_lf_no_indig_m,n_the_lf_no_indig_f,n_the_lf_no_indig_p,n_the_lf_indig_st_nsm,n_the_lf_indig_st_nsf,n_the_lf_indig_st_nsp,n_the_lf_totm,n_the_lf_totf,n_the_lf_totp,lf_st_ns_indig_m,lf_st_ns_indig_f,lf_st_ns_indig_p,lf_st_ns_nonind_m,lf_st_ns_nonind_f,lf_st_ns_nonind_p,lf_st_ns_indig_st_nsm,lf_st_ns_indig_st_nsf,lf_st_ns_indig_st_nsp,lf_st_ns_totm,lf_st_ns_totf,lf_st_ns_totp,pcent_unemploy_indig_m,pcent_unemploy_indig_f,pcent_unemploy_indig_p,pcent_unemploy_nonind_m,pcent_unemploy_nonind_f,pcent_unemploy_nonind_p,pcent_unem_indst_nsm,pcent_unemp_indst_nsf,pcent_unemp_indst_nsp,pcent_unemploy_totm,pcent_unemploy_totf,pcent_unemploy_totp,pcent_lf_part_indig_m,pcent_lf_part_indig_f,pcent_lf_part_indig_p,pcent_lf_part_no_indig_m,pcent_lf_part_no_indig_f,pcent_lf_part_no_indig_p,pcent_lf_part_indst_nsm,pcent_lf_part_indst_nsf,pcent_lf_part_indst_nsp,pcent_lf_part_totm,pcent_lf_part_totf,pcent_lf_part_totp,pcent_emp_to_pop_ind_m,pcent_emp_to_pop_ind_f,pcent_emp_to_pop_ind_p,pcent_emp_t_pop_nonind_m,pcent_emp_t_pop_nonind_f,pcent_emp_t_pop_nonind_p,pcent_emp_t_pop_indst_nsm,pcent_emp_t_pop_indst_nsf,pcent_emp_t_pop_indst_nsp,pcent_emp_to_pop_totm,pcent_emp_to_pop_totf,pcent_emp_to_pop_totp,indsec_gov_ind_m,indsec_gov_ind_f,indsec_gov_ind_p,indsec_gov_no_ind_m,indsec_gov_no_ind_f,indsec_gov_no_ind_p,indsec_gov_indst_nsm,indsec_gov_indst_nsf,indsec_gov_indst_nsp,indsec_gov_totm,indsec_gov_totf,indsec_gov_totp,indsec_priv_ind_m,indsec_priv_ind_f,indsec_priv_ind_p,indsec_priv_nonind_m,indsec_priv_nonind_f,indsec_priv_nonind_p,indsec_priv_indst_nsm,indsec_priv_indst_nsf,indsec_priv_indst_nsp,indsec_priv_totm,indsec_priv_totf,indsec_priv_totp,self_employed_ind_m,self_employed_ind_f,self_employed_ind_p,self_employed_nonind_m,self_employed_nonind_f,self_employed_nonind_p,self_employed_ind_status_nsm,self_employed_ind_status_nsf,self_employed_ind_status_nsp,self_employed_totm,self_employed_totf,self_employed_totp,nsq_pgdl_ind_m,nsq_pgdl_ind_f,nsq_pgdl_ind_p,nsq_pgdl_no_ind_m,nsq_pgdl_no_ind_f,nsq_pgdl_no_ind_p,nsq_pgdl_indst_nsm,nsq_pgdl_indst_nsf,nsq_pgdl_indst_nsp,nsq_pgdl_totm,nsq_pgdl_totf,nsq_pgdl_totp,nsq_gd_gcl_ind_m,nsq_gd_gcl_ind_f,nsq_gd_gcl_ind_p,nsq_gd_gcl_no_in_m,nsq_gd_gcl_no_in_f,nsq_gd_gcl_no_in_p,nsq_gd_gcl_in_st_nsm,nsq_gd_gcl_in_st_nsf,nsq_gd_gcl_in_st_nsp,nsq_gd_gcl_totm,nsq_gd_gcl_totf,nsq_gd_gcl_totp,nsq_bdl_ind_m,nsq_bdl_ind_f,nsq_bdl_ind_p,nsq_bdl_no_ind_m,nsq_bdl_no_ind_f,nsq_bdl_no_ind_p,nsq_bdl_indst_nsm,nsq_bdl_indst_nsf,nsq_bdl_indst_nsp,nsq_bdl_totm,nsq_bdl_totf,nsq_bdl_totp,nsq_ad_dl_ind_m,nsq_ad_dl_ind_f,nsq_ad_dl_ind_p,nsq_ad_dl_no_in_m,nsq_ad_dl_no_in_f,nsq_ad_dl_no_in_p,nsq_ad_dl_in_st_nsm,nsq_ad_dl_in_st_nsf,nsq_ad_dl_in_st_nsp,nsq_ad_dl_totm,nsq_ad_dl_totf,nsq_ad_dl_totp,nsq_crt_ii_ind_m,nsq_crt_ii_ind_f,nsq_crt_ii_ind_p,nsq_cer_ii_no_ind_m,nsq_cer_ii_no_ind_f,nsq_cer_ii_no_ind_p,nsq_ce_ii_indst_nsm,nsq_ce_ii_indst_nsf,lga_name16
10050,409,461,866,17911,19775,37686,1447,1467,2911,19759,21704,41468,164,161,329,11368,11065,22438,86,56,139,11620,11284,22907,61,45,105,827,736,1567,5,0,12,896,787,1684,227,207,431,12203,11804,24005,92,55,148,12515,12071,24587,157,238,394,5540,7726,13265,67,121,193,5767,8087,13853,21,18,39,170,248,420,1284,1289,2569,1477,1550,3033,26.9,21.7,24.4,6.8,6.2,6.5,5.4,0.0,8.1,7.2,6.5,6.8,56.0,44.7,49.9,68.1,59.7,63.7,6.4,3.8,5.1,63.3,55.6,59.3,40.5,34.8,38.1,63.5,55.9,59.5,6.0,3.8,4.8,58.8,52.0,55.2,24,40,65,1329,2338,3666,9,9,15,1360,2389,3748,135,121,260,9923,8627,18544,70,43,113,10128,8797,18919,7,4,14,749,450,1203,9,3,13,764,461,1228,3,4,8,465,576,1036,0,0,0,466,578,1047,3,3,4,297,542,835,4,3,5,304,546,843,13,16,30,1760,2900,4660,0,13,16,1773,2935,4703,15,29,45,1371,2094,3465,11,13,22,1395,2133,3530,5,16,27,188,385,571,0,0,Albury (C)
10130,682,725,1406,9964,10912,20883,903,925,1828,11545,12567,24115,243,230,470,5973,5804,11774,39,36,75,6252,6076,12327,72,70,140,476,409,883,7,0,5,554,476,1032,316,299,613,6444,6212,12662,49,34,86,6806,6551,13359,348,398,743,3405,4564,7973,57,53,114,3810,5021,8834,19,29,50,111,132,244,793,836,1635,924,999,1927,22.8,23.4,22.8,7.4,6.6,7.0,14.3,0.0,5.8,8.1,7.3,7.7,46.3,41.2,43.6,64.7,56.9,60.6,5.5,3.7,4.7,59.0,52.1,55.4,35.6,31.7,33.4,60.0,53.2,56.4,4.3,3.9,4.1,54.2,48.3,51.1,56,51,108,1135,1539,2672,0,6,4,1189,1596,2792,177,175,354,4786,4223,9013,37,24,67,5006,4424,9430,12,0,11,529,264,796,4,4,12,550,272,823,10,4,16,906,819,1721,3,0,3,921,824,1741,3,4,7,188,371,562,0,3,6,193,380,571,14,28,45,1235,1984,3222,11,12,22,1261,2023,3285,19,56,73,606,1032,1642,3,11,10,628,1100,1729,8,20,23,117,172,283,0,0,Armidale Regional (A)
10250,442,485,926,14939,16727,31667,1109,1152,2263,16498,18363,34860,211,192,405,8489,8473,16959,61,42,99,8758,8711,17463,50,25,73,571,431,999,6,5,13,623,459,1086,255,223,479,9061,8899,17958,66,51,109,9380,9169,18550,171,248,421,5613,7461,13075,69,81,148,5851,7788,13639,12,18,34,271,365,633,980,1023,2002,1267,1403,2668,19.6,11.2,15.2,6.3,4.8,5.6,9.1,9.8,11.9,6.6,5.0,5.9,58.2,45.6,51.3,60.6,53.2,56.7,5.9,4.4,4.8,56.9,49.9,53.2,48.2,39.3,43.4,56.8,50.7,53.6,5.5,3.6,4.4,53.1,47.4,50.1,37,44,79,1104,1528,2634,0,3,3,1138,1577,2721,172,141,308,7272,6843,14116,55,36,88,7496,7020,14511,8,5,16,978,619,1594,11,5,12,992,634,1623,4,4,8,502,555,1060,3,0,5,511,559,1071,0,3,3,294,440,734,3,0,3,295,452,741,27,30,51,1903,2756,4661,13,11,21,1940,2792,4734,36,43,78,1201,2030,3227,5,17,19,1236,2086,3324,6,9,18,115,255,372,0,0,Ballina (A)
10300,66,67,132,756,725,1479,99,88,192,922,879,1801,23,24,52,521,399,921,9,3,11,547,435,982,14,9,23,19,15,35,0,0,0,30,28,55,34,32,70,539,421,954,9,6,10,577,456,1041,29,28,54,200,289,488,0,3,11,230,321,552,3,0,3,16,20,35,88,77,171,110,101,212,41.2,28.1,32.9,3.5,3.6,3.7,0.0,0.0,0.0,5.2,6.1,5.3,51.5,53.3,55.1,71.4,57.7,64.6,9.3,7.0,5.2,62.9,51.9,57.7,34.8,40.0,40.9,69.0,54.7,62.4,9.3,3.5,5.7,59.7,49.5,54.4,9,3,12,47,80,125,0,0,0,59,89,140,14,20,36,458,313,771,3,3,4,480,340,817,0,0,0,49,13,62,0,0,0,49,17,66,0,0,0,9,11,21,0,0,0,9,15,21,0,3,3,0,10,13,0,0,0,0,10,13,3,6,3,32,59,89,0,0,0,33,63,94,0,3,4,24,53,80,0,0,0,26,60,80,0,0,3,5,11,16,0,0,Balranald (A)
10470,768,668,1435,14541,14794,29331,1174,1248,2420,16480,16703,33181,303,291,589,8874,8562,17437,68,72,138,9245,8923,18165,52,59,111,583,452,1038,11,5,13,645,518,1162,353,344,702,9456,9019,18469,78,75,158,9893,9437,19332,395,305,701,4943,5657,10599,54,67,120,5396,6023,11424,15,14,29,137,120,260,1035,1106,2142,1192,1245,2433,14.7,17.2,15.8,6.2,5.0,5.6,14.1,6.7,8.2,6.5,5.5,6.0,46.3,51.9,49.0,65.1,61.0,63.0,6.7,6.0,6.5,60.0,56.5,58.2,39.7,43.9,41.1,61.0,57.9,59.5,5.8,5.8,5.7,56.1,53.4,54.7,38,81,118,1456,1959,3417,5,11,20,1506,2050,3560,254,210,461,7316,6517,13827,63,55,114,7627,6785,14412,10,6,16,603,377,974,4,3,4,619,383,1000,3,5,10,455,483,938,0,3,3,454,499,951,3,15,14,220,405,629,0,0,3,226,424,645,14,44,55,1360,2324,3684,4,13,19,1372,2382,3759,28,55,80,988,1583,2573,10,7,22,1023,1651,2672,12,23,40,142,305,448,3,3,Bathurst Regional (A)
10550,309,340,654,12183,13019,25199,1052,1085,2137,13549,14437,27994,139,129,268,6473,6276,12748,81,65,142,6689,6466,13153,28,26,51,373,309,682,8,3,9,418,329,750,167,148,320,6846,6585,13429,88,63,152,7101,6795,13905,137,187,320,5188,6254,11444,83,105,180,5406,6542,11948,7,10,13,147,177,327,890,915,1802,1041,1100,2145,16.8,17.6,15.9,5.4,4.7,5.1,9.1,4.8,5.9,5.9,4.8,5.4,53.7,42.9,49.0,56.2,50.6,53.3,8.3,5.8,7.1,52.4,47.1,49.7,44.7,37.4,41.0,53.1,48.2,50.6,7.6,6.0,6.7,49.4,44.8,47.0,27,21,54,667,908,1577,3,5,12,699,940,1636,107,104,210,5735,5310,11037,64,51,119,5907,5464,11370,10,9,17,778,436,1217,9,0,13,798,443,1247,5,7,14,303,330,635,3,0,3,311,345,651,0,4,4,192,395,585,0,7,7,188,406,598,9,13,23,1097,1797,2898,9,12,24,1124,1821,2947,9,22,33,873,1407,2283,9,10,16,893,1444,2331,3,13,21,101,268,362,0,3,Bega Valley (A)
10600,147,142,287,4539,4920,9464,346,366,712,5030,5433,10465,73,60,131,2378,2328,4704,20,29,57,2479,2414,4890,14,5,23,202,146,348,9,3,7,226,160,378,87,69,155,2579,2474,5054,26,34,63,2697,2574,5273,55,80,131,1900,2385,4279,34,44,78,1993,2499,4489,3,3,3,62,69,130,281,291,577,345,363,703,16.1,7.2,14.8,7.8,5.9,6.9,34.6,8.8,11.1,8.4,6.2,7.2,60.0,45.4,53.6,56.8,50.2,53.4,7.6,9.2,8.8,53.6,47.4,50.4,50.3,39.5,45.3,52.4,47.2,49.7,5.9,7.9,7.9,49.2,44.4,46.7,12,14,23,303,469,775,0,0,0,312,484,798,58,46,108,2053,1822,3874,24,31,53,2136,1896,4034,5,0,6,425,230,663,4,3,10,439,235,671,0,0,6,128,182,308,0,5,6,129,184,314,0,0,0,74,152,226,0,0,0,74,154,228,5,6,18,497,877,1375,0,13,12,505,896,1405,5,9,15,357,594,955,4,4,7,363,607,975,3,0,5,54,84,140,0,0,Bellingen (A)
10650,68,60,125,3087,3115,6204,330,353,682,3483,3532,7018,43,29,67,1659,1518,3173,23,19,40,1722,1561,3282,0,3,5,91,72,159,3,0,3,92,74,165,45,35,73,1749,1583,3332,24,19,39,1814,1633,3450,20,29,53,1274,1478,2754,21,41,58,1321,1543,2864,0,3,3,65,54,122,285,300,586,352,357,709,0.0,8.6,6.8,5.2,4.5,4.8,12.5,0.0,7.7,5.1,4.5,4.8,69.2,52.2,56.6,56.6,50.8,53.7,7.3,5.3,5.7,52.0,46.2,49.1,66.2,43.3,51.9,53.7,48.7,51.1,7.0,5.3,5.9,49.4,44.2,46.7,3,0,3,130,200,330,3,0,3,136,201,337,37,27,64,1500,1290,2792,18,19,38,1556,1335,2887,0,0,0,177,84,257,4,4,5,181,85,270,0,0,0,18,35,53,0,0,0,18,35,53,0,0,4,16,49,63,0,0,0,16,48,67,0,3,3,160,327,485,0,0,0,160,333,494,3,3,6,183,264,453,3,0,5,185,275,460,0,3,3,20,50,70,0,3,Berrigan (A)
10750,2916,3118,6034,119351,122995,242348,5903,6021,11922,128170,132134,260306,1337,1224,2561,80760,67470,148225,381,304,683,82472,68997,151468,281,227,508,5592,5747,11342,30,29,63,5909,5998,11907,1616,1451,3066,86350,73214,159563,408,336,746,88377,74994,163377,1219,1571,2787,31758,48428,80193,322,446,768,33296,50446,83745,86,97,180,1237,1353,2591,5174,5237,10408,6488,6693,13180,17.4,15.6,16.6,6.5,7.8,7.1,7.4,8.6,8.4,6.7,8.0,7.3,55.3,46.5,50.8,72.4,59.5,65.8,6.9,5.6,6.3,69.0,56.8,62.8,45.8,39.2,42.4,67.7,54.9,61.2,6.5,5.1,5.7,64.4,52.2,58.2,150,270,424,8059,11157,19212,33,33,62,8242,11466,19707,1138,923,2064,71231,55322,126549,306,254,560,72676,56501,129179,31,21,53,4121,1960,6079,16,5,24,4167,1986,6156,14,31,46,7202,6725,13927,13,26,41,7236,6781,14020,11,26,32,1248,1698,2947,3,3,9,1261,1725,2983,69,144,204,17477,22506,39983,39,77,121,17585,22722,40305,110,223,331,10382,12161,22545,47,49,95,10544,12429,22969,30,74,100,889,1754,2641,0,6,Blacktown (C)
10800,80,76,152,2027,2011,4033,265,278,539,2366,2363,4725,46,41,83,1350,1085,2431,21,11,30,1414,1135,2541,7,8,15,48,24,75,0,0,0,60,37,95,49,46,99,1399,1111,2509,18,11,30,1469,1169,2635,26,24,53,594,854,1447,8,20,28,626,896,1526,0,0,0,34,49,82,234,244,479,266,291,560,14.3,17.4,15.2,3.4,2.2,3.0,0.0,0.0,0.0,4.1,3.2,3.6,65.3,65.7,65.1,69.0,55.2,62.1,6.9,4.0,5.6,62.2,49.6,55.8,61.3,58.6,54.6,66.6,53.9,60.2,8.1,4.0,5.6,59.9,48.2,53.8,6,8,9,103,163,273,0,0,4,108,175,285,35,32,67,1231,898,2126,12,9,24,1279,939,2217,5,0,5,204,84,292,3,5,3,214,89,302,0,0,0,15,24,41,0,0,0,11,24,37,0,0,0,13,24,37,0,0,0,13,24,37,0,4,3,100,214,321,0,0,0,107,216,323,0,3,3,86,159,243,0,0,0,86,161,250,0,4,4,15,54,69,0,0,Bland (A)
