lga_name_2016,lga_code_2016,d_10_12_fpnlf_mpet,d_10_12_fpnlf_mpulftw,d_10_12_fpnlf_mpulptw,d_10_12_fpnlf_mput,d_10_12_fpnlf_mptlf,d_10_12_fpnlf_mpnlf,d_10_12_fpnlf_mplfsns,d_10_12_fpnlf_t,d_10_12_fplfsns_mpeft,d_10_12_fplfsns_mpept,d_10_12_fplfsns_mpeaw,d_10_12_fplfsns_mpehns,d_10_12_fplfsns_mpet,d_10_12_fplfsns_mpulftw,d_10_12_fplfsns_mpulptw,d_10_12_fplfsns_mput,d_10_12_fplfsns_mptlf,d_10_12_fplfsns_mpnlf,d_10_12_fplfsns_mplfsns,d_10_12_fplfsns_t,d_10_12_fpt_mpeft,d_10_12_fpt_mpept,d_10_12_fpt_mpeaw,d_10_12_fpt_mpehns,d_10_12_fpt_mpet,d_10_12_fpt_mpulftw,d_10_12_fpt_mpulptw,d_10_12_fpt_mput,d_10_12_fpt_mptlf,d_10_12_fpt_mpnlf,d_10_12_fpt_mplfsns,d_10_12_fpt_t,d_13_14_fpeft_mpeft,d_13_14_fpeft_mpept,d_13_14_fpeft_mpeaw,d_13_14_fpeft_mpehns,d_13_14_fpeft_mpet,d_13_14_fpeft_mpulftw,d_13_14_fpeft_mpulptw,d_13_14_fpeft_mput,d_13_14_fpeft_mptlf,d_13_14_fpeft_mpnlf,d_13_14_fpeft_mplfsns,d_13_14_fpeft_t,d_13_14_fpept_mpeft,d_13_14_fpept_mpept,d_13_14_fpept_mpeaw,d_13_14_fpept_mpehns,d_13_14_fpept_mpet,d_13_14_fpept_mpulftw,d_13_14_fpept_mpulptw,d_13_14_fpept_mput,d_13_14_fpept_mptlf,d_13_14_fpept_mpnlf,d_13_14_fpept_mplfsns,d_13_14_fpept_t,d_13_14_fpeaw_mpeft,d_13_14_fpeaw_mpept,d_13_14_fpeaw_mpeaw,d_13_14_fpeaw_mpehns,d_13_14_fpeaw_mpet,d_13_14_fpeaw_mpulftw,d_13_14_fpeaw_mpulptw,d_13_14_fpeaw_mput,d_13_14_fpeaw_mptlf,d_13_14_fpeaw_mpnlf,d_13_14_fpeaw_mplfsns,d_13_14_fpeaw_t,d_13_14_fphns_mpeft,d_13_14_fphns_mpept,d_13_14_fphns_mpeaw,d_13_14_fphns_mpehns,d_13_14_fphns_mpet,d_13_14_fphns_mpulftw,d_13_14_fphns_mpulptw,d_13_14_fphns_mput,d_13_14_fphns_mptlf,d_13_14_fphns_mpnlf,d_13_14_fphns_mplfsns,d_13_14_fphns_t,d_13_14_fpet_mpeft,d_13_14_fpet_mpept,d_13_14_fpet_mpeaw,d_13_14_fpet_mpehns,d_13_14_fpet_mpet,d_13_14_fpet_mpulftw,d_13_14_fpet_mpulptw,d_13_14_fpet_mput,d_13_14_fpet_mptlf,d_13_14_fpet_mpnlf,d_13_14_fpet_mplfsns,d_13_14_fpet_t,d_13_14_fpulftw_mpeft,d_13_14_fpulftw_mpept,d_13_14_fpulftw_mpeaw,d_13_14_fpulftw_mpehns,d_13_14_fpulftw_mpet,d_13_14_fpulftw_mpulftw,d_13_14_fpulftw_mpulptw,d_13_14_fpulftw_mput,d_13_14_fpulftw_mptlf,d_13_14_fpulftw_mpnlf,d_13_14_fpulftw_mplfsns,d_13_14_fpulftw_t,d_13_14_fpulptw_mpeft,d_13_14_fpulptw_mpept,d_13_14_fpulptw_mpeaw,d_13_14_fpulptw_mpehns,d_13_14_fpulptw_mpet,d_13_14_fpulptw_mpulftw,d_13_14_fpulptw_mpulptw,d_13_14_fpulptw_mput,d_13_14_fpulptw_mptlf,d_13_14_fpulptw_mpnlf,d_13_14_fpulptw_mplfsns,d_13_14_fpulptw_t,d_13_14_fput_mpeft,d_13_14_fput_mpept,d_13_14_fput_mpeaw,d_13_14_fput_mpehns,d_13_14_fput_mpet,d_13_14_fput_mpulftw,d_13_14_fput_mpulptw,d_13_14_fput_mput,d_13_14_fput_mptlf,d_13_14_fput_mpnlf,d_13_14_fput_mplfsns,d_13_14_fput_t,d_13_14_fptlf_mpeft,d_13_14_fptlf_mpept,d_13_14_fptlf_mpeaw,d_13_14_fptlf_mpehns,d_13_14_fptlf_mpet,d_13_14_fptlf_mpulftw,d_13_14_fptlf_mpulptw,d_13_14_fptlf_mput,d_13_14_fptlf_mptlf,d_13_14_fptlf_mpnlf,d_13_14_fptlf_mplfsns,d_13_14_fp_t,d_13_14_fpnlf_mpeft,d_13_14_fpnlf_mpept,d_13_14_fpnlf_mpeaw,d_13_14_fpnlf_mpehns,d_13_14_fpnlf_mpet,d_13_14_fpnlf_mpulftw,d_13_14_fpnlf_mpulptw,d_13_14_fpnlf_mput,d_13_14_fpnlf_mptlf,d_13_14_fpnlf_mpnlf,d_13_14_fpnlf_mplfsns,d_13_14_fpnlf_t,d_13_14_fplfsns_mpeft,d_13_14_fplfsns_mpept,d_13_14_fplfsns_mpeaw,d_13_14_fplfsns_mpehns,d_13_14_fplfsns_mpet,d_13_14_fplfsns_mpulftw,d_13_14_fplfsns_mpulptw,d_13_14_fplfsns_mput,d_13_14_fplfsns_mptlf,d_13_14_fplfsns_mpnlf,d_13_14_fplfsns_mplfsns,d_13_14_fplfsns_t,d_13_14_fpt_mpeft,d_13_14_fpt_mpept,d_13_14_fpt_mpeaw,d_13_14_fpt_mpehns,d_13_14_fpt_mpet,d_13_14_fpt_mpulftw,d_13_14_fpt_mpulptw,d_13_14_fpt_mput,d_13_14_fpt_mptlf,d_13_14_fpt_mpnlf,d_13_14_fpt_mplfsns,d_13_14_fpt_t,d_15_17_fpeft_mpeft,d_15_17_fpeft_mpept,d_15_17_fpeft_mpeaw,d_15_17_fpeft_mpehns,d_15_17_fpeft_mpet,d_15_17_fpeft_mpulftw,d_15_17_fpeft_mpulptw,d_15_17_fpeft_mput,d_15_17_fpeft_mptlf,d_15_17_fpeft_mpnlf,d_15_17_fpeft_mplfsns,d_15_17_fpeft_t,d_15_17_fpept_mpeft,d_15_17_fpept_mpept,d_15_17_fpept_mpeaw,d_15_17_fpept_mpehns,d_15_17_fpept_mpet,d_15_17_fpept_mpulftw,d_15_17_fpept_mpulptw,d_15_17_fpept_mput,d_15_17_fpept_mptlf,d_15_17_fpept_mpnlf,d_15_17_fpept_mplfsns,d_15_17_fpept_t
Albury (C),10050,164,10,0,9,168,50,0,218,0,0,0,3,3,0,0,0,3,0,9,9,951,105,21,8,1083,25,4,26,1112,87,7,1203,220,22,3,8,254,3,0,3,257,19,0,280,284,32,4,0,317,8,0,10,331,18,0,344,13,3,0,0,14,0,0,0,14,0,0,14,3,0,0,0,4,0,0,0,4,0,0,4,515,61,7,10,593,8,0,9,603,38,0,643,6,0,0,0,6,0,0,0,6,0,0,6,14,3,0,0,16,0,0,0,13,0,0,17,14,3,0,0,16,0,0,0,19,0,0,20,533,61,11,10,612,11,0,13,625,42,0,663,73,15,3,5,92,8,0,10,99,29,0,131,0,0,0,0,0,0,0,0,0,0,0,3,609,76,11,14,700,18,3,21,726,74,4,797,327,24,12,5,369,3,0,3,372,9,0,381,341,47,8,0,394,9,0,14,411,17,0,425
Armidale Regional (A),10130,104,3,3,3,114,32,0,141,0,0,0,0,0,0,0,0,0,0,3,3,529,78,7,19,631,10,7,19,646,53,5,704,140,24,0,0,166,6,0,8,175,14,0,184,135,22,0,0,160,0,0,0,159,3,0,161,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,3,278,49,3,3,332,4,0,7,344,15,0,358,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,4,0,0,0,0,3,0,0,0,3,3,0,4,279,49,3,3,332,5,0,8,344,20,0,364,42,13,0,3,58,4,0,4,62,23,0,80,0,0,0,0,0,0,0,0,0,0,0,0,318,64,6,7,390,12,0,15,405,43,0,442,161,23,0,0,187,5,3,5,197,13,0,205,166,36,3,6,220,3,0,3,220,11,0,234
Ballina (A),10250,128,9,3,11,135,31,3,168,0,0,0,0,0,0,0,0,0,0,3,3,642,147,13,10,806,18,3,16,828,52,9,883,168,30,3,4,202,4,3,5,212,3,0,216,204,51,3,0,266,8,0,4,266,13,0,284,4,3,3,0,5,0,0,0,5,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,379,82,6,9,480,11,6,10,493,24,0,511,3,4,0,0,8,0,0,0,8,0,0,8,0,0,0,0,3,0,0,0,3,0,0,3,4,7,0,0,14,0,0,0,14,0,0,14,392,90,6,9,488,8,6,13,500,24,0,526,58,18,0,3,78,5,0,5,84,20,0,108,0,0,0,0,3,0,0,0,3,0,0,3,452,103,10,13,575,16,6,16,591,43,0,632,262,44,3,5,313,0,3,9,317,18,0,340,296,68,8,3,371,3,0,4,377,26,0,404
Balranald (A),10300,12,0,0,0,12,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,63,3,0,0,62,0,0,0,62,0,0,63,15,0,0,0,12,0,0,0,12,0,0,12,10,0,0,0,11,0,0,0,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,27,0,0,0,27,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,29,0,0,0,29,0,0,29,7,0,0,0,7,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,38,0,0,0,38,0,0,38,16,4,0,0,22,0,0,0,22,0,0,22,14,4,0,0,21,0,0,0,21,0,0,21
Bathurst Regional (A),10470,150,6,0,6,151,43,0,197,0,0,0,3,3,0,0,0,3,0,3,5,875,94,24,19,1011,16,0,17,1034,82,4,1114,265,17,7,0,288,4,0,4,292,11,0,309,213,24,3,3,240,3,0,4,249,10,0,253,8,0,3,0,9,0,0,0,9,3,0,14,3,0,0,3,9,0,0,0,9,0,0,9,488,41,12,12,550,12,0,8,564,21,0,585,3,0,0,0,3,0,0,0,3,0,0,3,7,0,0,0,7,0,0,0,9,0,0,9,9,0,0,0,9,0,0,0,7,0,0,7,497,41,12,12,557,11,0,15,573,21,0,594,62,9,3,0,77,3,0,3,85,28,0,111,0,0,0,0,0,0,0,0,0,0,0,0,561,50,13,11,635,19,0,18,654,53,0,708,340,12,9,5,371,4,0,4,376,12,0,389,270,43,0,0,319,6,0,10,329,18,0,343
Bega Valley (A),10550,105,0,0,8,111,32,0,143,4,0,0,0,4,0,0,0,4,0,3,6,495,118,26,5,640,11,3,18,657,64,5,732,118,21,0,0,140,3,0,3,139,5,0,147,156,45,5,0,206,3,0,3,204,11,0,217,9,0,7,0,14,0,0,0,14,0,0,14,0,0,0,4,6,0,0,0,6,0,0,4,282,62,14,3,360,3,0,4,366,14,0,384,0,0,0,0,3,0,0,3,3,5,0,6,3,0,0,0,5,0,0,0,5,0,0,5,3,3,0,0,6,0,0,3,11,5,0,15,283,66,14,7,364,7,3,5,375,14,0,391,46,10,4,0,56,0,3,3,60,31,0,86,0,0,0,0,0,0,0,0,0,0,0,0,326,70,15,7,419,7,3,12,431,46,3,481,174,29,3,3,211,0,0,3,214,7,0,222,182,47,5,3,238,3,0,3,245,19,0,258
Bellingen (A),10600,47,4,0,4,52,14,3,62,0,0,0,0,0,0,0,0,0,0,0,3,164,61,3,3,228,10,0,10,241,28,0,266,40,8,3,0,49,0,0,0,49,9,0,61,40,16,0,0,61,0,0,0,68,8,0,72,0,3,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,84,33,3,3,123,0,0,0,127,17,0,143,0,0,0,0,0,3,0,3,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,88,33,3,3,125,7,0,7,128,17,0,142,10,6,0,0,24,4,0,4,26,12,0,34,0,0,0,0,0,0,0,0,0,0,0,0,104,42,3,4,146,9,0,9,157,27,3,180,57,17,3,0,79,0,0,0,79,6,0,82,68,30,0,3,105,3,0,3,102,9,0,116
Berrigan (A),10650,18,0,0,0,21,7,0,32,0,0,0,0,0,0,0,0,0,0,0,0,151,5,11,0,169,6,0,6,176,21,0,197,32,0,0,0,36,0,0,0,36,3,0,39,42,3,0,0,50,0,0,0,50,0,0,50,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,80,4,3,0,88,0,0,0,88,3,0,93,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,3,81,4,3,0,86,0,0,0,90,3,0,94,16,0,0,0,14,3,0,3,13,5,0,20,0,0,0,0,0,0,0,0,0,0,0,0,92,4,3,3,105,3,0,3,106,6,0,113,52,6,3,0,58,0,0,0,58,3,0,58,47,8,0,0,61,0,0,0,61,0,0,58
Blacktown (C),10750,2346,67,19,83,2432,527,12,2972,16,4,0,11,32,0,0,0,33,10,38,72,7757,1016,95,181,9056,236,54,285,9342,852,58,10260,1954,175,23,26,2175,54,9,66,2240,117,0,2358,1407,215,16,20,1659,30,4,36,1692,67,3,1766,53,12,16,0,84,0,0,0,84,0,0,82,30,3,0,42,73,5,0,4,75,4,4,88,3450,401,55,84,3992,87,22,109,4095,190,10,4293,73,21,0,0,96,13,0,14,107,7,0,119,107,12,0,3,124,9,8,14,140,12,0,148,181,33,0,3,216,22,9,30,247,17,0,266,3630,439,55,89,4206,112,27,137,4344,208,10,4563,1046,234,14,32,1327,52,12,66,1398,345,15,1746,7,0,0,11,25,0,0,0,26,0,23,49,4692,669,73,126,5560,162,43,200,5762,550,41,6358,2946,232,29,32,3242,96,20,117,3360,184,3,3549,1796,261,34,27,2116,48,12,62,2177,80,7,2259
Bland (A),10800,17,3,0,7,24,4,0,33,0,0,0,0,0,0,0,0,0,0,0,0,124,20,0,8,155,3,0,7,160,6,0,168,24,3,0,0,32,0,0,0,32,0,0,29,36,4,0,0,34,0,0,0,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0,0,69,0,0,0,69,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,9,0,0,69,0,0,0,69,0,0,69,5,0,0,0,5,0,0,3,12,7,0,11,0,0,0,0,0,0,0,0,0,0,0,0,66,9,0,3,76,0,0,5,79,7,0,84,37,3,0,0,41,0,0,0,41,0,0,41,25,3,0,3,31,0,0,0,31,0,0,30
