lga_name_2016,lga_code_2016,d_10_12_fpnlf_mpet,d_10_12_fpnlf_mpulftw,d_10_12_fpnlf_mpulptw,d_10_12_fpnlf_mput,d_10_12_fpnlf_mptlf,d_10_12_fpnlf_mpnlf,d_10_12_fpnlf_mplfsns,d_10_12_fpnlf_t,d_10_12_fplfsns_mpeft,d_10_12_fplfsns_mpept,d_10_12_fplfsns_mpeaw,d_10_12_fplfsns_mpehns,d_10_12_fplfsns_mpet,d_10_12_fplfsns_mpulftw,d_10_12_fplfsns_mpulptw,d_10_12_fplfsns_mput,d_10_12_fplfsns_mptlf,d_10_12_fplfsns_mpnlf,d_10_12_fplfsns_mplfsns,d_10_12_fplfsns_t,d_10_12_fpt_mpeft,d_10_12_fpt_mpept,d_10_12_fpt_mpeaw,d_10_12_fpt_mpehns,d_10_12_fpt_mpet,d_10_12_fpt_mpulftw,d_10_12_fpt_mpulptw,d_10_12_fpt_mput,d_10_12_fpt_mptlf,d_10_12_fpt_mpnlf,d_10_12_fpt_mplfsns,d_10_12_fpt_t,d_13_14_fpeft_mpeft,d_13_14_fpeft_mpept,d_13_14_fpeft_mpeaw,d_13_14_fpeft_mpehns,d_13_14_fpeft_mpet,d_13_14_fpeft_mpulftw,d_13_14_fpeft_mpulptw,d_13_14_fpeft_mput,d_13_14_fpeft_mptlf,d_13_14_fpeft_mpnlf,d_13_14_fpeft_mplfsns,d_13_14_fpeft_t,d_13_14_fpept_mpeft,d_13_14_fpept_mpept,d_13_14_fpept_mpeaw,d_13_14_fpept_mpehns,d_13_14_fpept_mpet,d_13_14_fpept_mpulftw,d_13_14_fpept_mpulptw,d_13_14_fpept_mput,d_13_14_fpept_mptlf,d_13_14_fpept_mpnlf,d_13_14_fpept_mplfsns,d_13_14_fpept_t,d_13_14_fpeaw_mpeft,d_13_14_fpeaw_mpept,d_13_14_fpeaw_mpeaw,d_13_14_fpeaw_mpehns,d_13_14_fpeaw_mpet,d_13_14_fpeaw_mpulftw,d_13_14_fpeaw_mpulptw,d_13_14_fpeaw_mput,d_13_14_fpeaw_mptlf,d_13_14_fpeaw_mpnlf,d_13_14_fpeaw_mplfsns,d_13_14_fpeaw_t,d_13_14_fphns_mpeft,d_13_14_fphns_mpept,d_13_14_fphns_mpeaw,d_13_14_fphns_mpehns,d_13_14_fphns_mpet,d_13_14_fphns_mpulftw,d_13_14_fphns_mpulptw,d_13_14_fphns_mput,d_13_14_fphns_mptlf,d_13_14_fphns_mpnlf,d_13_14_fphns_mplfsns,d_13_14_fphns_t,d_13_14_fpet_mpeft,d_13_14_fpet_mpept,d_13_14_fpet_mpeaw,d_13_14_fpet_mpehns,d_13_14_fpet_mpet,d_13_14_fpet_mpulftw,d_13_14_fpet_mpulptw,d_13_14_fpet_mput,d_13_14_fpet_mptlf,d_13_14_fpet_mpnlf,d_13_14_fpet_mplfsns,d_13_14_fpet_t,d_13_14_fpulftw_mpeft,d_13_14_fpulftw_mpept,d_13_14_fpulftw_mpeaw,d_13_14_fpulftw_mpehns,d_13_14_fpulftw_mpet,d_13_14_fpulftw_mpulftw,d_13_14_fpulftw_mpulptw,d_13_14_fpulftw_mput,d_13_14_fpulftw_mptlf,d_13_14_fpulftw_mpnlf,d_13_14_fpulftw_mplfsns,d_13_14_fpulftw_t,d_13_14_fpulptw_mpeft,d_13_14_fpulptw_mpept,d_13_14_fpulptw_mpeaw,d_13_14_fpulptw_mpehns,d_13_14_fpulptw_mpet,d_13_14_fpulptw_mpulftw,d_13_14_fpulptw_mpulptw,d_13_14_fpulptw_mput,d_13_14_fpulptw_mptlf,d_13_14_fpulptw_mpnlf,d_13_14_fpulptw_mplfsns,d_13_14_fpulptw_t,d_13_14_fput_mpeft,d_13_14_fput_mpept,d_13_14_fput_mpeaw,d_13_14_fput_mpehns,d_13_14_fput_mpet,d_13_14_fput_mpulftw,d_13_14_fput_mpulptw,d_13_14_fput_mput,d_13_14_fput_mptlf,d_13_14_fput_mpnlf,d_13_14_fput_mplfsns,d_13_14_fput_t,d_13_14_fptlf_mpeft,d_13_14_fptlf_mpept,d_13_14_fptlf_mpeaw,d_13_14_fptlf_mpehns,d_13_14_fptlf_mpet,d_13_14_fptlf_mpulftw,d_13_14_fptlf_mpulptw,d_13_14_fptlf_mput,d_13_14_fptlf_mptlf,d_13_14_fptlf_mpnlf,d_13_14_fptlf_mplfsns,d_13_14_fp_t,d_13_14_fpnlf_mpeft,d_13_14_fpnlf_mpept,d_13_14_fpnlf_mpeaw,d_13_14_fpnlf_mpehns,d_13_14_fpnlf_mpet,d_13_14_fpnlf_mpulftw,d_13_14_fpnlf_mpulptw,d_13_14_fpnlf_mput,d_13_14_fpnlf_mptlf,d_13_14_fpnlf_mpnlf,d_13_14_fpnlf_mplfsns,d_13_14_fpnlf_t,d_13_14_fplfsns_mpeft,d_13_14_fplfsns_mpept,d_13_14_fplfsns_mpeaw,d_13_14_fplfsns_mpehns,d_13_14_fplfsns_mpet,d_13_14_fplfsns_mpulftw,d_13_14_fplfsns_mpulptw,d_13_14_fplfsns_mput,d_13_14_fplfsns_mptlf,d_13_14_fplfsns_mpnlf,d_13_14_fplfsns_mplfsns,d_13_14_fplfsns_t,d_13_14_fpt_mpeft,d_13_14_fpt_mpept,d_13_14_fpt_mpeaw,d_13_14_fpt_mpehns,d_13_14_fpt_mpet,d_13_14_fpt_mpulftw,d_13_14_fpt_mpulptw,d_13_14_fpt_mput,d_13_14_fpt_mptlf,d_13_14_fpt_mpnlf,d_13_14_fpt_mplfsns,d_13_14_fpt_t,d_15_17_fpeft_mpeft,d_15_17_fpeft_mpept,d_15_17_fpeft_mpeaw,d_15_17_fpeft_mpehns,d_15_17_fpeft_mpet,d_15_17_fpeft_mpulftw,d_15_17_fpeft_mpulptw,d_15_17_fpeft_mput,d_15_17_fpeft_mptlf,d_15_17_fpeft_mpnlf,d_15_17_fpeft_mplfsns,d_15_17_fpeft_t,d_15_17_fpept_mpeft,d_15_17_fpept_mpept,d_15_17_fpept_mpeaw,d_15_17_fpept_mpehns,d_15_17_fpept_mpet,d_15_17_fpept_mpulftw,d_15_17_fpept_mpulptw,d_15_17_fpept_mput,d_15_17_fpept_mptlf,d_15_17_fpept_mpnlf,d_15_17_fpept_mplfsns,d_15_17_fpept_t
Ararat (RC),20260,34,4,0,4,36,11,0,49,0,0,0,0,0,0,0,0,0,0,0,0,192,34,6,4,235,8,7,12,244,14,0,257,39,6,0,0,47,0,0,0,47,0,0,49,41,7,4,0,55,3,0,3,52,3,0,58,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,86,11,3,0,97,3,0,3,102,3,0,105,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,83,9,3,0,100,5,0,5,107,3,0,107,11,4,0,0,15,0,0,0,15,7,0,27,0,0,0,0,0,0,0,0,0,0,0,0,97,13,3,0,116,4,0,4,122,15,3,139,52,12,0,0,59,0,0,0,61,0,0,67,69,4,4,3,83,7,0,7,93,10,0,100
Ballarat (C),20570,380,18,4,26,403,85,4,494,0,0,0,0,0,0,0,0,0,0,3,6,1923,253,26,38,2233,56,9,67,2304,179,7,2486,403,47,4,0,459,5,0,4,466,14,3,481,575,62,6,7,646,9,5,11,659,17,0,678,18,0,4,0,17,3,0,3,19,0,0,24,3,0,0,7,12,0,0,0,12,0,0,13,999,107,17,11,1131,18,8,23,1156,39,3,1200,8,0,0,0,8,3,0,3,8,0,0,10,16,3,0,0,22,0,0,0,22,3,0,21,23,3,0,0,28,3,0,3,28,6,0,34,1021,112,17,17,1163,16,8,26,1182,43,3,1230,156,24,3,3,191,10,3,11,204,58,3,268,0,0,0,0,0,0,0,0,0,0,0,3,1183,132,21,14,1354,27,7,34,1390,105,9,1497,568,56,7,3,627,14,5,23,649,35,0,686,748,85,12,4,844,18,3,19,865,44,0,906
Banyule (C),20660,540,9,0,13,556,62,0,623,5,0,0,0,11,0,0,0,11,0,3,12,2569,252,30,49,2893,50,11,62,2956,134,13,3104,468,54,13,6,540,9,9,21,555,25,0,587,762,65,12,4,842,6,3,10,854,23,0,879,14,0,0,0,20,0,0,0,15,0,0,22,16,0,0,6,25,0,0,0,25,0,0,22,1255,122,25,18,1420,16,14,28,1453,53,0,1501,12,3,0,0,12,3,0,3,16,0,0,13,20,3,0,0,29,3,0,3,31,3,0,38,30,6,0,0,43,8,0,8,43,3,0,48,1290,132,25,18,1463,28,14,35,1496,50,0,1554,230,38,0,6,278,5,3,11,290,51,0,338,3,0,0,4,6,0,0,0,6,0,0,8,1522,170,24,32,1749,31,16,50,1790,102,3,1900,698,100,9,7,811,17,5,24,836,44,0,883,998,90,13,7,1109,16,3,17,1126,46,0,1171
Bass Coast (S),20740,75,3,3,7,82,19,0,101,0,0,0,0,0,0,0,0,0,0,0,3,496,100,13,14,618,18,3,21,637,56,4,691,108,13,0,0,122,0,0,0,125,14,0,141,146,30,0,0,183,10,0,10,195,10,0,198,8,0,7,0,10,0,0,0,13,0,0,13,3,0,0,0,4,0,0,0,4,0,0,4,268,53,8,4,326,7,0,7,338,21,0,356,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,7,0,0,0,4,0,0,4,8,0,0,0,10,0,0,0,12,0,0,12,270,52,8,4,330,9,0,9,344,21,0,367,26,14,0,0,37,0,0,0,41,16,0,54,3,0,0,0,3,0,0,0,3,0,0,4,297,62,10,4,375,14,0,14,386,35,0,424,163,20,4,0,188,0,0,0,186,11,0,199,196,42,3,4,251,4,0,4,258,11,0,266
Baw Baw (S),20830,221,9,3,13,232,26,0,260,0,0,0,3,3,0,0,0,3,0,0,0,1008,116,21,23,1165,24,6,24,1186,69,3,1265,195,15,3,0,211,0,0,3,214,9,0,221,304,34,3,5,345,3,0,3,348,10,0,364,13,0,0,0,10,0,0,0,9,0,0,14,0,0,3,4,11,0,0,0,11,0,0,8,505,54,11,11,580,3,0,7,583,23,0,609,4,0,0,0,4,0,0,0,4,0,0,4,11,0,0,0,10,0,0,0,13,0,0,12,12,0,0,0,16,0,0,0,19,0,0,20,522,55,11,11,596,3,3,5,602,30,0,630,111,20,3,6,136,3,4,9,148,29,0,177,0,0,0,0,0,0,0,0,3,0,0,3,633,72,16,13,734,11,7,17,746,54,0,806,306,24,3,0,333,3,3,4,341,15,0,356,411,43,3,8,466,4,0,4,468,20,0,489
Bayside (C),20910,629,13,4,14,640,33,3,673,3,0,0,0,4,0,0,0,4,0,7,8,2818,201,21,34,3077,48,13,54,3134,122,9,3261,551,51,3,0,607,16,0,16,622,19,0,642,811,61,0,4,878,12,0,12,889,17,0,903,11,3,7,0,20,0,0,0,21,0,0,25,14,0,0,10,23,3,0,3,25,0,0,25,1390,113,6,10,1522,27,0,27,1552,39,0,1590,14,0,0,0,15,3,0,3,23,0,0,23,33,0,0,0,33,6,0,6,40,0,0,40,51,0,0,0,50,7,0,7,60,0,0,60,1439,114,6,13,1571,33,0,33,1611,39,0,1650,307,30,3,3,349,9,0,9,359,23,0,388,3,0,0,0,3,0,0,0,3,0,0,3,1751,148,10,14,1924,44,0,46,1972,64,3,2041,785,68,3,4,857,20,3,23,881,32,3,914,1103,100,3,6,1218,20,0,25,1244,34,0,1275
Benalla (RC),21010,40,3,0,3,44,18,0,62,0,0,0,0,0,0,0,0,0,0,0,0,211,16,7,9,243,9,0,9,256,28,0,282,47,7,0,0,54,0,0,0,54,3,0,59,63,10,0,0,73,0,0,0,73,0,0,70,4,0,0,0,3,0,0,0,3,0,0,5,3,0,0,0,3,0,0,0,3,0,0,3,115,14,3,0,128,0,0,0,128,7,0,139,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,5,3,0,0,0,3,0,0,0,3,0,0,5,116,14,3,0,137,0,0,0,137,10,0,144,23,3,0,0,28,3,0,3,28,9,0,37,0,0,0,0,0,0,0,0,0,0,0,0,144,13,3,0,165,3,0,3,168,13,0,183,82,9,0,3,86,0,3,4,94,8,0,98,81,11,3,0,98,0,0,0,98,3,4,99
Boroondara (C),21110,931,34,11,39,973,86,3,1060,4,3,0,3,16,0,0,0,16,0,3,19,4287,407,47,53,4789,99,28,123,4912,227,5,5144,902,102,9,3,1016,27,7,29,1047,49,4,1093,1244,112,10,14,1376,28,5,28,1403,34,3,1447,26,3,3,0,33,0,0,0,33,0,0,36,18,3,0,16,34,3,0,3,43,3,0,40,2190,222,19,33,2465,54,12,64,2523,89,3,2614,37,0,0,0,35,8,0,8,43,0,0,43,53,3,0,0,59,0,0,0,63,0,0,63,90,4,0,0,98,8,0,10,102,0,0,103,2280,225,21,30,2557,61,11,72,2626,89,3,2726,502,63,14,4,578,20,3,21,599,64,0,667,3,0,0,6,8,0,0,0,8,0,0,8,2790,287,28,38,3148,76,13,94,3240,154,7,3396,1334,132,14,9,1491,41,7,42,1530,94,0,1627,1643,165,10,11,1829,37,7,37,1870,63,0,1936
Brimbank (C),21180,1145,71,11,81,1222,324,3,1550,4,3,0,8,20,0,0,0,20,9,33,54,2916,640,64,113,3733,181,47,230,3961,532,41,4537,633,81,10,3,728,16,8,21,756,49,0,803,683,139,11,10,845,17,6,18,864,66,3,928,25,3,4,0,26,0,0,3,27,0,0,29,13,6,0,17,36,3,0,3,38,0,4,48,1354,228,21,31,1637,34,14,45,1681,117,4,1801,24,14,0,0,42,15,0,16,61,8,0,63,43,28,3,0,68,14,8,15,84,9,0,91,65,42,4,0,115,26,6,34,147,15,0,156,1420,275,23,33,1749,60,18,78,1832,129,4,1964,496,145,7,25,672,58,4,56,729,223,3,955,3,0,0,8,7,0,0,0,13,3,14,29,1914,418,30,63,2435,118,22,142,2571,357,22,2946,934,111,10,18,1070,31,8,36,1110,86,4,1200,909,198,15,22,1139,21,5,33,1169,87,3,1260
Buloke (S),21270,23,0,0,0,23,13,0,34,3,0,0,0,3,0,0,0,3,0,0,3,134,13,4,6,158,3,0,3,163,12,0,180,22,4,0,0,25,0,0,0,25,0,0,25,52,3,0,0,60,0,0,0,60,0,0,60,4,0,0,0,4,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,76,4,0,0,91,0,0,0,91,0,0,91,0,0,0,0,0,3,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,3,76,4,0,0,91,3,0,3,92,0,0,92,10,0,0,0,13,0,0,0,13,7,0,24,0,0,0,0,0,0,0,0,0,0,0,0,88,9,4,0,100,3,0,3,104,7,0,112,43,0,0,0,43,0,0,0,43,0,0,47,71,5,4,0,81,0,0,0,81,3,3,85
Campaspe (S),21370,118,3,0,3,127,31,0,156,0,0,0,0,0,0,0,0,0,0,5,10,707,84,19,10,824,8,0,8,837,62,11,913,184,10,3,3,202,0,0,0,205,10,0,218,232,21,3,5,261,0,0,3,265,8,4,277,13,0,3,0,19,0,0,0,19,0,0,19,0,0,0,5,5,0,0,0,5,0,0,8,434,36,12,11,488,0,0,3,494,24,4,518,3,0,0,0,6,0,0,0,6,0,0,6,4,0,0,0,3,0,0,0,3,0,0,3,10,0,0,0,6,0,0,0,6,0,0,8,438,39,12,14,500,0,0,3,503,25,4,527,65,9,3,3,85,3,0,3,85,19,0,102,0,0,0,0,0,0,0,0,0,0,0,3,507,42,17,16,587,3,0,5,592,40,8,637,285,24,3,0,314,3,0,3,315,12,0,331,301,28,9,6,338,7,3,11,349,7,4,361
Cardinia (S),21450,583,22,5,28,608,72,0,680,0,0,3,4,6,0,0,0,6,0,6,14,2397,255,34,35,2719,55,11,67,2783,155,6,2952,458,51,0,0,507,9,0,9,513,13,0,531,681,48,12,10,749,5,3,5,757,16,0,773,21,0,8,0,28,0,0,0,28,0,0,28,7,0,0,4,14,0,0,0,11,0,0,18,1169,97,18,21,1293,15,3,20,1315,38,0,1351,19,3,0,0,19,0,0,0,22,0,0,23,31,3,0,0,36,0,0,0,36,3,0,36,48,7,0,0,54,0,0,0,57,4,0,57,1211,104,13,21,1352,12,3,15,1370,39,0,1410,256,41,5,9,311,8,0,6,314,47,0,366,0,0,0,0,3,0,0,0,3,0,3,9,1469,142,20,26,1661,18,7,28,1689,85,6,1779,658,53,6,3,729,12,0,17,740,23,3,767,884,79,13,9,983,8,0,11,1000,31,0,1033
Casey (C),21610,2329,92,22,114,2444,482,5,2933,16,3,0,9,25,0,0,0,25,6,29,60,7202,1069,106,166,8549,262,54,317,8862,789,58,9716,1439,176,19,12,1639,35,9,47,1688,84,3,1769,1634,239,23,20,1917,33,15,48,1964,77,7,2046,51,11,0,0,62,0,0,0,60,0,0,60,30,7,0,35,68,4,0,7,72,9,3,83,3143,429,45,63,3680,75,24,100,3780,168,7,3958,61,6,0,3,73,16,0,16,88,15,0,101,98,16,3,0,120,14,0,12,129,9,0,136,162,26,7,3,192,28,0,33,222,22,0,242,3300,456,47,66,3871,105,20,129,4002,192,11,4201,1021,196,17,35,1270,42,8,50,1311,319,6,1635,9,0,0,3,7,0,0,0,7,4,22,35,4332,649,68,102,5153,148,28,179,5328,507,40,5876,2210,256,28,15,2501,39,8,52,2549,131,5,2684,2275,316,40,21,2643,39,7,51,2691,125,3,2818
Central Goldfields (S),21670,43,0,0,0,46,25,0,66,0,0,0,0,0,0,0,0,0,0,0,0,168,36,0,3,212,6,0,6,216,46,0,263,29,4,0,0,32,0,0,0,32,6,0,33,43,6,0,0,58,0,4,7,64,6,0,71,3,0,0,0,4,0,0,0,4,0,0,4,0,0,0,3,3,0,0,0,3,0,0,3,74,11,0,3,90,0,4,7,94,10,0,107,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,75,11,0,6,94,0,3,4,103,10,0,117,19,3,3,0,27,0,0,0,25,19,0,41,0,0,0,0,0,0,0,0,0,0,0,0,92,19,8,6,126,3,3,3,127,31,0,155,46,0,0,0,47,0,0,0,49,3,0,50,73,14,4,0,87,0,0,0,91,5,0,95
Colac-Otway (S),21750,60,3,0,3,64,12,0,75,0,0,0,0,0,0,0,0,0,0,4,5,433,49,11,13,505,3,0,9,510,24,8,541,82,8,0,0,93,0,0,3,90,0,0,93,159,13,0,3,179,0,3,3,185,6,0,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,27,0,7,271,0,3,9,277,10,0,290,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,5,0,0,0,5,0,0,0,4,0,0,4,249,27,0,7,274,3,3,5,287,10,0,296,28,0,3,0,35,0,0,0,37,8,0,38,0,0,0,0,0,0,0,0,0,0,3,3,271,29,4,8,308,3,3,6,321,10,3,335,118,22,0,3,139,0,0,0,143,3,0,150,170,17,3,0,198,0,3,7,203,9,0,210
Corangamite (S),21830,64,3,0,3,67,11,0,78,0,0,0,0,0,0,0,0,0,0,0,0,363,39,4,4,417,11,0,11,420,16,0,442,88,8,0,0,94,0,0,0,94,3,0,95,117,13,0,0,129,3,0,4,131,4,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,5,0,0,6,209,17,0,6,230,3,0,4,236,10,0,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,211,17,0,6,233,3,0,3,240,7,0,246,22,6,0,3,28,3,0,3,33,8,0,39,0,0,0,0,0,0,0,0,0,0,0,0,232,19,0,7,268,3,0,10,270,14,0,290,151,16,0,0,168,0,0,0,168,4,0,171,140,15,3,0,158,3,0,3,158,4,0,165
Darebin (C),21890,505,19,9,25,534,141,0,677,3,0,0,0,5,0,0,0,5,0,3,9,2348,393,37,50,2824,64,19,88,2907,242,5,3157,407,74,3,3,491,11,0,9,497,29,0,526,613,92,3,3,716,13,3,15,729,22,0,755,8,0,6,0,17,0,0,0,17,0,0,19,4,0,0,12,14,0,0,0,14,3,0,22,1043,160,17,17,1239,18,4,20,1259,54,0,1318,11,3,0,0,12,7,0,8,21,0,0,24,34,0,0,0,42,3,4,6,43,0,0,44,44,3,0,0,49,8,3,14,67,0,0,72,1086,165,17,20,1285,28,9,33,1321,62,0,1383,235,56,7,7,300,6,6,16,315,81,0,399,3,0,0,0,10,0,0,0,10,0,6,18,1320,226,20,29,1593,35,15,49,1641,144,12,1793,548,89,13,4,651,21,3,20,677,47,0,720,797,109,6,5,919,16,6,23,935,47,0,984
East Gippsland (S),22110,110,3,0,3,113,46,0,160,4,0,0,0,4,0,0,0,4,0,4,4,649,118,27,17,814,11,5,17,824,93,4,928,130,15,0,3,150,3,3,3,153,11,0,169,230,34,7,4,276,3,0,3,274,15,0,289,3,6,4,0,15,0,0,0,15,0,0,15,3,0,0,3,7,0,0,0,7,0,0,8,360,54,10,10,440,3,3,5,450,31,0,482,4,3,0,0,8,0,0,0,8,0,0,8,4,0,0,0,4,0,0,0,4,0,0,4,8,3,0,0,7,0,0,0,7,0,0,7,367,59,10,10,454,3,3,5,457,31,0,489,50,10,0,3,62,5,0,3,66,34,0,103,0,0,0,0,0,0,0,0,0,0,3,7,422,73,16,12,519,4,4,10,528,62,6,595,188,26,10,0,220,3,0,3,231,9,0,245,262,41,3,3,311,7,0,7,319,24,0,341
Frankston (C),22170,602,19,3,29,631,110,4,742,0,0,0,4,6,0,0,0,6,0,4,15,2464,305,49,37,2853,70,13,82,2938,189,10,3138,440,59,6,13,510,8,0,8,518,36,0,557,666,78,11,4,753,9,0,11,763,25,0,789,19,0,6,0,33,0,0,0,35,0,0,35,3,0,0,5,10,0,0,0,10,0,0,10,1135,133,21,22,1305,19,0,18,1325,64,0,1392,17,0,0,0,17,3,0,3,23,0,0,20,38,4,0,0,43,5,0,5,45,5,0,50,53,4,0,0,60,8,0,8,64,6,0,71,1183,133,21,19,1362,26,0,30,1390,69,0,1464,256,38,0,10,299,10,0,8,313,81,0,389,0,0,0,0,3,0,0,0,3,0,0,3,1440,172,25,31,1667,37,3,41,1704,153,3,1855,701,86,10,10,809,12,4,14,823,44,0,864,905,90,14,7,1018,11,3,16,1032,37,0,1068
Gannawarra (S),22250,39,0,0,0,41,5,0,48,0,0,0,0,0,0,0,0,0,0,0,0,197,14,9,6,225,3,0,3,226,21,3,249,51,3,0,0,57,0,0,0,58,0,0,60,59,3,0,0,65,0,0,0,67,4,0,72,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,120,8,3,0,129,3,0,3,131,7,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,3,0,0,0,5,0,0,9,118,8,3,0,132,3,0,3,136,7,0,142,23,6,0,0,26,0,0,0,26,12,0,40,0,0,0,0,0,0,0,0,0,0,0,3,145,11,3,5,161,3,0,3,165,18,3,178,77,4,0,0,88,3,0,3,92,0,0,92,109,7,0,0,119,0,0,0,119,4,0,125
Greater Shepparton (C),22830,298,12,0,11,313,134,0,442,3,0,0,0,4,0,0,0,4,0,0,7,1202,153,41,23,1427,37,4,45,1474,181,0,1659,288,23,4,3,322,7,3,14,339,10,0,349,342,45,3,9,404,5,0,5,407,11,0,419,12,0,0,0,16,0,0,0,16,0,0,16,4,3,0,3,8,0,0,0,8,0,0,8,656,75,7,17,755,18,3,20,770,27,0,795,14,0,0,0,15,4,0,4,21,0,0,21,14,0,0,0,16,0,0,0,14,0,0,19,25,0,0,0,31,4,0,5,36,0,0,37,678,74,7,17,777,19,3,21,803,29,0,828,106,20,11,4,143,8,3,6,152,81,0,229,0,0,0,3,0,0,0,0,0,0,3,11,791,91,19,19,923,29,10,30,956,106,3,1067,433,47,14,5,496,10,0,14,509,28,0,537,508,57,11,5,583,10,0,8,587,31,0,622
Hepburn (S),22910,67,3,0,7,75,11,0,84,0,0,0,0,0,0,0,0,0,0,0,0,223,57,12,12,295,3,4,6,303,24,0,332,38,6,3,0,45,0,0,0,45,4,0,49,60,15,3,0,79,0,0,0,85,8,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,3,98,19,3,4,129,0,0,0,134,12,0,144,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,106,19,3,4,132,3,0,3,134,13,0,152,29,3,0,0,40,0,0,0,36,13,0,48,0,0,0,0,0,0,0,0,0,0,0,3,133,24,7,4,171,3,0,5,175,27,0,204,57,3,0,0,57,0,0,0,57,3,0,68,73,12,0,0,87,0,0,0,87,11,0,96
Hindmarsh (S),22980,25,0,0,0,25,5,0,39,0,0,0,0,0,0,0,0,0,0,0,0,111,6,0,3,119,3,0,3,116,10,0,132,31,0,0,0,29,0,0,0,32,0,0,29,39,0,0,0,41,0,0,0,41,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,4,70,0,0,0,68,4,0,70,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,63,0,0,4,67,0,0,3,75,6,0,75,14,0,0,0,13,0,0,0,15,5,0,19,0,0,0,0,0,0,0,0,0,0,0,0,78,5,0,4,86,0,0,4,86,7,0,98,37,0,5,0,43,0,0,0,43,3,0,48,48,10,0,0,55,0,0,0,55,8,0,60
Hobsons Bay (C),23110,403,9,3,13,419,84,3,503,3,0,0,3,5,0,0,0,5,6,10,21,1606,202,25,31,1860,46,7,52,1916,161,16,2087,301,46,0,0,348,3,0,4,352,16,0,373,429,40,11,5,480,3,5,3,486,23,0,503,13,6,6,0,26,0,0,0,26,0,0,23,3,3,0,0,10,0,0,0,8,0,0,10,748,91,15,5,862,4,7,8,868,42,0,912,14,0,0,0,14,0,0,0,17,0,0,16,13,3,0,0,11,3,0,3,13,0,0,13,25,5,0,0,25,5,0,5,27,0,0,30,770,97,15,5,883,13,7,14,898,38,0,943,156,43,4,3,213,10,0,9,216,68,3,286,0,0,0,0,3,0,0,0,3,0,5,7,926,137,26,14,1099,18,3,26,1118,106,10,1238,491,68,3,3,565,11,3,14,581,37,0,624,527,67,9,3,608,10,0,13,617,26,3,647
Horsham (RC),23190,63,0,0,4,65,15,0,80,0,0,0,0,0,0,0,0,0,0,3,3,413,38,6,10,466,7,0,13,480,22,3,503,80,7,0,0,85,0,0,3,90,0,0,91,135,24,0,5,157,4,0,4,164,0,0,164,3,0,3,0,4,0,0,0,4,0,0,4,0,0,0,0,3,0,0,0,3,0,0,0,215,29,3,4,254,5,0,8,262,0,0,264,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,0,3,4,0,0,0,4,0,0,0,4,0,0,5,222,29,3,4,257,5,0,8,260,3,0,269,26,9,0,0,29,0,0,0,34,3,0,38,0,0,0,0,0,0,0,0,0,0,0,0,245,34,3,4,289,5,0,9,295,5,0,305,125,7,0,0,132,0,0,0,136,6,0,141,173,28,0,0,198,4,0,4,202,3,0,204
