LGA_MAIN11,M_Hbn_in_RM_0_14,M_Hbn_in_RM_15_24,M_Hbn_in_RM_25_34,M_Hbn_in_RM_35_44,M_Hbn_in_RM_45_54,M_Hbn_in_RM_55_64,M_Hbn_in_RM_65_74,M_Hbn_in_RM_75_84,M_Hbn_in_RM_85ov,M_Hbn_in_RM_Tot,M_Ptn_in_DFM_0_14,M_Ptn_in_DFM_15_24,M_Ptn_in_DFM_25_34,M_Ptn_in_DFM_35_44,M_Ptn_in_DFM_45_54,M_Ptn_in_DFM_55_64,M_Ptn_in_DFM_65_74,M_Ptn_in_DFM_75_84,M_Ptn_in_DFM_85ov,M_Ptn_in_DFM_Tot,M_LonePnt_0_14,M_LonePnt_15_24,M_LonePnt_25_34,M_LonePnt_35_44,M_LonePnt_45_54,M_LonePnt_55_64,M_LonePnt_65_74,M_LonePnt_75_84,M_LonePnt_85ov,M_LonePnt_Tot,M_CU15_0_14,M_CU15_15_24,M_CU15_25_34,M_CU15_35_44,M_CU15_45_54,M_CU15_55_64,M_CU15_65_74,M_CU15_75_84,M_CU15_85ov,M_CU_15_Tot,M_DpStu_0_14,M_DpStu_15_24,M_DpStu_25_34,M_DpStu_35_44,M_DpStu_45_54,M_DpStu_55_64,M_DpStu_65_74,M_DpStu_75_84,M_DpStu_85ov,M_DpStu_Tot,M_NDpChl_0_14,M_NDpChl_15_24,M_NDpChl_25_34,M_NDpChl_35_44,M_NDpChl_45_54,M_NDpChl_55_64,M_NDpChl_65_74,M_NDpChl_75_84,M_NDpChl_85ov,M_NDpChl_Tot,M_OthRI_0_14,M_OthRI_15_24,M_OthRI_25_34,M_OthRI_35_44,M_OthRI_45_54,M_OthRI_55_64,M_OthRI_65_74,M_OthRI_75_84,M_OthRI_85ov,M_OthRI_Tot,M_URI_in_FH_0_14,M_URI_in_FH_15_24,M_URI_in_FH_25_34,M_URI_in_FH_35_44,M_URI_in_FH_45_54,M_URI_in_FH_55_64,M_URI_in_FH_65_74,M_URI_in_FH_75_84,M_URI_in_FH_85ov,M_URI_in_FH_Tot,M_GrpH_Mem_0_14,M_GrpH_Mem_15_24,M_GrpH_Mem_25_34,M_GrpH_Mem_35_44,M_GrpH_Mem_45_54,M_GrpH_Mem_55_64,M_GrpH_Mem_65_74,M_GrpH_Mem_75_84,M_GrpH_Mem_85ov,M_GrpH_Mem_Tot,M_LonePsn_0_14,M_LonePsn_15_24,M_LonePsn_25_34,M_LonePsn_35_44,M_LonePsn_45_54,M_LonePsn_55_64,M_LonePsn_65_74,M_LonePsn_75_84,M_LonePsn_85ov,M_LonePsn_Tot,M_Vis_within_Aus_0_14,M_Vis_within_Aus_15_24,M_Vis_within_Aus_25_34,M_Vis_within_Aus_35_44,M_Vis_within_Aus_45_54,M_Vis_within_Aus_55_64,M_Vis_within_Aus_65_74,M_Vis_within_Aus_75_84,M_Vis_within_Aus_85ov,M_Vis_within_Aus_Tot,M_Tot_0_14,M_Tot_15_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Wife_in_RM_0_14,F_Wife_in_RM_15_24,F_Wife_in_RM_25_34,F_Wife_in_RM_35_44,F_Wife_in_RM_45_54,F_Wife_in_RM_55_64,F_Wife_in_RM_65_74,F_Wife_in_RM_75_84,F_Wife_in_RM_85ov,F_Wife_in_RM_Tot,F_Ptn_in_DFM_0_14,F_Ptn_in_DFM_15_24,F_Ptn_in_DFM_25_34,F_Ptn_in_DFM_35_44,F_Ptn_in_DFM_45_54,F_Ptn_in_DFM_55_64,F_Ptn_in_DFM_65_74,F_Ptn_in_DFM_75_84,F_Ptn_in_DFM_85ov,F_Ptn_in_DFM_Tot,F_LonePnt_0_14,F_LonePnt_15_24,F_LonePnt_25_34,F_LonePnt_35_44,F_LonePnt_45_54,F_LonePnt_55_64,F_LonePnt_65_74,F_LonePnt_75_84,F_LonePnt_85ov,F_LonePnt_Tot,F_CU15_0_14,F_CU15_15_24,F_CU15_25_34,F_CU15_35_44,F_CU15_45_54,F_CU15_55_64,F_CU15_65_74,F_CU15_75_84,F_CU15_85ov,F_CU_15_Tot,F_DpStu_0_14,F_DpStu_15_24,F_DpStu_25_34,F_DpStu_35_44,F_DpStu_45_54,F_DpStu_55_64,F_DpStu_65_74,F_DpStu_75_84,F_DpStu_85ov,F_DpStu_Tot,F_NDpChl_0_14,F_NDpChl_15_24,F_NDpChl_25_34,F_NDpChl_35_44,F_NDpChl_45_54,F_NDpChl_55_64,F_NDpChl_65_74,F_NDpChl_75_84,F_NDpChl_85ov,F_NDpChl_Tot,F_OthRI_0_14,F_OthRI_15_24,F_OthRI_25_34,F_OthRI_35_44,F_OthRI_45_54,F_OthRI_55_64,F_OthRI_65_74,F_OthRI_75_84,F_OthRI_85ov,F_OthRI_Tot,F_URI_in_FH_0_14,F_URI_in_FH_15_24,F_URI_in_FH_25_34,F_URI_in_FH_35_44,F_URI_in_FH_45_54,F_URI_in_FH_55_64,F_URI_in_FH_65_74,F_URI_in_FH_75_84,F_URI_in_FH_85ov,F_URI_in_FH_Tot,LGA_NAME11
10050,0,48,960,1609,1785,1655,1066,647,128,7898,0,284,550,330,248,160,61,12,3,1648,0,6,32,104,119,64,24,15,9,373,4462,0,0,0,0,0,0,0,0,4462,0,967,0,0,0,0,0,0,0,967,0,861,270,138,91,31,4,0,0,1395,0,102,64,25,33,20,27,11,5,287,0,75,55,24,23,12,3,3,0,195,0,414,276,67,63,64,32,8,4,928,0,219,416,401,430,463,278,211,63,2481,86,129,96,60,57,61,38,25,3,555,4548,3105,2719,2758,2849,2530,1533,932,215,21189,0,119,1236,1766,1852,1615,963,455,72,8078,0,409,511,343,269,132,41,7,0,1712,0,112,371,550,472,141,69,71,49,1835,4296,0,0,0,0,0,0,0,0,4296,0,1041,0,0,0,0,0,0,0,1041,0,544,133,34,64,18,8,0,0,801,0,115,46,24,35,51,40,33,30,374,0,77,29,12,7,9,3,0,0,137,Albury (C)
10110,0,37,363,644,876,800,541,283,68,3612,0,154,238,149,141,98,28,3,0,811,0,5,18,34,62,25,16,7,9,176,2120,0,0,0,0,0,0,0,0,2120,0,503,0,0,0,0,0,0,0,503,0,358,123,55,47,26,0,0,0,609,0,67,42,18,16,8,5,5,4,165,0,55,24,10,12,5,0,0,0,106,0,266,116,42,31,24,14,4,0,497,0,69,153,133,204,186,126,92,29,992,43,95,46,34,24,30,27,10,0,309,2163,1609,1123,1119,1413,1202,757,404,110,9900,0,73,460,755,954,718,504,175,38,3677,0,229,230,156,145,66,13,3,0,842,0,80,168,239,210,79,31,51,14,872,2015,0,0,0,0,0,0,0,0,2015,0,518,0,0,0,0,0,0,0,518,0,226,49,29,17,10,0,0,0,331,0,72,19,12,14,19,19,21,14,190,0,54,15,6,3,3,3,0,0,84,Armidale Dumaresq (A)
10250,0,27,467,1165,1478,1724,1322,805,240,7228,0,110,312,308,303,219,72,30,7,1361,0,6,13,89,134,87,30,20,9,388,3444,0,0,0,0,0,0,0,0,3444,0,788,0,0,0,0,0,0,0,788,0,609,269,144,102,49,10,0,0,1183,0,77,35,34,34,31,23,19,18,271,0,58,37,36,29,16,11,0,0,187,0,139,148,96,92,83,49,21,9,637,0,42,145,191,350,345,247,228,123,1671,66,57,60,42,47,58,38,15,0,383,3510,1913,1486,2105,2569,2612,1802,1138,406,17541,0,45,645,1413,1621,1713,1184,614,110,7345,0,166,336,356,333,160,57,15,3,1426,0,56,214,465,430,152,83,88,59,1547,3245,0,0,0,0,0,0,0,0,3245,0,828,0,0,0,0,0,0,0,828,0,370,122,51,48,36,3,0,0,630,0,70,21,14,38,57,47,66,38,351,0,55,28,11,13,8,5,0,0,120,Ballina (A)
10300,0,5,36,72,98,110,54,29,6,410,0,10,18,22,18,14,4,0,0,86,0,0,0,4,6,3,0,0,0,13,231,0,0,0,0,0,0,0,0,231,0,39,0,0,0,0,0,0,0,42,0,35,17,8,7,0,0,0,0,67,0,0,3,0,3,3,0,3,0,12,0,3,0,3,0,0,0,0,0,6,0,3,4,5,3,0,3,0,0,18,0,8,13,17,22,13,24,13,3,113,6,12,6,5,0,12,0,3,0,44,237,115,97,136,157,158,85,48,9,1042,0,6,45,89,107,98,50,20,0,415,0,18,21,17,19,10,0,0,0,85,0,5,15,12,14,8,6,3,0,63,193,0,0,0,0,0,0,0,0,193,0,39,0,0,0,0,0,0,0,39,0,21,7,4,6,3,0,0,0,41,0,3,0,0,3,3,3,5,0,17,0,3,0,0,0,0,0,0,0,3,Balranald (A)
10350,0,284,4871,7365,7893,6360,4239,2492,608,34112,0,159,660,607,513,264,96,26,8,2333,0,28,75,234,386,311,156,124,80,1394,19332,0,0,0,0,0,0,0,0,19332,0,5725,0,0,0,0,0,0,0,5725,0,4576,3542,1168,665,286,29,0,0,10266,0,693,539,328,299,279,159,131,58,2486,0,234,258,203,179,108,39,16,4,1041,0,196,409,241,287,214,117,49,14,1527,0,182,529,686,946,1019,779,640,327,5108,176,196,262,196,131,101,58,44,15,1179,19508,12273,11145,11028,11299,8942,5672,3522,1114,84503,0,986,6649,7984,7642,5724,3305,1719,280,34289,0,262,718,610,461,241,57,24,3,2376,0,218,1156,1958,1981,1029,493,534,307,7676,18105,0,0,0,0,0,0,0,0,18105,0,5958,0,0,0,0,0,0,0,5958,0,3208,2148,637,325,202,37,0,0,6557,0,518,399,180,285,479,417,508,259,3045,0,235,215,78,77,61,17,18,5,706,Bankstown (C)
10470,0,44,695,1242,1401,1403,919,461,81,6246,0,251,430,279,241,134,48,6,0,1389,0,5,27,57,86,42,26,9,4,256,3836,0,0,0,0,0,0,0,0,3836,0,754,0,0,0,0,0,0,0,754,0,703,246,110,80,21,3,0,0,1163,0,101,38,24,23,33,19,14,9,261,0,82,46,23,22,13,0,0,0,186,0,326,155,71,45,39,33,13,3,685,0,102,226,252,316,320,236,150,43,1645,63,128,78,49,33,37,35,13,3,439,3899,2496,1941,2107,2247,2042,1319,666,143,16860,0,75,898,1428,1514,1298,748,357,37,6355,0,364,419,282,217,119,28,3,0,1432,0,121,286,398,321,111,59,52,23,1371,3610,0,0,0,0,0,0,0,0,3610,0,808,0,0,0,0,0,0,0,808,0,391,115,41,30,15,3,0,0,595,0,83,24,14,29,37,51,46,38,322,0,56,16,7,9,4,6,0,4,102,Bathurst Regional (A)
10550,0,11,287,811,1248,1571,1251,619,137,5935,0,104,265,293,302,264,108,12,0,1348,0,6,15,75,95,50,17,9,14,281,2675,0,0,0,0,0,0,0,0,2675,0,635,0,0,0,0,0,0,0,635,0,482,137,84,51,21,6,0,0,781,0,46,16,15,23,25,17,20,4,166,0,32,26,19,16,12,3,3,0,111,0,85,62,37,62,63,42,17,3,371,0,51,125,161,321,411,278,195,80,1622,43,71,56,38,69,92,66,28,5,468,2718,1523,989,1533,2187,2509,1788,903,243,14393,0,41,442,987,1417,1565,1083,429,56,6020,0,180,291,300,338,223,59,11,3,1405,0,44,197,311,308,91,32,52,20,1055,2547,0,0,0,0,0,0,0,0,2547,0,646,0,0,0,0,0,0,0,646,0,253,69,23,36,24,0,0,0,405,0,42,10,9,20,32,35,38,38,224,0,40,14,0,9,5,0,0,3,71,Bega Valley (A)
10600,0,6,108,298,455,517,420,238,63,2105,0,24,93,124,131,145,32,13,0,562,0,0,11,32,60,26,11,6,4,150,1170,0,0,0,0,0,0,0,0,1170,0,249,0,0,0,0,0,0,0,249,0,165,71,34,29,13,0,0,0,312,0,26,13,5,0,3,6,14,6,73,0,18,6,14,6,12,0,3,0,59,0,28,23,19,36,35,27,15,0,183,0,20,30,70,134,172,112,61,27,626,25,34,22,17,27,28,14,8,5,180,1195,570,377,613,878,951,622,358,105,5669,0,21,148,391,499,514,376,160,29,2138,0,52,106,155,169,90,26,8,3,609,0,26,81,165,169,49,22,22,13,547,1095,0,0,0,0,0,0,0,0,1095,0,286,0,0,0,0,0,0,0,286,0,107,30,13,11,10,5,0,0,176,0,16,3,0,10,19,18,20,18,104,0,20,7,9,5,3,3,0,0,47,Bellingen (A)
10650,0,10,105,232,264,389,321,198,49,1568,0,18,57,57,51,45,16,8,0,252,0,0,0,13,22,4,6,0,0,45,650,0,0,0,0,0,0,0,0,650,0,160,0,0,0,0,0,0,0,160,0,137,36,15,14,5,3,0,0,210,0,15,5,0,9,13,6,4,0,52,0,5,6,0,3,3,0,0,0,17,0,7,13,7,8,9,11,0,0,55,0,26,48,44,80,120,105,66,26,515,16,29,12,8,12,19,9,6,0,111,666,407,282,376,463,607,477,282,75,3635,0,17,159,228,324,389,323,120,23,1583,0,34,65,56,49,38,9,4,0,255,0,11,43,82,53,13,6,11,8,227,648,0,0,0,0,0,0,0,0,648,0,141,0,0,0,0,0,0,0,141,0,52,19,10,8,3,0,0,0,92,0,12,0,0,0,9,14,5,0,40,0,4,4,0,3,0,0,0,0,11,Berrigan (A)
10750,0,417,9715,14383,12921,10193,5568,2177,355,55729,0,653,2274,1697,1100,560,158,34,9,6485,0,54,217,544,724,477,234,132,44,2426,35500,0,0,0,0,0,0,0,0,35500,0,8574,0,0,0,0,0,0,0,8574,0,7860,5041,1616,718,225,22,3,0,15485,0,1208,1084,462,444,422,268,204,63,4155,0,525,611,323,245,145,35,24,0,1908,0,557,808,426,414,351,206,69,12,2843,0,251,1102,1345,1542,1360,878,574,141,7193,408,457,469,323,222,133,85,29,8,2134,35908,20556,21321,21119,18330,13866,7454,3246,632,142432,0,1157,13016,14805,12392,9220,4113,1326,155,56184,0,1031,2431,1614,1064,423,106,18,3,6690,0,845,2489,3721,3059,1572,763,547,238,13234,33094,0,0,0,0,0,0,0,0,33094,0,9007,0,0,0,0,0,0,0,9007,0,5475,2930,644,373,168,30,0,0,9620,0,912,599,265,470,846,772,707,299,4870,0,522,342,116,119,69,28,10,8,1214,Blacktown (C)
