lga_code16,f_srilanka_es_ns,f_srilanka_tot,f_thailand_e,f_thailand_om_ie,f_thailand_om_uie,f_thailand_cfw,f_thailand_es_ns,f_thailand_tot,f_turkey_e,f_turkey_om_ie,f_turkey_om_uie,f_turkey_cfw,f_turkey_es_ns,f_turkey_tot,f_uk_e,f_uk_om_ie,f_uk_om_uie,f_uk_cfw,f_uk_es_ns,f_uk_tot,f_usa_e,f_usa_om_ie,f_usa_om_uie,f_usa_cfw,f_usa_es_ns,f_usa_tot,f_vietnam_e,f_vietnam_om_ie,f_vietnam_om_uie,f_vietnam_cfw,f_vietnam_es_ns,f_vietnam_tot,f_zimbabwe_e,f_zimbabwe_om_ie,f_zimbabwe_om_uie,f_zimbabwe_cfw,f_zimbabwe_es_ns,f_zimbabwe_tot,f_elsewhere_e,f_elsewhere_om_ie,f_elsewhere_om_uie,f_elsewhere_cfw,f_elsewhere_es_ns,f_elsewhere_tot,f_cob_ns_e,f_cob_ns_om_ie,f_cob_ns_om_uie,f_cob_ns_cfw,f_cob_ns_es_ns,f_cob_ns_tot,f_tot_e,f_tot_om_ie,f_tot_om_uie,f_tot_cfw,f_tot_es_ns,f_tot_tot,p_australia_e,p_australia_om_ie,p_australia_om_uie,p_australia_cfw,p_australia_es_ns,p_australia_tot,p_canada_e,p_canada_om_ie,p_canada_om_uie,p_canada_cfw,p_canada_es_ns,p_canada_tot,p_china_e,p_china_om_ie,p_china_om_uie,p_china_cfw,p_china_es_ns,p_china_tot,p_croatia_e,p_croatia_om_ie,p_croatia_om_uie,p_croatia_cfw,p_croatia_es_ns,p_croatia_tot,p_egypt_e,p_egypt_om_ie,p_egypt_om_uie,p_egypt_cfw,p_egypt_es_ns,p_egypt_tot,p_fiji_e,p_fiji_om_ie,p_fiji_om_uie,p_fiji_cfw,p_fiji_es_ns,p_fiji_tot,p_fyrom_e,p_fyrom_om_ie,p_fyrom_om_uie,p_fyrom_cfw,p_fyrom_es_ns,p_fyrom_tot,p_germany_e,p_germany_om_ie,p_germany_om_uie,p_germany_cfw,p_germany_es_ns,p_germany_tot,p_greece_e,p_greece_om_ie,p_greece_om_uie,p_greece_cfw,p_greece_es_ns,p_greece_tot,p_hongkong_e,p_hongkong_om_ie,p_hongkong_om_uie,p_hongkong_cfw,p_hongkong_es_ns,p_hongkong_tot,p_india_e,p_india_om_ie,p_india_om_uie,p_india_cfw,p_india_es_ns,p_india_tot,p_indonesia_e,p_indonesia_om_ie,p_indonesia_om_uie,p_indonesia_cfw,p_indonesia_es_ns,p_indonesia_tot,p_iran_e,p_iran_om_ie,p_iran_om_uie,p_iran_cfw,p_iran_es_ns,p_iran_tot,p_iraq_e,p_iraq_om_ie,p_iraq_om_uie,p_iraq_cfw,p_iraq_es_ns,p_iraq_tot,p_ireland_e,p_ireland_om_ie,p_ireland_om_uie,p_ireland_cfw,p_ireland_es_ns,p_ireland_tot,p_italy_e,p_italy_om_ie,p_italy_om_uie,p_italy_cfw,p_italy_es_ns,p_italy_tot,p_japan_e,p_japan_om_ie,p_japan_om_uie,p_japan_cfw,p_japan_es_ns,p_japan_tot,p_koreasouth_e,p_koreasouth_om_ie,p_koreasouth_om_uie,p_koreasouth_cfw,p_koreasouth_es_ns,p_koreasouth_tot,p_lebanon_e,p_lebanon_om_ie,p_lebanon_om_uie,p_lebanon_cfw,p_lebanon_es_ns,p_lebanon_tot,p_malaysia_e,p_malaysia_om_ie,p_malaysia_om_uie,p_malaysia_cfw,p_malaysia_es_ns,p_malaysia_tot,p_malta_e,p_malta_om_ie,p_malta_om_uie,p_malta_cfw,p_malta_es_ns,p_malta_tot,p_netherlands_e,p_netherlands_om_ie,p_netherlands_om_uie,p_netherlands_cfw,p_netherlands_es_ns,p_netherlands_tot,p_nz_e,p_nz_om_ie,p_nz_om_uie,p_nz_cfw,p_nz_es_ns,p_nz_tot,p_pakistan_e,p_pakistan_om_ie,p_pakistan_om_uie,p_pakistan_cfw,p_pakistan_es_ns,p_pakistan_tot,lga_name16
10050,0,22,19,5,8,0,0,35,0,0,0,0,0,0,297,10,19,6,3,335,25,0,0,0,0,27,14,4,0,0,0,15,10,0,0,0,0,14,179,13,13,4,4,214,150,10,12,4,9,189,11965,457,687,163,109,13381,18723,1197,1388,251,175,21734,34,3,3,0,0,39,52,11,11,3,0,73,15,0,0,0,0,15,4,3,0,0,0,7,26,3,3,0,0,32,0,0,0,0,0,0,59,5,9,0,0,74,7,3,4,0,0,12,9,3,10,0,0,21,274,22,9,3,5,321,11,0,0,0,0,12,11,0,0,0,0,8,3,0,0,0,0,3,33,3,0,0,0,32,11,5,3,0,0,18,5,0,0,0,0,7,23,0,3,0,0,22,3,3,5,0,0,10,31,4,4,0,0,39,7,0,0,0,0,7,40,11,8,3,0,64,273,18,21,6,0,311,11,0,0,0,0,10,Albury (C)
10130,0,14,11,0,0,0,0,8,0,0,0,0,0,0,142,7,3,7,0,162,30,0,3,0,0,38,14,3,0,0,0,15,5,0,0,0,0,5,178,3,11,3,0,195,85,3,8,8,9,107,5829,216,403,189,60,6703,9059,596,1031,343,102,11129,30,4,3,4,0,39,75,3,4,3,0,88,0,0,0,0,0,0,0,0,0,0,0,0,20,3,0,0,0,22,0,0,0,0,0,0,45,0,5,0,0,53,5,0,0,0,0,5,10,0,3,0,0,18,92,3,0,0,0,103,17,0,0,0,0,16,20,0,3,0,0,21,4,0,0,0,0,4,16,0,0,0,0,17,13,0,0,0,0,13,17,0,0,0,0,22,8,0,0,0,0,10,4,0,0,0,0,4,28,0,0,0,0,32,0,0,0,0,0,0,23,0,3,3,0,27,181,16,8,0,0,208,18,3,0,0,0,30,Armidale Regional (A)
10250,0,3,25,0,6,0,0,31,3,0,0,0,0,3,209,24,33,3,0,274,20,0,12,0,0,36,0,0,0,0,0,3,9,0,0,0,0,9,88,5,15,4,3,116,98,6,12,3,8,129,6247,372,756,191,86,7652,9882,910,1515,285,142,12736,37,3,6,0,0,47,18,0,15,0,0,39,0,0,0,0,0,0,3,0,0,0,0,5,12,5,0,3,0,24,0,0,0,0,0,0,36,5,7,4,0,57,7,0,0,0,0,6,7,3,0,0,0,17,49,6,6,3,0,66,18,0,0,0,0,18,3,0,3,0,0,3,0,0,0,0,0,0,20,5,4,0,0,35,23,5,5,0,0,32,19,0,9,0,0,29,10,3,0,0,0,18,0,0,0,0,0,0,19,3,3,0,0,30,6,0,0,0,0,8,30,3,11,3,0,47,262,23,55,9,0,352,0,0,0,0,0,0,Ballina (A)
10300,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,13,10,0,0,3,0,11,285,20,27,20,8,367,469,75,97,51,14,702,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,13,0,0,0,0,0,0,Balranald (A)
10470,0,15,19,0,0,0,0,23,0,0,0,0,0,0,204,10,12,3,3,234,27,0,0,3,0,25,11,0,0,0,0,15,7,0,0,0,0,7,93,7,11,0,0,109,116,8,20,0,11,152,7909,334,525,180,93,9035,13009,852,1128,307,171,15471,27,0,0,0,3,27,45,4,9,4,0,64,3,0,0,0,0,3,7,0,5,0,0,16,13,0,4,0,0,19,3,0,0,0,0,3,29,3,3,0,0,37,3,0,0,4,0,3,11,0,0,0,0,11,100,13,7,3,0,118,3,0,3,0,0,7,14,0,0,0,0,14,0,0,0,0,0,5,24,5,3,0,0,30,13,0,3,0,0,15,10,0,3,0,0,9,11,0,0,0,0,13,6,0,6,3,0,12,20,0,0,0,0,26,7,0,3,0,0,11,20,4,8,3,0,34,194,24,16,3,0,238,9,0,0,0,0,12,Bathurst Regional (A)
10550,0,0,16,5,0,0,0,25,0,0,0,0,0,0,176,13,33,7,0,239,17,0,4,3,0,27,3,0,3,0,0,10,5,0,0,0,0,3,69,4,14,0,0,92,135,3,17,3,10,161,4955,298,593,189,78,6117,7832,779,1243,293,161,10308,22,0,0,0,0,31,8,3,8,3,0,23,0,0,0,0,0,3,3,0,0,0,0,3,9,0,3,0,0,11,0,0,0,0,0,0,44,11,10,5,0,65,3,0,0,3,0,3,3,0,0,0,0,3,24,3,3,0,0,28,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,3,11,0,3,0,0,20,12,0,4,0,0,12,9,0,0,0,0,10,5,0,3,0,0,13,0,0,0,0,0,3,10,0,4,0,0,17,0,0,0,0,0,0,25,4,7,3,0,41,138,17,13,0,0,171,0,0,0,0,0,0,Bega Valley (A)
10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,4,25,3,0,99,6,0,0,0,0,8,0,0,0,0,0,3,0,0,0,0,0,3,23,0,9,3,0,36,22,3,5,3,4,37,1313,70,286,90,29,1785,2128,180,538,138,50,3035,5,0,0,0,0,7,3,0,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,10,0,0,29,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,14,3,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,9,0,0,0,0,0,0,5,0,0,0,0,11,38,3,14,3,4,62,3,0,0,0,0,3,Bellingen (A)
10650,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,4,3,0,0,21,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,25,3,0,3,0,32,978,90,128,77,22,1296,1620,253,322,159,53,2408,3,0,0,0,0,3,4,0,8,0,0,11,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,5,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,4,3,0,4,0,14,32,3,10,5,0,53,0,0,0,0,0,0,Berrigan (A)
10750,6,491,132,8,13,4,0,146,75,12,12,3,0,103,1153,53,53,7,4,1278,98,4,4,0,0,113,503,32,59,10,11,614,49,0,3,0,0,46,2743,146,257,46,44,3235,455,28,24,7,33,556,40730,1566,2004,489,391,45187,54896,3166,2443,401,504,61415,99,12,8,0,0,120,1754,297,229,84,16,2378,251,21,21,3,8,305,375,91,53,7,6,532,1711,151,103,23,23,2010,104,15,9,0,0,128,218,18,16,9,0,259,81,20,17,6,3,120,410,31,33,3,0,484,4926,620,569,93,47,6266,339,24,41,4,0,409,355,69,41,15,5,490,502,71,62,7,6,647,292,44,9,0,3,359,298,52,31,8,9,389,52,3,7,0,0,60,470,87,101,13,4,678,518,113,109,14,17,771,399,63,47,8,3,517,330,33,51,3,4,430,124,13,14,0,3,150,2983,105,104,23,43,3261,613,106,137,19,12,887,Blacktown (C)
10800,0,0,0,0,0,0,0,3,0,0,0,0,0,0,9,0,6,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,3,0,0,0,0,4,11,3,3,7,0,22,797,48,163,97,12,1114,1545,142,445,212,36,2383,4,0,0,0,0,4,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,6,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,20,0,3,3,0,28,0,0,0,0,0,0,Bland (A)
