lga_code16,onemeth_train_m,onemeth_train_f,onemeth_train_p,onemeth_bus_m,onemeth_bus_f,onemeth_bus_p,onemeth_ferry_m,onemeth_ferry_f,onemeth_ferry_p,onemeth_tram_inc_lt_rail_m,onemeth_tram_inc_lt_rail_f,onemeth_tram_inc_lt_rail_p,onemeth_taxi_m,onemeth_taxi_f,onemeth_taxi_p,onemeth_car_as_driver_m,onemeth_car_as_driver_f,onemeth_car_as_driver_p,onemeth_car_as_passenger_m,onemeth_car_as_passenger_f,onemeth_car_as_passenger_p,onemeth_truck_m,onemeth_truck_f,onemeth_truck_p,onemeth_motorbike_scooter_m,onemeth_motorbike_scooter_f,onemeth_motorbike_scooter_p,onemeth_bicycle_m,onemeth_bicycle_f,onemeth_bicycle_p,onemeth_other_m,onemeth_other_f,onemeth_other_p,onemeth_walked_only_m,onemeth_walked_only_f,onemeth_walked_only_p,onemeth_tot_onemeth_m,onemeth_tot_onemeth_f,onemeth_tot_onemeth_p,twometh_train_bus_m,twometh_train_bus_f,twometh_train_bus_p,twometh_train_ferry_m,twometh_train_ferry_f,twometh_train_ferry_p,twometh_trn_trm_inc_lt_rl_m,twometh_trn_trm_inc_lt_rl_f,twometh_trn_trm_inc_lt_rl_p,twometh_train_car_as_drvr_m,twometh_train_car_as_drvr_f,twometh_train_car_as_drvr_p,twometh_trn_car_as_pass_m,twometh_trn_car_as_pass_f,twometh_trn_car_as_pass_p,twometh_train_other_m,twometh_train_other_f,twometh_train_other_p,twometh_train_tot_m,twometh_train_tot_f,twometh_train_tot_p,twometh_bus_ferry_m,twometh_bus_ferry_f,twometh_bus_ferry_p,twometh_bus_trm_inc_lt_rl_m,twometh_bus_trm_inc_lt_rl_f,twometh_bus_trm_inc_lt_rl_p,twometh_bus_car_as_driver_m,twometh_bus_car_as_driver_f,twometh_bus_car_as_driver_p,twometh_bus_car_as_pass_m,twometh_bus_car_as_pass_f,twometh_bus_car_as_pass_p,twometh_bus_other_m,twometh_bus_other_f,twometh_bus_other_p,twometh_bus_tot_m,twometh_bus_tot_f,twometh_bus_tot_p,twometh_other_twometh_m,twometh_other_twometh_f,twometh_other_twometh_p,twometh_tot_twometh_m,twometh_tot_twometh_f,twometh_tot_twometh_p,threemeth_trn_2_othr_mthd_m,threemeth_trn_2_othr_mthd_f,threemeth_trn_2_othr_mthd_p,thremth_bu_2_ot_met_exc_tra_m,thremth_bu_2_ot_met_exc_tra_f,thremth_bu_2_ot_met_exc_tra_p,threemeth_oth_threemeth_m,threemeth_oth_threemeth_f,threemeth_oth_threemeth_p,threemeth_tot_threemeth_m,threemeth_tot_threemeth_f,threemeth_tot_threemeth_p,worked_home_m,worked_home_f,worked_home_p,did_not_go_to_work_m,did_not_go_to_work_f,did_not_go_to_work_p,meth_travel_to_work_ns_m,meth_travel_to_work_ns_f,meth_travel_to_work_ns_p,tot_m,tot_f,tot_p,lga_name16
10050,8,15,20,37,68,101,3,0,3,3,5,8,18,16,39,9016,8114,17136,528,579,1104,128,3,132,106,10,119,170,46,221,65,35,99,356,386,744,10440,9283,19725,0,0,0,0,0,0,0,0,0,5,6,7,0,0,0,3,0,3,12,7,18,0,0,0,0,0,0,4,3,5,7,7,11,0,3,4,13,12,25,90,55,145,111,71,180,6,0,6,0,0,0,7,3,10,15,8,25,270,449,724,786,1384,2166,91,84,176,11717,11276,22996,Albury (C)
10130,5,4,10,27,27,54,0,0,0,0,0,0,18,16,32,4093,3867,7964,370,431,800,137,16,157,89,14,105,91,25,117,60,27,88,353,300,658,5250,4725,9976,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,3,7,4,0,4,7,3,14,59,32,97,69,36,106,0,0,0,3,0,4,3,0,7,8,4,12,442,447,890,453,803,1255,58,75,135,6279,6096,12372,Armidale Regional (A)
10250,3,7,10,35,48,86,3,0,5,3,0,3,6,3,6,6127,5848,11981,336,454,788,192,6,197,92,9,100,157,60,220,71,29,99,232,297,528,7261,6760,14022,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,4,0,4,7,6,14,4,0,4,16,6,19,78,50,128,92,57,156,0,0,0,0,0,0,10,0,10,13,0,13,566,724,1295,693,1093,1788,105,104,212,8733,8746,17479,Ballina (A)
10300,0,0,0,11,0,15,0,0,0,0,0,0,0,0,0,397,266,664,35,28,67,12,0,12,3,0,3,3,5,5,15,9,17,66,49,116,546,358,908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,5,0,3,10,0,12,0,0,0,0,0,0,0,0,0,4,0,4,47,49,93,30,45,77,12,8,12,639,460,1101,Balranald (A)
10470,15,3,23,25,25,55,8,0,8,0,0,0,18,22,34,6677,6194,12870,441,511,951,194,8,199,56,6,63,66,13,82,49,28,81,366,330,699,7920,7136,15060,0,5,6,0,0,0,0,0,0,9,0,10,0,0,0,0,0,3,11,4,11,0,0,0,0,0,0,3,3,7,0,4,7,3,3,6,11,10,14,56,37,96,77,49,125,9,5,7,0,0,0,4,3,8,11,7,22,355,479,835,716,1163,1878,113,94,205,9194,8933,18128,Bathurst Regional (A)
10550,4,5,9,13,25,42,0,0,0,0,0,0,0,6,5,4434,4114,8553,244,295,538,160,6,168,53,9,64,44,20,62,64,38,102,293,317,610,5303,4832,10137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,3,4,6,0,0,0,3,4,8,55,19,76,59,26,87,0,0,0,0,0,0,5,6,11,4,6,7,470,508,976,705,952,1656,99,79,179,6638,6402,13046,Bega Valley (A)
10600,0,0,0,5,4,10,0,0,0,0,0,0,5,0,3,1575,1443,3013,87,119,203,57,0,57,26,0,29,18,8,26,18,15,30,125,118,245,1910,1703,3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,10,25,21,14,32,0,0,0,0,0,0,0,0,0,4,0,7,259,255,515,227,395,621,34,50,84,2456,2417,4873,Bellingen (A)
10650,0,3,6,12,0,13,0,0,0,0,0,0,0,0,0,1132,993,2122,66,53,120,49,4,57,13,0,13,22,3,25,24,12,37,114,94,203,1424,1170,2587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,175,142,325,108,201,307,25,30,57,1749,1544,3290,Berrigan (A)
10750,7166,6802,13972,2553,2747,5300,10,3,11,10,6,17,222,62,281,53661,38224,91885,3224,4408,7634,1457,17,1469,574,37,614,243,54,294,425,203,625,741,919,1662,70285,53484,123768,1984,2306,4287,8,5,12,20,26,48,1653,1240,2894,337,692,1028,112,46,157,4101,4315,8417,0,0,3,0,4,4,242,186,427,82,187,267,17,15,37,343,393,733,527,267,791,4971,4975,9941,638,717,1349,14,14,30,15,6,23,665,735,1402,1406,2410,3822,3951,6506,10456,905,667,1572,82183,68774,150965,Blacktown (C)
10800,0,0,3,74,3,78,0,0,0,0,0,0,3,0,0,764,643,1410,102,60,160,55,3,55,3,0,4,5,5,12,36,9,48,94,58,155,1131,790,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,8,0,0,0,3,0,3,7,3,11,14,3,16,20,4,25,0,0,0,3,0,3,4,0,5,10,0,5,215,168,384,96,131,226,23,24,49,1490,1124,2622,Bland (A)
