lga_code_2016,australia_m,australia_f,australia_p,canada_m,canada_f,canada_p,china_excl_sars_taiwan_m,china_excl_sars_taiwan_f,china_excl_sars_taiwan_p,croatia_m,croatia_f,croatia_p,egypt_m,egypt_f,egypt_p,fiji_m,fiji_f,fiji_p,germany_m,germany_f,germany_p,greece_m,greece_f,greece_p,hong_kong_sar_china_m,hong_kong_sar_china_f,hong_kong_sar_china_p,india_m,india_f,india_p,indonesia_m,indonesia_f,indonesia_p,iran_m,iran_f,iran_p,iraq_m,iraq_f,iraq_p,ireland_m,ireland_f,ireland_p,italy_m,italy_f,italy_p,japan_m,japan_f,japan_p,korea_republic_south_m,korea_republic_south_f,korea_republic_south_p,lebanon_m,lebanon_f,lebanon_p,malaysia_m,malaysia_f,malaysia_p,malta_m,malta_f,malta_p,netherlands_m,netherlands_f,netherlands_p,new_zealand_m,new_zealand_f,new_zealand_p,pakistan_m,pakistan_f,pakistan_p,philippines_m,philippines_f,philippines_p,poland_m,poland_f,poland_p,singapore_m,singapore_f,singapore_p,south_africa_m,south_africa_f,south_africa_p,sri_lanka_m,sri_lanka_f,sri_lanka_p,thailand_m,thailand_f,thailand_p,tfyrom_m,tfyrom_f,tfyrom_p,turkey_m,turkey_f,turkey_p,united_kingdom_ci_im_m,united_kingdom_ci_im_f,united_kingdom_ci_im_p,united_states_america_m,united_states_america_f,united_states_america_p,vietnam_m,vietnam_f,vietnam_p,zimbabwe_m,zimbabwe_f,zimbabwe_p,born_elsewhere_m,born_elsewhere_f,born_elsewhere_p,country_birth_not_stated_m,country_birth_not_stated_f,country_birth_not_stated_p,os_visitors_m,os_visitors_f,os_visitors_p,tot_m,tot_f,tot_p,lga_name16
10050,19948,21306,41256,29,11,47,46,61,108,27,28,49,12,10,18,25,18,43,119,129,252,30,23,57,14,20,33,294,277,569,3,11,12,14,15,28,0,0,3,38,28,68,36,38,71,3,14,18,13,21,29,12,3,14,19,28,48,7,7,13,93,100,193,287,258,543,17,14,32,98,180,282,18,16,36,8,15,26,71,66,135,44,54,99,11,50,63,3,0,3,0,0,3,621,621,1245,43,53,99,18,25,39,12,22,33,607,651,1258,1966,1975,3940,125,110,232,24738,26260,50991,Albury (C)
10130,11372,12178,23553,21,34,58,141,136,282,0,3,5,3,0,7,14,13,29,40,57,98,9,3,10,17,16,30,89,77,161,17,22,33,25,19,46,50,42,89,14,14,29,11,15,24,7,21,25,5,13,13,4,3,6,21,23,41,0,0,3,26,37,60,167,146,314,24,4,29,52,101,156,8,7,15,8,18,23,36,45,81,27,36,67,12,17,26,0,0,0,3,0,8,371,344,713,71,74,147,21,31,49,8,15,29,450,493,942,1174,1290,2465,175,150,326,14506,15507,30007,Armidale Regional (A)
10250,16523,17632,34147,48,44,92,17,39,60,6,7,18,5,3,5,15,29,41,57,73,133,3,7,12,12,12,16,66,47,106,16,21,33,11,7,15,0,0,0,35,34,75,60,34,94,16,46,61,7,11,22,5,0,4,23,26,50,12,13,27,75,84,159,322,337,660,0,0,6,21,90,108,13,13,22,8,21,30,118,111,229,15,8,23,20,50,63,0,0,0,3,3,5,810,861,1678,60,79,145,14,14,26,11,20,32,273,304,572,1466,1639,3106,93,104,190,20246,21829,42080,Ballina (A)
10300,1048,940,1986,0,0,3,3,0,4,0,0,0,0,0,0,4,6,6,3,3,3,0,0,0,4,0,4,3,4,7,0,0,0,0,0,0,0,0,0,0,5,7,11,14,21,0,0,0,0,3,3,0,0,0,4,4,9,0,0,0,0,0,0,17,12,29,0,0,0,0,3,3,0,0,0,0,0,0,4,0,4,0,0,0,0,5,5,0,0,0,0,0,0,12,21,31,3,4,3,0,0,0,0,0,0,18,22,40,170,149,317,11,6,18,1325,1194,2518,Balranald (A)
10470,17306,17162,34471,26,32,57,66,66,132,14,11,22,21,3,19,24,19,44,51,49,102,15,9,20,17,7,19,96,81,172,10,9,20,11,12,29,10,8,19,39,30,64,25,24,50,15,12,29,16,12,29,27,13,33,19,27,44,13,10,23,43,55,102,237,200,435,13,14,23,65,93,153,7,8,14,11,14,22,52,58,102,22,30,49,20,34,53,3,0,8,0,0,0,509,504,1008,36,46,78,38,24,61,5,11,22,280,229,516,1492,1674,3167,43,55,98,20685,20634,41317,Bathurst Regional (A)
10550,12906,13417,26324,30,29,60,18,24,44,8,3,16,5,9,17,5,10,14,114,123,233,13,13,22,3,7,10,20,24,45,12,13,23,4,0,6,0,0,0,33,32,66,41,10,52,11,14,25,6,10,14,3,0,3,14,21,31,16,9,24,96,109,203,189,193,375,0,0,0,29,95,125,14,12,24,10,8,19,48,42,92,5,3,8,12,45,63,0,0,4,3,0,3,855,824,1674,61,76,128,6,8,14,6,9,11,215,231,445,1359,1431,2791,56,66,128,16209,16920,33132,Bega Valley (A)
10600,4965,5286,10257,11,11,25,0,7,8,0,0,0,0,0,0,6,4,8,40,54,94,0,0,0,8,4,11,11,11,25,3,4,5,0,0,0,0,0,0,7,16,26,3,3,9,0,6,5,0,3,3,0,0,0,3,11,15,0,4,4,29,37,69,86,88,180,0,0,0,6,22,21,3,4,5,3,4,7,26,17,41,0,0,3,4,3,7,0,0,0,3,0,3,346,345,687,24,32,50,0,3,3,0,7,7,78,111,188,446,501,945,17,21,37,6128,6616,12750,Bellingen (A)
10650,3381,3359,6748,8,3,11,6,6,13,0,0,3,3,3,6,0,0,0,12,21,35,0,0,0,0,0,0,17,9,27,0,0,0,0,0,0,0,0,6,3,3,8,7,3,11,0,0,0,0,0,3,0,0,0,11,8,23,3,0,3,23,20,41,59,45,102,0,0,0,9,30,42,0,3,3,0,0,0,6,8,13,4,10,15,0,3,3,0,0,0,0,0,0,117,97,212,4,3,10,0,0,0,3,5,4,40,38,74,471,445,911,19,20,34,4218,4153,8368,Berrigan (A)
10750,91112,90494,181599,142,153,296,2086,2570,4660,472,541,1016,990,948,1936,3355,3728,7078,444,512,961,332,345,674,458,484,942,13510,12235,25738,649,832,1476,799,752,1549,858,830,1687,350,265,612,681,616,1299,38,109,147,703,782,1481,962,884,1847,608,719,1329,1161,1110,2271,251,241,491,4052,3953,8010,2183,1933,4111,9787,12060,21847,408,519,929,265,268,532,852,931,1778,2580,2289,4870,178,433,613,85,107,191,668,663,1335,3364,3178,6537,419,397,816,438,562,998,160,160,316,12623,12993,25615,8899,9184,18084,1472,2319,3790,168381,171098,339473,Blacktown (C)
10800,2506,2403,4913,4,4,6,3,3,10,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,3,3,3,6,8,13,0,3,0,0,0,0,0,0,0,7,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,15,22,15,32,0,0,0,5,9,19,0,0,0,0,0,0,12,7,22,7,3,7,0,3,3,0,0,0,0,0,0,44,51,89,0,3,5,7,0,5,0,4,4,27,30,59,425,388,810,0,11,11,3088,2960,6040,Bland (A)
10850,3000,3072,6070,0,4,4,3,5,11,0,0,0,0,0,0,0,0,0,16,5,26,0,0,0,0,0,0,0,0,3,3,4,7,0,0,0,0,0,0,3,3,7,3,3,3,0,0,0,0,0,0,4,0,6,0,0,0,0,3,4,6,8,19,36,35,70,0,0,0,3,8,14,3,3,6,0,0,0,5,4,10,4,3,10,3,0,3,0,0,0,0,0,0,88,93,187,6,6,8,3,0,4,0,3,0,22,20,45,283,272,555,0,10,9,3504,3581,7089,Blayney (A)
10900,28803,30808,59610,86,106,193,91,134,219,35,35,72,26,25,53,27,50,82,256,296,548,40,33,73,51,43,97,141,124,263,53,79,132,19,8,32,9,12,22,164,121,289,95,82,178,34,74,110,39,58,102,29,25,52,71,92,166,32,48,82,172,176,348,511,610,1119,12,10,21,71,194,268,72,109,179,34,35,68,130,169,294,38,25,68,33,83,118,4,4,6,12,4,12,2551,2597,5152,191,251,444,64,70,135,20,12,32,880,1026,1907,1720,1817,3536,401,530,931,37033,39977,77003,Blue Mountains (C)
10950,1139,1091,2233,0,0,0,0,3,4,0,0,0,0,0,0,6,0,7,0,4,3,0,0,0,0,0,3,8,3,14,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,12,12,25,11,3,8,3,4,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,17,15,29,0,0,6,0,0,3,3,3,4,5,13,16,185,159,343,3,0,3,1403,1318,2721,Bogan (A)
11100,11588,11276,22864,37,34,73,1226,1460,2687,77,89,167,175,201,372,105,147,254,70,53,123,355,405,762,193,198,387,425,350,775,859,994,1848,71,60,135,199,213,410,279,186,464,170,180,356,46,103,150,82,116,200,78,98,175,227,231,459,99,88,188,29,26,54,492,400,898,95,55,156,429,649,1077,69,71,138,70,62,129,127,121,246,57,60,112,160,286,448,34,27,60,194,175,365,762,604,1370,59,61,120,105,165,275,18,13,31,2669,2671,5337,1883,1808,3694,566,693,1259,24167,24442,48602,Botany Bay (C)
11150,1096,1070,2167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,0,0,0,0,0,0,4,0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,3,4,10,10,21,3,0,4,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,13,25,41,0,4,6,0,0,0,0,0,3,17,17,31,396,341,739,3,6,9,1556,1497,3060,Bourke (A)
11200,747,704,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,11,0,0,0,0,0,0,0,0,0,5,4,11,108,92,194,3,0,7,884,810,1692,Brewarrina (A)
11250,7480,7898,15381,7,9,13,6,7,17,3,3,8,0,0,0,6,3,7,14,23,37,9,6,15,3,0,3,31,25,53,0,6,6,0,0,0,0,0,0,7,0,12,21,14,36,3,6,7,6,0,3,0,0,0,3,0,5,9,10,18,4,13,17,35,43,77,3,0,3,43,81,128,0,0,0,0,4,5,9,14,25,4,3,10,0,11,10,0,0,0,0,0,0,124,105,229,3,16,17,0,3,3,3,4,7,57,50,103,824,855,1674,36,26,60,8760,9227,17983,Broken Hill (C)
13910,7726,7884,15613,3,3,11,16,18,31,3,4,9,4,3,4,0,3,9,17,13,31,0,3,6,0,3,3,24,10,37,0,5,5,0,0,3,0,0,0,9,7,13,14,8,22,0,0,0,0,3,3,32,31,64,0,6,9,3,3,9,27,26,53,82,71,148,0,0,0,25,31,60,0,6,8,0,3,0,6,13,19,0,3,5,3,6,9,0,0,0,0,3,4,159,195,357,12,18,36,0,3,3,4,0,3,70,100,170,732,756,1490,25,28,53,9012,9296,18308,Hilltops (A)
14000,41554,42716,84270,157,181,342,3791,4951,8740,68,50,120,105,110,218,158,182,337,289,285,578,60,63,119,1096,1240,2339,2708,2660,5366,280,374,647,830,786,1614,30,28,57,216,190,404,373,324,705,177,346,523,1236,1426,2662,291,303,592,804,950,1754,52,50,97,212,167,377,1064,1050,2116,238,219,457,732,1069,1804,165,194,364,324,389,715,956,1043,2003,804,852,1657,125,280,403,5,14,18,44,44,91,3640,3275,6908,382,386,776,256,324,580,120,120,240,3254,3579,6834,2060,2328,4385,754,1097,1853,69425,73643,143062,Hornsby (A)
14100,4782,4615,9393,22,12,32,202,258,463,8,8,15,22,24,47,8,14,25,31,30,64,43,46,91,62,71,131,51,52,106,13,22,39,27,38,58,4,7,8,36,43,77,91,90,177,12,28,42,34,45,79,27,20,47,37,42,83,7,9,11,23,13,37,114,87,203,0,6,6,23,40,59,29,19,49,24,31,56,67,78,145,15,8,31,6,15,23,4,3,6,15,15,30,329,319,652,51,66,118,25,40,62,8,8,13,245,328,573,353,386,732,50,67,120,6910,7012,13923,Hunters Hill (A)
14170,50895,53763,104661,300,337,636,2775,3562,6343,128,192,320,193,159,353,222,275,492,378,426,799,1152,1496,2648,454,488,943,1255,1058,2319,394,513,909,195,117,311,55,36,93,760,586,1348,1593,1593,3189,175,418,592,291,512,804,476,573,1048,486,516,995,113,130,246,178,157,334,2069,2040,4112,83,47,134,800,1258,2057,211,273,488,192,252,440,433,449,881,168,173,344,551,929,1482,149,167,318,233,206,443,5121,4204,9325,708,769,1475,1444,1729,3175,55,70,123,6227,6131,12354,6673,6536,13211,998,1232,2236,88607,93378,181983,Inner West (A)
14200,6756,6957,13714,6,9,11,4,9,10,0,3,3,0,3,3,3,4,13,15,21,38,0,0,0,0,0,3,9,15,28,0,3,3,0,0,0,0,0,0,5,8,11,15,10,27,6,7,7,12,12,21,0,0,0,3,3,8,3,0,3,16,12,20,50,47,99,0,0,0,74,95,175,0,0,5,0,0,0,23,20,41,0,0,3,3,12,11,0,0,0,0,0,0,125,141,261,53,52,112,6,14,17,3,0,3,60,73,132,738,819,1556,29,53,78,8022,8384,16411,Inverell (A)
14300,2874,2209,5082,3,0,4,13,15,28,0,0,0,0,0,0,3,0,3,3,8,11,0,0,3,8,3,11,7,3,10,3,0,3,0,0,0,0,0,0,3,0,5,3,0,3,0,0,0,9,3,15,7,0,7,3,0,3,3,0,3,3,5,6,42,31,69,0,0,0,9,10,15,0,0,0,5,0,5,3,3,3,6,3,4,0,0,3,0,0,0,0,0,3,52,50,97,6,0,8,11,0,11,3,0,3,79,48,120,296,299,591,9,13,16,3474,2686,6162,Junee (A)
14350,12169,12058,24229,11,13,25,33,21,48,3,0,5,3,0,0,18,15,32,45,57,110,8,3,7,5,0,5,26,21,46,4,7,8,3,0,4,0,0,0,9,8,22,9,5,16,0,10,12,3,3,9,9,0,5,6,8,20,12,12,21,33,30,67,129,145,270,4,4,8,20,98,119,3,4,8,0,7,5,17,20,41,4,7,11,6,26,29,0,0,0,3,0,3,397,375,774,30,32,57,9,6,12,3,6,10,142,125,272,1397,1478,2882,54,68,121,14646,14670,29321,Kempsey (A)
