LGA_MAIN11,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp,LGA_NAME11
19499,512,5475,2883,12918,
14750,299,8214,834,11039,Leeton (A)
14800,3197,21422,3585,52188,Leichhardt (A)
14850,1819,31006,2349,42768,Lismore (C)
14870,693,14407,1730,20159,Lithgow (C)
14900,5913,44277,14005,180147,Liverpool (C)
29499,338,3186,1827,8303,
14920,187,6118,450,7486,Liverpool Plains (A)
14950,67,2531,144,3006,Lockhart (A)
15050,2490,51209,3759,67476,Maitland (C)
15150,2533,15665,2876,39741,Manly (A)
15200,4093,25455,6588,76507,Marrickville (A)
15270,819,16561,1626,22326,Mid-Western Regional (A)
15300,322,10661,1369,13435,Moree Plains (A)
15350,1677,11242,2186,27450,Mosman (A)
15500,205,5500,402,6956,Murray (A)
15550,57,1780,177,2256,Murrumbidgee (A)
15650,468,11857,1483,15794,Muswellbrook (A)
15700,760,13579,1116,18641,Nambucca (A)
15750,304,10605,1021,12927,Narrabri (A)
15800,106,4711,505,5903,Narrandera (A)
15850,142,5479,433,6587,Narromine (A)
15900,6378,99343,9941,148536,Newcastle (C)
15950,3357,22209,5915,62288,North Sydney (A)
16100,176,3635,382,5039,Oberon (A)
16150,1196,28057,2781,38059,Orange (C)
16180,796,8990,1019,14340,Palerang (A)
16200,383,11589,1211,14591,Parkes (A)
16250,5660,40088,13481,166857,Parramatta (C)
16350,8902,91102,11605,178461,Penrith (C)
16370,3868,28967,3101,57147,Pittwater (A)
16380,3065,51171,4503,72695,Port Macquarie-Hastings (A)
16400,2828,44734,4423,64811,Port Stephens (A)
16470,1829,21514,2376,37998,Queanbeyan (C)
16550,6025,40514,12316,128982,Randwick (C)
16610,626,17401,1537,22033,Richmond Valley (A)
16650,3271,20955,7748,97336,Rockdale (C)
16700,4259,30693,6030,103046,Ryde (C)
16900,3620,34899,3258,63606,Shellharbour (C)
16950,4275,60793,7164,92806,Shoalhaven (C)
17000,929,17163,1282,22700,Singleton (A)
17050,407,4367,1058,7506,Snowy River (A)
17950,62,2336,143,2753,Warren (A)
18000,8772,61575,7745,140742,Warringah (A)
18020,260,7533,769,9585,Warrumbungle Shire (A)
18050,3483,17611,7670,63490,Waverley (A)
18100,122,2926,231,3665,Weddin (A)
18150,224,6415,1090,8493,Wellington (A)
18200,178,5180,489,6608,Wentworth (A)
18250,3586,20924,3763,67358,Willoughby (C)
18350,2451,27328,2728,44393,Wingecarribee (A)
18400,2296,27176,2295,43261,Wollondilly (A)
18450,10618,96808,11335,192413,Wollongong (C)
18500,3123,18114,6027,52155,Woollahra (A)
18550,7124,98945,9967,149747,Wyong (A)
18710,762,10323,1061,15024,Yass Valley (A)
18750,355,9561,911,12236,Young (A)
19399,46,871,54,1169,Unincorporated NSW
20110,515,7543,618,11878,Alpine (S)
20260,333,8234,1082,11183,Ararat (RC)
20570,3370,69249,5834,93508,Ballarat (C)
20660,5521,60745,5972,118310,Banyule (C)
20740,1403,18266,2077,29619,Bass Coast (S)
