lga_code16,p_tot_55_64_yr,p_tot_65_74_yr,p_tot_75_84_yr,p_tot_85_yr_over,p_tot_tot,lga_name16
27450,11826,7529,2898,1051,70805,Yarra Ranges (S)
27630,551,355,189,145,2750,Yarriambiack (S)
29399,741,448,91,9,5339,Unincorporated Vic
30250,50,10,0,0,307,Aurukun (S)
30300,297,207,70,16,1804,Balonne (S)
30370,991,520,271,42,6402,Banana (S)
30410,217,202,86,12,1311,Barcaldine (R)
30450,39,43,3,0,172,Barcoo (S)
30760,155,114,49,12,744,Blackall-Tambo (R)
34710,467,383,122,37,2191,Longreach (R)
34770,7540,4361,1961,634,48378,Mackay (R)
34800,119,66,14,3,793,McKinlay (S)
34830,25,4,5,0,124,Mapoon (S)
34860,910,507,214,69,6365,Maranoa (R)
34880,1888,1389,544,135,10404,Mareeba (S)
35010,27648,19599,8535,3541,188504,Moreton Bay (R)
35250,51,22,3,0,416,Mornington (S)
35300,1137,615,168,34,9040,Mount Isa (C)
35600,327,217,97,37,1803,Murweh (S)
35670,19,12,0,0,179,Napranum (S)
35740,5996,5480,2580,848,30088,Noosa (S)
35760,824,643,328,86,4493,North Burnett (R)
35780,204,104,15,5,1217,Northern Peninsula Area (R)
35790,83,14,0,0,552,Palm Island (S)
35800,179,143,40,10,763,Paroo (S)
36070,30,13,0,0,217,Pormpuraaw (S)
36150,49,48,11,5,338,Quilpie (S)
36250,11650,7903,3659,1668,68231,Redland (C)
36300,60,52,15,3,386,Richmond (S)
36370,4946,2941,1610,721,32979,Rockhampton (R)
36510,3387,2553,1100,288,18672,Scenic Rim (R)
36580,1920,1383,520,115,10141,Somerset (R)
36630,2483,1946,903,264,13259,South Burnett (R)
36660,2662,2173,1004,361,14341,Southern Downs (R)
36720,24879,19833,10080,3823,148251,Sunshine Coast (R)
36820,2438,2070,910,254,11833,Tablelands (R)
36910,11079,7155,3785,1725,71774,Toowoomba (R)
36950,278,96,12,4,1891,Torres (S)
36960,190,58,13,0,1691,Torres Strait Island (R)
37010,12783,7921,3315,1030,87733,Townsville (C)
40070,2225,1683,660,360,18184,Adelaide (C)
40120,4140,2761,889,267,20007,Adelaide Hills (DC)
40220,2440,2169,1005,400,12038,Alexandrina (DC)
30900,53,36,7,0,232,Boulia (S)
31000,74616,44389,21066,9966,604508,Brisbane (C)
31750,69,30,8,0,297,Bulloo (S)
31820,7385,6101,3107,967,39929,Bundaberg (R)
31900,1185,893,420,147,6783,Burdekin (S)
31950,121,103,20,0,425,Burke (S)
32080,13396,8773,3487,965,83243,Cairns (R)
32250,298,380,123,9,1435,Carpentaria (S)
32260,2752,2118,892,198,13676,Cassowary Coast (R)
32270,2246,1070,318,52,15385,Central Highlands (R) (Qld)
32310,851,791,329,70,4961,Charters Towers (R)
32330,26,8,0,0,226,Cherbourg (S)
32450,378,266,60,16,2370,Cloncurry (S)
32500,831,578,129,20,3632,Cook (S)
32600,42,24,3,0,191,Croydon (S)
37300,285,84,13,3,2284,Weipa (T)
37310,2214,1295,596,207,15759,Western Downs (R)
37340,3334,2641,838,215,20287,Whitsunday (R)
32750,61,50,19,0,271,Diamantina (S)
41140,841,586,215,83,4054,Clare and Gilbert Valleys (DC)
32770,36,10,5,0,243,Doomadgee (S)
32810,2101,1759,705,145,10393,Douglas (S)
33100,137,185,31,0,608,Etheridge (S)
33200,115,110,23,12,635,Flinders (S) (Qld)
33220,9191,8441,3969,1104,47252,Fraser Coast (R)
33360,4297,2319,812,204,28193,Gladstone (R)
33430,40766,30502,14882,6026,285230,Gold Coast (C)
33610,724,513,246,69,4459,Goondiwindi (R)
33620,4325,3478,1417,440,21642,Gympie (R)
33800,978,771,411,122,4808,Hinchinbrook (S)
33830,42,19,8,0,347,Hope Vale (S)
33960,10110,5663,2647,794,79966,Ipswich (C)
33980,2124,620,135,30,16758,Isaac (R)
34420,38,6,0,0,260,Kowanyama (S)
34530,3065,2202,964,348,16581,Livingstone (S)
34570,27,28,3,0,266,Lockhart River (S)
34580,2435,1670,685,221,15769,Lockyer Valley (R)
34590,17102,10550,3954,1181,123397,Logan (C)
37400,178,226,39,9,778,Winton (S)
37550,41,4,0,0,255,Woorabinda (S)
40250,122,35,14,7,782,Anangu Pitjantjatjara (AC)
40310,1983,1246,517,246,10515,Barossa (DC)
37570,10,0,0,0,90,Wujal Wujal (S)
37600,62,21,7,0,618,Yarrabah (S)
40430,182,173,87,36,951,Barunga West (DC)
40520,776,513,245,118,4232,Berri and Barmera (DC)
40700,4298,3344,1661,876,24240,Burnside (C)
40910,3183,2239,1417,516,23473,Campbelltown (C) (SA)
41010,316,192,49,34,1773,Ceduna (DC)
41060,7534,4719,2532,1139,51447,Charles Sturt (C)
41190,199,111,33,20,952,Cleve (DC)
41330,243,214,68,7,1093,Coober Pedy (DC)
41560,1090,902,478,213,5681,Copper Coast (DC)
41750,107,57,26,6,456,Elliston (DC)
41830,184,122,44,14,755,Flinders Ranges (DC)
41960,141,106,19,22,650,Franklin Harbour (DC)
42030,1606,1046,580,261,9740,Gawler (T)
42110,369,259,114,24,1666,Goyder (DC)
42250,589,365,124,35,3569,Grant (DC)
42600,3578,2478,1245,771,19368,Holdfast Bay (C)
42750,474,336,141,57,2220,Kangaroo Island (DC)
43080,65,49,24,15,376,Karoonda East Murray (DC)
43220,72,33,33,11,429,Kimba (DC)
43360,170,124,72,29,902,Kingston (DC) (SA)
43650,1097,582,216,65,6260,Light (RegC)
43710,448,268,96,41,2459,Lower Eyre Peninsula (DC)
43790,787,548,263,137,4460,Loxton Waikerie (DC)
43920,576,334,93,34,3327,Mallala (DC)
44000,5,4,0,0,45,Maralinga Tjarutja (AC)
44060,6419,3924,1995,1046,42720,Marion (C)
44210,770,651,260,59,3788,Mid Murray (DC)
44340,5848,4216,2114,1147,34684,Mitcham (C)
44550,2650,1689,646,254,15773,Mount Barker (DC)
44620,1518,1006,565,260,10267,Mount Gambier (C)
44830,310,214,86,28,1246,Mount Remarkable (DC)
45040,1224,909,424,148,8206,Murray Bridge (RC)
45090,492,312,150,81,3177,Naracoorte and Lucindale (DC)
45120,365,256,100,60,1879,Northern Areas (DC)
45290,2915,1983,936,474,19243,Norwood Payneham St Peters (C)
45340,12027,8380,3638,1499,74521,Onkaparinga (C)
45400,88,54,30,13,396,Orroroo/Carrieton (DC)
45540,180,105,46,19,618,Peterborough (DC)
45680,4072,2370,1484,556,32072,Playford (C)
45890,7230,4253,2148,1149,54596,Port Adelaide Enfield (C)
46090,1038,682,263,93,6200,Port Augusta (C)
46300,959,609,327,122,5895,Port Lincoln (C)
46450,1127,740,391,140,6574,Port Pirie City and Dists (M)
46510,1731,830,304,153,10517,Prospect (C)
46670,610,482,197,120,3742,Renmark Paringa (DC)
46860,136,106,36,21,682,Robe (DC)
46970,242,33,9,4,2412,Roxby Downs (M)
47140,6791,4400,2227,774,53132,Salisbury (C)
47290,124,67,49,17,771,Southern Mallee (DC)
47490,206,118,50,17,891,Streaky Bay (DC)
47630,422,240,129,93,2637,Tatiara (DC)
47700,6901,4850,2347,803,44641,Tea Tree Gully (C)
47800,339,253,114,29,1942,The Coorong (DC)
47910,217,169,66,45,1126,Tumby Bay (DC)
47980,3431,2251,943,728,20970,Unley (C)
48050,1269,1465,834,383,6668,Victor Harbor (C)
48130,456,317,129,58,2484,Wakefield (DC)
