lga_name_2016,lga_code_2016,negative_nil_income_m,negative_nil_income_f,negative_nil_income_p,pi1_149_m,pi1_149_f,pi1_149_p,pi150_299_m,pi150_299_f,pi150_299_p,pi300_399_m,pi300_399_f,pi300_399_p,pi400_499_m,pi400_499_f,pi400_499_p,pi500_649_m,pi500_649_f,pi500_649_p,pi650_799_m,pi650_799_f,pi650_799_p,pi800_999_m,pi800_999_f,pi800_999_p,pi1000_more_m,pi1000_more_f,pi1000_more_p,personal_income_nsm,personal_income_nsf,personal_income_nsp,tot_m,tot_f,tot_p
Albury (C),10050,54,40,94,22,26,47,51,67,120,37,66,98,36,53,89,17,53,75,39,41,75,33,36,67,77,52,125,42,35,74,409,461,866
Armidale Regional (A),10130,74,81,152,40,35,72,138,99,237,76,88,166,62,88,148,50,88,137,56,54,111,44,44,84,77,70,146,66,84,155,682,725,1406
Ballina (A),10250,39,39,83,25,29,53,55,52,107,40,66,104,48,54,100,34,46,84,39,54,94,37,32,65,90,68,163,38,45,80,442,485,926
Balranald (A),10300,4,9,18,4,9,9,14,7,25,9,7,13,8,4,13,3,5,8,3,3,10,6,3,11,10,10,18,13,4,20,66,67,132
Bathurst Regional (A),10470,71,57,128,30,26,60,67,78,146,48,87,132,38,77,117,48,75,123,69,54,130,54,50,105,114,115,227,227,44,266,768,668,1435
Bega Valley (A),10550,41,32,73,23,21,42,41,47,89,37,45,74,18,53,72,26,44,69,25,32,54,28,17,46,56,30,82,20,20,43,309,340,654
Bellingen (A),10600,14,15,28,11,7,20,19,17,37,13,17,32,5,28,39,7,4,13,15,19,32,11,5,16,36,19,53,8,7,10,147,142,287
Berrigan (A),10650,6,8,14,3,3,3,3,9,13,3,5,9,5,10,12,3,0,8,8,5,18,15,6,21,12,6,22,5,8,10,68,60,125
Blacktown (C),10750,421,350,770,150,185,331,280,329,605,237,375,603,249,350,598,171,336,505,220,292,514,264,228,489,590,469,1057,353,207,557,2916,3118,6034
Bland (A),10800,14,4,17,3,4,11,3,13,18,3,10,15,3,8,12,7,10,14,8,7,11,10,4,19,19,10,22,4,6,9,80,76,152
