lga_code16,om_uie_75ov_hw_0,om_uie_75ov_hw_1_15,om_uie_75ov_hw_16_24,om_uie_75ov_hw_25_34,om_uie_75ov_hw_35_39,om_uie_75ov_hw_40,om_uie_75ov_hw_41_48,om_uie_75ov_hw_49mor,om_uie_75ov_hw_ns,om_uie_75ov_tot,om_uie_tot_hw_0,om_uie_tot_hw_1_15,om_uie_tot_hw_16_24,om_uie_tot_hw_25_34,om_uie_tot_hw_35_39,om_uie_tot_hw_40,om_uie_tot_hw_41_48,om_uie_tot_hw_49mor,om_uie_tot_hw_ns,om_uie_tot_tot,cfw_15_19_hw_0,cfw_15_19_hw_1_15,cfw_15_19_hw_16_24,cfw_15_19_hw_25_34,cfw_15_19_hw_35_39,cfw_15_19_hw_40,cfw_15_19_hw_41_48,cfw_15_19_hw_49mor,cfw_15_19_hw_ns,cfw_15_19_tot,cfw_20_24_hw_0,cfw_20_24_hw_1_15,cfw_20_24_hw_16_24,cfw_20_24_hw_25_34,cfw_20_24_hw_35_39,cfw_20_24_hw_40,cfw_20_24_hw_41_48,cfw_20_24_hw_49mor,cfw_20_24_hw_ns,cfw_20_24_tot,cfw_25_29_hw_0,cfw_25_29_hw_1_15,cfw_25_29_hw_16_24,cfw_25_29_hw_25_34,cfw_25_29_hw_35_39,cfw_25_29_hw_40,cfw_25_29_hw_41_48,cfw_25_29_hw_49mor,cfw_25_29_hw_ns,cfw_25_29_tot,cfw_30_34_hw_0,cfw_30_34_hw_1_15,cfw_30_34_hw_16_24,cfw_30_34_hw_25_34,cfw_30_34_hw_35_39,cfw_30_34_hw_40,cfw_30_34_hw_41_48,cfw_30_34_hw_49mor,cfw_30_34_hw_ns,cfw_30_34_tot,cfw_35_39_hw_0,cfw_35_39_hw_1_15,cfw_35_39_hw_16_24,cfw_35_39_hw_25_34,cfw_35_39_hw_35_39,cfw_35_39_hw_40,cfw_35_39_hw_41_48,cfw_35_39_hw_49mor,cfw_35_39_hw_ns,cfw_35_39_tot,cfw_40_44_hw_0,cfw_40_44_hw_1_15,cfw_40_44_hw_16_24,cfw_40_44_hw_25_34,cfw_40_44_hw_35_39,cfw_40_44_hw_40,cfw_40_44_hw_41_48,cfw_40_44_hw_49mor,cfw_40_44_hw_ns,cfw_40_44_tot,cfw_45_49_hw_0,cfw_45_49_hw_1_15,cfw_45_49_hw_16_24,cfw_45_49_hw_25_34,cfw_45_49_hw_35_39,cfw_45_49_hw_40,cfw_45_49_hw_41_48,cfw_45_49_hw_49mor,cfw_45_49_hw_ns,cfw_45_49_tot,cfw_50_54_hw_0,cfw_50_54_hw_1_15,cfw_50_54_hw_16_24,cfw_50_54_hw_25_34,cfw_50_54_hw_35_39,cfw_50_54_hw_40,cfw_50_54_hw_41_48,cfw_50_54_hw_49mor,cfw_50_54_hw_ns,cfw_50_54_tot,cfw_55_59_hw_0,cfw_55_59_hw_1_15,cfw_55_59_hw_16_24,cfw_55_59_hw_25_34,cfw_55_59_hw_35_39,cfw_55_59_hw_40,cfw_55_59_hw_41_48,cfw_55_59_hw_49mor,cfw_55_59_hw_ns,cfw_55_59_tot,cfw_60_64_hw_0,cfw_60_64_hw_1_15,cfw_60_64_hw_16_24,cfw_60_64_hw_25_34,cfw_60_64_hw_35_39,cfw_60_64_hw_40,cfw_60_64_hw_41_48,cfw_60_64_hw_49mor,cfw_60_64_hw_ns,cfw_60_64_tot,cfw_65_69_hw_0,cfw_65_69_hw_1_15,cfw_65_69_hw_16_24,cfw_65_69_hw_25_34,cfw_65_69_hw_35_39,cfw_65_69_hw_40,cfw_65_69_hw_41_48,cfw_65_69_hw_49mor,cfw_65_69_hw_ns,cfw_65_69_tot,cfw_70_74_hw_0,cfw_70_74_hw_1_15,cfw_70_74_hw_16_24,cfw_70_74_hw_25_34,cfw_70_74_hw_35_39,cfw_70_74_hw_40,cfw_70_74_hw_41_48,cfw_70_74_hw_49mor,cfw_70_74_hw_ns,cfw_70_74_tot,cfw_75ov_hw_0,cfw_75ov_hw_1_15,cfw_75ov_hw_16_24,cfw_75ov_hw_25_34,cfw_75ov_hw_35_39,cfw_75ov_hw_40,cfw_75ov_hw_41_48,cfw_75ov_hw_49mor,cfw_75ov_hw_ns,cfw_75ov_tot,cfw_tot_hw_0,cfw_tot_hw_1_15,cfw_tot_hw_16_24,cfw_tot_hw_25_34,cfw_tot_hw_35_39,cfw_tot_hw_40,cfw_tot_hw_41_48,cfw_tot_hw_49mor,cfw_tot_hw_ns,cfw_tot_tot,et_ns_15_19_hw_0,et_ns_15_19_hw_1_15,et_ns_15_19_hw_16_24,et_ns_15_19_hw_25_34,et_ns_15_19_hw_35_39,et_ns_15_19_hw_40,et_ns_15_19_hw_41_48,et_ns_15_19_hw_49mor,et_ns_15_19_hw_ns,et_ns_15_19_tot,et_ns_20_24_hw_0,et_ns_20_24_hw_1_15,et_ns_20_24_hw_16_24,et_ns_20_24_hw_25_34,et_ns_20_24_hw_35_39,et_ns_20_24_hw_40,et_ns_20_24_hw_41_48,et_ns_20_24_hw_49mor,et_ns_20_24_hw_ns,et_ns_20_24_tot,et_ns_25_29_hw_0,et_ns_25_29_hw_1_15,et_ns_25_29_hw_16_24,et_ns_25_29_hw_25_34,et_ns_25_29_hw_35_39,et_ns_25_29_hw_40,et_ns_25_29_hw_41_48,et_ns_25_29_hw_49mor,et_ns_25_29_hw_ns,et_ns_25_29_tot,et_ns_30_34_hw_0,et_ns_30_34_hw_1_15,et_ns_30_34_hw_16_24,et_ns_30_34_hw_25_34,et_ns_30_34_hw_35_39,et_ns_30_34_hw_40,et_ns_30_34_hw_41_48,et_ns_30_34_hw_49mor,et_ns_30_34_hw_ns,et_ns_30_34_tot,lga_name16
10050,0,6,3,3,3,0,0,3,0,19,56,220,158,212,151,271,120,399,26,1605,0,8,0,0,0,0,0,0,3,11,0,4,0,0,3,0,0,0,3,4,0,3,0,0,0,0,0,0,0,7,0,6,0,3,0,0,0,5,0,22,0,10,0,3,0,0,3,0,0,25,0,6,0,3,4,3,0,4,0,23,3,6,8,0,4,0,0,13,0,32,0,3,0,3,0,6,0,7,0,24,0,13,3,4,0,3,0,6,4,33,0,9,4,7,0,4,0,8,0,34,3,11,4,0,3,3,4,10,3,35,0,11,4,0,0,3,0,0,4,22,0,3,3,8,0,0,0,0,3,25,15,87,35,33,10,19,10,63,27,299,0,11,0,0,0,0,0,0,3,15,3,0,0,4,0,0,0,0,3,12,0,0,0,3,0,3,0,0,3,17,0,0,0,0,8,0,3,4,3,18,Albury (C)
10130,0,9,6,6,0,0,3,13,0,45,25,141,92,138,69,158,105,413,14,1153,0,8,3,0,0,4,0,0,0,20,0,4,0,0,0,0,0,0,0,8,0,3,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,4,3,13,0,6,0,0,3,3,0,10,0,21,0,9,0,3,0,4,0,13,0,25,0,3,0,3,0,0,0,11,4,20,0,3,4,0,0,0,3,11,4,30,3,8,6,0,4,5,0,17,3,45,0,6,3,7,0,4,6,20,0,42,0,19,4,8,3,8,3,14,0,64,0,11,9,4,3,6,3,20,7,59,0,3,14,3,3,9,3,12,3,51,16,80,48,28,10,34,17,138,21,401,0,3,3,0,0,0,0,0,0,5,0,3,3,3,5,3,0,0,4,16,0,0,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,3,3,Armidale Regional (A)
10250,0,14,3,8,0,7,9,9,0,46,55,289,211,274,129,325,136,442,16,1874,0,5,5,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,13,0,6,0,4,3,0,0,3,0,19,0,6,0,3,0,0,0,7,0,16,0,4,3,4,5,4,0,11,0,30,0,8,3,6,3,3,0,4,3,31,0,8,4,5,3,3,3,8,3,42,0,9,5,10,3,3,3,10,0,40,4,11,8,3,7,5,3,9,3,40,0,15,7,7,3,3,4,5,0,46,0,12,6,3,0,4,0,7,0,30,0,5,7,3,0,3,0,4,3,32,12,92,45,48,21,35,13,63,18,353,0,5,0,0,0,0,0,0,0,10,0,0,0,3,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,3,14,Ballina (A)
10300,0,0,0,0,0,0,0,0,0,0,0,3,7,7,13,9,5,48,3,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,3,0,6,0,4,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,8,10,4,0,14,0,20,7,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,Balranald (A)
10470,3,11,3,9,3,8,0,13,0,46,30,165,143,141,113,216,103,379,34,1322,0,6,0,3,0,3,0,0,0,20,0,4,0,0,0,0,0,0,0,8,0,3,0,4,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,7,0,5,0,3,0,3,0,6,0,23,0,7,0,4,0,0,3,11,0,33,0,3,3,4,0,8,0,10,0,24,3,6,5,3,5,5,0,14,0,39,4,8,4,7,0,5,0,15,0,47,0,3,3,6,0,3,3,16,0,36,0,13,3,4,3,7,3,12,0,47,0,3,6,8,0,3,5,6,3,28,0,9,11,3,0,4,0,3,4,33,17,73,41,44,18,42,22,95,13,362,0,3,3,0,0,0,0,0,5,17,0,3,3,0,3,3,0,0,4,15,0,0,0,0,4,0,0,3,8,19,0,3,0,0,0,0,4,0,3,19,Bathurst Regional (A)
10550,6,10,12,5,0,5,3,8,0,44,63,238,160,185,118,216,115,377,25,1499,0,3,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,6,0,3,0,0,0,0,0,8,0,3,0,0,0,0,0,3,0,10,5,6,3,0,0,0,3,3,3,19,0,6,3,3,3,3,3,3,0,29,0,9,4,9,0,9,3,14,3,46,3,9,5,6,5,5,0,13,0,49,4,21,6,9,0,9,5,5,9,68,0,10,3,10,5,4,3,11,0,48,0,6,3,6,0,9,3,11,3,38,0,7,0,4,0,3,0,6,0,24,17,87,37,46,17,46,15,65,22,350,0,5,0,0,0,0,0,0,3,13,0,3,0,0,0,0,0,0,5,9,0,0,0,0,0,3,3,0,0,7,0,3,0,0,0,3,0,0,0,11,Bega Valley (A)
10600,0,3,5,0,0,0,0,3,3,23,26,121,93,95,47,82,39,145,16,676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,0,0,0,4,0,3,0,5,0,0,0,3,0,9,0,3,0,6,0,3,0,7,3,20,0,4,0,0,0,0,0,7,0,15,0,3,4,5,0,0,0,6,0,19,3,5,3,4,0,0,0,4,0,19,0,10,0,5,0,0,3,5,0,29,0,4,0,3,0,3,0,4,0,11,4,6,0,3,0,4,0,3,0,21,14,50,16,20,4,13,3,37,7,168,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,3,Bellingen (A)
10650,0,3,0,0,0,0,3,3,0,10,11,36,29,24,23,40,25,160,5,360,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,11,0,0,0,4,0,0,0,4,0,12,0,0,3,0,0,0,0,4,0,12,0,0,0,3,0,3,3,5,0,19,0,3,0,4,0,0,0,3,0,9,0,8,3,3,0,0,0,8,0,24,3,7,0,0,0,3,0,13,3,28,3,0,0,3,0,3,0,13,3,22,0,5,0,0,0,0,3,10,3,18,0,10,3,0,0,0,0,4,3,23,7,40,13,22,8,20,3,61,9,183,0,3,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Berrigan (A)
10750,0,8,6,7,3,4,0,3,0,39,123,875,689,759,531,1015,373,1222,136,5723,4,29,4,0,0,0,0,0,4,40,0,23,12,3,3,0,0,0,8,51,3,6,12,9,3,0,0,3,0,41,3,33,20,15,4,5,3,12,5,101,3,40,20,15,8,16,0,14,15,134,6,31,17,17,9,16,9,17,4,120,5,35,18,10,11,11,7,21,6,116,6,14,14,15,13,9,3,24,3,103,4,15,16,11,11,8,3,20,7,97,8,19,12,4,8,9,3,15,0,79,5,15,11,5,3,3,3,6,5,60,0,3,3,3,0,3,0,3,0,23,0,4,7,3,3,0,0,0,0,18,45,277,161,100,80,94,36,132,67,984,3,20,5,0,7,11,3,0,23,63,10,3,10,8,15,15,0,11,23,92,3,4,6,9,22,18,3,8,26,99,0,7,6,4,14,8,4,12,28,93,Blacktown (C)
10800,3,3,0,6,0,3,0,8,0,31,19,40,24,30,22,79,34,223,13,481,4,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,4,0,4,0,12,0,4,0,3,0,0,0,6,0,15,0,0,0,0,0,3,0,8,0,13,0,7,0,0,0,0,0,8,0,20,0,0,0,0,0,0,0,18,0,23,0,0,0,0,0,0,0,17,5,21,0,3,0,0,0,5,0,22,3,34,0,3,0,0,0,5,0,11,0,23,3,0,3,3,0,0,3,9,6,26,0,0,0,3,0,0,0,7,0,13,3,5,6,3,0,5,0,0,3,28,11,30,9,16,7,29,10,104,19,233,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,Bland (A)
